text	link	year
Job Amupanda	/wiki/Job_Amupanda	['1900', '1950']
Niko Bessinger	/wiki/Niko_Bessinger	['1900', '1950']
Pauline Dempers	/wiki/Pauline_Dempers	['1900', '1950']
Kalla Gertze	/wiki/Kalla_Gertze	['1900', '1950']
Evilastus Kaaronda	/wiki/Evilastus_Kaaronda	['1900', '1950']
Veronica de Klerk	/wiki/Veronica_de_Klerk	['1900', '1950']
John Kwedhi	/wiki/John_Kwedhi	['1900', '1950']
Blythe Loutit	/wiki/Blythe_Loutit	['1900', '1950']
Rosa Namises	/wiki/Rosa_Namises	['1900', '1950']
Phil ya Nangoloh	/wiki/Phil_ya_Nangoloh	['1900', '1950']
John Pandeni	/wiki/John_Pandeni	['1900', '1950']
Emma Tuahepa	/wiki/Emma_Tuahepa	['1900', '1950']
George Kambala	/wiki/George_Kambala	['1900', '1950']
Dimbulukeni Nauyoma	/wiki/Dimbulukeni_Nauyoma	['1900', '1950']
Dieter Aschenborn	/wiki/Dieter_Aschenborn	['1900', '1950']
Hans Aschenborn	/wiki/Hans_Aschenborn	['1900', '1950']
Uli Aschenborn	/wiki/Uli_Aschenborn	['1900', '1950']
Koos van Ellinckhuijzen	/wiki/Koos_van_Ellinckhuijzen	['1900', '1950']
Tony Figueira	/wiki/Tony_Figueira_(photographer)	['1900', '1950']
Tim Huebschle	/wiki/Tim_Huebschle	['1900', '1950']
Adolph Jentsch	/wiki/Adolph_Jentsch	['1900', '1950']
Helga Kohl	/wiki/Helga_Kohl	['1900', '1950']
Kerry McNamara	/wiki/Kerry_McNamara	['1900', '1950']
John Muafangejo	/wiki/John_Muafangejo	['1900', '1950']
Bridget Pickering	/wiki/Bridget_Pickering	['1900', '1950']
Wilhelm Sander	/wiki/Wilhelm_Sander	['1900', '1950']
Nǃxau ǂToma	/wiki/N%C7%83xau_%C7%82Toma	['1900', '1950']
Tom Alweendo	/wiki/Tom_Alweendo	['1900', '1950']
Johnny Doeseb	/wiki/Johnny_Doeseb	['1900', '1950']
Monica Geingos	/wiki/Monica_Geingos	['1900', '1950']
Benjamin Hauwanga	/wiki/Benjamin_Hauwanga	['1900', '1950']
Frans Indongo	/wiki/Frans_Indongo	['1900', '1950']
Gert Joubert	/wiki/Gert_Joubert	['1900', '1950']
Aaron Mushimba	/wiki/Aaron_Mushimba	['1900', '1950']
Martha Namundjebo-Tilahun	/wiki/Martha_Namundjebo-Tilahun	['1900', '1950']
Ipumbu Shiimi	/wiki/Ipumbu_Shiimi	['1900', '1950']
Harold Pupkewitz	/wiki/Harold_Pupkewitz	['1900', '1950']
Sven Thieme	/wiki/Sven_Thieme	['1900', '1950']
Inge Zaamwani-Kamwi	/wiki/Inge_Zaamwani-Kamwi	['1900', '1950']
Martin Andjaba	/wiki/Martin_Andjaba	['1900', '1950']
Bience P. Gawanas	/wiki/Bience_P._Gawanas	['1900', '1950']
Ella Kamanya	/wiki/Ella_Kamanya	['1900', '1950']
Kaire Mbuende	/wiki/Kaire_Mbuende	['1900', '1950']
Monica Nashandi	/wiki/Monica_Nashandi	['1900', '1950']
Dimo Hamaambo	/wiki/Dimo_Hamaambo	['1900', '1950']
Charles Namoloh	/wiki/Charles_Namoloh	['1900', '1950']
Erkki Nghimtina	/wiki/Erkki_Nghimtina	['1900', '1950']
Epaphras Denga Ndaitwah	/wiki/Epaphras_Denga_Ndaitwah	['1900', '1950']
John Mutwa	/wiki/John_Mutwa	['1900', '1950']
Jesaya Elago Kambonde	/wiki/Jesaya_Elago_Kambonde	['1900', '1950']
Martin Shalli	/wiki/Martin_Shalli	['1900', '1950']
Immanuel Shifidi	/wiki/Immanuel_Shifidi	['1900', '1950']
Peter Nambundunga	/wiki/Peter_Nambundunga	['1900', '1950']
Solomon Huwala	/wiki/Solomon_Huwala	['1900', '1950']
