text	link	year
West Indian Americans	/wiki/West_Indian_Americans	['1900', '1950']
Eritrean Americans	/wiki/Eritrean_Americans	['1900', '1950']
Fijian Indian diaspora	/wiki/Fijian_Indian_diaspora	['1900', '1950']
Bengali Americans	/wiki/Bengali_Americans	['1900', '1950']
Gujarati Americans	/wiki/Gujarati_Americans	['1900', '1950']
Fijian Indian diaspora	/wiki/Fijian_Indian_diaspora	['1900', '1950']
Punjabi Americans	/wiki/Punjabi_Americans	['1900', '1950']
Tamil Americans	/wiki/Tamil_Americans	['1900', '1950']
Telugu Americans	/wiki/Telugu_Americans	['1900', '1950']
Maltese Americans	/wiki/Maltese_Americans	['1900', '1950']
Baloch Americans	/wiki/Baloch_Americans	['1900', '1950']
Pashtun Americans	/wiki/Pashtun_Americans	['1900', '1950']
Punjabi Americans	/wiki/Punjabi_Americans	['1900', '1950']
Sindhi Americans	/wiki/Sindhi_Americans	['1900', '1950']
South Asian Americans	/wiki/South_Asian_Americans	['1900', '1950']
Bangladeshi Americans	/wiki/Bangladeshi_Americans	['1900', '1950']
Bhutanese Americans	/wiki/Bhutanese_Americans	['1900', '1950']
Indian Americans	/wiki/Indian_Americans	['1900', '1950']
Fijian Indian diaspora	/wiki/Fijian_Indian_diaspora	['1900', '1950']
Nepalese Americans	/wiki/Nepalese_Americans	['1900', '1950']
Pakistani Americans	/wiki/Pakistani_Americans	['1900', '1950']
Sri Lankan Americans	/wiki/Sri_Lankan_Americans	['1900', '1950']
Trinidadian and Tobagonian American	/wiki/Trinidadian_and_Tobagonian_American	['1900', '1950']
Template:Americans	/wiki/Template:Americans	['1900', '1950']
Template talk:Americans	/wiki/Template_talk:Americans	['1900', '1950']
Elsie Allen	/wiki/Elsie_Allen	['1900', '1950']
Marcus Amerman	/wiki/Marcus_Amerman	['1900', '1950']
Annie Antone	/wiki/Annie_Antone	['1900', '1950']
Spencer Asah	/wiki/Spencer_Asah	['1900', '1950']
James Auchiah	/wiki/James_Auchiah	['1900', '1950']
Martha Berry	/wiki/Martha_Berry_(artist)	['1900', '1950']
Kelly Church	/wiki/Kelly_Church	['1900', '1950']
Amanda Crowe	/wiki/Amanda_Crowe	['1900', '1950']
Dennis Cusick	/wiki/Dennis_Cusick	['1900', '1950']
L. Frank	/wiki/L._Frank	['1900', '1950']
Juanita Growing Thunder Fogarty	/wiki/Juanita_Growing_Thunder_Fogarty	['1900', '1950']
Edmonia Lewis	/wiki/Edmonia_Lewis	['1900', '1950']
Litefoot	/wiki/Litefoot	['1900', '1950']
María Martínez	/wiki/Mar%C3%ADa_Mart%C3%ADnez	['1900', '1950']
Nampeyo	/wiki/Nampeyo	['1900', '1950']
Nora Naranjo-Morse	/wiki/Nora_Naranjo-Morse	['1900', '1950']
Jeri Redcorn	/wiki/Jeri_Redcorn	['1900', '1950']
Lawney Reyes	/wiki/Lawney_Reyes	['1900', '1950']
Carol Lee Sanchez	/wiki/Carol_Lee_Sanchez	['1900', '1950']
Gail Tremblay	/wiki/Gail_Tremblay	['1900', '1950']
Ahaya	/wiki/Ahaya	['1900', '1950']
Attakullakulla	/wiki/Attakullakulla	['1900', '1950']
Awashonks	/wiki/Awashonks	['1900', '1950']
Bill John Baker	/wiki/Bill_John_Baker	['1900', '1950']
Black Hawk	/wiki/Black_Hawk_(Sauk_leader)	['1900', '1950']
Black Kettle	/wiki/Black_Kettle	['1900', '1950']
Andrew Blackbird	/wiki/Andrew_Blackbird	['1900', '1950']
Kimberly M. Blaeser	/wiki/Kimberly_M._Blaeser	['1900', '1950']
Elias Boudinot	/wiki/Elias_Boudinot_(Cherokee)	['1900', '1950']
Billy Bowlegs	/wiki/Billy_Bowlegs	['1900', '1950']
Joseph Brant	/wiki/Joseph_Brant	['1900', '1950']
Dragging Canoe	/wiki/Dragging_Canoe	['1900', '1950']
Canonicus	/wiki/Canonicus	['1900', '1950']
Cochise	/wiki/Cochise	['1900', '1950']
Colorow	/wiki/Colorow_(Ute_chief)	['1900', '1950']
Cornplanter	/wiki/Cornplanter	['1900', '1950']
Crazy Horse	/wiki/Crazy_Horse	['1900', '1950']
Chief Gall	/wiki/Chief_Gall	['1900', '1950']
Logan Fontenelle	/wiki/Logan_Fontenelle	['1900', '1950']
Geronimo	/wiki/Geronimo	['1900', '1950']
Kintpuash	/wiki/Kintpuash	['1900', '1950']
Red Jacket	/wiki/Red_Jacket	['1900', '1950']
Overton James	/wiki/Overton_James	['1900', '1950']
Chief Joseph	/wiki/Chief_Joseph	['1900', '1950']
Juanillo	/wiki/Juanillo	['1900', '1950']
Betty Mae Tiger Jumper	/wiki/Betty_Mae_Tiger_Jumper	['1900', '1950']
Hiawatha	/wiki/Hiawatha	['1900', '1950']
John Horse	/wiki/John_Horse	['1900', '1950']
David Hill	/wiki/David_Hill_(Mohawk)	['1900', '1950']
Keokuk	/wiki/Keokuk_(Sauk_chief)	['1900', '1950']
Little Turkey	/wiki/Little_Turkey	['1900', '1950']
Little Turtle	/wiki/Little_Turtle	['1900', '1950']
Lone Wolf the Elder	/wiki/Lone_Wolf_the_Elder	['1900', '1950']
Lone Wolf the Younger	/wiki/Lone_Wolf_the_Younger	['1900', '1950']
Major Ridge	/wiki/Major_Ridge	['1900', '1950']
Mangas Coloradas	/wiki/Mangas_Coloradas	['1900', '1950']
Wilma Mankiller	/wiki/Wilma_Mankiller	['1900', '1950']
Manuelito	/wiki/Manuelito	['1900', '1950']
Massasoit	/wiki/Massasoit	['1900', '1950']
Alexander McGillivray	/wiki/Alexander_McGillivray	['1900', '1950']
William McIntosh	/wiki/William_McIntosh	['1900', '1950']
Peter McQueen	/wiki/Peter_McQueen	['1900', '1950']
Metacomet	/wiki/Metacomet	['1900', '1950']
Miantonomo	/wiki/Miantonomo	['1900', '1950']
