text	link	year
Harka Gurung	/wiki/Harka_Gurung	['1900', '1950']
Gautama V. Vajracharya	/wiki/Gautama_V._Vajracharya	['1900', '1950']
Basanta Regmi	/wiki/Basanta_Regmi	['1900', '1950']
Bikash Dali	/wiki/Bikash_Dali	['1900', '1950']
Dhirendra Chand	/wiki/Dhirendra_Chand	['1900', '1950']
Gyanendra Malla	/wiki/Gyanendra_Malla	['1900', '1950']
Jitendra Mukhiya	/wiki/Jitendra_Mukhiya	['1900', '1950']
Kanishka Chaugai	/wiki/Kanishka_Chaugai	['1900', '1950']
Mehboob Alam	/wiki/Mehboob_Alam	['1900', '1950']
Manoj Baishya	/wiki/Manoj_Baishya	['1900', '1950']
Manoj Katuwal	/wiki/Manoj_Katuwal	['1900', '1950']
Naresh Budhayer	/wiki/Naresh_Budhayer	['1900', '1950']
Paras Khadka	/wiki/Paras_Khadka	['1900', '1950']
Raj Pradhan	/wiki/Raj_Pradhan	['1900', '1950']
Raju Basnyat	/wiki/Raju_Basnyat	['1900', '1950']
Raju Khadka	/wiki/Raju_Khadka	['1900', '1950']
Rajesh Pulami	/wiki/Rajesh_Pulami	['1900', '1950']
Shakti Gauchan	/wiki/Shakti_Gauchan	['1900', '1950']
Sharad Vesawkar	/wiki/Sharad_Vesawkar	['1900', '1950']
Sompal Kami	/wiki/Sompal_Kami	['1900', '1950']
Sandeep Lamichhane	/wiki/Sandeep_Lamichhane	['1900', '1950']
Anil Gurung	/wiki/Anil_Gurung	['1900', '1950']
Anjan Bista	/wiki/Anjan_Bista	['1900', '1950']
Ananta Tamang	/wiki/Ananta_Tamang	['1900', '1950']
Bharat Khawas	/wiki/Bharat_Khawas	['1900', '1950']
Bimal Gharti Magar	/wiki/Bimal_Gharti_Magar	['1900', '1950']
Bikesh Kuthu	/wiki/Bikesh_Kuthu	['1900', '1950']
Bikram Lama	/wiki/Bikram_Lama	['1900', '1950']
Biraj Maharjan	/wiki/Biraj_Maharjan	['1900', '1950']
Jagjit Shrestha	/wiki/Jagjit_Shrestha	['1900', '1950']
Ju Manu Rai	/wiki/Ju_Manu_Rai	['1900', '1950']
Karna Limbu	/wiki/Karna_Limbu	['1900', '1950']
Nawayug Shrestha	/wiki/Nawayug_Shrestha	['1900', '1950']
Nirajan Rayamajhi	/wiki/Nirajan_Rayamajhi	['1900', '1950']
Rabin Shrestha	/wiki/Rabin_Shrestha	['1900', '1950']
Ranjan Bista	/wiki/Ranjan_Bista	['1900', '1950']
Rohit Chand	/wiki/Rohit_Chand	['1900', '1950']
Upendra Man Singh	/wiki/Upendra_Man_Singh	['1900', '1950']
Gaurika Singh	/wiki/Gaurika_Singh	['1900', '1950']
Karishma Karki	/wiki/Karishma_Karki	['1900', '1950']
Sofia Shah	/wiki/Sofia_Shah	['1900', '1950']
Sirish Gurung	/wiki/Sirish_Gurung	['1900', '1950']
Mohan Bam	/wiki/Mohan_Bam	['1900', '1950']
Deepak Bista	/wiki/Deepak_Bista	['1900', '1950']
Shyam Dhakal	/wiki/Shyam_Dhakal	['1900', '1950']
Sipora Gurung	/wiki/Sipora_Gurung	['1900', '1950']
Jayaram Khadka	/wiki/Jayaram_Khadka	['1900', '1950']
Mandil Pradhan	/wiki/Mandil_Pradhan	['1900', '1950']
Manikala Rai	/wiki/Manikala_Rai	['1900', '1950']
Dachhiri Sherpa	/wiki/Dachhiri_Sherpa	['1900', '1950']
Bimala Tamang	/wiki/Bimala_Tamang	['1900', '1950']
Devu Thapa	/wiki/Devu_Thapa	['1900', '1950']
Mira Rai	/wiki/Mira_Rai	['1900', '1950']
Dayaram Dahal	/wiki/Dayaram_Dahal	['1900', '1950']
Hari Bansha Acharya	/wiki/Hari_Bansha_Acharya	['1900', '1950']
Subash Gajurel	/wiki/Subash_Gajurel	['1900', '1950']
Tulsi Ghimire	/wiki/Tulsi_Ghimire	['1900', '1950']
Manisha Koirala	/wiki/Manisha_Koirala	['1900', '1950']
Nischal Basnet	/wiki/Nischal_Basnet	['1900', '1950']
Priyanka Karki	/wiki/Priyanka_Karki	['1900', '1950']
Saugat Malla	/wiki/Saugat_Malla	['1900', '1950']
Rekha Thapa	/wiki/Rekha_Thapa	['1900', '1950']
Deepa Shree Niraula	/wiki/Deepa_Shree_Niraula	['1900', '1950']
Atul Gautam	/wiki/Atul_Gautam	['1900', '1950']
Prabal Gurung	/wiki/Prabal_Gurung	['1900', '1950']
Teriya Magar	/wiki/Teriya_Magar	['1900', '1950']
Binod Chaudhary	/wiki/Binod_Chaudhary	['1900', '1950']
Pushpa Basnet	/wiki/Pushpa_Basnet	['1900', '1950']
Anil Chitrakar	/wiki/Anil_Chitrakar	['1900', '1950']
Sunita Danuwar	/wiki/Sunita_Danuwar	['1900', '1950']
Durga Ghimire	/wiki/Durga_Ghimire	['1900', '1950']
Jagadish Ghimire	/wiki/Jagadish_Ghimire	['1900', '1950']
Angur Baba Joshi	/wiki/Angur_Baba_Joshi	['1900', '1950']
Daya Bir Singh Kansakar	/wiki/Daya_Bir_Singh_Kansakar	['1900', '1950']
Anuradha Koirala	/wiki/Anuradha_Koirala	['1900', '1950']
Harsha Bahadur Budha Magar	/wiki/Harsha_Bahadur_Budha_Magar	['1900', '1950']
Sarina Prabasi	/wiki/Sarina_Prabasi	['1900', '1950']
Mahabir Pun	/wiki/Mahabir_Pun	['1900', '1950']
Indira Ranamagar	/wiki/Indira_Ranamagar	['1900', '1950']
Himani Shah	/wiki/Himani_Shah	['1900', '1950']
Tara Devi Tuladhar	/wiki/Tara_Devi_Tuladhar	['1900', '1950']
Babu Chiri Sherpa	/wiki/Babu_Chiri_Sherpa	['1900', '1950']
Tenzing Norgay	/wiki/Tenzing_Norgay	['1900', '1950']
Jamling Tenzing Norgay	/wiki/Jamling_Tenzing_Norgay	['1900', '1950']
Ang Rita	/wiki/Ang_Rita	['1900', '1950']
Apa Sherpa	/wiki/Apa_Sherpa	['1900', '1950']
Moni Mulepati	/wiki/Moni_Mulepati	['1900', '1950']
Nawang Sherpa	/wiki/Nawang_Sherpa	['1900', '1950']
