text	link	year
New Zealand blogosphere	/wiki/New_Zealand_blogosphere	['1900', '1950']
New Zealand Olympic medallists	/wiki/New_Zealand_Olympic_medallists	['1900', '1950']
New Zealand Listener Power List	/wiki/New_Zealand_Listener_Power_List	['1900', '1950']
New Zealand's Top 100 History Makers	/wiki/New_Zealand%27s_Top_100_History_Makers	['1900', '1950']
Template:New Zealand topics	/wiki/Template:New_Zealand_topics	['1900', '1950']
Template talk:New Zealand topics	/wiki/Template_talk:New_Zealand_topics	['1900', '1950']
Māori history	/wiki/M%C4%81ori_history	['1900', '1950']
New Zealand Wars	/wiki/New_Zealand_Wars	['1900', '1950']
North Island	/wiki/North_Island	['1900', '1950']
South Island	/wiki/South_Island	['1900', '1950']
Auckland	/wiki/Auckland	['1900', '1950']
Christchurch	/wiki/Christchurch	['1900', '1950']
Dunedin	/wiki/Dunedin	['1900', '1950']
Hamilton, New Zealand	/wiki/Hamilton,_New_Zealand	['1900', '1950']
Hastings, New Zealand	/wiki/Hastings,_New_Zealand	['1900', '1950']
Invercargill	/wiki/Invercargill	['1900', '1950']
Napier, New Zealand	/wiki/Napier,_New_Zealand	['1900', '1950']
Nelson, New Zealand	/wiki/Nelson,_New_Zealand	['1900', '1950']
New Plymouth	/wiki/New_Plymouth	['1900', '1950']
Palmerston North	/wiki/Palmerston_North	['1900', '1950']
Rotorua	/wiki/Rotorua	['1900', '1950']
Tauranga	/wiki/Tauranga	['1900', '1950']
Wellington	/wiki/Wellington	['1900', '1950']
Whangarei	/wiki/Whangarei	['1900', '1950']
New Zealand Defence Force	/wiki/New_Zealand_Defence_Force	['1900', '1950']
New Zealand Parliament	/wiki/New_Zealand_Parliament	['1900', '1950']
New Zealand wine	/wiki/New_Zealand_wine	['1900', '1950']
New Zealand dollar	/wiki/New_Zealand_dollar	['1900', '1950']
Rogernomics	/wiki/Rogernomics	['1900', '1950']
New Zealand nationality law	/wiki/New_Zealand_nationality_law	['1900', '1950']
Immigration to New Zealand	/wiki/Immigration_to_New_Zealand	['1900', '1950']
Māori language	/wiki/M%C4%81ori_language	['1900', '1950']
New Zealand English	/wiki/New_Zealand_English	['1900', '1950']
New Zealand Sign Language	/wiki/New_Zealand_Sign_Language	['1900', '1950']
Kiwi	/wiki/Kiwi_(people)	['1900', '1950']
Māori people	/wiki/M%C4%81ori_people	['1900', '1950']
New Zealand art	/wiki/New_Zealand_art	['1900', '1950']
New Zealand cuisine	/wiki/New_Zealand_cuisine	['1900', '1950']
New Zealand literature	/wiki/New_Zealand_literature	['1900', '1950']
Māori culture	/wiki/M%C4%81ori_culture	['1900', '1950']
Book:New Zealand	/wiki/Book:New_Zealand	['1900', '1950']
Hector Memorial Medal	/wiki/Hector_Memorial_Medal	['1900', '1950']
Rutherford Medal	/wiki/Rutherford_Medal_(Royal_Society_of_New_Zealand)	['1900', '1950']
