text	link	year
Omar D'Leon	/wiki/Omar_D%27Leon	['1900', '1950']
Franck de Las Mercedes	/wiki/Franck_de_Las_Mercedes	['1900', '1950']
Armando Morales	/wiki/Armando_Morales	['1927', '2011']
Hugo Palma-Ibarra	/wiki/Hugo_Palma-Ibarra	['1900', '1950']
Róger Pérez de la Rocha	/wiki/R%C3%B3ger_P%C3%A9rez_de_la_Rocha	['1900', '1950']
Harry Brautigam	/wiki/Harry_Brautigam	['1948', '2008']
José Francisco Cardenal	/wiki/Jos%C3%A9_Francisco_Cardenal	['1900', '1950']
Michael Cordúa	/wiki/Michael_Cord%C3%BAa	['1900', '1950']
Carlos Reynaldo Lacayo	/wiki/Carlos_Reynaldo_Lacayo	['1900', '1950']
Alejandro Lacayo	/wiki/Alejandro_Lacayo	['1900', '1950']
Carlos Pellas Chamorro	/wiki/Carlos_Pellas_Chamorro	['1900', '1950']
Alfonso Robelo	/wiki/Alfonso_Robelo	['1900', '1950']
Elena Arellano Chamorro	/wiki/Elena_Arellano_Chamorro	['1836', '1911']
Josefa Toledo de Aguerri	/wiki/Josefa_Toledo_de_Aguerri	['1866', '1962']
Xiomara Blandino	/wiki/Xiomara_Blandino	['1900', '1950']
Nastassja Bolivar	/wiki/Nastassja_Bolivar	['1900', '1950']
Iva Grijalva Pashova	/wiki/Iva_Grijalva_Pashova	['1900', '1950']
Thelma Rodríguez	/wiki/Thelma_Rodr%C3%ADguez	['1900', '1950']
Lila T. Abaunza	/wiki/Lila_T._Abaunza	['1929', '2008']
Fernando Agüero	/wiki/Fernando_Ag%C3%BCero	['1900', '1950']
Arnoldo Alemán	/wiki/Arnoldo_Alem%C3%A1n	['1900', '1950']
Leonardo Arguello Barreto	/wiki/Leonardo_Arguello_Barreto	['1895', '1947']
Miguel d'Escoto Brockmann	/wiki/Miguel_d%27Escoto_Brockmann	['1979', '1990']
Juan Bautista Sacasa	/wiki/Juan_Bautista_Sacasa	['1874', '1946']
United States Congress	/wiki/United_States_Congress	['1900', '1950']
Enrique Bolaños	/wiki/Enrique_Bola%C3%B1os	['1900', '1950']
Róger Calero	/wiki/R%C3%B3ger_Calero	['1900', '1950']
Adolfo Calero	/wiki/Adolfo_Calero	['1900', '1950']
Emiliano Chamorro	/wiki/Emiliano_Chamorro	['1871', '1966']
Fruto Chamorro	/wiki/Fruto_Chamorro	['1804', '1855']
Manuel Coronel Kautz	/wiki/Manuel_Coronel_Kautz	['1900', '1950']
Arturo Cruz	/wiki/Arturo_Cruz	['1900', '1950']
Pedro Joaquín Chamorro Alfaro	/wiki/Pedro_Joaqu%C3%ADn_Chamorro_Alfaro	['1875', '1879']
Violeta Chamorro	/wiki/Violeta_Chamorro	['1900', '1950']
Adolfo Díaz	/wiki/Adolfo_D%C3%ADaz	['1875', '1964']
George William Albert Hendy	/wiki/George_William_Albert_Hendy	['1879', '1888']
Edmundo Jarquín	/wiki/Edmundo_Jarqu%C3%ADn	['1900', '1950']
Máximo Jerez	/wiki/M%C3%A1ximo_Jerez	['1818', '1881']
Herty Lewites	/wiki/Herty_Lewites	['1939', '2006']
Angel Bravo Lorio	/wiki/Angel_Bravo_Lorio	['1900', '1950']
Eduardo Montealegre	/wiki/Eduardo_Montealegre	['1900', '1950']
Oldman	/wiki/Oldman_(king)	['1900', '1950']
Daniel Ortega	/wiki/Daniel_Ortega	['1900', '1950']
Edén Pastora	/wiki/Ed%C3%A9n_Pastora	['1900', '1950']
Mariano Prado	/wiki/Mariano_Prado	['1776', '1837']
Sergio Ramírez	/wiki/Sergio_Ram%C3%ADrez	['1900', '1950']
Jorge Salazar Argüello	/wiki/Jorge_Salazar_Arg%C3%BCello	['1939', '1980']
José Santos Zelaya	/wiki/Jos%C3%A9_Santos_Zelaya	['1853', '1919']
