text	link	year
Sani Abacha	/wiki/Sani_Abacha	['1900', '1950']
Moshood Abiola	/wiki/Moshood_Abiola	['1900', '1950']
Abdulsalami Abubakar	/wiki/Abdulsalami_Abubakar	['1900', '1950']
Rotimi Amaechi	/wiki/Rotimi_Amaechi	['1900', '1950']
Atiku Abubakar	/wiki/Atiku_Abubakar	['1900', '1950']
Franca Afegbua	/wiki/Franca_Afegbua	['1900', '1950']
Abdulkadir Kure	/wiki/Abdulkadir_Kure	['1900', '1950']
Johnson Aguiyi-Ironsi	/wiki/Johnson_Aguiyi-Ironsi	['1900', '1950']
Adebayo Alao Akala	/wiki/Adebayo_Alao_Akala	['1900', '1950']
Samuel Akintola	/wiki/Samuel_Akintola	['1900', '1950']
Abubakar Olusola Saraki	/wiki/Abubakar_Olusola_Saraki	['1900', '1950']
Dora Akunyili	/wiki/Dora_Akunyili	['1900', '1950']
Akinwunmi Ambode	/wiki/Akinwunmi_Ambode	['1900', '1950']
Anyim Pius Anyim	/wiki/Anyim_Pius_Anyim	['1900', '1950']
Dave Umahi	/wiki/Dave_Umahi	['1900', '1950']
Iyorchia Ayu	/wiki/Iyorchia_Ayu	['1900', '1950']
Victor Ngumah	/wiki/Victor_Ngumah	['1900', '1950']
Obafemi Awolowo	/wiki/Obafemi_Awolowo	['1900', '1950']
Nnamdi Azikiwe	/wiki/Nnamdi_Azikiwe	['1900', '1950']
Remi Babalola	/wiki/Remi_Babalola	['1900', '1950']
Ibrahim Babangida	/wiki/Ibrahim_Babangida	['1900', '1950']
Abubakar Tafawa Balewa	/wiki/Abubakar_Tafawa_Balewa	['1900', '1950']
Dimeji Bankole	/wiki/Dimeji_Bankole	['1900', '1950']
Ahmadu Bello	/wiki/Ahmadu_Bello	['1900', '1950']
Muhammadu Buhari	/wiki/Muhammadu_Buhari	['1900', '1950']
Sullivan Chime	/wiki/Sullivan_Chime	['1900', '1950']
Gbenga Daniel	/wiki/Gbenga_Daniel	['1900', '1950']
Oladipo Diya	/wiki/Oladipo_Diya	['1900', '1950']
Philip Effiong	/wiki/Philip_Effiong	['1900', '1950']
Margaret Ekpo	/wiki/Margaret_Ekpo	['1900', '1950']
Ike Ekweremadu	/wiki/Ike_Ekweremadu	['1900', '1950']
Alex Ekwueme	/wiki/Alex_Ekwueme	['1900', '1950']
Joy Emodi	/wiki/Joy_Emodi	['1900', '1950']
Okechukwu Enelamah	/wiki/Okechukwu_Enelamah	['1900', '1950']
Evan Enwerem	/wiki/Evan_Enwerem	['1900', '1950']
Patricia Etteh	/wiki/Patricia_Etteh	['1900', '1950']
Babatunde Raji Fashola	/wiki/Babatunde_Raji_Fashola	['1900', '1950']
Kayode Fayemi	/wiki/Kayode_Fayemi	['1900', '1950']
Ayo Fayose	/wiki/Ayo_Fayose	['1900', '1950']
Florence Ita Giwa	/wiki/Florence_Ita_Giwa	['1900', '1950']
Yakubu Gowon	/wiki/Yakubu_Gowon	['1900', '1950']
Akanu Ibiam	/wiki/Akanu_Ibiam	['1900', '1950']
Tunde Idiagbon	/wiki/Tunde_Idiagbon	['1900', '1950']
Alvan Ikoku	/wiki/Alvan_Ikoku	['1900', '1950']
Goodluck Jonathan	/wiki/Goodluck_Jonathan	['1900', '1950']
Fela Kuti	/wiki/Fela_Kuti	['1900', '1950']
Herbert Macaulay	/wiki/Herbert_Macaulay	['1900', '1950']
David Mark	/wiki/David_Mark	['1900', '1950']
K.O. Mbadiwe	/wiki/K.O._Mbadiwe	['1900', '1950']
Naja'atu Bala Muhammad	/wiki/Naja%27atu_Bala_Muhammad	['1900', '1950']
Murtala Mohammed	/wiki/Murtala_Mohammed	['1900', '1950']
Isa Mohammed Bagudu	/wiki/Isa_Mohammed_Bagudu	['1900', '1950']
Ghali Umar Na'Abba	/wiki/Ghali_Umar_Na%27Abba	['1900', '1950']
Mohammed Mustapha Namadi	/wiki/Mohammed_Mustapha_Namadi	['1900', '1950']
Chimaroke Nnamani	/wiki/Chimaroke_Nnamani	['1900', '1950']
Ken Nnamani	/wiki/Ken_Nnamani	['1900', '1950']
Olusegun Obasanjo	/wiki/Olusegun_Obasanjo	['1900', '1950']
Godwin Obaseki	/wiki/Godwin_Obaseki	['1900', '1950']
Chike Obi	/wiki/Chike_Obi	['1900', '1950']
Peter Obi	/wiki/Peter_Obi	['1900', '1950']
Peter Odili	/wiki/Peter_Odili	['1900', '1950']
