text	link	year
Hama Amadou	/wiki/Hama_Amadou	['1900', '1950']
Kalla Ankourao	/wiki/Kalla_Ankourao	['1900', '1950']
Djibo Bakary	/wiki/Djibo_Bakary	['1900', '1950']
Hamani Diori	/wiki/Hamani_Diori	['1900', '1950']
Mahamadou Issoufou	/wiki/Mahamadou_Issoufou	['1900', '1950']
Ibrahim Baré Maïnassara	/wiki/Ibrahim_Bar%C3%A9_Ma%C3%AFnassara	['1900', '1950']
Mamadou Tandja	/wiki/Mamadou_Tandja	['1900', '1950']
Hadizatou Mani	/wiki/Hadizatou_Mani	['1900', '1950']
Ibrahim Hassane Mayaki	/wiki/Ibrahim_Hassane_Mayaki	['1900', '1950']
Mamane Oumarou	/wiki/Mamane_Oumarou	['1900', '1950']
Mahamane Ousmane	/wiki/Mahamane_Ousmane	['1900', '1950']
Ali Saibou	/wiki/Ali_Saibou	['1900', '1950']
André Salifou	/wiki/Andr%C3%A9_Salifou	['1900', '1950']
Ilguilas Weila	/wiki/Ilguilas_Weila	['1900', '1950']
Seyni Oumarou	/wiki/Seyni_Oumarou	['1900', '1950']
Ousmane Issoufou Oubandawaki	/wiki/Ousmane_Issoufou_Oubandawaki	['1900', '1950']
Nnimmo Bassey	/wiki/Nnimmo_Bassey	['1900', '1950']
Rhissa Ag Boula	/wiki/Rhissa_Ag_Boula	['1900', '1950']
Seyni Kountché	/wiki/Seyni_Kountch%C3%A9	['1900', '1950']
Ali Saibou	/wiki/Ali_Saibou	['1900', '1950']
Daouda Malam Wanké	/wiki/Daouda_Malam_Wank%C3%A9	['1900', '1950']
Sarraounia	/wiki/Sarraounia	['1900', '1950']
Ambroise Ouédraogo	/wiki/Ambroise_Ou%C3%A9draogo	['1900', '1950']
