text	link	year
Pakistan Movement	/wiki/Pakistan_Movement	['1900', '1950']
Urdu	/wiki/Urdu	['1900', '1950']
Muhammad Ali Jinnah	/wiki/Muhammad_Ali_Jinnah	['1900', '1950']
Liaquat Ali Khan	/wiki/Liaquat_Ali_Khan	['1900', '1950']
Khawaja Nazimuddin	/wiki/Khawaja_Nazimuddin	['1900', '1950']
Malik Ghulam Muhammad	/wiki/Malik_Ghulam_Muhammad	['1900', '1950']
Iskander Mirza	/wiki/Iskander_Mirza	['1900', '1950']
Chaudhury Mohammad Ali	/wiki/Chaudhury_Mohammad_Ali	['1900', '1950']
Fazal Ilahi Chaudhry	/wiki/Fazal_Ilahi_Chaudhry	['1900', '1950']
Muhammad Rafiq Tarar	/wiki/Muhammad_Rafiq_Tarar	['1900', '1950']
Hussein Shaheed Suhrawardy	/wiki/Hussein_Shaheed_Suhrawardy	['1900', '1950']
Muhammad Ali Bogra	/wiki/Muhammad_Ali_Bogra	['1900', '1950']
Ibrahim Ismail Chundrigar	/wiki/Ibrahim_Ismail_Chundrigar	['1900', '1950']
Feroz Khan Noon	/wiki/Feroz_Khan_Noon	['1900', '1950']
Zulfikar Ali Bhutto	/wiki/Zulfikar_Ali_Bhutto	['1900', '1950']
Muhammad Khan Junejo	/wiki/Muhammad_Khan_Junejo	['1900', '1950']
Ghulam Ishaq Khan	/wiki/Ghulam_Ishaq_Khan	['1900', '1950']
Benazir Bhutto	/wiki/Benazir_Bhutto	['1900', '1950']
Farooq Leghari	/wiki/Farooq_Leghari	['1900', '1950']
Ghulam Mustafa Jatoi	/wiki/Ghulam_Mustafa_Jatoi	['1900', '1950']
Balakh Sher Mazari	/wiki/Balakh_Sher_Mazari	['1900', '1950']
Moeen Qureshi	/wiki/Moeen_Qureshi	['1900', '1950']
Malik Meraj Khalid	/wiki/Malik_Meraj_Khalid	['1900', '1950']
Zafarullah Khan Jamali	/wiki/Zafarullah_Khan_Jamali	['1900', '1950']
Chaudhry Shujaat Hussain	/wiki/Chaudhry_Shujaat_Hussain	['1900', '1950']
Shaukat Aziz	/wiki/Shaukat_Aziz	['1900', '1950']
Wasim Sajjad	/wiki/Wasim_Sajjad	['1900', '1950']
Mohammad Mian Soomro	/wiki/Mohammad_Mian_Soomro	['1900', '1950']
Asif Ali Zardari	/wiki/Asif_Ali_Zardari	['1900', '1950']
Yousaf Raza Gillani	/wiki/Yousaf_Raza_Gillani	['1900', '1950']
Raja Pervez Ashraf	/wiki/Raja_Pervez_Ashraf	['1900', '1950']
Nawaz Sharif	/wiki/Nawaz_Sharif	['1900', '1950']
Mamnoon Hussain	/wiki/Mamnoon_Hussain	['1900', '1950']
Shahid Khaqan Abbasi	/wiki/Shahid_Khaqan_Abbasi	['1900', '1950']
Imran Khan	/wiki/Imran_Khan	['1900', '1950']
Field Marshal Ayub Khan	/wiki/Field_Marshal_Ayub_Khan	['1900', '1950']
Yahya Khan	/wiki/Yahya_Khan	['1900', '1950']
Muhammad Zia-ul-Haq	/wiki/Muhammad_Zia-ul-Haq	['1900', '1950']
General Pervez Musharraf	/wiki/General_Pervez_Musharraf	['1900', '1950']
Muhammad Zafarullah Khan	/wiki/Muhammad_Zafarullah_Khan	['1900', '1950']
Aziz Ahmed	/wiki/Aziz_Ahmed	['1900', '1950']
Agha Shahi	/wiki/Agha_Shahi	['1900', '1950']
Sahabzada Yaqub Khan	/wiki/Sahabzada_Yaqub_Khan	['1900', '1950']
Abdul Sattar	/wiki/Abdul_Sattar_(diplomat)	['1900', '1950']
Sardar Asif Ahmad Ali	/wiki/Sardar_Asif_Ahmad_Ali	['1900', '1950']
Sahabzada Yaqub Khan	/wiki/Sahabzada_Yaqub_Khan	['1900', '1950']
Gohar Ayub	/wiki/Gohar_Ayub	['1900', '1950']
Sartaj Aziz	/wiki/Sartaj_Aziz	['1900', '1950']
Abdul Sattar	/wiki/Abdul_Sattar_(diplomat)	['1900', '1950']
Khurshid Mahmud Kasuri	/wiki/Khurshid_Mahmud_Kasuri	['1900', '1950']
Inam-ul-Haq	/wiki/Inam-ul-Haq_(diplomat)	['1900', '1950']
Shah Mehmood Qureshi	/wiki/Shah_Mehmood_Qureshi	['1900', '1950']
Hina Rabbani Khar	/wiki/Hina_Rabbani_Khar	['1900', '1950']
Shah Mehmood Qureshi	/wiki/Shah_Mehmood_Qureshi	['1900', '1950']
Roedad Khan	/wiki/Roedad_Khan	['1900', '1950']
Sartaj Aziz	/wiki/Sartaj_Aziz	['1900', '1950']
Nargis Sethi	/wiki/Nargis_Sethi	['1900', '1950']
Tariq Bajwa	/wiki/Tariq_Bajwa	['1900', '1950']
Fazalur Rehman	/wiki/Fazalur_Rehman_(bureaucrat)	['1900', '1950']
Mohammed Ikramullah	/wiki/Mohammed_Ikramullah	['1900', '1950']
Rizwan Ahmed	/wiki/Rizwan_Ahmed_(bureaucrat)	['1900', '1950']
Tasneem Noorani	/wiki/Tasneem_Noorani	['1900', '1950']
Usman Ali Isani	/wiki/Usman_Ali_Isani	['1900', '1950']
Qudrat Ullah Shahab	/wiki/Qudrat_Ullah_Shahab	['1900', '1950']
Syed Abu Ahmad Akif	/wiki/Syed_Abu_Ahmad_Akif	['1900', '1950']
Jawad Rafique Malik	/wiki/Jawad_Rafique_Malik	['1900', '1950']
Sikandar Sultan Raja	/wiki/Sikandar_Sultan_Raja	['1900', '1950']
Nasir Mahmood Khosa	/wiki/Nasir_Mahmood_Khosa	['1900', '1950']
Rabiya Javeri Agha	/wiki/Rabiya_Javeri_Agha	['1900', '1950']
Fawad Hassan Fawad	/wiki/Fawad_Hassan_Fawad	['1900', '1950']
A. S. Bokhari	/wiki/A._S._Bokhari	['1900', '1950']
Agha Shahi	/wiki/Agha_Shahi	['1900', '1950']
Jamsheed Marker	/wiki/Jamsheed_Marker	['1900', '1950']
Jauhar Saleem	/wiki/Jauhar_Saleem	['1900', '1950']
Javid Husain	/wiki/Javid_Husain	['1900', '1950']
Maliha Lodhi	/wiki/Maliha_Lodhi	['1900', '1950']
Prince Ali Khan	/wiki/Prince_Ali_Khan	['1900', '1950']
Khalid Amir Khan	/wiki/Khalid_Amir_Khan	['1900', '1950']
Riaz Khokhar	/wiki/Riaz_Khokhar	['1900', '1950']
Najmuddin Sheikh	/wiki/Najmuddin_Sheikh	['1900', '1950']
Tehmina Janjua	/wiki/Tehmina_Janjua	['1900', '1950']
Makhdoom Ali Khan	/wiki/Makhdoom_Ali_Khan	['1900', '1950']
Latif Khosa	/wiki/Latif_Khosa	['1900', '1950']
Ashtar Ausaf Ali	/wiki/Ashtar_Ausaf_Ali	['1900', '1950']
Fatima Jinnah	/wiki/Fatima_Jinnah	['1900', '1950']
Chaudhry Rehmat Ali	/wiki/Chaudhry_Rehmat_Ali	['1900', '1950']
Ghulam Ahmed Pervez	/wiki/Ghulam_Ahmed_Pervez	['1900', '1950']
Allama Mashriqi	/wiki/Allama_Mashriqi	['1900', '1950']
Abul A'la Maududi	/wiki/Abul_A%27la_Maududi	['1900', '1950']
Anwar Kamal Khan	/wiki/Anwar_Kamal_Khan	['1900', '1950']
Syed Ata Ullah Shah Bukhari	/wiki/Syed_Ata_Ullah_Shah_Bukhari	['1900', '1950']
Mahmud Ali	/wiki/Mahmud_Ali_(statesman)	['1900', '1950']
Sikandar Hayat Khan	/wiki/Sikandar_Hayat_Khan_(Punjabi_politician)	['1900', '1950']
Shaukat Hayat Khan	/wiki/Shaukat_Hayat_Khan	['1900', '1950']
Amin ul-Hasanat	/wiki/Amin_ul-Hasanat	['1900', '1950']
Chaudhry Afzal Haq	/wiki/Chaudhry_Afzal_Haq	['1900', '1950']
Sardar Abdur Rab Nishtar	/wiki/Sardar_Abdur_Rab_Nishtar	['1900', '1950']
Bahadur Yar Jung	/wiki/Bahadur_Yar_Jung	['1900', '1950']
Master Taj-ud-Din Ansari	/wiki/Master_Taj-ud-Din_Ansari	['1900', '1950']
Sheikh Hissam-ud-Din	/wiki/Sheikh_Hissam-ud-Din	['1900', '1950']
Chaudhry Khaliquzzaman	/wiki/Chaudhry_Khaliquzzaman	['1900', '1950']
Agha Shorish Kashmiri	/wiki/Agha_Shorish_Kashmiri	['1900', '1950']
Khan Abdul Ghaffar Khan	/wiki/Khan_Abdul_Ghaffar_Khan	['1900', '1950']
Maulana Mohammad Ali	/wiki/Maulana_Mohammad_Ali	['1900', '1950']
Mushtaq Ahmad Gurmani	/wiki/Mushtaq_Ahmad_Gurmani	['1900', '1950']
Nawabzada Nasrullah Khan	/wiki/Nawabzada_Nasrullah_Khan	['1900', '1950']
Chaudhry Zahoor Elahi	/wiki/Chaudhry_Zahoor_Elahi	['1900', '1950']
Shahzada Mohiuddin	/wiki/Shahzada_Mohiuddin	['1900', '1950']
Ghulam Faruque Khan	/wiki/Ghulam_Faruque_Khan	['1900', '1950']
Qazi Hussain Ahmed	/wiki/Qazi_Hussain_Ahmed	['1900', '1950']
Imran Khan	/wiki/Imran_Khan	['1900', '1950']
A. R. Cornelius	/wiki/A._R._Cornelius	['1900', '1950']
Abdul Hameed Dogar	/wiki/Abdul_Hameed_Dogar	['1900', '1950']
Abdul Rashid	/wiki/Abdul_Rashid_(Chief_Justice)	['1900', '1950']
S. Anwarul Haq	/wiki/S._Anwarul_Haq	['1900', '1950']
Dorab Patel	/wiki/Dorab_Patel	['1900', '1950']
Fakhruddin G. Ebrahim	/wiki/Fakhruddin_G._Ebrahim	['1900', '1950']
Hamoodur Rahman	/wiki/Hamoodur_Rahman	['1900', '1950']
Ajmal Mian	/wiki/Ajmal_Mian	['1900', '1950']
Saeeduzzaman Siddiqui	/wiki/Saeeduzzaman_Siddiqui	['1900', '1950']
Iftikhar Muhammad Chaudhry	/wiki/Iftikhar_Muhammad_Chaudhry	['1900', '1950']
Mohammad Haleem	/wiki/Mohammad_Haleem	['1900', '1950']
Muhammad Afzal Zullah	/wiki/Muhammad_Afzal_Zullah	['1900', '1950']
Muhammad Munir	/wiki/Muhammad_Munir	['1900', '1950']
Muhammad Rustum Kiani	/wiki/Muhammad_Rustum_Kiani	['1900', '1950']
Muhammad Shahabuddin	/wiki/Muhammad_Shahabuddin	['1900', '1950']
Muhammad Yaqub Ali	/wiki/Muhammad_Yaqub_Ali	['1900', '1950']
Nasim Hasan Shah	/wiki/Nasim_Hasan_Shah	['1900', '1950']
Qadeeruddin Ahmed	/wiki/Qadeeruddin_Ahmed	['1900', '1950']
Rana Bhagwandas	/wiki/Rana_Bhagwandas	['1900', '1950']
Sajjad Ali Shah	/wiki/Sajjad_Ali_Shah	['1900', '1950']
Mukhtiar Ahmad Junejo	/wiki/Mukhtiar_Ahmad_Junejo	['1900', '1950']
Chaudhry Muhammad Sharif	/wiki/Chaudhry_Muhammad_Sharif	['1900', '1950']
Wajihuddin Ahmed	/wiki/Wajihuddin_Ahmed	['1900', '1950']
Haziqul Khairi	/wiki/Haziqul_Khairi	['1900', '1950']
Zafar Hussain Mirza	/wiki/Zafar_Hussain_Mirza	['1900', '1950']
Saqib Nisar	/wiki/Saqib_Nisar	['1900', '1950']
Asif Saeed Khosa	/wiki/Asif_Saeed_Khosa	['1900', '1950']
Imtiaz Rashid Qureshi	/wiki/Imtiaz_Rashid_Qureshi	['1900', '1950']
Hamid Khan	/wiki/Hamid_Khan_(lawyer)	['1900', '1950']
Asma Jahangir	/wiki/Asma_Jahangir	['1900', '1950']
Aitzaz Ahsan	/wiki/Aitzaz_Ahsan	['1900', '1950']
Abdul Hafeez Pirzada	/wiki/Abdul_Hafeez_Pirzada	['1900', '1950']
Mahmud Ali Kasuri	/wiki/Mahmud_Ali_Kasuri	['1900', '1950']
Wasim Sajjad	/wiki/Wasim_Sajjad	['1900', '1950']
Ghulam Farooq Awan	/wiki/Ghulam_Farooq_Awan	['1900', '1950']
Mirza Aziz Akbar Baig	/wiki/Mirza_Aziz_Akbar_Baig	['1900', '1950']
Syed Sharifuddin Pirzada	/wiki/Syed_Sharifuddin_Pirzada	['1900', '1950']
Sahibzada Ahmed Raza Khan Kasuri	/wiki/Sahibzada_Ahmed_Raza_Khan_Kasuri	['1900', '1950']
Akram Sheikh	/wiki/Akram_Sheikh	['1900', '1950']
Babar Awan	/wiki/Babar_Awan	['1900', '1950']
Rana Muhammad Akram Khan	/wiki/Rana_Muhammad_Akram_Khan	['1900', '1950']
Makhdoom Ali Khan	/wiki/Makhdoom_Ali_Khan	['1900', '1950']
Khalid Anwer	/wiki/Khalid_Anwer	['1900', '1950']
Jibran Nasir	/wiki/Jibran_Nasir	['1900', '1950']
Abid Hassan Minto	/wiki/Abid_Hassan_Minto	['1900', '1950']
Shakeel ur Rahman	/wiki/Shakeel_ur_Rahman	['1900', '1950']
Farooq Naek	/wiki/Farooq_Naek	['1900', '1950']
Asma Jahangir	/wiki/Asma_Jahangir	['1900', '1950']
