text	link	year
Palestine	/wiki/Palestine_(region)	['1900', '1950']
Arab Higher Committee	/wiki/Arab_Higher_Committee	['1900', '1950']
All-Palestine Protectorate	/wiki/All-Palestine_Protectorate	['1900', '1950']
All-Palestine Government	/wiki/All-Palestine_Government	['1900', '1950']
Palestine Liberation Organization	/wiki/Palestine_Liberation_Organization	['1900', '1950']
Fatah	/wiki/Fatah	['1900', '1950']
Hamas	/wiki/Hamas	['1900', '1950']
West Bank	/wiki/West_Bank	['1900', '1950']
Gaza Strip	/wiki/Gaza_Strip	['1900', '1950']
East Jerusalem	/wiki/East_Jerusalem	['1900', '1950']
Al-Aqsa Mosque	/wiki/Al-Aqsa_Mosque	['1900', '1950']
Joseph's Tomb	/wiki/Joseph%27s_Tomb	['1900', '1950']
Bani Na'im	/wiki/Bani_Na%27im#Tomb_of_Lot	['1900', '1950']
Nabi Samwil	/wiki/Nabi_Samwil	['1900', '1950']
Rachel's Tomb	/wiki/Rachel%27s_Tomb	['1900', '1950']
Dabke	/wiki/Dabke	['1900', '1950']
Shechem	/wiki/Shechem	['1900', '1950']
