text	link	year
Alfredo Sinclair	/wiki/Alfredo_Sinclair	['1900', '1950']
Alicia Viteri	/wiki/Alicia_Viteri	['1900', '1950']
Antonio Jose Guzman	/wiki/Antonio_Jose_Guzman	['1900', '1950']
Carlos Francisco Chang Marín	/wiki/Carlos_Francisco_Chang_Mar%C3%ADn	['1900', '1950']
Chafil Cheucarama	/wiki/Chafil_Cheucarama	['1900', '1950']
José Luis Rodríguez Pittí	/wiki/Jos%C3%A9_Luis_Rodr%C3%ADguez_Pitt%C3%AD	['1900', '1950']
Olga Sinclair	/wiki/Olga_Sinclair	['1900', '1950']
Pablo Runyan	/wiki/Pablo_Runyan	['1900', '1950']
Ester Cordet	/wiki/Ester_Cordet	['1900', '1950']
Justine Pasek	/wiki/Justine_Pasek	['1900', '1950']
Rachel Smith	/wiki/Rachel_Smith	['1900', '1950']
Ursula M. Burns	/wiki/Ursula_M._Burns	['1900', '1950']
Pedro Heilbron	/wiki/Pedro_Heilbron	['1900', '1950']
Karl Kani	/wiki/Karl_Kani	['1900', '1950']
Erika Ender	/wiki/Erika_Ender	['1900', '1950']
Sharon Aguilar	/wiki/Sharon_Aguilar	['1900', '1950']
Akinyele	/wiki/Akinyele_(rapper)	['1900', '1950']
Tatyana Ali	/wiki/Tatyana_Ali	['1900', '1950']
Pedro Altamiranda	/wiki/Pedro_Altamiranda	['1900', '1950']
Nancy Ames	/wiki/Nancy_Ames	['1900', '1950']
Tanya Aparicio	/wiki/Tanya_Aparicio	['1900', '1950']
Tyson Beckford	/wiki/Tyson_Beckford	['1900', '1950']
Aloe Blacc	/wiki/Aloe_Blacc	['1900', '1950']
Rubén Blades	/wiki/Rub%C3%A9n_Blades	['1900', '1950']
Miguel Bosé	/wiki/Miguel_Bos%C3%A9	['1900', '1950']
Jordana Brewster	/wiki/Jordana_Brewster	['1900', '1950']
Rod Carrillo	/wiki/Rod_Carrillo	['1900', '1950']
Casanova	/wiki/Casanova_(rapper)	['1900', '1950']
Billy Cobham	/wiki/Billy_Cobham	['1900', '1950']
Melissa De Sousa	/wiki/Melissa_De_Sousa	['1900', '1950']
La Factoría	/wiki/La_Factor%C3%ADa	['1900', '1950']
Flex	/wiki/Flex_(singer)	['1900', '1950']
Gaitanes	/wiki/Gaitanes	['1900', '1950']
Carlos Garnett	/wiki/Carlos_Garnett	['1900', '1950']
El General	/wiki/El_General	['1900', '1950']
Margarita Henríquez	/wiki/Margarita_Henr%C3%ADquez	['1900', '1950']
Lori Heuring	/wiki/Lori_Heuring	['1900', '1950']
Clark Kent	/wiki/Clark_Kent_(producer)	['1900', '1950']
Vincent Laresca	/wiki/Vincent_Laresca	['1900', '1950']
Eddy Lover	/wiki/Eddy_Lover	['1900', '1950']
Makano	/wiki/Makano_(singer)	['1900', '1950']
Jaime Murrell	/wiki/Jaime_Murrell	['1900', '1950']
Uncle Murda	/wiki/Uncle_Murda	['1900', '1950']
Nando Boom	/wiki/Nando_Boom	['1900', '1950']
Danilo Pérez	/wiki/Danilo_P%C3%A9rez	['1900', '1950']
José Quintero	/wiki/Jos%C3%A9_Quintero	['1900', '1950']
Los Rabanes	/wiki/Los_Rabanes	['1900', '1950']
J. August Richards	/wiki/J._August_Richards	['1900', '1950']
Coco Rodriguez	/wiki/Coco_Rodriguez	['1900', '1950']
Daphne Rubin-Vega	/wiki/Daphne_Rubin-Vega	['1900', '1950']
Samy y Sandra Sandoval	/wiki/Samy_y_Sandra_Sandoval	['1900', '1950']
Pop Smoke	/wiki/Pop_Smoke	['1900', '1950']
DJ Spinna	/wiki/DJ_Spinna	['1900', '1950']
Alexis Texas	/wiki/Alexis_Texas	['1900', '1950']
Tessa Thompson	/wiki/Tessa_Thompson	['1900', '1950']
Aaron Zebede	/wiki/Aaron_Zebede	['1900', '1950']
Sech	/wiki/Sech_(singer)	['1900', '1950']
Bayano	/wiki/Bayano	['1900', '1950']
Floyd Britton	/wiki/Floyd_Britton	['1900', '1950']
Edward Ashton Gaskin Stuart	/wiki/Edward_Ashton_Gaskin_Stuart	['1900', '1950']
Victoriano Lorenzo	/wiki/Victoriano_Lorenzo	['1900', '1950']
Juan Materno Vásquez de León	/wiki/Juan_Materno_V%C3%A1squez_de_Le%C3%B3n	['1900', '1950']
Luis Anderson McNeil	/wiki/Luis_Anderson_McNeil	['1900', '1950']
Belisario Porras	/wiki/Belisario_Porras	['1900', '1950']
Urracá	/wiki/Urrac%C3%A1	['1900', '1950']
Escolastico Calvo	/wiki/Escolastico_Calvo	['1900', '1950']
Gwen Ifill	/wiki/Gwen_Ifill	['1900', '1950']
Juan Williams	/wiki/Juan_Williams	['1900', '1950']
Rosa María Britton	/wiki/Rosa_Mar%C3%ADa_Britton	['1900', '1950']
Carlos Fuentes	/wiki/Carlos_Fuentes	['1900', '1950']
Gloria Guardia	/wiki/Gloria_Guardia	['1900', '1950']
Ricardo Miró	/wiki/Ricardo_Mir%C3%B3	['1900', '1950']
Rogelio Sinán	/wiki/Rogelio_Sin%C3%A1n	['1900', '1950']
José Luis Rodríguez Pittí	/wiki/Jos%C3%A9_Luis_Rodr%C3%ADguez_Pitt%C3%AD	['1900', '1950']
Consuelo Tomás	/wiki/Consuelo_Tom%C3%A1s	['1900', '1950']
Arnulfo Arias Madrid	/wiki/Arnulfo_Arias_Madrid	['1900', '1950']
Harmodio Arias Madrid	/wiki/Harmodio_Arias_Madrid	['1900', '1950']
Nicolás Ardito Barletta	/wiki/Nicol%C3%A1s_Ardito_Barletta	['1900', '1950']
Guillermo Endara	/wiki/Guillermo_Endara	['1900', '1950']
Adrian Fenty	/wiki/Adrian_Fenty	['1900', '1950']
Esteban Huertas	/wiki/Esteban_Huertas	['1900', '1950']
Jorge Illueca	/wiki/Jorge_Illueca	['1900', '1950']
Julio E. Linares	/wiki/Julio_E._Linares	['1963', '1964']
Ricardo Martinelli	/wiki/Ricardo_Martinelli	['1900', '1950']
John McCain	/wiki/John_McCain	['1900', '1950']
Mireya Moscoso	/wiki/Mireya_Moscoso	['1900', '1950']
Manuel Antonio Noriega	/wiki/Manuel_Antonio_Noriega	['1900', '1950']
Ernesto Pérez Balladares	/wiki/Ernesto_P%C3%A9rez_Balladares	['1900', '1950']
Belisario Porras	/wiki/Belisario_Porras	['1900', '1950']
Dudley Thompson	/wiki/Dudley_Thompson	['1900', '1950']
Martín Torrijos	/wiki/Mart%C3%ADn_Torrijos	['1900', '1950']
Omar Torrijos	/wiki/Omar_Torrijos	['1900', '1950']
Pedro Alcazar	/wiki/Pedro_Alcazar	['1900', '1950']
Felipe Baloy	/wiki/Felipe_Baloy	['1900', '1950']
Leonardo Barker	/wiki/Leonardo_Barker	['1900', '1950']
Reginald Beckford	/wiki/Reginald_Beckford	['1900', '1950']
William Bedford	/wiki/William_Bedford_(basketball)	['1900', '1950']
Juan Berenguer	/wiki/Juan_Berenguer	['1900', '1950']
Rolando Blackman	/wiki/Rolando_Blackman	['1900', '1950']
Panama Al Brown	/wiki/Panama_Al_Brown	['1900', '1950']
Rod Carew	/wiki/Rod_Carew	['1900', '1950']
Lorenzo Charles	/wiki/Lorenzo_Charles	['1900', '1950']
Bruce Chen	/wiki/Bruce_Chen	['1900', '1950']
Eileen Coparropa	/wiki/Eileen_Coparropa	['1900', '1950']
Roberto Corbin	/wiki/Roberto_Corbin	['1900', '1950']
Manuel Corpas	/wiki/Manuel_Corpas	['1900', '1950']
Ed Cota	/wiki/Ed_Cota	['1900', '1950']
Kevin Daley	/wiki/Kevin_Daley	['1900', '1950']
Frank Davis	/wiki/Frank_Davis_(American_football)	['1900', '1950']
Jorge Dely Valdés	/wiki/Jorge_Dely_Vald%C3%A9s	['1900', '1950']
Einar Díaz	/wiki/Einar_D%C3%ADaz	['1900', '1950']
Roberto Durán	/wiki/Roberto_Dur%C3%A1n	['1900', '1950']
Rommel Fernández	/wiki/Rommel_Fern%C3%A1ndez	['1900', '1950']
Gary Forbes	/wiki/Gary_Forbes	['1900', '1950']
Alfonso Frazer	/wiki/Alfonso_Frazer	['1900', '1950']
Rubén Garcés	/wiki/Rub%C3%A9n_Garc%C3%A9s	['1900', '1950']
Stuart Gray	/wiki/Stuart_Gray_(basketball)	['1900', '1950']
Darius Holland	/wiki/Darius_Holland	['1900', '1950']
George Headley	/wiki/George_Headley	['1900', '1950']
Leroy Jackson	/wiki/Leroy_Jackson	['1900', '1950']
Guillermo Jones	/wiki/Guillermo_Jones	['1900', '1950']
Bayano Kamani	/wiki/Bayano_Kamani	['1900', '1950']
Roberto Kelly	/wiki/Roberto_Kelly	['1900', '1950']
Kevin Kurányi	/wiki/Kevin_Kur%C3%A1nyi	['1900', '1950']
Lloyd La Beach	/wiki/Lloyd_La_Beach	['1900', '1950']
Bobby Lashley	/wiki/Bobby_Lashley	['1900', '1950']
Carlos Lee	/wiki/Carlos_Lee	['1900', '1950']
Héctor López	/wiki/H%C3%A9ctor_L%C3%B3pez	['1900', '1950']
Jorge Luján	/wiki/Jorge_Luj%C3%A1n_(boxer)	['1900', '1950']
José Macías	/wiki/Jos%C3%A9_Mac%C3%ADas	['1900', '1950']
Ernesto Marcel	/wiki/Ernesto_Marcel	['1900', '1950']
Ramiro Mendoza	/wiki/Ramiro_Mendoza	['1900', '1950']
Orlando Miller	/wiki/Orlando_Miller	['1900', '1950']
Omar Moreno	/wiki/Omar_Moreno	['1900', '1950']
Ben Oglivie	/wiki/Ben_Oglivie	['1900', '1950']
Eusebio Pedroza	/wiki/Eusebio_Pedroza	['1900', '1950']
Jaime Penedo	/wiki/Jaime_Penedo	['1900', '1950']
Laffit Pincay, Jr.	/wiki/Laffit_Pincay,_Jr.	['1900', '1950']
Luis Antonio Rivera	/wiki/Luis_Antonio_Rivera	['1900', '1950']
Mariano Rivera	/wiki/Mariano_Rivera	['1900', '1950']
Rubén Rivera	/wiki/Rub%C3%A9n_Rivera	['1900', '1950']
Davis Romero	/wiki/Davis_Romero	['1900', '1950']
Carlos Ruiz	/wiki/Carlos_Ruiz_(baseball)	['1900', '1950']
Olmedo Sáenz	/wiki/Olmedo_S%C3%A1enz	['1900', '1950']
Irving Saladino	/wiki/Irving_Saladino	['1900', '1950']
Manny Sanguillén	/wiki/Manny_Sanguill%C3%A9n	['1900', '1950']
Rennie Stennett	/wiki/Rennie_Stennett	['1900', '1950']
Luis Tejada	/wiki/Luis_Tejada	['1900', '1950']
Ruben Tejada	/wiki/Ruben_Tejada	['1900', '1950']
Roberto Vásquez	/wiki/Roberto_V%C3%A1squez	['1900', '1950']
