text	link	year
Josephine Abaijah	/wiki/Josephine_Abaijah	['1900', '1950']
Peter Barter	/wiki/Peter_Barter	['1900', '1950']
Julius Chan	/wiki/Julius_Chan	['1900', '1950']
John Guise	/wiki/John_Guise_(Governor-General)	['1900', '1950']
Chris Haiveta	/wiki/Chris_Haiveta	['1900', '1950']
Joseph Kabui	/wiki/Joseph_Kabui	['1900', '1950']
Carol Kidu	/wiki/Carol_Kidu	['1900', '1950']
Albert Maori Kiki	/wiki/Albert_Maori_Kiki	['1900', '1950']
Allan Marat	/wiki/Allan_Marat	['1900', '1950']
Paulias Matane	/wiki/Paulias_Matane	['1900', '1950']
John Momis	/wiki/John_Momis	['1900', '1950']
Jeffrey Nape	/wiki/Jeffrey_Nape	['2007', '2012']
Rabbie Namaliu	/wiki/Rabbie_Namaliu	['1900', '1950']
Peter O'Neill	/wiki/Peter_O%27Neill	['1900', '1950']
Francis Ona	/wiki/Francis_Ona	['1900', '1950']
William Skate	/wiki/William_Skate	['1995', '1998']
Michael Somare	/wiki/Michael_Somare	['1900', '1950']
Luther Wenge	/wiki/Luther_Wenge	['1900', '1950']
Paias Wingti	/wiki/Paias_Wingti	['1900', '1950']
Don Polye	/wiki/Don_Polye	['2009', '2011']
Theo Zurenuoc	/wiki/Theo_Zurenuoc	['1900', '1950']
Makali Aizue	/wiki/Makali_Aizue	['1900', '1950']
Marcus Bai	/wiki/Marcus_Bai	['1900', '1950']
Stanley Gene	/wiki/Stanley_Gene	['1900', '1950']
Francis Kompaon	/wiki/Francis_Kompaon	['1900', '1950']
Adrian Lam	/wiki/Adrian_Lam	['1900', '1950']
Edward Laboran	/wiki/Edward_Laboran	['1900', '1950']
Ryan Pini	/wiki/Ryan_Pini	['1900', '1950']
Archie Thompson	/wiki/Archie_Thompson	['1900', '1950']
Dika Loa Toua	/wiki/Dika_Loa_Toua	['1900', '1950']
Aro	/wiki/Aro_(person)	['1900', '1950']
Kevin Conrad	/wiki/Kevin_Conrad	['1900', '1950']
Janetta Douglas	/wiki/Janetta_Douglas	['1900', '1950']
Vincent Eri	/wiki/Vincent_Eri	['1900', '1950']
Florence Jaukae Kamel	/wiki/Florence_Jaukae_Kamel	['1900', '1950']
Joseph Kaven	/wiki/Joseph_Kaven	['1900', '1950']
Pilipo Miriye	/wiki/Pilipo_Miriye	['1900', '1950']
Noah Musingku	/wiki/Noah_Musingku	['1900', '1950']
Bernard Narokobi	/wiki/Bernard_Narokobi	['1900', '1950']
Cecilia Nembou	/wiki/Cecilia_Nembou	['1900', '1950']
O-shen	/wiki/O-shen	['1900', '1950']
Jerry Singirok	/wiki/Jerry_Singirok	['1900', '1950']
William Takaku	/wiki/William_Takaku	['1900', '1950']
Meg Taylor	/wiki/Meg_Taylor	['1900', '1950']
Megan Washington	/wiki/Megan_Washington	['1900', '1950']
