text	link	year
Cecilio Báez	/wiki/Cecilio_B%C3%A1ez	['1900', '1950']
Agustín Barboza	/wiki/Agust%C3%ADn_Barboza	['1900', '1950']
Agustín Barrios-Mangoré	/wiki/Agust%C3%ADn_Barrios-Mangor%C3%A9	['1900', '1950']
Edgar Baumann	/wiki/Edgar_Baumann	['1900', '1950']
Yohana Benítez	/wiki/Yohana_Ben%C3%ADtez	['1900', '1950']
Emilio Bigi	/wiki/Emilio_Bigi	['1900', '1950']
Luis Bordón	/wiki/Luis_Bord%C3%B3n	['1900', '1950']
José Bozzano	/wiki/Jos%C3%A9_Bozzano	['1900', '1950']
Karina Buttner	/wiki/Karina_Buttner	['1900', '1950']
Victor Caballero	/wiki/Victor_Caballero	['1900', '1950']
Gabriel Casaccia	/wiki/Gabriel_Casaccia	['1900', '1950']
José Cardozo	/wiki/Jos%C3%A9_Cardozo	['1900', '1950']
Feliciano Centurión	/wiki/Feliciano_Centuri%C3%B3n	['1900', '1950']
José Luis Chilavert	/wiki/Jos%C3%A9_Luis_Chilavert	['1900', '1950']
Julio Correa	/wiki/Julio_Correa	['1900', '1950']
Raúl Cubas Grau	/wiki/Ra%C3%BAl_Cubas_Grau	['1900', '1950']
Rogelio Delgado	/wiki/Rogelio_Delgado	['1900', '1950']
Nicanor Duarte Frutos	/wiki/Nicanor_Duarte_Frutos	['1900', '1950']
Egni Eckert	/wiki/Egni_Eckert	['1900', '1950']
Arsenio Erico	/wiki/Arsenio_Erico	['1900', '1950']
Víctor Espínola	/wiki/V%C3%ADctor_Esp%C3%ADnola	['1900', '1950']
Buenaventura Ferreira	/wiki/Buenaventura_Ferreira	['1900', '1950']
Diego Ferreira	/wiki/Diego_Ferreira_(athlete)	['1900', '1950']
Renée Ferrer de Arréllaga	/wiki/Ren%C3%A9e_Ferrer_de_Arr%C3%A9llaga	['1900', '1950']
José Asunción Flores	/wiki/Jos%C3%A9_Asunci%C3%B3n_Flores	['1900', '1950']
Carlos Franco	/wiki/Carlos_Franco	['1900', '1950']
Julio César Franco	/wiki/Julio_C%C3%A9sar_Franco	['1900', '1950']
Leryn Franco	/wiki/Leryn_Franco	['1900', '1950']
Carlos Gamarra	/wiki/Carlos_Gamarra	['1900', '1950']
Herminio Giménez	/wiki/Herminio_Gim%C3%A9nez	['1900', '1950']
Sila Godoy	/wiki/Sila_Godoy	['1900', '1950']
Juan Natalicio González	/wiki/Juan_Natalicio_Gonz%C3%A1lez	['1900', '1950']
Yanina González	/wiki/Yanina_Gonz%C3%A1lez	['1900', '1950']
Luis González Macchi	/wiki/Luis_Gonz%C3%A1lez_Macchi	['1900', '1950']
Julieta Granada	/wiki/Julieta_Granada	['1900', '1950']
Ramón Jiménez Gaona	/wiki/Ram%C3%B3n_Jim%C3%A9nez_Gaona	['1900', '1950']
Nery Kennedy	/wiki/Nery_Kennedy	['1900', '1950']
Nicolás Léoz	/wiki/Nicol%C3%A1s_L%C3%A9oz	['1900', '1950']
Carlos Antonio López	/wiki/Carlos_Antonio_L%C3%B3pez	['1900', '1950']
Francisco Solano López	/wiki/Francisco_Solano_L%C3%B3pez	['1900', '1950']
Aníbal Lovera	/wiki/An%C3%ADbal_Lovera	['1900', '1950']
María José Maldonado	/wiki/Mar%C3%ADa_Jos%C3%A9_Maldonado	['1900', '1950']
Ricardo Migliorisi	/wiki/Ricardo_Migliorisi	['1900', '1950']
Jorge Daniel Núñez	/wiki/Jorge_Daniel_N%C3%BA%C3%B1ez	['1984', '2025']
Jorge Martín Núñez	/wiki/Jorge_Mart%C3%ADn_N%C3%BA%C3%B1ez	['1978', '2025']
Christian Ovelar	/wiki/Christian_Ovelar	['1900', '1950']
Lino Oviedo	/wiki/Lino_Oviedo	['1900', '1950']
Víctor Pecci	/wiki/V%C3%ADctor_Pecci	['1900', '1950']
Silvio Pettirossi	/wiki/Silvio_Pettirossi	['1900', '1950']
Josefina Pla	/wiki/Josefina_Pla	['1900', '1950']
Andrea Quattrocchi	/wiki/Andrea_Quattrocchi	['1900', '1950']
Gabriela Rejala	/wiki/Gabriela_Rejala	['1900', '1950']
Alba Riquelme	/wiki/Alba_Riquelme	['1900', '1950']
Blas Riquelme	/wiki/Blas_Riquelme	['1900', '1950']
Larissa Riquelme	/wiki/Larissa_Riquelme	['1900', '1950']
Augusto Roa Bastos	/wiki/Augusto_Roa_Bastos	['1900', '1950']
Andrés Rodríguez	/wiki/Andr%C3%A9s_Rodr%C3%ADguez_(President)	['1900', '1950']
Hugo Rodríguez-Alcalá	/wiki/Hugo_Rodr%C3%ADguez-Alcal%C3%A1	['1900', '1950']
José Gaspar Rodríguez de Francia	/wiki/Jos%C3%A9_Gaspar_Rodr%C3%ADguez_de_Francia	['1900', '1950']
Yren Rotela	/wiki/Yren_Rotela	['1981', '2025']
Roque Santa Cruz	/wiki/Roque_Santa_Cruz	['1900', '1950']
Alfredo Stroessner	/wiki/Alfredo_Stroessner	['1900', '1950']
Cindy Taylor	/wiki/Cindy_Taylor	['1900', '1950']
Juan Carlos Wasmosy	/wiki/Juan_Carlos_Wasmosy	['1900', '1950']
Pablo Zeballos	/wiki/Pablo_Zeballos	['1900', '1950']
