text	link	year
Walter Alva	/wiki/Walter_Alva	['1900', '1950']
Santiago Antúnez de Mayolo	/wiki/Santiago_Ant%C3%BAnez_de_Mayolo	['1900', '1950']
Javier Arias Stella	/wiki/Javier_Arias_Stella	['1900', '1950']
Anthony Atala	/wiki/Anthony_Atala	['1900', '1950']
Oswaldo Baca	/wiki/Oswaldo_Baca	['1900', '1950']
Alberto Barton	/wiki/Alberto_Barton	['1900', '1950']
G. E. Berrios	/wiki/G._E._Berrios	['1900', '1950']
Carlos Bustamante	/wiki/Carlos_Bustamante	['1900', '1950']
Ernesto Bustamante	/wiki/Ernesto_Bustamante	['1900', '1950']
Rubén Castillo Anchapuri	/wiki/Rub%C3%A9n_Castillo_Anchapuri	['1900', '1950']
A. Roberto Frisancho	/wiki/A._Roberto_Frisancho	['1900', '1950']
Juan de Dios Guevara	/wiki/Juan_de_Dios_Guevara	['1900', '1950']
Enrique Guzmán y Valle	/wiki/Enrique_Guzm%C3%A1n_y_Valle	['1900', '1950']
Rafael Larco Hoyle	/wiki/Rafael_Larco_Hoyle	['1900', '1950']
Federico Kauffmann Doig	/wiki/Federico_Kauffmann_Doig	['1900', '1950']
Javier Mariátegui	/wiki/Javier_Mari%C3%A1tegui	['1900', '1950']
Juan Mezzich	/wiki/Juan_Mezzich	['1900', '1950']
Modesto Montoya	/wiki/Modesto_Montoya	['1900', '1950']
Carlos M. Ochoa	/wiki/Carlos_M._Ochoa	['1900', '1950']
Piermaria Oddone	/wiki/Piermaria_Oddone	['1900', '1950']
Orlando Olcese	/wiki/Orlando_Olcese	['1900', '1950']
Carlos Carrillo Parodi	/wiki/Carlos_Carrillo_Parodi	['1900', '1950']
Pedro Paulet	/wiki/Pedro_Paulet	['1900', '1950']
Gustavo R. Paz-Pujalt	/wiki/Gustavo_R._Paz-Pujalt	['1900', '1950']
Mariano Felipe Paz Soldán	/wiki/Mariano_Felipe_Paz_Sold%C3%A1n	['1900', '1950']
Susana Pinilla	/wiki/Susana_Pinilla	['1900', '1950']
Gastón Pons Muzzo	/wiki/Gast%C3%B3n_Pons_Muzzo	['1900', '1950']
Abundio Sagástegui Alva	/wiki/Abundio_Sag%C3%A1stegui_Alva	['1900', '1950']
Ruth Shady	/wiki/Ruth_Shady	['1900', '1950']
Fernando Silva Santisteban	/wiki/Fernando_Silva_Santisteban	['1900', '1950']
Julio C. Tello	/wiki/Julio_C._Tello	['1900', '1950']
José Tola Pasquel	/wiki/Jos%C3%A9_Tola_Pasquel	['1900', '1950']
Alfredo Torero	/wiki/Alfredo_Torero	['1900', '1950']
Jose L. Torero	/wiki/Jose_L._Torero	['1900', '1950']
Mariano Eduardo de Rivero y Ustariz	/wiki/Mariano_Eduardo_de_Rivero_y_Ustariz	['1900', '1950']
Fabiola Leon Velarde	/wiki/Fabiola_Leon_Velarde	['1900', '1950']
Federico Villarreal	/wiki/Federico_Villarreal	['1900', '1950']
Barton Zwiebach	/wiki/Barton_Zwiebach	['1900', '1950']
Jorge Aliaga Cacho	/wiki/Jorge_Aliaga_Cacho	['1900', '1950']
Jorge Basadre	/wiki/Jorge_Basadre	['1900', '1950']
José Antonio del Busto Duthurburu	/wiki/Jos%C3%A9_Antonio_del_Busto_Duthurburu	['1900', '1950']
Hildebrando Castro Pozo	/wiki/Hildebrando_Castro_Pozo	['1900', '1950']
Antonio Cornejo Polar	/wiki/Antonio_Cornejo_Polar	['1900', '1950']
Honorio Delgado	/wiki/Honorio_Delgado	['1900', '1950']
Hernando de Soto	/wiki/Hernando_de_Soto_(economist)	['1900', '1950']
Alejandro Deustua	/wiki/Alejandro_Deustua	['1900', '1950']
Alberto Flores Galindo	/wiki/Alberto_Flores_Galindo	['1900', '1950']
Maria Elena Foronda Farro	/wiki/Maria_Elena_Foronda_Farro	['1900', '1950']
Gustavo Gutiérrez	/wiki/Gustavo_Guti%C3%A9rrez	['1900', '1950']
Mariano Iberico Rodríguez	/wiki/Mariano_Iberico_Rodr%C3%ADguez	['1900', '1950']
Víctor Li-Carrillo Chía	/wiki/V%C3%ADctor_Li-Carrillo_Ch%C3%ADa	['1900', '1950']
Guillermo Lohmann Villena	/wiki/Guillermo_Lohmann_Villena	['1900', '1950']
Manuel de Mendiburu	/wiki/Manuel_de_Mendiburu	['1900', '1950']
Francisco Miró Quesada Cantuarias	/wiki/Francisco_Mir%C3%B3_Quesada_Cantuarias	['1900', '1950']
Antenor Orrego	/wiki/Antenor_Orrego	['1900', '1950']
Walter Peñaloza	/wiki/Walter_Pe%C3%B1aloza	['1900', '1950']
Anibal Quijano	/wiki/Anibal_Quijano	['1900', '1950']
Liliana Rojas-Suarez	/wiki/Liliana_Rojas-Suarez	['1900', '1950']
María Rostworowski	/wiki/Mar%C3%ADa_Rostworowski	['1900', '1950']
Rubén Vargas Ugarte	/wiki/Rub%C3%A9n_Vargas_Ugarte	['1900', '1950']
César Vásquez Bazán	/wiki/C%C3%A9sar_V%C3%A1squez_Baz%C3%A1n	['1900', '1950']
Carlos Wiesse Portocarrero	/wiki/Carlos_Wiesse_Portocarrero	['1900', '1950']
Pedro Zulen	/wiki/Pedro_Zulen	['1900', '1950']
Alejandro Aguinaga	/wiki/Alejandro_Aguinaga	['1900', '1950']
Daniel Alcides Carrión	/wiki/Daniel_Alcides_Carri%C3%B3n	['1900', '1950']
Carlos Manuel Chavez	/wiki/Carlos_Manuel_Chavez	['1900', '1950']
Maria Freire	/wiki/Maria_Freire	['1900', '1950']
Max González Olaechea	/wiki/Max_Gonz%C3%A1lez_Olaechea	['1900', '1950']
Humberto Guerra Allison	/wiki/Humberto_Guerra_Allison	['1900', '1950']
Cayetano Heredia	/wiki/Cayetano_Heredia	['1900', '1950']
Augusto Huaman Velasco	/wiki/Augusto_Huaman_Velasco	['1900', '1950']
Arturo Jiménez Borja	/wiki/Arturo_Jim%C3%A9nez_Borja	['1900', '1950']
Carlos Monge Medrano	/wiki/Carlos_Monge_Medrano	['1900', '1950']
Augusto Pérez Araníbar	/wiki/Augusto_P%C3%A9rez_Aran%C3%ADbar	['1900', '1950']
Hugo Pesce	/wiki/Hugo_Pesce	['1900', '1950']
Ernesto Pinto-Bazurco	/wiki/Ernesto_Pinto-Bazurco	['1900', '1950']
Laura Esther Rodriguez Dulanto	/wiki/Laura_Esther_Rodriguez_Dulanto	['1900', '1950']
Carlos Alberto Seguín	/wiki/Carlos_Alberto_Segu%C3%ADn	['1900', '1950']
Hipólito Unanue	/wiki/Hip%C3%B3lito_Unanue	['1900', '1950']
Hermilio Valdizán	/wiki/Hermilio_Valdiz%C3%A1n	['1900', '1950']
Carlos Vallejos Sologuren	/wiki/Carlos_Vallejos_Sologuren	['1900', '1950']
Martín Adán	/wiki/Mart%C3%ADn_Ad%C3%A1n	['1908', '1985']
Ciro Alegría	/wiki/Ciro_Alegr%C3%ADa	['1909', '1967']
Marie Arana	/wiki/Marie_Arana	['1949', '2025']
José María Arguedas	/wiki/Jos%C3%A9_Mar%C3%ADa_Arguedas	['1911', '1969']
Federico Barreto	/wiki/Federico_Barreto	['1862', '1929']
Jaime Bayly	/wiki/Jaime_Bayly	['1965', '2025']
Michael Bentine	/wiki/Michael_Bentine	['1922', '1996']
Alfredo Bryce Echenique	/wiki/Alfredo_Bryce_Echenique	['1939', '2025']
Guillermo Carnero Hoke	/wiki/Guillermo_Carnero_Hoke	['1917', '1985']
Carlos Castaneda	/wiki/Carlos_Castaneda	['1925', '1998']
Gamaliel Churata	/wiki/Gamaliel_Churata	['1897', '1957']
José María Eguren	/wiki/Jos%C3%A9_Mar%C3%ADa_Eguren	['1874', '1942']
Jorge Eduardo Eielson	/wiki/Jorge_Eduardo_Eielson	['1924', '2006']
Inca Garcilaso de la Vega	/wiki/Inca_Garcilaso_de_la_Vega	['1539', '1616']
Manuel González Prada	/wiki/Manuel_Gonz%C3%A1lez_Prada	['1844', '1918']
Eduardo González Viaña	/wiki/Eduardo_Gonz%C3%A1lez_Via%C3%B1a	['1941', '2025']
Javier Heraud	/wiki/Javier_Heraud	['1942', '1963']
Rodolfo Hinostroza	/wiki/Rodolfo_Hinostroza	['1941', '2025']
Luis Jochamowitz	/wiki/Luis_Jochamowitz	['1953', '2025']
José Carlos Mariátegui	/wiki/Jos%C3%A9_Carlos_Mari%C3%A1tegui	['1894', '1930']
Jose Luis Mejia	/wiki/Jose_Luis_Mejia	['1969', '2025']
Gloria Macher	/wiki/Gloria_Macher	['1900', '1950']
Clorinda Matto de Turner	/wiki/Clorinda_Matto_de_Turner	['1853', '1909']
Angélica Palma	/wiki/Ang%C3%A9lica_Palma	['1878', '1935']
Clemente Palma	/wiki/Clemente_Palma	['1872', '1946']
Ricardo Palma	/wiki/Ricardo_Palma	['1833', '1919']
Guaman Poma	/wiki/Guaman_Poma	['1900', '1950']
Santiago Roncagliolo	/wiki/Santiago_Roncagliolo	['1975', '2025']
