text	link	year
Roman Aftanazy	/wiki/Roman_Aftanazy	['1900', '1950']
Szymon Askenazy	/wiki/Szymon_Askenazy	['1900', '1950']
Marcin Bielski	/wiki/Marcin_Bielski	['1900', '1950']
Michael Bobrzynski	/wiki/Michael_Bobrzynski	['1900', '1950']
Józef Borzyszkowski	/wiki/J%C3%B3zef_Borzyszkowski	['1900', '1950']
Filip Callimachus	/wiki/Filip_Callimachus	['1900', '1950']
Marek Jan Chodakiewicz	/wiki/Marek_Jan_Chodakiewicz	['1900', '1950']
Piotr Cywiński	/wiki/Piotr_Cywi%C5%84ski	['1900', '1950']
Tadeusz Czacki	/wiki/Tadeusz_Czacki	['1900', '1950']
Norman Davies	/wiki/Norman_Davies	['1900', '1950']
Jan Długosz	/wiki/Jan_D%C5%82ugosz	['1900', '1950']
Marian Kamil Dziewanowski	/wiki/Marian_Kamil_Dziewanowski	['1900', '1950']
Karol Estreicher	/wiki/Karol_Estreicher_(senior)	['1900', '1950']
Stanisław Estreicher	/wiki/Stanis%C5%82aw_Estreicher	['1900', '1950']
Tadeusz Estreicher	/wiki/Tadeusz_Estreicher	['1900', '1950']
Mieczysław Gębarowicz	/wiki/Mieczys%C5%82aw_G%C4%99barowicz	['1900', '1950']
Aleksander Gieysztor	/wiki/Aleksander_Gieysztor	['1900', '1950']
Kazimierz Godłowski	/wiki/Kazimierz_God%C5%82owski	['1900', '1950']
Władysław Grabski	/wiki/W%C5%82adys%C5%82aw_Grabski	['1900', '1950']
Roman Grodecki	/wiki/Roman_Grodecki	['1900', '1950']
Oskar Halecki	/wiki/Oskar_Halecki	['1900', '1950']
Marceli Handelsman	/wiki/Marceli_Handelsman	['1900', '1950']
Paweł Jasienica	/wiki/Pawe%C5%82_Jasienica	['1900', '1950']
Jacek Jędruch	/wiki/Jacek_J%C4%99druch	['1900', '1950']
Wincenty Kadłubek	/wiki/Wincenty_Kad%C5%82ubek	['1900', '1950']
Józef Kasparek	/wiki/J%C3%B3zef_Kasparek	['1900', '1950']
Stefan Kieniewicz	/wiki/Stefan_Kieniewicz	['1900', '1950']
Jerzy Kirchmayer	/wiki/Jerzy_Kirchmayer	['1900', '1950']
Hugo Kołłątaj	/wiki/Hugo_Ko%C5%82%C5%82%C4%85taj	['1900', '1950']
Feliks Koneczny	/wiki/Feliks_Koneczny	['1900', '1950']
Władysław Konopczyński	/wiki/W%C5%82adys%C5%82aw_Konopczy%C5%84ski	['1900', '1950']
Stanisław Kot	/wiki/Stanis%C5%82aw_Kot	['1900', '1950']
Władysław Kozaczuk	/wiki/W%C5%82adys%C5%82aw_Kozaczuk	['1900', '1950']
Manfred Kridl	/wiki/Manfred_Kridl	['1900', '1950']
Marcin Kromer	/wiki/Marcin_Kromer	['1900', '1950']
Jan Kucharzewski	/wiki/Jan_Kucharzewski	['1900', '1950']
