text	link	year
Afonso Gonçalves Baldaia	/wiki/Afonso_Gon%C3%A7alves_Baldaia	['1900', '1950']
Álvaro Caminha	/wiki/%C3%81lvaro_Caminha	['1900', '1950']
Álvaro Martins	/wiki/%C3%81lvaro_Martins	['1900', '1950']
Alvise Cadamosto	/wiki/Alvise_Cadamosto	['1900', '1950']
André Gonçalves	/wiki/Andr%C3%A9_Gon%C3%A7alves_(explorer)	['1900', '1950']
Antão Gonçalves	/wiki/Ant%C3%A3o_Gon%C3%A7alves	['1900', '1950']
Álvaro Fernandes	/wiki/%C3%81lvaro_Fernandes	['1900', '1950']
Bartolomeu Dias	/wiki/Bartolomeu_Dias	['1900', '1950']
Bartolomeu Perestrelo	/wiki/Bartolomeu_Perestrelo	['1900', '1950']
Dinis Dias	/wiki/Dinis_Dias	['1900', '1950']
Diogo Cão	/wiki/Diogo_C%C3%A3o	['1900', '1950']
Diogo de Azambuja	/wiki/Diogo_de_Azambuja	['1900', '1950']
Diogo de Teive	/wiki/Diogo_de_Teive	['1900', '1950']
Diogo Dias	/wiki/Diogo_Dias	['1900', '1950']
Diogo Silves	/wiki/Diogo_Silves	['1900', '1950']
Duarte Pacheco Pereira	/wiki/Duarte_Pacheco_Pereira	['1900', '1950']
Fernão do Pó	/wiki/Fern%C3%A3o_do_P%C3%B3	['1900', '1950']
Gil Eanes	/wiki/Gil_Eanes	['1900', '1950']
Gonçalo Velho	/wiki/Gon%C3%A7alo_Velho	['1900', '1950']
João de Santarém	/wiki/Jo%C3%A3o_de_Santar%C3%A9m	['1900', '1950']
João Gonçalves Zarco	/wiki/Jo%C3%A3o_Gon%C3%A7alves_Zarco	['1900', '1950']
João Grego	/wiki/Jo%C3%A3o_Grego	['1900', '1950']
João Infante	/wiki/Jo%C3%A3o_Infante	['1900', '1950']
João Vaz Corte-Real	/wiki/Jo%C3%A3o_Vaz_Corte-Real	['1900', '1950']
Lopes Gonçalves	/wiki/Lopes_Gon%C3%A7alves	['1900', '1950']
Luís Pires	/wiki/Lu%C3%ADs_Pires	['1900', '1950']
Nicolau Coelho	/wiki/Nicolau_Coelho	['1900', '1950']
Nuno Tristão	/wiki/Nuno_Trist%C3%A3o	['1900', '1950']
Paulo da Gama	/wiki/Paulo_da_Gama	['1900', '1950']
Pedro Álvares Cabral	/wiki/Pedro_%C3%81lvares_Cabral	['1900', '1950']
Pedro Escobar	/wiki/Pedro_Escobar	['1900', '1950']
Pêro de Alenquer	/wiki/P%C3%AAro_de_Alenquer	['1900', '1950']
Pêro de Sintra	/wiki/P%C3%AAro_de_Sintra	['1900', '1950']
Pêro Dias	/wiki/P%C3%AAro_Dias	['1900', '1950']
Pêro Vaz de Caminha	/wiki/P%C3%AAro_Vaz_de_Caminha	['1900', '1950']
Tristão Vaz Teixeira	/wiki/Trist%C3%A3o_Vaz_Teixeira	['1900', '1950']
Vasco da Gama	/wiki/Vasco_da_Gama	['1900', '1950']
Christopher Columbus	/wiki/Christopher_Columbus	['1900', '1950']
Afonso de Paiva	/wiki/Afonso_de_Paiva	['1900', '1950']
Fernão de Noronha	/wiki/Fern%C3%A3o_de_Noronha	['1900', '1950']
Gaspar de Lemos	/wiki/Gaspar_de_Lemos	['1900', '1950']
Gonçalo Coelho	/wiki/Gon%C3%A7alo_Coelho	['1900', '1950']
João Fernandes Lavrador	/wiki/Jo%C3%A3o_Fernandes_Lavrador	['1900', '1950']
Pêro da Covilhã	/wiki/P%C3%AAro_da_Covilh%C3%A3	['1900', '1950']
Pêro de Barcelos	/wiki/P%C3%AAro_de_Barcelos	['1900', '1950']
Afonso de Albuquerque	/wiki/Afonso_de_Albuquerque	['1900', '1950']
António de Abreu	/wiki/Ant%C3%B3nio_de_Abreu	['1900', '1950']
António Mota	/wiki/Ant%C3%B3nio_Mota	['1900', '1950']
Bento de Góis	/wiki/Bento_de_G%C3%B3is	['1900', '1950']
Cristóvão Jacques	/wiki/Crist%C3%B3v%C3%A3o_Jacques	['1900', '1950']
Cristóvão de Mendonça	/wiki/Crist%C3%B3v%C3%A3o_de_Mendon%C3%A7a	['1900', '1950']
Diogo Lopes de Sequeira	/wiki/Diogo_Lopes_de_Sequeira	['1900', '1950']
Diogo Rodrigues	/wiki/Diogo_Rodrigues	['1900', '1950']
Duarte Fernandes	/wiki/Duarte_Fernandes	['1900', '1950']
Estêvão da Gama	/wiki/Est%C3%AAv%C3%A3o_da_Gama_(16th_century)	['1900', '1950']
Fernão Lopez	/wiki/Fern%C3%A3o_Lopez	['1900', '1950']
Fernão Mendes Pinto	/wiki/Fern%C3%A3o_Mendes_Pinto	['1900', '1950']
Fernão Pires de Andrade	/wiki/Fern%C3%A3o_Pires_de_Andrade	['1900', '1950']
Francisco Álvares	/wiki/Francisco_%C3%81lvares	['1900', '1950']
Francisco de Almeida	/wiki/Francisco_de_Almeida	['1900', '1950']
Gaspar Corte-Real	/wiki/Gaspar_Corte-Real	['1900', '1950']
Gomes de Sequeira	/wiki/Gomes_de_Sequeira	['1900', '1950']
João da Nova	/wiki/Jo%C3%A3o_da_Nova	['1900', '1950']
Jorge Álvares	/wiki/Jorge_%C3%81lvares	['1900', '1950']
Juan Rodríguez Cabrillo	/wiki/Juan_Rodr%C3%ADguez_Cabrillo	['1900', '1950']
Lourenço Marques	/wiki/Louren%C3%A7o_Marques	['1900', '1950']
Martim Afonso de Sousa	/wiki/Martim_Afonso_de_Sousa	['1900', '1950']
Miguel Corte-Real	/wiki/Miguel_Corte-Real	['1900', '1950']
Paulo Dias de Novais	/wiki/Paulo_Dias_de_Novais	['1900', '1950']
Pedro Mascarenhas	/wiki/Pedro_Mascarenhas	['1900', '1950']
Tristão da Cunha	/wiki/Trist%C3%A3o_da_Cunha	['1900', '1950']
Ferdinand Magellan	/wiki/Ferdinand_Magellan	['1519', '1522']
Estêvão Cacella	/wiki/Est%C3%AAv%C3%A3o_Cacella	['1900', '1950']
Baltasar Fernandes	/wiki/Baltasar_Fernandes	['1900', '1950']
David Melgueiro	/wiki/David_Melgueiro	['1900', '1950']
Jerónimo Lobo	/wiki/Jer%C3%B3nimo_Lobo	['1900', '1950']
Luís Vaz de Torres	/wiki/Lu%C3%ADs_Vaz_de_Torres	['1900', '1950']
Pedro Fernandes de Queirós	/wiki/Pedro_Fernandes_de_Queir%C3%B3s	['1900', '1950']
Pedro Teixeira	/wiki/Pedro_Teixeira	['1900', '1950']
António Raposo Tavares	/wiki/Ant%C3%B3nio_Raposo_Tavares	['1900', '1950']
Alexandre Rodrigues Ferreira	/wiki/Alexandre_Rodrigues_Ferreira	['1900', '1950']
Francisco de Lacerda	/wiki/Francisco_de_Lacerda	['1900', '1950']
Alexandre de Serpa Pinto	/wiki/Alexandre_de_Serpa_Pinto	['1900', '1950']
António da Silva Porto	/wiki/Ant%C3%B3nio_da_Silva_Porto	['1900', '1950']
Hermenegildo Capelo	/wiki/Hermenegildo_Capelo	['1900', '1950']
Roberto Ivens	/wiki/Roberto_Ivens	['1900', '1950']
Gago Coutinho	/wiki/Gago_Coutinho	['1900', '1950']
Felix the Hermit	/wiki/Felix_the_Hermit	['1900', '1950']
Jacinta and Francisco Marto	/wiki/Jacinta_and_Francisco_Marto	['1908', '1919']
Jacinta and Francisco Marto	/wiki/Jacinta_and_Francisco_Marto	['1910', '1920']
John de Brito	/wiki/John_de_Brito	['1647', '1693']
Nuno Álvares Pereira	/wiki/Nuno_%C3%81lvares_Pereira	['1360', '1431']
Quiteria	/wiki/Quiteria	['1900', '1950']
Rita Amada de Jesus	/wiki/Rita_Amada_de_Jesus	['1848', '1913']
Rudesind	/wiki/Rudesind	['1900', '1950']
Saint Ovidius	/wiki/Saint_Ovidius	['1900', '1950']
Theotonius	/wiki/Theotonius	['1088', '1166']
Wilgefortis	/wiki/Wilgefortis	['1900', '1950']
Bartolomeu dos Mártires	/wiki/Bartolomeu_dos_M%C3%A1rtires	['1514', '1590']
Ferdinand the Holy Prince	/wiki/Ferdinand_the_Holy_Prince	['1402', '1443']
Inácio de Azevedo	/wiki/In%C3%A1cio_de_Azevedo	['1528', '1570']
António de Andrade	/wiki/Ant%C3%B3nio_de_Andrade	['1580', '1634']
António Vieira	/wiki/Ant%C3%B3nio_Vieira	['1608', '1697']
João Ferreira Annes de Almeida	/wiki/Jo%C3%A3o_Ferreira_Annes_de_Almeida	['1628', '1691']
Paulo António de Carvalho e Mendonça	/wiki/Paulo_Ant%C3%B3nio_de_Carvalho_e_Mendon%C3%A7a	['1702', '1770']
Lucia Santos	/wiki/Lucia_Santos	['1907', '2005']
Paulus Orosius	/wiki/Paulus_Orosius	['385', '420']
Damasus I	/wiki/Damasus_I	['1900', '1950']
John XXI	/wiki/John_XXI	['1900', '1950']
Agostinho da Silva	/wiki/Agostinho_da_Silva	['1906', '1996']
António Castanheira Neves	/wiki/Ant%C3%B3nio_Castanheira_Neves	['1929', '2025']
António Sérgio	/wiki/Ant%C3%B3nio_S%C3%A9rgio	['1883', '1969']
Damião de Góis	/wiki/Dami%C3%A3o_de_G%C3%B3is	['1502', '1574']
Eduardo Lourenço	/wiki/Eduardo_Louren%C3%A7o	['1923', '2025']
