text	link	year
Kirk Acevedo	/wiki/Kirk_Acevedo	['1900', '1950']
José Miguel Agrelot	/wiki/Jos%C3%A9_Miguel_Agrelot	['1900', '1950']
Jorge Alberti	/wiki/Jorge_Alberti	['1900', '1950']
Trini Alvarado	/wiki/Trini_Alvarado	['1900', '1950']
Miguel Ángel Álvarez	/wiki/Miguel_%C3%81ngel_%C3%81lvarez	['1900', '1950']
La La Anthony	/wiki/La_La_Anthony	['1900', '1950']
Marc Anthony	/wiki/Marc_Anthony	['1900', '1950']
Victor Argo	/wiki/Victor_Argo	['1900', '1950']
Yancey Arias	/wiki/Yancey_Arias	['1900', '1950']
Raymond Arrieta	/wiki/Raymond_Arrieta	['1900', '1950']
Miguel Arteta	/wiki/Miguel_Arteta	['1900', '1950']
Rick Aviles	/wiki/Rick_Aviles	['1900', '1950']
Charlotte Ayanna	/wiki/Charlotte_Ayanna	['1900', '1950']
Ivonne Belén	/wiki/Ivonne_Bel%C3%A9n	['1900', '1950']
Rosa Blasi	/wiki/Rosa_Blasi	['1900', '1950']
Giselle Blondet	/wiki/Giselle_Blondet	['1900', '1950']
Diego Boneta	/wiki/Diego_Boneta	['1900', '1950']
Lucy Boscana	/wiki/Lucy_Boscana	['1900', '1950']
Paul Calderón	/wiki/Paul_Calder%C3%B3n	['1900', '1950']
Armando Calvo	/wiki/Armando_Calvo	['1900', '1950']
Norma Candal	/wiki/Norma_Candal	['1900', '1950']
Irene Cara	/wiki/Irene_Cara	['1900', '1950']
Awilda Carbia	/wiki/Awilda_Carbia	['1900', '1950']
Braulio Castillo	/wiki/Braulio_Castillo	['1900', '1950']
Braulio Castillo, hijo	/wiki/Braulio_Castillo,_hijo	['1900', '1950']
David Castro	/wiki/David_Castro_(actor)	['1900', '1950']
Raquel Castro	/wiki/Raquel_Castro	['1900', '1950']
Melwin Cedeño	/wiki/Melwin_Cede%C3%B1o	['1900', '1950']
Iris Chacón	/wiki/Iris_Chac%C3%B3n	['1900', '1950']
Abdiel Colberg	/wiki/Abdiel_Colberg_(director)	['1900', '1950']
Ivonne Coll	/wiki/Ivonne_Coll	['1900', '1950']
Míriam Colón	/wiki/M%C3%ADriam_Col%C3%B3n	['1900', '1950']
Liza Colón-Zayas	/wiki/Liza_Col%C3%B3n-Zayas	['1900', '1950']
Paquito Cordero	/wiki/Paquito_Cordero	['1900', '1950']
Mapita Cortés	/wiki/Mapita_Cort%C3%A9s	['1900', '1950']
Mapy Cortés	/wiki/Mapy_Cort%C3%A9s	['1900', '1950']
Auli'i Cravalho	/wiki/Auli%27i_Cravalho	['1900', '1950']
Mara Croatto	/wiki/Mara_Croatto	['1900', '1950']
