text	link	year
Pierre Bruneau	/wiki/Pierre_Bruneau_(journalist)	['1900', '1950']
Nathalie Chung	/wiki/Nathalie_Chung	['1900', '1950']
Bernard Derome	/wiki/Bernard_Derome	['1900', '1950']
Simon Durivage	/wiki/Simon_Durivage	['1900', '1950']
Céline Galipeau	/wiki/C%C3%A9line_Galipeau	['1900', '1950']
Bill Haugland	/wiki/Bill_Haugland	['1900', '1950']
Jean-Luc Mongrain	/wiki/Jean-Luc_Mongrain	['1900', '1950']
Pascale Nadeau	/wiki/Pascale_Nadeau	['1900', '1950']
Mutsumi Takahashi	/wiki/Mutsumi_Takahashi	['1900', '1950']
Sophie Thibault	/wiki/Sophie_Thibault	['1900', '1950']
Dennis Trudeau	/wiki/Dennis_Trudeau	['1900', '1950']
Todd van der Heyden	/wiki/Todd_van_der_Heyden	['1900', '1950']
Denys Arcand	/wiki/Denys_Arcand	['1900', '1950']
Paul Arcand	/wiki/Paul_Arcand	['1900', '1950']
Gilles Archambault	/wiki/Gilles_Archambault	['1900', '1950']
André Arthur	/wiki/Andr%C3%A9_Arthur	['1900', '1950']
Eva Avila	/wiki/Eva_Avila	['1900', '1950']
Rachid Badouri	/wiki/Rachid_Badouri	['1900', '1950']
René Balcer	/wiki/Ren%C3%A9_Balcer	['1900', '1950']
Raoul Barré	/wiki/Raoul_Barr%C3%A9	['1900', '1950']
Michel Barrette	/wiki/Michel_Barrette	['1900', '1950']
Jay Baruchel	/wiki/Jay_Baruchel	['1900', '1950']
Victor-Lévy Beaulieu	/wiki/Victor-L%C3%A9vy_Beaulieu	['1900', '1950']
Daniel Bélanger	/wiki/Daniel_B%C3%A9langer	['1900', '1950']
Marie-Claire Blais	/wiki/Marie-Claire_Blais	['1900', '1950']
Paul Bley	/wiki/Paul_Bley	['1900', '1950']
Lothaire Bluteau	/wiki/Lothaire_Bluteau	['1900', '1950']
Nage	/wiki/Nage	['1900', '1950']
La Bolduc	/wiki/La_Bolduc	['1900', '1950']
Paul-Émile Borduas	/wiki/Paul-%C3%89mile_Borduas	['1900', '1950']
Isabelle Boulay	/wiki/Isabelle_Boulay	['1900', '1950']
Gerry Boulet	/wiki/Gerry_Boulet	['1900', '1950']
Pierre Bouvier	/wiki/Pierre_Bouvier	['1900', '1950']
Glenda Braganza	/wiki/Glenda_Braganza	['1900', '1950']
Michel Brault	/wiki/Michel_Brault	['1900', '1950']
Geneviève Bujold	/wiki/Genevi%C3%A8ve_Bujold	['1900', '1950']
Pascale Bussières	/wiki/Pascale_Bussi%C3%A8res	['1900', '1950']
Win Butler	/wiki/Win_Butler	['1900', '1950']
Roch Carrier	/wiki/Roch_Carrier	['1900', '1950']
Charles Carson	/wiki/Charles_Carson_(painter)	['1900', '1950']
Robert Charlebois	/wiki/Robert_Charlebois	['1900', '1950']
Régine Chassagne	/wiki/R%C3%A9gine_Chassagne	['1900', '1950']
Coeur de Pirate	/wiki/Coeur_de_Pirate	['1900', '1950']
Leonard Cohen	/wiki/Leonard_Cohen	['1900', '1950']
Marie-Josée Croze	/wiki/Marie-Jos%C3%A9e_Croze	['1900', '1950']
Peter Cullen	/wiki/Peter_Cullen	['1900', '1950']
Elisha Cuthbert	/wiki/Elisha_Cuthbert	['1900', '1950']
Sylvia Daoust	/wiki/Sylvia_Daoust	['1900', '1950']
Charles Daudelin	/wiki/Charles_Daudelin	['1900', '1950']
Esther Delisle	/wiki/Esther_Delisle	['1900', '1950']
Yvon Deschamps	/wiki/Yvon_Deschamps	['1900', '1950']
Celine Dion	/wiki/Celine_Dion	['1900', '1950']
Georges Dor	/wiki/Georges_Dor	['1900', '1950']
Hélène Dorion	/wiki/H%C3%A9l%C3%A8ne_Dorion	['1900', '1950']
Fifi D'Orsay	/wiki/Fifi_D%27Orsay	['1900', '1950']
Jean Duceppe	/wiki/Jean_Duceppe	['1900', '1950']
Louis Dudek	/wiki/Louis_Dudek	['1900', '1950']
Diane Dufresne	/wiki/Diane_Dufresne	['1900', '1950']
Roy Dupuis	/wiki/Roy_Dupuis	['1900', '1950']
Marcelle Ferron	/wiki/Marcelle_Ferron	['1900', '1950']
Jennifer Finnigan	/wiki/Jennifer_Finnigan	['1900', '1950']
Serge Fiori	/wiki/Serge_Fiori	['1900', '1950']
Glenn Ford	/wiki/Glenn_Ford	['1900', '1950']
Garou	/wiki/Garou_(singer)	['1900', '1950']
Mitsou	/wiki/Mitsou	['1900', '1950']
Jean-Claude Germain	/wiki/Jean-Claude_Germain	['1900', '1950']
