text	link	year
Sabi	/wiki/Sabi_(singer)	['1900', '1950']
Tonton David	/wiki/Tonton_David	['1900', '1950']
Ziskakan	/wiki/Ziskakan	['1900', '1950']
Huguette Bello	/wiki/Huguette_Bello	['1900', '1950']
Michel Houellebecq	/wiki/Michel_Houellebecq	['1900', '1950']
Yves Manglou	/wiki/Yves_Manglou	['1900', '1950']
Keiiti Aki	/wiki/Keiiti_Aki	['1900', '1950']
Edmond Albius	/wiki/Edmond_Albius	['1900', '1950']
Jacques Payet	/wiki/Jacques_Payet	['1900', '1950']
Bao Vang	/wiki/Bao_Vang	['1900', '1950']
Mafate	/wiki/Mafate	['1900', '1950']
Maloya	/wiki/Maloya	['1900', '1950']
Sega music	/wiki/Sega_music	['1900', '1950']
