text	link	year
Romani society and culture	/wiki/Romani_society_and_culture	['1900', '1950']
Romani music	/wiki/Romani_music	['1900', '1950']
Romani language	/wiki/Romani_language	['1900', '1950']
Romani dance	/wiki/Romani_dance	['1900', '1950']
Romani people	/wiki/Romani_people#Religion	['1900', '1950']
Garachi	/wiki/Garachi	['1900', '1950']
Erromintxela	/wiki/Erromintxela	['1900', '1950']
Boyash	/wiki/Boyash	['1900', '1950']
Romanichal	/wiki/Romanichal	['1900', '1950']
Finnish Kale	/wiki/Finnish_Kale	['1900', '1950']
Sinti	/wiki/Sinti	['1900', '1950']
Gurbeti	/wiki/Gurbeti	['1900', '1950']
Zargari people	/wiki/Zargari_people	['1900', '1950']
Kawliya	/wiki/Kawliya	['1900', '1950']
Lăutari	/wiki/L%C4%83utari	['1900', '1950']
Lovari	/wiki/Lovari	['1900', '1950']
Cascarots	/wiki/Cascarots	['1900', '1950']
Norwegian and Swedish Travellers	/wiki/Norwegian_and_Swedish_Travellers	['1900', '1950']
Bergitka Roma	/wiki/Bergitka_Roma	['1900', '1950']
Polska Roma	/wiki/Polska_Roma	['1900', '1950']
Ruska Roma	/wiki/Ruska_Roma	['1900', '1950']
Servitka Roma	/wiki/Servitka_Roma	['1900', '1950']
Machvaya	/wiki/Machvaya	['1900', '1950']
Gitanos	/wiki/Gitanos	['1900', '1950']
Norwegian and Swedish Travellers	/wiki/Norwegian_and_Swedish_Travellers	['1900', '1950']
Crymy	/wiki/Crymy	['1900', '1950']
Servitka Roma	/wiki/Servitka_Roma	['1900', '1950']
Ursari	/wiki/Ursari	['1900', '1950']
Kale	/wiki/Kale_(Welsh_Romanies)	['1900', '1950']
Wikipedia:WikiProject Romani people	/wiki/Wikipedia:WikiProject_Romani_people	['1900', '1950']
Template:Romani people	/wiki/Template:Romani_people	['1900', '1950']
Template talk:Romani people	/wiki/Template_talk:Romani_people	['1900', '1950']
László Berényi	/wiki/L%C3%A1szl%C3%B3_Ber%C3%A9nyi	['1900', '1950']
Dávid Daróczi	/wiki/D%C3%A1vid_Dar%C3%B3czi	['1972', '2010']
Juan de Dios Ramírez Heredia	/wiki/Juan_de_Dios_Ram%C3%ADrez_Heredia	['1900', '1950']
Damian Draghici	/wiki/Damian_Draghici	['1970', '2025']
Rajko Djuric	/wiki/Rajko_Djuric	['1947', '2025']
Flórián Farkas	/wiki/Fl%C3%B3ri%C3%A1n_Farkas	['1900', '1950']
James Farnell	/wiki/James_Farnell	['1825', '1888']
Bajram Haliti	/wiki/Bajram_Haliti	['1900', '1950']
Ian Hancock	/wiki/Ian_Hancock	['1900', '1950']
Amber L. Hollibaugh	/wiki/Amber_L._Hollibaugh	['1900', '1950']
Lívia Járóka	/wiki/L%C3%ADvia_J%C3%A1r%C3%B3ka	['1900', '1950']
Orbán Kolompár	/wiki/Orb%C3%A1n_Kolomp%C3%A1r	['1900', '1950']
Ali Krasniqi	/wiki/Ali_Krasniqi	['1900', '1950']
Juscelino Kubitschek	/wiki/Juscelino_Kubitschek	['1900', '1950']
Ronald Lee	/wiki/Ronald_Lee	['1934', '2025']
Mihály Lukács	/wiki/Mih%C3%A1ly_Luk%C3%A1cs	['1954', '2012']
Washington Luís	/wiki/Washington_Lu%C3%ADs	['1900', '1950']
Alfonso Mejia-Arias	/wiki/Alfonso_Mejia-Arias	['1900', '1950']
Viktória Mohácsi	/wiki/Vikt%C3%B3ria_Moh%C3%A1csi	['1975', '2025']
Ágnes Osztolykán	/wiki/%C3%81gnes_Osztolyk%C3%A1n	['1900', '1950']
Talaat Pasha	/wiki/Talaat_Pasha	['1900', '1950']
Nicolae Păun	/wiki/Nicolae_P%C4%83un	['1900', '1950']
Soraya Post	/wiki/Soraya_Post	['1956', '2025']
Ştefan Răzvan	/wiki/%C5%9Etefan_R%C4%83zvan	['1900', '1950']
Sani Rifati	/wiki/Sani_Rifati	['1900', '1950']
Ernest Rogers	/wiki/Ernest_Rogers	['1914', '2004']
Romani Rose	/wiki/Romani_Rose	['1900', '1950']
Rudolf Sarközi	/wiki/Rudolf_Sark%C3%B6zi	['1900', '1950']
József Varga	/wiki/J%C3%B3zsef_Varga_(politician)	['1900', '1950']
Mădălin Voicu	/wiki/M%C4%83d%C4%83lin_Voicu	['1952', '2025']
Veijo Baltzar	/wiki/Veijo_Baltzar	['1900', '1950']
Edward Dębicki	/wiki/Edward_D%C4%99bicki	['1900', '1950']
Rajko Djuric	/wiki/Rajko_Djuric	['1947', '2025']
Louise Doughty	/wiki/Louise_Doughty	['1900', '1950']
Karen Finley	/wiki/Karen_Finley	['1900', '1950']
Delia Grigore	/wiki/Delia_Grigore	['1972', '2025']
Caren Gussoff	/wiki/Caren_Gussoff	['1900', '1950']
Bajram Haliti	/wiki/Bajram_Haliti	['1900', '1950']
Lafcadio Hearn	/wiki/Lafcadio_Hearn	['1900', '1950']
Usin Kerim	/wiki/Usin_Kerim	['1900', '1950']
Menyhért Lakatos	/wiki/Menyh%C3%A9rt_Lakatos	['1926', '2007']
Ronald Lee	/wiki/Ronald_Lee	['1900', '1950']
Baja Saitovic Lukin	/wiki/Baja_Saitovic_Lukin	['1900', '1950']
Oksana Marafioti	/wiki/Oksana_Marafioti	['1900', '1950']
Matéo Maximoff	/wiki/Mat%C3%A9o_Maximoff	['1900', '1950']
Mehmed Merejan	/wiki/Mehmed_Merejan	['1900', '1950']
David Morley	/wiki/David_Morley_(poet)	['1900', '1950']
Anton Pann	/wiki/Anton_Pann	['1900', '1950']
Muharem Serbezovski	/wiki/Muharem_Serbezovski	['1900', '1950']
Charlie Smith	/wiki/Charlie_Smith_(Romani_poet)	['1900', '1950']
Ceija Stojka	/wiki/Ceija_Stojka	['1933', '2025']
Katarina Taikon	/wiki/Katarina_Taikon	['1932', '1995']
Bronisława Wajs	/wiki/Bronis%C5%82awa_Wajs	['1908', '1987']
Mikey Walsh	/wiki/Mikey_Walsh	['1900', '1950']
Carmen Amaya	/wiki/Carmen_Amaya	['1913', '1963']
Remedios Amaya	/wiki/Remedios_Amaya	['1900', '1950']
La Excepción	/wiki/La_Excepci%C3%B3n	['1900', '1950']
Azis	/wiki/Azis	['1900', '1950']
Elek Bacsik	/wiki/Elek_Bacsik	['1926', '1993']
Saban Bajramovic	/wiki/Saban_Bajramovic	['1936', '2008']
Janika Balázs	/wiki/Janika_Bal%C3%A1zs	['1925', '1988']
Tonino Baliardo	/wiki/Tonino_Baliardo	['1900', '1950']
Kálmán Balogh	/wiki/K%C3%A1lm%C3%A1n_Balogh	['1900', '1950']
Radoslav Banga	/wiki/Radoslav_Banga	['1900', '1950']
Vierka Berkyová	/wiki/Vierka_Berkyov%C3%A1	['1900', '1950']
János Bihari	/wiki/J%C3%A1nos_Bihari	['1764', '1827']
Věra Bílá	/wiki/V%C4%9Bra_B%C3%ADl%C3%A1	['1954', '2025']
Iva Bittová	/wiki/Iva_Bittov%C3%A1	['1958', '2025']
Robi Botos	/wiki/Robi_Botos	['1900', '1950']
Georges Boulanger	/wiki/Georges_Boulanger_(violinist)	['1900', '1950']
Sibel Can	/wiki/Sibel_Can	['1900', '1950']
Manolo Caracol	/wiki/Manolo_Caracol	['1909', '1973']
Antonio Carbonell	/wiki/Antonio_Carbonell	['1900', '1950']
Panna Cinka	/wiki/Panna_Cinka	['1711', '1772']
Fanfare Ciocărlia	/wiki/Fanfare_Cioc%C4%83rlia	['1900', '1950']
Sandu Ciorba	/wiki/Sandu_Ciorba	['1900', '1950']
Connect-R	/wiki/Connect-R	['1900', '1950']
Joaquín Cortés	/wiki/Joaqu%C3%ADn_Cort%C3%A9s	['1900', '1950']
Georges Cziffra	/wiki/Georges_Cziffra	['1921', '1994']
Pista Dankó	/wiki/Pista_Dank%C3%B3	['1858', '2025']
Sandro de América	/wiki/Sandro_de_Am%C3%A9rica	['1945', '2010']
Camarón de la Isla	/wiki/Camar%C3%B3n_de_la_Isla	['1950', '1992']
Manitas de Plata	/wiki/Manitas_de_Plata	['1921', '2014']
Angelo Debarre	/wiki/Angelo_Debarre	['1900', '1950']
Drafi Deutscher	/wiki/Drafi_Deutscher	['1946', '2006']
Grigoraş Dinicu	/wiki/Grigora%C5%9F_Dinicu	['1900', '1950']
Damian Draghici	/wiki/Damian_Draghici	['1900', '1950']
Sébastien El Chato	/wiki/S%C3%A9bastien_El_Chato	['1900', '1950']
Diego El Cigala	/wiki/Diego_El_Cigala	['1900', '1950']
Christian Escoudé	/wiki/Christian_Escoud%C3%A9	['1900', '1950']
Vicente Escudero	/wiki/Vicente_Escudero	['1900', '1950']
Falete	/wiki/Falete	['1900', '1950']
Antonio Flores	/wiki/Antonio_Flores	['1961', '1995']
Lolita Flores	/wiki/Lolita_Flores	['1900', '1950']
Rosario Flores	/wiki/Rosario_Flores	['1963', '2025']
Cor Fuhler	/wiki/Cor_Fuhler	['1900', '1950']
Kendji Girac	/wiki/Kendji_Girac	['1900', '1950']
Edyta Górniak	/wiki/Edyta_G%C3%B3rniak	['1972', '2025']
César Guerra-Peixe	/wiki/C%C3%A9sar_Guerra-Peixe	['1914', '1993']
Nicolae Guță	/wiki/Nicolae_Gu%C8%9B%C4%83	['1900', '1950']
Taraful Haiducilor	/wiki/Taraful_Haiducilor	['1900', '1950']
Kostas Hatzis	/wiki/Kostas_Hatzis	['1900', '1950']
Eugene Hütz	/wiki/Eugene_H%C3%BCtz	['1900', '1950']
Natalia Jiménez	/wiki/Natalia_Jim%C3%A9nez	['1981', '2025']
Kal	/wiki/Kal_(band)	['1900', '1950']
Ketama	/wiki/Ketama	['1900', '1950']
Cher Lloyd	/wiki/Cher_Lloyd	['1900', '1950']
Angel Jordanov Kapsov	/wiki/Angel_Jordanov_Kapsov	['1957', '2014']
Didem	/wiki/Didem_(belly_dancer)	['1900', '1950']
Sasha Kolpakov	/wiki/Sasha_Kolpakov	['1943', '2025']
Mónika Juhász Miczura	/wiki/M%C3%B3nika_Juh%C3%A1sz_Miczura	['1900', '1950']
Fapy Lafertin	/wiki/Fapy_Lafertin	['1900', '1950']
Biréli Lagrène	/wiki/Bir%C3%A9li_Lagr%C3%A8ne	['1966', '2025']
Denny Laine	/wiki/Denny_Laine	['1900', '1950']
Félix Lajkó	/wiki/F%C3%A9lix_Lajk%C3%B3	['1974', '2025']
Roby Lakatos	/wiki/Roby_Lakatos	['1900', '1950']
Tony Lakatos	/wiki/Tony_Lakatos	['1900', '1950']
Albert Lee	/wiki/Albert_Lee	['1943', '2025']
Pyotr Leshchenko	/wiki/Pyotr_Leshchenko	['1858', '2025']
Joe Longthorne	/wiki/Joe_Longthorne	['1955', '2025']
Los Niños de Sara	/wiki/Los_Ni%C3%B1os_de_Sara	['1900', '1950']
Fănică Luca	/wiki/F%C4%83nic%C4%83_Luca	['1894', '1968']
Gabi Luncă	/wiki/Gabi_Lunc%C4%83	['1938', '2025']
Aggelopoulos Manolis	/wiki/Aggelopoulos_Manolis	['1939', '1989']
Sofi Marinova	/wiki/Sofi_Marinova	['1900', '1950']
Boban Marković	/wiki/Boban_Markovi%C4%87	['1900', '1950']
Jerry Mason	/wiki/Jerry_Mason_(singer)	['1900', '1950']
Alfonso Mejia-Arias	/wiki/Alfonso_Mejia-Arias	['1900', '1950']
Irini Merkouri	/wiki/Irini_Merkouri	['1981', '2025']
Ionică Minune	/wiki/Ionic%C4%83_Minune	['1900', '1950']
Carlos Montoya	/wiki/Carlos_Montoya	['1903', '1993']
Ramón Montoya	/wiki/Ram%C3%B3n_Montoya	['1889', '1949']
Ferus Mustafov	/wiki/Ferus_Mustafov	['1900', '1950']
Nicolae Neacşu	/wiki/Nicolae_Neac%C5%9Fu	['1900', '1950']
Mary Nótár	/wiki/Mary_N%C3%B3t%C3%A1r	['1900', '1950']
Gergő Oláh	/wiki/Gerg%C5%91_Ol%C3%A1h_(singer)	['1900', '1950']
Ginesa Ortega	/wiki/Ginesa_Ortega	['1900', '1950']
Isabel Pantoja	/wiki/Isabel_Pantoja	['1900', '1950']
Ivo Papazov	/wiki/Ivo_Papazov	['1952', '2025']
Aladár Pege	/wiki/Alad%C3%A1r_Pege	['1939', '2006']
Peret	/wiki/Peret	['1935', '2014']
Zlata Petrović	/wiki/Zlata_Petrovi%C4%87	['1900', '1950']
Robert Plant	/wiki/Robert_Plant	['1948', '2025']
Valentina Ponomaryova	/wiki/Valentina_Ponomaryova_(singer)	['1939', '2025']
Romica Puceanu	/wiki/Romica_Puceanu	['1928', '1996']
Gigi Radics	/wiki/Gigi_Radics	['1900', '1950']
Johnny Răducanu	/wiki/Johnny_R%C4%83ducanu	['1931', '2025']
Džej Ramadanovski	/wiki/D%C5%BEej_Ramadanovski	['1964', '2025']
Rayito	/wiki/Rayito	['1900', '1950']
Esma Redzepova	/wiki/Esma_Redzepova	['1943', '2016']
Babik Reinhardt	/wiki/Babik_Reinhardt	['1900', '1950']
Django Reinhardt	/wiki/Django_Reinhardt	['1900', '1950']
Nicolas Reyes	/wiki/Nicolas_Reyes	['1958', '2025']
Reyhan	/wiki/Reyhan_(Bulgarian_singer)	['1986', '2005']
Jimmy Rosenberg	/wiki/Jimmy_Rosenberg	['1980', '2025']
Marianne Rosenberg	/wiki/Marianne_Rosenberg	['1955', '2025']
Sabicas	/wiki/Sabicas	['1912', '1990']
Sinan Sakić	/wiki/Sinan_Saki%C4%87	['1900', '1950']
Florin Salam	/wiki/Florin_Salam	['1900', '1950']
Tanja Savić	/wiki/Tanja_Savi%C4%87	['1900', '1950']
Paulus Schafer	/wiki/Paulus_Schafer	['1978', '2025']
Tchavolo Schmitt	/wiki/Tchavolo_Schmitt	['1954', '2025']
Hüsnü Şenlendirici	/wiki/H%C3%BCsn%C3%BC_%C5%9Eenlendirici	['1900', '1950']
Selim Sesler	/wiki/Selim_Sesler	['1957', '2014']
Harri Stojka	/wiki/Harri_Stojka	['1900', '1950']
Wally Tax	/wiki/Wally_Tax	['1900', '1950']
Tomatito	/wiki/Tomatito	['1900', '1950']
Manuel Torre	/wiki/Manuel_Torre	['1878', '1933']
Mariska Veres	/wiki/Mariska_Veres	['1947', '2006']
Ion Voicu	/wiki/Ion_Voicu	['1923', '1997']
Mădălin Voicu	/wiki/M%C4%83d%C4%83lin_Voicu	['1900', '1950']
Sotis Volanis	/wiki/Sotis_Volanis	['1900', '1950']
Ronnie Wood	/wiki/Ronnie_Wood	['1900', '1950']
Yuri Yunakov	/wiki/Yuri_Yunakov	['1900', '1950']
Joe Zawinul	/wiki/Joe_Zawinul	['1900', '1950']
Eeki Mantere	/wiki/Eeki_Mantere	['1900', '1950']
Remu Aaltonen	/wiki/Remu_Aaltonen	['1900', '1950']
Andy McCoy	/wiki/Andy_McCoy	['1900', '1950']
Lolita Flores	/wiki/Lolita_Flores	['1900', '1950']
Elena Furiase	/wiki/Elena_Furiase	['1900', '1950']
Alba Flores	/wiki/Alba_Flores	['1900', '1950']
Hiba Abouk	/wiki/Hiba_Abouk	['1900', '1950']
Jesús Castro	/wiki/Jes%C3%BAs_Castro_(actor)	['1900', '1950']
Fairuza Balk	/wiki/Fairuza_Balk	['1900', '1950']
Ştefan Bănică, Jr.	/wiki/%C5%9Etefan_B%C4%83nic%C4%83,_Jr.	['1900', '1950']
Ştefan Bănică, Sr.	/wiki/%C5%9Etefan_B%C4%83nic%C4%83,_Sr.	['1933', '1995']
Tony Gatlif	/wiki/Tony_Gatlif	['1900', '1950']
Jill Hennessy	/wiki/Jill_Hennessy	['1900', '1950']
Manoush	/wiki/Manoush	['1900', '1950']
Nikolai Slichenko	/wiki/Nikolai_Slichenko	['1900', '1950']
Rosa Taikon	/wiki/Rosa_Taikon	['1926', '2017']
Tracey Ullman	/wiki/Tracey_Ullman	['1900', '1950']
Bob Hoskins	/wiki/Bob_Hoskins	['1942', '2014']
