text	link	year
Mircea cel Bătrân	/wiki/Mircea_cel_B%C4%83tr%C3%A2n	['1900', '1950']
Neagoe Basarab	/wiki/Neagoe_Basarab	['1900', '1950']
Nicolaus Olahus	/wiki/Nicolaus_Olahus	['1900', '1950']
Ştefan cel Mare	/wiki/%C5%9Etefan_cel_Mare	['1900', '1950']
Vlad Țepeș	/wiki/Vlad_%C8%9Aepe%C8%99	['1900', '1950']
Alexandru cel Bun	/wiki/Alexandru_cel_Bun	['1900', '1950']
Petru Rareș	/wiki/Petru_Rare%C8%99	['1900', '1950']
Mihai Viteazul	/wiki/Mihai_Viteazul	['1900', '1950']
Dimitrie Cantemir	/wiki/Dimitrie_Cantemir	['1900', '1950']
Antioch Kantemir	/wiki/Antioch_Kantemir	['1900', '1950']
Constantin Brancoveanu	/wiki/Constantin_Brancoveanu	['1900', '1950']
Tudor Vladimirescu	/wiki/Tudor_Vladimirescu	['1900', '1950']
Gheorghe Bibescu	/wiki/Gheorghe_Bibescu	['1900', '1950']
Barbu Dimitrie Știrbei	/wiki/Barbu_Dimitrie_%C8%98tirbei	['1900', '1950']
Alexandru Ioan Cuza	/wiki/Alexandru_Ioan_Cuza	['1900', '1950']
Ion Antonescu	/wiki/Ion_Antonescu	['1900', '1950']
Alexandru Averescu	/wiki/Alexandru_Averescu	['1900', '1950']
Nicolae Bălcescu	/wiki/Nicolae_B%C4%83lcescu	['1900', '1950']
Antoine Bibesco	/wiki/Antoine_Bibesco	['1900', '1950']
Lascăr Catargiu	/wiki/Lasc%C4%83r_Catargiu	['1900', '1950']
Petre Dumitrescu	/wiki/Petre_Dumitrescu	['1900', '1950']
Avram Iancu	/wiki/Avram_Iancu	['1900', '1950']
Take Ionescu	/wiki/Take_Ionescu	['1900', '1950']
Mihail Lascăr	/wiki/Mihail_Lasc%C4%83r	['1900', '1950']
Mihail Manoilescu	/wiki/Mihail_Manoilescu	['1900', '1950']
Gheorghe Grigore Cantacuzino	/wiki/Gheorghe_Grigore_Cantacuzino	['1900', '1950']
Alexandru Marghiloman	/wiki/Alexandru_Marghiloman	['1900', '1950']
Gheorghe G. Mironescu	/wiki/Gheorghe_G._Mironescu	['1900', '1950']
Nicolae Rădescu	/wiki/Nicolae_R%C4%83descu	['1900', '1950']
Octavian Goga	/wiki/Octavian_Goga	['1900', '1950']
Barbu Ştefănescu Delavrancea	/wiki/Barbu_%C5%9Etef%C4%83nescu_Delavrancea	['1900', '1950']
Mugur Isărescu	/wiki/Mugur_Is%C4%83rescu	['1900', '1950']
Emil Constantinescu	/wiki/Emil_Constantinescu	['1900', '1950']
Radu Vasile	/wiki/Radu_Vasile	['1900', '1950']
Ion Rațiu	/wiki/Ion_Ra%C8%9Biu	['1900', '1950']
Corneliu Coposu	/wiki/Corneliu_Coposu	['1900', '1950']
Doina Cornea	/wiki/Doina_Cornea	['1900', '1950']
Iuliu Maniu	/wiki/Iuliu_Maniu	['1900', '1950']
Ion Mihalache	/wiki/Ion_Mihalache	['1900', '1950']
Ion C. Brătianu	/wiki/Ion_C._Br%C4%83tianu	['1900', '1950']
Ion I. C. Brătianu	/wiki/Ion_I._C._Br%C4%83tianu	['1900', '1950']
Ion G. Duca	/wiki/Ion_G._Duca	['1900', '1950']
Ion Ghica	/wiki/Ion_Ghica	['1900', '1950']
Mihail Kogălniceanu	/wiki/Mihail_Kog%C4%83lniceanu	['1900', '1950']
C. A. Rosetti	/wiki/C._A._Rosetti	['1900', '1950']
Dimitrie Sturdza	/wiki/Dimitrie_Sturdza	['1900', '1950']
Dinu Brătianu	/wiki/Dinu_Br%C4%83tianu	['1900', '1950']
Radu Câmpeanu	/wiki/Radu_C%C3%A2mpeanu	['1900', '1950']
Mircea Ionescu Quintus	/wiki/Mircea_Ionescu_Quintus	['1993', '2001']
Theodor Stolojan	/wiki/Theodor_Stolojan	['2002', '2004']
Mihai Răzvan Ungureanu	/wiki/Mihai_R%C4%83zvan_Ungureanu	['2004', '2007']
Crin Antonescu	/wiki/Crin_Antonescu	['2009', '2014']
Călin Popescu-Tăriceanu	/wiki/C%C4%83lin_Popescu-T%C4%83riceanu	['2004', '2009']
Klaus Johannis	/wiki/Klaus_Johannis	['1900', '1950']
Cătălin Predoiu	/wiki/C%C4%83t%C4%83lin_Predoiu	['1900', '1950']
Siegfried Mureșan	/wiki/Siegfried_Mure%C8%99an	['1900', '1950']
Renate Weber	/wiki/Renate_Weber	['1900', '1950']
Eduard Hellvig	/wiki/Eduard_Hellvig	['1900', '1950']
Neagu Djuvara	/wiki/Neagu_Djuvara	['1900', '1950']
Nicolae Manolescu	/wiki/Nicolae_Manolescu	['1900', '1950']
Petru Groza	/wiki/Petru_Groza	['1900', '1950']
