text	link	year
Rurik	/wiki/Rurik	['1900', '1950']
Oleg the Seer	/wiki/Oleg_the_Seer	['1900', '1950']
St. Olga	/wiki/St._Olga	['1900', '1950']
Vladimir II Monomakh	/wiki/Vladimir_II_Monomakh	['1900', '1950']
Yury I	/wiki/Yury_I	['1900', '1950']
Andrey Bogolyubsky	/wiki/Andrey_Bogolyubsky	['1900', '1950']
Vsevolod the Big Nest	/wiki/Vsevolod_the_Big_Nest	['1900', '1950']
Alexander Nevsky	/wiki/Alexander_Nevsky	['1900', '1950']
Ivan Kalita	/wiki/Ivan_Kalita	['1900', '1950']
Simeon Gordy	/wiki/Simeon_Gordy	['1900', '1950']
Dmitry Donskoy	/wiki/Dmitry_Donskoy	['1900', '1950']
Ivan III	/wiki/Ivan_III	['1900', '1950']
Ivan the Terrible	/wiki/Ivan_the_Terrible	['1900', '1950']
Boris Godunov	/wiki/Boris_Godunov	['1900', '1950']
False Dmitriy I	/wiki/False_Dmitriy_I	['1900', '1950']
Vasili IV	/wiki/Vasili_IV	['1900', '1950']
False Dmitry II	/wiki/False_Dmitry_II	['1900', '1950']
Tsar Michael	/wiki/Tsar_Michael	['1900', '1950']
Peter the Great	/wiki/Peter_the_Great	['1900', '1950']
Catherine I	/wiki/Catherine_I	['1900', '1950']
Catherine the Great	/wiki/Catherine_the_Great	['1900', '1950']
Aleksandr II	/wiki/Aleksandr_II	['1900', '1950']
Nicholas II	/wiki/Nicholas_II	['1900', '1950']
Aleksey Arakcheyev	/wiki/Aleksey_Arakcheyev	['1900', '1950']
Abram Gannibal	/wiki/Abram_Gannibal	['1900', '1950']
Vasily Golitsyn	/wiki/Vasily_Golitsyn	['1900', '1950']
Fyodor Alexeyevich Golovin	/wiki/Fyodor_Alexeyevich_Golovin	['1900', '1950']
Alexander Gorchakov	/wiki/Alexander_Gorchakov	['1900', '1950']
Ivan Goremykin	/wiki/Ivan_Goremykin	['1900', '1950']
Alexander Kerensky	/wiki/Alexander_Kerensky	['1900', '1950']
Franz Lefort	/wiki/Franz_Lefort	['1900', '1950']
Georgy Lvov	/wiki/Georgy_Lvov	['1900', '1950']
Aleksandr Menshikov	/wiki/Aleksandr_Menshikov	['1900', '1950']
Pavel Milyukov	/wiki/Pavel_Milyukov	['1900', '1950']
Nikolay Muravyov-Amursky	/wiki/Nikolay_Muravyov-Amursky	['1900', '1950']
Karl Nesselrode	/wiki/Karl_Nesselrode	['1900', '1950']
G. G. Orlov	/wiki/G._G._Orlov	['1900', '1950']
Konstantin Pobedonostsev	/wiki/Konstantin_Pobedonostsev	['1900', '1950']
Grigory Potyomkin	/wiki/Grigory_Potyomkin	['1900', '1950']
Grigori Rasputin	/wiki/Grigori_Rasputin	['1900', '1950']
Kyrylo Rozumovskyi	/wiki/Kyrylo_Rozumovskyi	['1900', '1950']
Nikolay Rumyantsev	/wiki/Nikolay_Rumyantsev	['1900', '1950']
Mikhail Speransky	/wiki/Mikhail_Speransky	['1900', '1950']
Pyotr Stolypin	/wiki/Pyotr_Stolypin	['1900', '1950']
Ekaterina Vorontsova-Dashkova	/wiki/Ekaterina_Vorontsova-Dashkova	['1900', '1950']
Sergei Witte	/wiki/Sergei_Witte	['1900', '1950']
Nikolai Bukharin	/wiki/Nikolai_Bukharin	['1900', '1950']
Nikolai Bulganin	/wiki/Nikolai_Bulganin	['1900', '1950']
Mikhail Gorbachev	/wiki/Mikhail_Gorbachev	['1900', '1950']
Mikhail Kalinin	/wiki/Mikhail_Kalinin	['1900', '1950']
Nikita Khrushchev	/wiki/Nikita_Khrushchev	['1900', '1950']
Alexei Kosygin	/wiki/Alexei_Kosygin	['1900', '1950']
Vladimir Lenin	/wiki/Vladimir_Lenin	['1900', '1950']
Anatoly Lunacharsky	/wiki/Anatoly_Lunacharsky	['1900', '1950']
Georgy Malenkov	/wiki/Georgy_Malenkov	['1900', '1950']
