text	link	year
Théoneste Bagosora	/wiki/Th%C3%A9oneste_Bagosora	['1900', '1950']
Bernard Ntuyahaga	/wiki/Bernard_Ntuyahaga	['1900', '1950']
Kayumba Nyamwasa	/wiki/Kayumba_Nyamwasa	['1900', '1950']
James Kabarebe	/wiki/James_Kabarebe	['1900', '1950']
Patrick Nyamvumba	/wiki/Patrick_Nyamvumba	['1900', '1950']
Jean-Paul Akayesu	/wiki/Jean-Paul_Akayesu	['1900', '1950']
Jean Bosco Barayagwiza	/wiki/Jean_Bosco_Barayagwiza	['1900', '1950']
Christophe Bazivamo	/wiki/Christophe_Bazivamo	['1900', '1950']
Augustin Bizimana	/wiki/Augustin_Bizimana	['1900', '1950']
Jean-Damascène Bizimana	/wiki/Jean-Damasc%C3%A8ne_Bizimana	['1900', '1950']
Augustin Bizimungu	/wiki/Augustin_Bizimungu	['1900', '1950']
Pasteur Bizimungu	/wiki/Pasteur_Bizimungu	['1900', '1950']
Anastase Gasana	/wiki/Anastase_Gasana	['1900', '1950']
Juvénal Habyarimana	/wiki/Juv%C3%A9nal_Habyarimana	['1900', '1950']
Jean Marie Higiro	/wiki/Jean_Marie_Higiro	['1900', '1950']
Paul Kagame	/wiki/Paul_Kagame	['1900', '1950']
Jean Kambanda	/wiki/Jean_Kambanda	['1900', '1950']
Judith Kanakuze	/wiki/Judith_Kanakuze	['1959', '2010']
Janvier Kanyamashuli	/wiki/Janvier_Kanyamashuli	['1900', '1950']
Grégoire Kayibanda	/wiki/Gr%C3%A9goire_Kayibanda	['1900', '1950']
Bernard Makuza	/wiki/Bernard_Makuza	['1900', '1950']
Dominique Mbonyumutwa	/wiki/Dominique_Mbonyumutwa	['1900', '1950']
Ignace Murwanashyaka	/wiki/Ignace_Murwanashyaka	['1900', '1950']
Mutara II Rwogera	/wiki/Mutara_II_Rwogera	['1900', '1950']
Lando Ndasingwa	/wiki/Lando_Ndasingwa	['1900', '1950']
André Ntagerura	/wiki/Andr%C3%A9_Ntagerura	['1900', '1950']
Jean de Dieu Ntiruhungwa	/wiki/Jean_de_Dieu_Ntiruhungwa	['1900', '1950']
Seth Sendashonga	/wiki/Seth_Sendashonga	['1900', '1950']
André Kagwa Rwisereka	/wiki/Andr%C3%A9_Kagwa_Rwisereka	['1949', '2010']
Théodore Sindikubwabo	/wiki/Th%C3%A9odore_Sindikubwabo	['1900', '1950']
Pascal Simbikangwa	/wiki/Pascal_Simbikangwa	['1900', '1950']
Faustin Twagiramungu	/wiki/Faustin_Twagiramungu	['1900', '1950']
Agathe Uwilingiyimana	/wiki/Agathe_Uwilingiyimana	['1900', '1950']
Protais Zigiranyirazo	/wiki/Protais_Zigiranyirazo	['1900', '1950']
Elizaphan Ntakirutimana	/wiki/Elizaphan_Ntakirutimana	['1924', '2007']
Athanase Seromba	/wiki/Athanase_Seromba	['1900', '1950']
Laurien Ntezimana	/wiki/Laurien_Ntezimana	['1900', '1950']
Dieudonné Disi	/wiki/Dieudonn%C3%A9_Disi	['1900', '1950']
Adrien Niyonshuti	/wiki/Adrien_Niyonshuti	['1900', '1950']
Mathias Ntawulikura	/wiki/Mathias_Ntawulikura	['1900', '1950']
Simon Bikindi	/wiki/Simon_Bikindi	['1900', '1950']
Agathe Habyarimana	/wiki/Agathe_Habyarimana	['1900', '1950']
Charles Ingabire	/wiki/Charles_Ingabire	['1900', '1950']
Félicien Kabuga	/wiki/F%C3%A9licien_Kabuga	['1900', '1950']
Enos Kagaba	/wiki/Enos_Kagaba	['1900', '1950']
Joseph Kavaruganda	/wiki/Joseph_Kavaruganda	['1900', '1950']
Léon Mugesera	/wiki/L%C3%A9on_Mugesera	['1900', '1950']
Ferdinand Nahimana	/wiki/Ferdinand_Nahimana	['1900', '1950']
Samuel Ndashyikirwa	/wiki/Samuel_Ndashyikirwa	['1900', '1950']
Hassan Ngeze	/wiki/Hassan_Ngeze	['1900', '1950']
Étienne Nzabonimana	/wiki/%C3%89tienne_Nzabonimana	['1900', '1950']
Sonia Rolland	/wiki/Sonia_Rolland	['1900', '1950']
Queen Rosalie Gicanda	/wiki/Queen_Rosalie_Gicanda	['1900', '1950']
Jean-Léonard Rugambage	/wiki/Jean-L%C3%A9onard_Rugambage	['1900', '1950']
Paul Rusesabagina	/wiki/Paul_Rusesabagina	['1900', '1950']
Benjamin Sehene	/wiki/Benjamin_Sehene	['1900', '1950']
Template:Rwanda topics	/wiki/Template:Rwanda_topics	['1900', '1950']
Template talk:Rwanda topics	/wiki/Template_talk:Rwanda_topics	['1900', '1950']
German East Africa	/wiki/German_East_Africa	['1900', '1950']
Ruanda-Urundi	/wiki/Ruanda-Urundi	['1900', '1950']
Ruzagayura famine	/wiki/Ruzagayura_famine	['1900', '1950']
Second Congo War	/wiki/Second_Congo_War	['1900', '1950']
Senate	/wiki/Senate_(Rwanda)	['1900', '1950']
