text	link	year
Makeba Alcide	/wiki/Makeba_Alcide	['1990', '2025']
Pamela Alfred	/wiki/Pamela_Alfred	['1978', '2025']
Kenny Anthony	/wiki/Kenny_Anthony	['1951', '2025']
Joyce Auguste	/wiki/Joyce_Auguste	['1900', '1950']
Marie Grace Augustin	/wiki/Marie_Grace_Augustin	['1897', '1996']
Michelle Baptiste	/wiki/Michelle_Baptiste	['1977', '2025']
Danielle Beaubrun	/wiki/Danielle_Beaubrun	['1990', '2025']
Kevin Bertin	/wiki/Kevin_Bertin	['1990', '2025']
Rufus Bousquet	/wiki/Rufus_Bousquet	['1958', '2025']
Winston Branch	/wiki/Winston_Branch	['1947', '2025']
Ignatius Cadette	/wiki/Ignatius_Cadette	['1957', '2025']
Neville Cenac	/wiki/Neville_Cenac	['1900', '1950']
Winston Cenac	/wiki/Winston_Cenac	['1925', '2004']
George Charles	/wiki/George_Charles	['1916', '2004']
Johnson Charles	/wiki/Johnson_Charles	['1989', '2025']
John Compton	/wiki/John_Compton	['1925', '2007']
Petrus Compton	/wiki/Petrus_Compton	['1900', '1950']
Stephen Dantes	/wiki/Stephen_Dantes	['1982', '2025']
Suzie d'Auvergne	/wiki/Suzie_d%27Auvergne	['1942', '2014']
Nicole David	/wiki/Nicole_David	['1900', '1950']
Justin Louis Devaux	/wiki/Justin_Louis_Devaux	['1884', '1943']
Darvin Edwards	/wiki/Darvin_Edwards	['1986', '2025']
Craig Emmanuel	/wiki/Craig_Emmanuel	['1986', '2025']
Edmund Estephane	/wiki/Edmund_Estephane	['1968', '2025']
Erma-Gene Evans	/wiki/Erma-Gene_Evans	['1984', '2025']
Verena Felician	/wiki/Verena_Felician	['1964', '2025']
Alvin La Feuille	/wiki/Alvin_La_Feuille	['1978', '2025']
Felix Finisterre	/wiki/Felix_Finisterre	['1900', '1950']
Vincent Floissac	/wiki/Vincent_Floissac	['1928', '2010']
Sarah Flood-Beaubrun	/wiki/Sarah_Flood-Beaubrun	['1969', '2025']
Emile Ford	/wiki/Emile_Ford	['1937', '2025']
Hunter J. Francois	/wiki/Hunter_J._Francois	['1924', '2014']
Walter Francois	/wiki/Walter_Francois	['1900', '1950']
Richard Frederick	/wiki/Richard_Frederick	['1965', '2025']
Louis George	/wiki/Louis_George_(politician)	['1900', '1950']
Cornelius Henry	/wiki/Cornelius_Henry	['1956', '2025']
"Ronald ""Boo"" Hinkson"	/wiki/Ronald_%22Boo%22_Hinkson	['1900', '1950']
Emma Hippolyte	/wiki/Emma_Hippolyte	['1900', '1950']
Kendel Hippolyte	/wiki/Kendel_Hippolyte	['1900', '1950']
Julian Hunte	/wiki/Julian_Hunte	['1940', '2025']
Shervon Jack	/wiki/Shervon_Jack	['1986', '2025']
Arsene James	/wiki/Arsene_James	['1900', '1950']
Earl Jean	/wiki/Earl_Jean	['1971', '2025']
Ignatius Jean	/wiki/Ignatius_Jean	['1900', '1950']
Velon John	/wiki/Velon_John	['1900', '1950']
Sonia M. Johnny	/wiki/Sonia_M._Johnny	['1953', '2025']
Dominic Johnson	/wiki/Dominic_Johnson	['1900', '1950']
Ezechiel Joseph	/wiki/Ezechiel_Joseph	['1900', '1950']
Guy Joseph	/wiki/Guy_Joseph	['1900', '1950']
Zepherinus Joseph	/wiki/Zepherinus_Joseph	['1975', '2025']
Peter Josie	/wiki/Peter_Josie	['1900', '1950']
Didacus Jules	/wiki/Didacus_Jules	['1900', '1950']
Jane King	/wiki/Jane_King_(poet)	['1952', '2025']
Stephenson King	/wiki/Stephenson_King	['1958', '2025']
Cyprian Lansiquot	/wiki/Cyprian_Lansiquot	['1900', '1950']
Cecil Lay	/wiki/Cecil_Lay	['1900', '1950']
Vernetta Lesforis	/wiki/Vernetta_Lesforis	['1975', '2025']
Alderman Lesmond	/wiki/Alderman_Lesmond	['1978', '2025']
Allen Montgomery Lewis	/wiki/Allen_Montgomery_Lewis	['1909', '1993']
Vaughan Lewis	/wiki/Vaughan_Lewis	['1940', '2025']
Arthur Lewis	/wiki/Arthur_Lewis_(economist)	['1915', '1991']
Allan Louisy	/wiki/Allan_Louisy	['1916', '2011']
Pearlette Louisy	/wiki/Pearlette_Louisy	['1946', '2025']
George Mallet	/wiki/George_Mallet	['1923', '2010']
Joseph Marcell	/wiki/Joseph_Marcell	['1948', '2025']
Mario Michel	/wiki/Mario_Michel	['1960', '2025']
Keith Mondesir	/wiki/Keith_Mondesir	['1948', '2025']
Lenard Montoute	/wiki/Lenard_Montoute	['1962', '2025']
Marcus Nicholas	/wiki/Marcus_Nicholas	['1900', '1950']
George Odlum	/wiki/George_Odlum	['1934', '2003']
Jamie Peterkin	/wiki/Jamie_Peterkin	['1982', '2025']
Michael Pilgrim	/wiki/Michael_Pilgrim	['1947', '2025']
Alain Providence	/wiki/Alain_Providence	['1976', '2025']
Menissa Rambally	/wiki/Menissa_Rambally	['1976', '2025']
Rene Regis	/wiki/Rene_Regis	['1973', '2025']
Alvina Reynolds	/wiki/Alvina_Reynolds	['1900', '1950']
Gale Rigobert	/wiki/Gale_Rigobert	['1900', '1950']
Heraldine Rock	/wiki/Heraldine_Rock	['1933', '2012']
Darren Sammy	/wiki/Darren_Sammy	['1983', '2025']
Jonel Scott	/wiki/Jonel_Scott	['1992', '2025']
Sesenne	/wiki/Sesenne	['1914', '2010']
Anthony Severin	/wiki/Anthony_Severin	['1955', '2025']
Aimran Simmons	/wiki/Aimran_Simmons	['1900', '1950']
Joseph Solomon	/wiki/Joseph_Solomon_(murderer)	['1900', '1950']
Levern Spencer	/wiki/Levern_Spencer	['1984', '2025']
Clement Springer	/wiki/Clement_Springer	['1900', '1950']
Philip Tisson	/wiki/Philip_Tisson	['1985', '2010']
Derek Alton Walcott	/wiki/Derek_Alton_Walcott	['1930', '2017']
Roderick Walcott	/wiki/Roderick_Walcott	['1930', '2000']
Rick Wayne	/wiki/Rick_Wayne	['1938', '2025']
Boswell Williams	/wiki/Boswell_Williams	['1926', '2025']
Marius Wilson	/wiki/Marius_Wilson	['1900', '1950']
Patrick Wilson	/wiki/Patrick_Wilson_(boxer)	['1900', '1950']
Trix Worrell	/wiki/Trix_Worrell	['1960', '2025']
Llewellyn Xavier	/wiki/Llewellyn_Xavier	['1945', '2025']
Marland Yarde	/wiki/Marland_Yarde	['1900', '1950']
