text	link	year
Consuelo de Saint Exupéry	/wiki/Consuelo_de_Saint_Exup%C3%A9ry	['1900', '1950']
Fernando Llort	/wiki/Fernando_Llort	['1900', '1950']
Noe Canjura	/wiki/Noe_Canjura	['1900', '1950']
Nicolas F. Shi	/wiki/Nicolas_F._Shi	['1900', '1950']
Patricia Chica	/wiki/Patricia_Chica	['1900', '1950']
Toño Salazar	/wiki/To%C3%B1o_Salazar	['1900', '1950']
Retna	/wiki/Retna	['1900', '1950']
Giovanni Gil	/wiki/Giovanni_Gil	['1900', '1950']
Alberto Masferrer	/wiki/Alberto_Masferrer	['1900', '1950']
Alfredo Betancourt	/wiki/Alfredo_Betancourt	['1900', '1950']
Ana Sol Gutiérrez	/wiki/Ana_Sol_Guti%C3%A9rrez	['1900', '1950']
Claribel Alegría	/wiki/Claribel_Alegr%C3%ADa	['1900', '1950']
Claudia Lars	/wiki/Claudia_Lars	['1900', '1950']
Ignacio Martín-Baró	/wiki/Ignacio_Mart%C3%ADn-Bar%C3%B3	['1900', '1950']
Jose Matias Delgado	/wiki/Jose_Matias_Delgado	['1900', '1950']
Juan Jose Canas	/wiki/Juan_Jose_Canas	['1900', '1950']
Manlio Argueta	/wiki/Manlio_Argueta	['1900', '1950']
Marcos Villatoro	/wiki/Marcos_Villatoro	['1900', '1950']
Matilde Elena López	/wiki/Matilde_Elena_L%C3%B3pez	['1900', '1950']
Pedro Geoffroy Rivas	/wiki/Pedro_Geoffroy_Rivas	['1900', '1950']
Roque Dalton	/wiki/Roque_Dalton	['1900', '1950']
Salarrué	/wiki/Salarru%C3%A9	['1900', '1950']
Dr. Tania Pleitez	/wiki/Dr._Tania_Pleitez	['1900', '1950']
Ana Villafañe	/wiki/Ana_Villafa%C3%B1e	['1900', '1950']
Adrian Bellani	/wiki/Adrian_Bellani	['1900', '1950']
Álvaro Torres	/wiki/%C3%81lvaro_Torres	['1900', '1950']
Cáthia	/wiki/C%C3%A1thia	['1900', '1950']
Sabi	/wiki/Sabi_(singer)	['1900', '1950']
Crooked Stilo	/wiki/Crooked_Stilo	['1900', '1950']
Efren Ramirez	/wiki/Efren_Ramirez	['1900', '1950']
Isabel Dada	/wiki/Isabel_Dada	['1900', '1950']
J.D. Pardo	/wiki/J.D._Pardo	['1900', '1950']
DJ Keoki	/wiki/DJ_Keoki	['1900', '1950']
Martina Topley-Bird	/wiki/Martina_Topley-Bird	['1900', '1950']
Mauricio Merino Jr	/wiki/Mauricio_Merino_Jr	['1900', '1950']
Pescozada	/wiki/Pescozada	['1900', '1950']
Pete Sandoval	/wiki/Pete_Sandoval	['1900', '1950']
The Fabulous Wonder Twins	/wiki/The_Fabulous_Wonder_Twins	['1900', '1950']
Christy Turlington	/wiki/Christy_Turlington	['1900', '1950']
Francesca Miranda	/wiki/Francesca_Miranda	['1900', '1950']
Alfredo Cristiani	/wiki/Alfredo_Cristiani	['1900', '1950']
Álvaro Magaña	/wiki/%C3%81lvaro_Maga%C3%B1a	['1900', '1950']
Ana Maria	/wiki/Ana_Maria	['1900', '1950']
Anastasio Aquino	/wiki/Anastasio_Aquino	['1900', '1950']
Antonio Saca	/wiki/Antonio_Saca	['1900', '1950']
