text	link	year
Tusiata Avia	/wiki/Tusiata_Avia	['1900', '1950']
Serie Barford	/wiki/Serie_Barford	['1900', '1950']
Joseph Churchward	/wiki/Joseph_Churchward	['1900', '1950']
Fatu Feu'u	/wiki/Fatu_Feu%27u	['1900', '1950']
Sia Figiel	/wiki/Sia_Figiel	['1900', '1950']
Niki Hastings-McFall	/wiki/Niki_Hastings-McFall	['1900', '1950']
Shigeyuki Kihara	/wiki/Shigeyuki_Kihara	['1900', '1950']
Lily Laita	/wiki/Lily_Laita	['1900', '1950']
Janet Lilo	/wiki/Janet_Lilo	['1900', '1950']
Savea Sano Malifa	/wiki/Savea_Sano_Malifa	['1900', '1950']
Dan Taulapapa McMullin	/wiki/Dan_Taulapapa_McMullin	['1900', '1950']
Courtney Sina Meredith	/wiki/Courtney_Sina_Meredith	['1900', '1950']
Josefa Moe	/wiki/Josefa_Moe	['1900', '1950']
Lino Nelisi	/wiki/Lino_Nelisi	['1900', '1950']
Sua Sulu'ape Paulo II	/wiki/Sua_Sulu%27ape_Paulo_II	['1900', '1950']
Johnny Penisula	/wiki/Johnny_Penisula	['1900', '1950']
Sapa'u Ruperake Petaia	/wiki/Sapa%27u_Ruperake_Petaia	['1900', '1950']
Lemi Ponifasio	/wiki/Lemi_Ponifasio	['1900', '1950']
Greg Semu	/wiki/Greg_Semu	['1900', '1950']
Leilani Tamu	/wiki/Leilani_Tamu	['1900', '1950']
Teuane Tibbo	/wiki/Teuane_Tibbo	['1900', '1950']
Angela Tiatia	/wiki/Angela_Tiatia	['1900', '1950']
Michel Tuffery	/wiki/Michel_Tuffery	['1900', '1950']
Momoe Malietoa Von Reiche	/wiki/Momoe_Malietoa_Von_Reiche	['1900', '1950']
Albert Wendt	/wiki/Albert_Wendt	['1900', '1950']
Lani Wendt-Young	/wiki/Lani_Wendt-Young	['1900', '1950']
Emma Forsayth	/wiki/Emma_Forsayth	['1900', '1950']
Monica Galetti	/wiki/Monica_Galetti	['1900', '1950']
Aggie Grey	/wiki/Aggie_Grey	['1900', '1950']
Alexia Hilbertidou	/wiki/Alexia_Hilbertidou	['1900', '1950']
Maposua Rudolf Keil	/wiki/Maposua_Rudolf_Keil	['1900', '1950']
Gustavia Lui	/wiki/Gustavia_Lui	['1900', '1950']
Olaf Frederick Nelson	/wiki/Olaf_Frederick_Nelson	['1900', '1950']
Donna Rose Addis	/wiki/Donna_Rose_Addis	['1900', '1950']
Mary Elizabeth Brown	/wiki/Mary_Elizabeth_Brown	['1900', '1950']
Peggy Fairbairn-Dunlop	/wiki/Peggy_Fairbairn-Dunlop	['1900', '1950']
Brianna Fruean	/wiki/Brianna_Fruean	['1900', '1950']
Aiono Fanaafi Le Tagaloa	/wiki/Aiono_Fanaafi_Le_Tagaloa	['1900', '1950']
Salu Hunkin-Finau	/wiki/Salu_Hunkin-Finau	['1900', '1950']
Tania Ka'ai	/wiki/Tania_Ka%27ai	['1900', '1950']
Folole Muliaga	/wiki/Folole_Muliaga	['1900', '1950']
Dawn Rasmussen	/wiki/Dawn_Rasmussen	['1900', '1950']
Damon Salesa	/wiki/Damon_Salesa	['1900', '1950']
Fuiono Senio	/wiki/Fuiono_Senio	['1900', '1950']
Caroline Sinavaiana-Gabbard	/wiki/Caroline_Sinavaiana-Gabbard	['1900', '1950']
Valerie Saena Tuia	/wiki/Valerie_Saena_Tuia	['1900', '1950']
Teo Tuvale	/wiki/Teo_Tuvale	['1900', '1950']
Emma Kruse Va'ai	/wiki/Emma_Kruse_Va%27ai	['1900', '1950']
