text	link	year
Abdala Faye	/wiki/Abdala_Faye	['1971', '2025']
Aliou Cissé	/wiki/Aliou_Ciss%C3%A9	['1900', '1950']
Amadou Dia Ba	/wiki/Amadou_Dia_Ba	['1900', '1950']
Eiji Kawashima	/wiki/Eiji_Kawashima	['1900', '1950']
Demba Ba	/wiki/Demba_Ba	['1900', '1950']
Ndiss Kaba Badji	/wiki/Ndiss_Kaba_Badji	['1900', '1950']
Henri Camara	/wiki/Henri_Camara	['1900', '1950']
Papiss Cissé	/wiki/Papiss_Ciss%C3%A9	['1900', '1950']
Gorgui Dieng	/wiki/Gorgui_Dieng	['1900', '1950']
DeSagana Diop	/wiki/DeSagana_Diop	['1900', '1950']
Papa Bouba Diop	/wiki/Papa_Bouba_Diop	['1900', '1950']
El Hadji Diouf	/wiki/El_Hadji_Diouf	['1900', '1950']
Patrice Evra	/wiki/Patrice_Evra	['1900', '1950']
Assane Dame Fall	/wiki/Assane_Dame_Fall	['1900', '1950']
Tacko Fall	/wiki/Tacko_Fall	['1900', '1950']
Morgaro Gomis	/wiki/Morgaro_Gomis	['1900', '1950']
Lamine Guèye	/wiki/Lamine_Gu%C3%A8ye_(skier)	['1900', '1950']
Sadio Mané	/wiki/Sadio_Man%C3%A9	['1900', '1950']
Idrissa Gueye	/wiki/Idrissa_Gueye	['1900', '1950']
Guirane N'Daw	/wiki/Guirane_N%27Daw	['1900', '1950']
Maurice Ndour	/wiki/Maurice_Ndour	['1900', '1950']
Issa Ndoye	/wiki/Issa_Ndoye	['1900', '1950']
Leyti Seck	/wiki/Leyti_Seck	['1900', '1950']
Tony Sylva	/wiki/Tony_Sylva	['1900', '1950']
Patrick Vieira	/wiki/Patrick_Vieira	['1900', '1950']
Mariama Ba	/wiki/Mariama_Ba	['1929', '1981']
Fatou Diome	/wiki/Fatou_Diome	['1968', '2025']
Ousmane Sembène	/wiki/Ousmane_Semb%C3%A8ne	['1923', '2007']
Léopold Senghor	/wiki/L%C3%A9opold_Senghor	['1906', '2001']
Tamsier Joof	/wiki/Tamsier_Joof	['1973', '2025']
Ousmane Sembène	/wiki/Ousmane_Semb%C3%A8ne	['1923', '2007']
Djibril Diop Mambéty	/wiki/Djibril_Diop_Mamb%C3%A9ty	['1948', '1998']
Safi Faye	/wiki/Safi_Faye	['1943', '2025']
Dani Kouyaté	/wiki/Dani_Kouyat%C3%A9	['1900', '1950']
Cheikh Anta Diop	/wiki/Cheikh_Anta_Diop	['1923', '1986']
Paulin Vieyra	/wiki/Paulin_Vieyra	['1925', '1987']
Akon	/wiki/Akon	['1900', '1950']
Didier Awadi	/wiki/Didier_Awadi	['1900', '1950']
Booba	/wiki/Booba	['1900', '1950']
Abdoulaye Diakite	/wiki/Abdoulaye_Diakite	['1900', '1950']
Aïyb Dieng	/wiki/A%C3%AFyb_Dieng	['1900', '1950']
Mamadou Diop	/wiki/Mamadou_Diop_(musician)	['1900', '1950']
Youssou N'Dour	/wiki/Youssou_N%27Dour	['1900', '1950']
Habib Faye	/wiki/Habib_Faye	['1900', '1950']
Mbaye Dieye Faye	/wiki/Mbaye_Dieye_Faye	['1900', '1950']
Nuru Kane	/wiki/Nuru_Kane	['1900', '1950']
Seckou Keita	/wiki/Seckou_Keita	['1900', '1950']
Mamadou Konte	/wiki/Mamadou_Konte	['1900', '1950']
Ismaël Lô	/wiki/Isma%C3%ABl_L%C3%B4	['1900', '1950']
Cheikh Lo	/wiki/Cheikh_Lo	['1900', '1950']
Baaba Maal	/wiki/Baaba_Maal	['1900', '1950']
Jimi Mbaye	/wiki/Jimi_Mbaye	['1900', '1950']
Alioune Mbaye Nder	/wiki/Alioune_Mbaye_Nder	['1900', '1950']
Viviane Ndour	/wiki/Viviane_Ndour	['1900', '1950']
Doudou N'Diaye Rose	/wiki/Doudou_N%27Diaye_Rose	['1900', '1950']
Ismaila Sane	/wiki/Ismaila_Sane	['1900', '1950']
Julia Sarr	/wiki/Julia_Sarr	['1900', '1950']
Mansour Seck	/wiki/Mansour_Seck	['1900', '1950']
Thione Seck	/wiki/Thione_Seck	['1900', '1950']
Labah Sosseh	/wiki/Labah_Sosseh	['1900', '1950']
Mola Sylla	/wiki/Mola_Sylla	['1900', '1950']
Mor Thiam	/wiki/Mor_Thiam	['1900', '1950']
Amath Dansokho	/wiki/Amath_Dansokho	['1900', '1950']
Mamadou Dia	/wiki/Mamadou_Dia	['1900', '1950']
Blaise Diagne	/wiki/Blaise_Diagne	['1900', '1950']
Abdou Diouf	/wiki/Abdou_Diouf	['1900', '1950']
Lamine Guèye	/wiki/Lamine_Gu%C3%A8ye_(politician)	['1900', '1950']
Ségolène Royal	/wiki/S%C3%A9gol%C3%A8ne_Royal	['1900', '1950']
Idrissa Seck	/wiki/Idrissa_Seck	['1900', '1950']
Léopold Sédar Senghor	/wiki/L%C3%A9opold_S%C3%A9dar_Senghor	['1900', '1950']
Umar Tal	/wiki/Umar_Tal	['1900', '1950']
Abdoulaye Wade	/wiki/Abdoulaye_Wade	['1900', '1950']
Daniel Annerose	/wiki/Daniel_Annerose	['1900', '1950']
Khoudia Diop	/wiki/Khoudia_Diop	['1900', '1950']
Cheikh Sarr	/wiki/Cheikh_Sarr_(basketball)	['1900', '1950']
