text	link	year
Slava	/wiki/Slava	['1900', '1950']
Shtokavian dialect	/wiki/Shtokavian_dialect	['1900', '1950']
Torlakian dialect	/wiki/Torlakian_dialect	['1900', '1950']
Church Slavonic language	/wiki/Church_Slavonic_language	['1900', '1950']
Old Church Slavonic	/wiki/Old_Church_Slavonic	['1900', '1950']
South Slavic languages	/wiki/South_Slavic_languages	['1900', '1950']
Bosniaks	/wiki/Bosniaks	['1900', '1950']
Croats	/wiki/Croats	['1900', '1950']
Macedonians	/wiki/Macedonians_(ethnic_group)	['1900', '1950']
Montenegrins	/wiki/Montenegrins	['1900', '1950']
Aleksandar Deroko	/wiki/Aleksandar_Deroko	['1900', '1950']
Aleksandar Đokić	/wiki/Aleksandar_%C4%90oki%C4%87	['1900', '1950']
Bogdan Bogdanović	/wiki/Bogdan_Bogdanovi%C4%87_(architect)	['1900', '1950']
Dragiša Brašovan	/wiki/Dragi%C5%A1a_Bra%C5%A1ovan	['1900', '1950']
Ivan Antić	/wiki/Ivan_Anti%C4%87	['1900', '1950']
Konstantin Jovanović	/wiki/Konstantin_Jovanovi%C4%87	['1900', '1950']
Jelisaveta Načić	/wiki/Jelisaveta_Na%C4%8Di%C4%87	['1900', '1950']
Mihailo Janković	/wiki/Mihailo_Jankovi%C4%87	['1900', '1950']
Milan Zloković	/wiki/Milan_Zlokovi%C4%87	['1900', '1950']
Momčilo Tapavica	/wiki/Mom%C4%8Dilo_Tapavica	['1900', '1950']
Svetozar Ivačković	/wiki/Svetozar_Iva%C4%8Dkovi%C4%87	['1900', '1950']
Zoran Manević	/wiki/Zoran_Manevi%C4%87	['1900', '1950']
Ilija Arnautović	/wiki/Ilija_Arnautovi%C4%87	['1960', '1980']
Dimitrije T. Leko	/wiki/Dimitrije_T._Leko	['1900', '1950']
Louis D. Astorino	/wiki/Louis_D._Astorino	['1900', '1950']
Dubravka Sekulić	/wiki/Dubravka_Sekuli%C4%87	['1900', '1950']
Zoran Bojović	/wiki/Zoran_Bojovi%C4%87_(architect)	['1936', '2025']
Milica Šterić	/wiki/Milica_%C5%A0teri%C4%87	['1914', '2025']
Ljiljana Bakić	/wiki/Ljiljana_Baki%C4%87	['1939', '2025']
Ivanka Raspopović	/wiki/Ivanka_Raspopovi%C4%87	['1930', '2025']
Maja Vidaković Lalić	/wiki/Maja_Vidakovi%C4%87_Lali%C4%87	['1900', '1950']
Jovanka Bončić-Katerinić	/wiki/Jovanka_Bon%C4%8Di%C4%87-Katerini%C4%87	['1887', '2025']
Milan Minić	/wiki/Milan_Mini%C4%87_(architect)	['1900', '1950']
Ksenija Bulatović	/wiki/Ksenija_Bulatovi%C4%87	['1900', '1950']
Svetlana Kana Radević	/wiki/Svetlana_Kana_Radevi%C4%87	['1900', '1950']
Alexis Josic	/wiki/Alexis_Josic	['1921', '2025']
Nikola Dobrović	/wiki/Nikola_Dobrovi%C4%87	['1900', '1950']
Vojin Bakić	/wiki/Vojin_Baki%C4%87	['1915', '1992']
Simeon Roksandić	/wiki/Simeon_Roksandi%C4%87	['1874', '1943']
Drinka Radovanović	/wiki/Drinka_Radovanovi%C4%87	['1943', '2025']
Petar Ubavkić	/wiki/Petar_Ubavki%C4%87	['1852', '1910']
Risto Stijović	/wiki/Risto_Stijovi%C4%87	['1894', '1974']
Đorđe Jovanović	/wiki/%C4%90or%C4%91e_Jovanovi%C4%87_(sculptor)	['1861', '1953']
Sreten Stojanović	/wiki/Sreten_Stojanovi%C4%87	['1898', '1960']
Jovan Soldatović	/wiki/Jovan_Soldatovi%C4%87	['1920', '2005']
Dušan Džamonja	/wiki/Du%C5%A1an_D%C5%BEamonja	['1928', '2009']
Olga Jevrić	/wiki/Olga_Jevri%C4%87	['1922', '2025']
Matija Vuković	/wiki/Matija_Vukovi%C4%87	['1925', '1985']
Mirjana Isaković	/wiki/Mirjana_Isakovi%C4%87	['1936', '2025']
John David Brcin	/wiki/John_David_Brcin	['1899', '2025']
Lilly Otasevic	/wiki/Lilly_Otasevic	['1900', '1950']
Dara Fanka	/wiki/Dara_Fanka	['1953', '2025']
Vukosava Velimirović	/wiki/Vukosava_Velimirovi%C4%87	['1900', '1950']
Miodrag Živković	/wiki/Miodrag_%C5%BDivkovi%C4%87_(sculptor)	['1900', '1950']
Yevgeny Vuchetich	/wiki/Yevgeny_Vuchetich	['1900', '1950']
Lovro Dobričević	/wiki/Lovro_Dobri%C4%8Devi%C4%87	['1900', '1950']
Đorđe Mitrofanović	/wiki/%C4%90or%C4%91e_Mitrofanovi%C4%87	['1900', '1950']
Tripo Kokolja	/wiki/Tripo_Kokolja	['1661', '1713']
Hristofor Žefarović	/wiki/Hristofor_%C5%BDefarovi%C4%87	['1710', '1753']
Teodor Stefanov Gologlavac	/wiki/Teodor_Stefanov_Gologlavac	['1900', '1950']
Janko Halkozović	/wiki/Janko_Halkozovi%C4%87	['1900', '1950']
Simeon Lazović	/wiki/Simeon_Lazovi%C4%87	['1900', '1950']
Jovan Četirević Grabovan	/wiki/Jovan_%C4%8Cetirevi%C4%87_Grabovan	['1720', '1781']
Dimitrije Bačević	/wiki/Dimitrije_Ba%C4%8Devi%C4%87	['1735', '1770']
Teodor Kračun	/wiki/Teodor_Kra%C4%8Dun	['1730', '1781']
Jakov Orfelin	/wiki/Jakov_Orfelin	['1900', '1950']
Nikola Nešković	/wiki/Nikola_Ne%C5%A1kovi%C4%87	['1740', '1789']
Aleksije Lazović	/wiki/Aleksije_Lazovi%C4%87	['1900', '1950']
Vasa Ostojić	/wiki/Vasa_Ostoji%C4%87	['1900', '1950']
Teodor Ilić Češljar	/wiki/Teodor_Ili%C4%87_%C4%8Ce%C5%A1ljar	['1746', '1793']
Ignjat Job	/wiki/Ignjat_Job	['1895', '1936']
Stefan Gavrilović	/wiki/Stefan_Gavrilovi%C4%87	['1750', '1823']
Joakim Marković	/wiki/Joakim_Markovi%C4%87	['1685', '1757']
Jovan Pačić	/wiki/Jovan_Pa%C4%8Di%C4%87	['1771', '1849']
Pavel Đurković	/wiki/Pavel_%C4%90urkovi%C4%87	['1772', '1830']
Petar Nikolajević Moler	/wiki/Petar_Nikolajevi%C4%87_Moler	['1775', '1816']
Georgije Bakalović	/wiki/Georgije_Bakalovi%C4%87	['1786', '1843']
Konstantin Danil	/wiki/Konstantin_Danil	['1798', '1873']
Olja Ivanjicki	/wiki/Olja_Ivanjicki	['1900', '1950']
Đorđe Andrejević Kun	/wiki/%C4%90or%C4%91e_Andrejevi%C4%87_Kun	['1904', '1964']
