text	link	year
Nirmal Shah	/wiki/Nirmal_Shah	['1900', '1950']
Guy Lionnet	/wiki/Guy_Lionnet	['1900', '1950']
Antoine Abel	/wiki/Antoine_Abel	['1900', '1950']
Angie Arnephy	/wiki/Angie_Arnephy	['1900', '1950']
Sandra Esparon	/wiki/Sandra_Esparon	['1900', '1950']
Laurence Norah	/wiki/Laurence_Norah	['1900', '1950']
Jean-Marc Volcy	/wiki/Jean-Marc_Volcy	['1900', '1950']
Kantilal Jivan	/wiki/Kantilal_Jivan	['1900', '1950']
Guy Morel	/wiki/Guy_Morel	['1900', '1950']
Joseph Belmont	/wiki/Joseph_Belmont	['2004', '2010']
Collin Dyer	/wiki/Collin_Dyer	['1900', '1950']
Danny Faure	/wiki/Danny_Faure	['1900', '1950']
Gérard Hoarau	/wiki/G%C3%A9rard_Hoarau	['1900', '1950']
James Mancham	/wiki/James_Mancham	['1976', '1977']
Vincent Meriton	/wiki/Vincent_Meriton	['1900', '1950']
James Michel	/wiki/James_Michel	['2004', '2016']
David Pierre	/wiki/David_Pierre	['1900', '1950']
Patrick Pillay	/wiki/Patrick_Pillay	['1900', '1950']
Wavel Ramkalawan	/wiki/Wavel_Ramkalawan	['1900', '1950']
France-Albert René	/wiki/France-Albert_Ren%C3%A9	['1976', '1977']
Jacques Hodoul	/wiki/Jacques_Hodoul	['1900', '1950']
Francis Chang-Sam	/wiki/Francis_Chang-Sam	['1900', '1950']
Dar Lyon	/wiki/Dar_Lyon	['1900', '1950']
Eddy Maillet	/wiki/Eddy_Maillet	['1900', '1950']
Claude Morel	/wiki/Claude_Morel	['1900', '1950']
Template:Seychelles topics	/wiki/Template:Seychelles_topics	['1900', '1950']
Template talk:Seychelles topics	/wiki/Template_talk:Seychelles_topics	['1900', '1950']
1977 Seychelles coup d'état	/wiki/1977_Seychelles_coup_d%27%C3%A9tat	['1900', '1950']
1981 Seychelles coup d'état attempt	/wiki/1981_Seychelles_coup_d%27%C3%A9tat_attempt	['1900', '1950']
Victoria, Seychelles	/wiki/Victoria,_Seychelles	['1900', '1950']
Seychelles People's Defence Force	/wiki/Seychelles_People%27s_Defence_Force	['1900', '1950']
National Assembly	/wiki/National_Assembly_(Seychelles)	['1900', '1950']
Seychellois rupee	/wiki/Seychellois_rupee	['1900', '1950']
Book:Seychelles	/wiki/Book:Seychelles	['1900', '1950']
