text	link	year
Okere Adams	/wiki/Okere_Adams	['1900', '1950']
John Akar	/wiki/John_Akar	['1900', '1950']
Roda Antar	/wiki/Roda_Antar	['1900', '1950']
George Banda-Thomas	/wiki/George_Banda-Thomas	['1900', '1950']
Alimamy Pallo Bangura	/wiki/Alimamy_Pallo_Bangura	['1900', '1950']
Brima Bangura	/wiki/Brima_Bangura	['1900', '1950']
Hawanatu Bangura	/wiki/Hawanatu_Bangura	['1900', '1950']
John Amadu Bangura	/wiki/John_Amadu_Bangura	['1900', '1950']
Zainab Bangura	/wiki/Zainab_Bangura	['1900', '1950']
Herbert Bankole-Bright	/wiki/Herbert_Bankole-Bright	['1900', '1950']
Eunice Barber	/wiki/Eunice_Barber	['1900', '1950']
Ishmael Beah	/wiki/Ishmael_Beah	['1900', '1950']
John Oponjo Benjamin	/wiki/John_Oponjo_Benjamin	['1900', '1950']
Ernest Beoku-Betts	/wiki/Ernest_Beoku-Betts	['1900', '1950']
Solomon Berewa	/wiki/Solomon_Berewa	['1900', '1950']
Nabih Berri	/wiki/Nabih_Berri	['1900', '1950']
Julius Maada Bio	/wiki/Julius_Maada_Bio	['1900', '1950']
Sam Bockarie	/wiki/Sam_Bockarie	['1900', '1950']
Tamba Borbor-Sawyer	/wiki/Tamba_Borbor-Sawyer	['1900', '1950']
Aluspah Brewah	/wiki/Aluspah_Brewah	['1900', '1950']
Alex Tamba Brima	/wiki/Alex_Tamba_Brima	['1900', '1950']
Abass Bundu	/wiki/Abass_Bundu	['1900', '1950']
William John Campbell	/wiki/William_John_Campbell	['1900', '1950']
Tom Carew	/wiki/Tom_Carew	['1900', '1950']
Adelaide Casely-Hayford	/wiki/Adelaide_Casely-Hayford	['1900', '1950']
Albert Cole	/wiki/Albert_Cole_(footballer)	['1900', '1950']
Christopher Okoro Cole	/wiki/Christopher_Okoro_Cole	['1900', '1950']
Abdulai Conteh	/wiki/Abdulai_Conteh	['1900', '1950']
Kandeh Baba Conteh	/wiki/Kandeh_Baba_Conteh	['1900', '1950']
Edmund Cowan	/wiki/Edmund_Cowan	['1900', '1950']
Mohamed B. Daramy	/wiki/Mohamed_B._Daramy	['1900', '1950']
J. B. Dauda	/wiki/J._B._Dauda	['1900', '1950']
Albert Joe Demby	/wiki/Albert_Joe_Demby	['1900', '1950']
Sarway Dollar	/wiki/Sarway_Dollar	['1900', '1950']
Horace Dove-Edwin	/wiki/Horace_Dove-Edwin	['1900', '1950']
Ahmed Ramadan Dumbuya	/wiki/Ahmed_Ramadan_Dumbuya	['1900', '1950']
Dala Modu Dumbuya	/wiki/Dala_Modu_Dumbuya	['1900', '1950']
Idris Elba	/wiki/Idris_Elba	['1900', '1950']
John Ezzidio	/wiki/John_Ezzidio	['1900', '1950']
Moinina Fofana	/wiki/Moinina_Fofana	['1900', '1950']
Cyril Foray	/wiki/Cyril_Foray	['1900', '1950']
Joseph Ganda	/wiki/Joseph_Ganda	['1900', '1950']
Shirley Gbujama	/wiki/Shirley_Gbujama	['1900', '1950']
Herbert George-Williams	/wiki/Herbert_George-Williams	['1900', '1950']
Ella Koblo Gulama	/wiki/Ella_Koblo_Gulama	['1900', '1950']
Prince Harding	/wiki/Prince_Harding	['1900', '1950']
Abubakarr Jalloh	/wiki/Abubakarr_Jalloh_(politician)	['1900', '1950']
Amadu Jalloh	/wiki/Amadu_Jalloh	['1900', '1950']
Lamin Jusu Jarka	/wiki/Lamin_Jusu_Jarka	['1900', '1950']
Albert Jarrett	/wiki/Albert_Jarrett	['1900', '1950']
Bomba Jawara	/wiki/Bomba_Jawara	['1900', '1950']
Winstanley Bankole Johnson	/wiki/Winstanley_Bankole_Johnson	['1900', '1950']
Henry M. Joko-Smart	/wiki/Henry_M._Joko-Smart	['1900', '1950']
Andrew Juxon-Smith	/wiki/Andrew_Juxon-Smith	['1900', '1950']
Haja Afsatu Kabba	/wiki/Haja_Afsatu_Kabba	['1900', '1950']
Karamoh Kabba	/wiki/Karamoh_Kabba	['1900', '1950']
Ahmad Tejan Kabbah	/wiki/Ahmad_Tejan_Kabbah	['1900', '1950']
Patricia Kabbah	/wiki/Patricia_Kabbah	['1900', '1950']
Septimus Kaikai	/wiki/Septimus_Kaikai	['1900', '1950']
Tamba Kaingbanja	/wiki/Tamba_Kaingbanja	['1900', '1950']
Mohamed Kallon	/wiki/Mohamed_Kallon	['1900', '1950']
Morris Kallon	/wiki/Morris_Kallon	['1900', '1950']
Brima Bazzy Kamara	/wiki/Brima_Bazzy_Kamara	['1900', '1950']
Mohamed Lamin Kamara	/wiki/Mohamed_Lamin_Kamara	['1900', '1950']
Samura Kamara	/wiki/Samura_Kamara	['1900', '1950']
Samuel Komba Kambo	/wiki/Samuel_Komba_Kambo	['1900', '1950']
Santigie Borbor Kanu	/wiki/Santigie_Borbor_Kanu	['1900', '1950']
Yahya Kanu	/wiki/Yahya_Kanu	['1900', '1950']
John Karefa-Smart	/wiki/John_Karefa-Smart	['1900', '1950']
Ibrahim Kargbo	/wiki/Ibrahim_Kargbo	['1900', '1950']
Sidney Kargbo	/wiki/Sidney_Kargbo	['1900', '1950']
Kadijatu Kebbay	/wiki/Kadijatu_Kebbay	['1900', '1950']
Allieu Kondewa	/wiki/Allieu_Kondewa	['1900', '1950']
Abdul Karim Koroma	/wiki/Abdul_Karim_Koroma	['1900', '1950']
Abu Aiah Koroma	/wiki/Abu_Aiah_Koroma	['1900', '1950']
Ernest Bai Koroma	/wiki/Ernest_Bai_Koroma	['1900', '1950']
Johnny Paul Koroma	/wiki/Johnny_Paul_Koroma	['1900', '1950']
Momodu Koroma	/wiki/Momodu_Koroma	['1900', '1950']
Sorie Ibrahim Koroma	/wiki/Sorie_Ibrahim_Koroma	['1900', '1950']
Augustine Kortu	/wiki/Augustine_Kortu	['1900', '1950']
David Lansana	/wiki/David_Lansana	['1900', '1950']
John Leigh	/wiki/John_Leigh_(ambassador)	['1900', '1950']
Samuel Lewis	/wiki/Samuel_Lewis_(Sierra_Leone)	['1900', '1950']
Henry Josiah Lightfoot Boston	/wiki/Henry_Josiah_Lightfoot_Boston	['1900', '1950']
Desmond Luke	/wiki/Desmond_Luke	['1900', '1950']
Andrew Lungay	/wiki/Andrew_Lungay	['1900', '1950']
Albert Margai	/wiki/Albert_Margai	['1900', '1950']
Charles Margai	/wiki/Charles_Margai	['1900', '1950']
Milton Margai	/wiki/Milton_Margai	['1900', '1950']
Lamin Massaquoi	/wiki/Lamin_Massaquoi	['1900', '1950']
Tamba Songu M'briwa	/wiki/Tamba_Songu_M%27briwa	['1900', '1950']
Obi Metzger	/wiki/Obi_Metzger	['1900', '1950']
Francis Minah	/wiki/Francis_Minah	['1900', '1950']
Jamil Sahid Mohamed	/wiki/Jamil_Sahid_Mohamed	['1900', '1950']
Joseph Saidu Momoh	/wiki/Joseph_Saidu_Momoh	['1900', '1950']
Momodu Munu	/wiki/Momodu_Munu	['1900', '1950']
Solomon Musa	/wiki/Solomon_Musa	['1900', '1950']
Arthur Nelson-Williams	/wiki/Arthur_Nelson-Williams	['1900', '1950']
Abioseh Nicol	/wiki/Abioseh_Nicol	['1900', '1950']
Tom Nyuma	/wiki/Tom_Nyuma	['1900', '1950']
Bai Koblo Pathbana II	/wiki/Bai_Koblo_Pathbana_II	['1900', '1950']
Joe Robert Pemagbi	/wiki/Joe_Robert_Pemagbi	['1900', '1950']
Patricia Piccinini	/wiki/Patricia_Piccinini	['1900', '1950']
Farid Raymond-Anthony	/wiki/Farid_Raymond-Anthony	['1900', '1950']
Alhaji Shekuba Saccoh	/wiki/Alhaji_Shekuba_Saccoh	['1900', '1950']
John Saab	/wiki/John_Saab	['1900', '1950']
Samuel Sam-Sumana	/wiki/Samuel_Sam-Sumana	['1900', '1950']
Kabba Samura	/wiki/Kabba_Samura	['1900', '1950']
Foday Sankoh	/wiki/Foday_Sankoh	['1900', '1950']
Lamina Sankoh	/wiki/Lamina_Sankoh	['1900', '1950']
Wusu Sannoh	/wiki/Wusu_Sannoh	['1900', '1950']
Solomon G. Seisay	/wiki/Solomon_G._Seisay	['1900', '1950']
Tinga Seisay	/wiki/Tinga_Seisay	['1900', '1950']
Abdul Serry-Kamal	/wiki/Abdul_Serry-Kamal	['1900', '1950']
Issa Sesay	/wiki/Issa_Sesay	['1900', '1950']
Kadi Sesay	/wiki/Kadi_Sesay	['1900', '1950']
Muwahid Sesay	/wiki/Muwahid_Sesay	['1900', '1950']
Mohamed Sillah	/wiki/Mohamed_Sillah	['1900', '1950']
Siaka Stevens	/wiki/Siaka_Stevens	['1900', '1950']
Valentine Strasser	/wiki/Valentine_Strasser	['1900', '1950']
Sheriff Suma	/wiki/Sheriff_Suma	['1900', '1950']
Jeneba Tarmoh	/wiki/Jeneba_Tarmoh	['1900', '1950']
John 'Johnny' Taylor	/wiki/John_%27Johnny%27_Taylor	['1900', '1950']
Banja Tejan-Sie	/wiki/Banja_Tejan-Sie	['1900', '1950']
John Henry Malamah Thomas	/wiki/John_Henry_Malamah_Thomas	['1900', '1950']
Bankole Timothy	/wiki/Bankole_Timothy	['1900', '1950']
Michael Tommy	/wiki/Michael_Tommy_(footballer)	['1900', '1950']
Hindolo Trye	/wiki/Hindolo_Trye	['1900', '1950']
B. J. Tucker	/wiki/B._J._Tucker	['1900', '1950']
Andrew Turay	/wiki/Andrew_Turay	['1900', '1950']
Edward Turay	/wiki/Edward_Turay	['1900', '1950']
Peter Vandy	/wiki/Peter_Vandy	['1900', '1950']
Isaac Theophilus Akunna Wallace-Johnson	/wiki/Isaac_Theophilus_Akunna_Wallace-Johnson	['1900', '1950']
Madieu Williams	/wiki/Madieu_Williams	['1900', '1950']
Julius Wobay	/wiki/Julius_Wobay	['1900', '1950']
Amadu Wurie	/wiki/Amadu_Wurie	['1900', '1950']
Madam Yoko	/wiki/Madam_Yoko	['1900', '1950']
Kandeh Yumkella	/wiki/Kandeh_Yumkella	['1900', '1950']
