text	link	year
Bhai Mardana	/wiki/Bhai_Mardana	['1459', '1534']
Bebe Nanaki	/wiki/Bebe_Nanaki	['1464', '1518']
Sri Chand	/wiki/Sri_Chand	['1494', '1629']
Mata Khivi	/wiki/Mata_Khivi	['1506', '1582']
Baba Buddha	/wiki/Baba_Buddha	['1900', '1950']
Bhai Gurdas	/wiki/Bhai_Gurdas	['1551', '1637']
Mata Gujri	/wiki/Mata_Gujri	['1624', '1705']
Mai Bhago	/wiki/Mai_Bhago	['1900', '1950']
Bhai Mani Singh	/wiki/Bhai_Mani_Singh	['1644', '1738']
Maharaja Ranjit Singh	/wiki/Maharaja_Ranjit_Singh	['1900', '1950']
Bhagat Puran Singh	/wiki/Bhagat_Puran_Singh	['1904', '1992']
Harbhajan Singh Khalsa	/wiki/Harbhajan_Singh_Khalsa	['1929', '2004']
Guru Arjun	/wiki/Guru_Arjun	['1900', '1950']
Bhai Dayala	/wiki/Bhai_Dayala	['1900', '1950']
Bhai Mati Das	/wiki/Bhai_Mati_Das	['1900', '1950']
Bhai Sati Das	/wiki/Bhai_Sati_Das	['1900', '1950']
Guru Tegh Bahadur	/wiki/Guru_Tegh_Bahadur	['1900', '1950']
Fateh Singh	/wiki/Fateh_Singh_(Sikhism)	['1900', '1950']
Zorawar Singh	/wiki/Zorawar_Singh_(Sikhism)	['1900', '1950']
Bhai Mani Singh	/wiki/Bhai_Mani_Singh	['1900', '1950']
Bhai Taru Singh	/wiki/Bhai_Taru_Singh	['1900', '1950']
Fauja Singh	/wiki/Fauja_Singh_(Sikh_leader)	['1900', '1950']
Bhai Kanhaiya	/wiki/Bhai_Kanhaiya	['1900', '1950']
Bhai Daya Singh	/wiki/Bhai_Daya_Singh	['1900', '1950']
Bhai Dharam Singh	/wiki/Bhai_Dharam_Singh	['1900', '1950']
Bhai Himmat Singh	/wiki/Bhai_Himmat_Singh	['1900', '1950']
Bhai Mohkam Singh	/wiki/Bhai_Mohkam_Singh	['1900', '1950']
Bhai Sahib Singh	/wiki/Bhai_Sahib_Singh	['1900', '1950']
Bhai Nand Lal	/wiki/Bhai_Nand_Lal	['1900', '1950']
Randhir Singh	/wiki/Randhir_Singh_(Sikh)	['1900', '1950']
Babaji Singh	/wiki/Babaji_Singh	['1900', '1950']
Bhai Nirmal Singh Khalsa	/wiki/Bhai_Nirmal_Singh_Khalsa	['1900', '1950']
Singh Kaur	/wiki/Singh_Kaur	['1900', '1950']
Snatam Kaur	/wiki/Snatam_Kaur	['1900', '1950']
Amitoj Maan	/wiki/Amitoj_Maan	['1900', '1950']
Sonia Anand	/wiki/Sonia_Anand	['1900', '1950']
Ammy Virk	/wiki/Ammy_Virk	['1900', '1950']
Amrinder Gill	/wiki/Amrinder_Gill	['1900', '1950']
Anurag Singh	/wiki/Anurag_Singh_(director)	['1900', '1950']
Babbu Maan	/wiki/Babbu_Maan	['1900', '1950']
Baljit Singh Deo	/wiki/Baljit_Singh_Deo	['1900', '1950']
Binnu Dhillon	/wiki/Binnu_Dhillon	['1900', '1950']
Diljit Dosanjh	/wiki/Diljit_Dosanjh	['1900', '1950']
Gippy Grewal	/wiki/Gippy_Grewal	['1900', '1950']
Gugu Gill	/wiki/Gugu_Gill	['1900', '1950']
Gurdaas Maan	/wiki/Gurdaas_Maan	['1900', '1950']
Gurpreet Ghuggi	/wiki/Gurpreet_Ghuggi	['1900', '1950']
Harbhajan Mann	/wiki/Harbhajan_Mann	['1900', '1950']
Harry Baweja	/wiki/Harry_Baweja	['1900', '1950']
