text	link	year
Theodor Mommsen	/wiki/Theodor_Mommsen	['1900', '1950']
Philipp Lenard	/wiki/Philipp_Lenard	['1900', '1950']
Eduard Buchner	/wiki/Eduard_Buchner	['1900', '1950']
Paul Ehrlich	/wiki/Paul_Ehrlich	['1900', '1950']
Gerhart Hauptmann	/wiki/Gerhart_Hauptmann	['1900', '1950']
Fritz Haber	/wiki/Fritz_Haber	['1900', '1950']
Friedrich Bergius	/wiki/Friedrich_Bergius	['1900', '1950']
Carl von Ossietzky	/wiki/Carl_von_Ossietzky	['1900', '1950']
Gerhard Domagk	/wiki/Gerhard_Domagk	['1900', '1950']
Otto Stern	/wiki/Otto_Stern	['1900', '1950']
Kurt Alder	/wiki/Kurt_Alder	['1900', '1950']
Max Born	/wiki/Max_Born	['1900', '1950']
Maria Goeppert-Mayer	/wiki/Maria_Goeppert-Mayer	['1900', '1950']
Konrad Bloch	/wiki/Konrad_Bloch	['1900', '1950']
Johannes Georg Bednorz	/wiki/Johannes_Georg_Bednorz	['1900', '1950']
Hans Georg Dehmelt	/wiki/Hans_Georg_Dehmelt	['1900', '1950']
Reinhard Selten	/wiki/Reinhard_Selten	['1900', '1950']
Günter Blobel	/wiki/G%C3%BCnter_Blobel	['1900', '1950']
Erich Abraham	/wiki/Erich_Abraham_(soldier)	['1900', '1950']
Andreas Acoluthus	/wiki/Andreas_Acoluthus	['1900', '1950']
Melchior Adam	/wiki/Melchior_Adam	['1900', '1950']
Stanisław Adamski	/wiki/Stanis%C5%82aw_Adamski	['1900', '1950']
Joy Adamson	/wiki/Joy_Adamson	['1900', '1950']
Eufemia von Adlersfeld-Ballestrem	/wiki/Eufemia_von_Adlersfeld-Ballestrem	['1900', '1950']
Kurt Alder	/wiki/Kurt_Alder	['1900', '1950']
Henryk Alszer	/wiki/Henryk_Alszer	['1900', '1950']
Johann Baptist Alzog	/wiki/Johann_Baptist_Alzog	['1900', '1950']
Zygmunt Anczok	/wiki/Zygmunt_Anczok	['1900', '1950']
Adolf Anderssen	/wiki/Adolf_Anderssen	['1900', '1950']
Georg von Arco	/wiki/Georg_von_Arco	['1900', '1950']
