text	link	year
Peter Pellegrini	/wiki/Peter_Pellegrini	['1900', '1950']
Vladimír Mečiar	/wiki/Vladim%C3%ADr_Me%C4%8Diar	['1900', '1950']
Jozef Moravčík	/wiki/Jozef_Morav%C4%8D%C3%ADk	['1900', '1950']
Mikuláš Dzurinda	/wiki/Mikul%C3%A1%C5%A1_Dzurinda	['1900', '1950']
Robert Fico	/wiki/Robert_Fico	['1900', '1950']
Iveta Radičová	/wiki/Iveta_Radi%C4%8Dov%C3%A1	['1900', '1950']
Michal Kováč	/wiki/Michal_Kov%C3%A1%C4%8D	['1930', '2016']
Rudolf Schuster	/wiki/Rudolf_Schuster	['1900', '1950']
Ivan Gašparovič	/wiki/Ivan_Ga%C5%A1parovi%C4%8D	['1900', '1950']
Andrej Kiska	/wiki/Andrej_Kiska	['1900', '1950']
Zuzana Čaputová	/wiki/Zuzana_%C4%8Caputov%C3%A1	['1900', '1950']
Pavol Hrušovský	/wiki/Pavol_Hru%C5%A1ovsk%C3%BD	['1900', '1950']
Richard Sulík	/wiki/Richard_Sul%C3%ADk	['1900', '1950']
Jesse Ventura	/wiki/Jesse_Ventura	['1900', '1950']
Alexander Dubček	/wiki/Alexander_Dub%C4%8Dek	['1921', '1992']
Tomáš Garrigue Masaryk	/wiki/Tom%C3%A1%C5%A1_Garrigue_Masaryk	['1850', '1937']
Milan Rastislav Štefánik	/wiki/Milan_Rastislav_%C5%A0tef%C3%A1nik	['1880', '1919']
Gustáv Husák	/wiki/Gust%C3%A1v_Hus%C3%A1k	['1913', '1991']
Štefan Marko Daxner	/wiki/%C5%A0tefan_Marko_Daxner	['1822', '1892']
Andrej Hlinka	/wiki/Andrej_Hlinka	['1864', '1938']
Milan Hodža	/wiki/Milan_Hod%C5%BEa	['1878', '1944']
Fedor Hodža	/wiki/Fedor_Hod%C5%BEa	['1912', '1968']
Vojtech Tuka	/wiki/Vojtech_Tuka	['1880', '1946']
Alexander Mach	/wiki/Alexander_Mach	['1902', '1980']
Martin Rázus	/wiki/Martin_R%C3%A1zus	['1888', '1937']
Jan Šverma	/wiki/Jan_%C5%A0verma	['1903', '1944']
Jozef Miloslav Hurban	/wiki/Jozef_Miloslav_Hurban	['1817', '1886']
Michal Miloslav Hodža	/wiki/Michal_Miloslav_Hod%C5%BEa	['1811', '1870']
Vladimír Clementis	/wiki/Vladim%C3%ADr_Clementis	['1902', '1952']
Ľudovít Štúr	/wiki/%C4%BDudov%C3%ADt_%C5%A0t%C3%BAr	['1815', '1856']
Jozef Gabčík	/wiki/Jozef_Gab%C4%8D%C3%ADk	['1912', '1942']
Jozef Miloslav Hurban	/wiki/Jozef_Miloslav_Hurban	['1817', '1886']
Rudolf Viest	/wiki/Rudolf_Viest	['1900', '1950']
Ján Golian	/wiki/J%C3%A1n_Golian	['1900', '1950']
Michael Strank	/wiki/Michael_Strank	['1900', '1950']
Augustín Malár	/wiki/August%C3%ADn_Mal%C3%A1r	['1894', '1946']
Jozef Turanec	/wiki/Jozef_Turanec	['1892', '1957']
Matej Kocak	/wiki/Matej_Kocak	['1882', '1918']
György Thurzó	/wiki/Gy%C3%B6rgy_Thurz%C3%B3	['1567', '1616']
Livia Klausová	/wiki/Livia_Klausov%C3%A1	['1900', '1950']
Silvia Gašparovičová	/wiki/Silvia_Ga%C5%A1parovi%C4%8Dov%C3%A1	['1900', '1950']
Pavol Peter Gojdič	/wiki/Pavol_Peter_Gojdi%C4%8D	['1888', '1960']
Zdenka Schelingová	/wiki/Zdenka_Schelingov%C3%A1	['1916', '1955']
Basil Hopko	/wiki/Basil_Hopko	['1904', '1976']
Štefan Moyses	/wiki/%C5%A0tefan_Moyses	['1797', '1869']
Jozef Roháček	/wiki/Jozef_Roh%C3%A1%C4%8Dek	['1877', '1962']
Alexander Rudnay	/wiki/Alexander_Rudnay	['1760', '1831']
Ján Sokol	/wiki/J%C3%A1n_Sokol_(bishop)	['1900', '1950']
Juraj Haulik	/wiki/Juraj_Haulik	['1788', '1869']
Jozef Tomko	/wiki/Jozef_Tomko	['1900', '1950']
Róbert Bezák	/wiki/R%C3%B3bert_Bez%C3%A1k	['1900', '1950']
Pavol Jozef Šafárik	/wiki/Pavol_Jozef_%C5%A0af%C3%A1rik	['1795', '1861']
Jakob Jakobeus	/wiki/Jakob_Jakobeus	['1591', '1645']
Anton Bernolák	/wiki/Anton_Bernol%C3%A1k	['1762', '1813']
Ľudovít Štúr	/wiki/%C4%BDudov%C3%ADt_%C5%A0t%C3%BAr	['1815', '1856']
Adam František Kollár	/wiki/Adam_Franti%C5%A1ek_Koll%C3%A1r	['1718', '1783']
Janko Matúška	/wiki/Janko_Mat%C3%BA%C5%A1ka	['1821', '1877']
Martin Hattala	/wiki/Martin_Hattala	['1821', '1903']
Jozef Murgaš	/wiki/Jozef_Murga%C5%A1	['1864', '1929']
Aurel Stodola	/wiki/Aurel_Stodola	['1859', '1942']
John Dopyera	/wiki/John_Dopyera	['1893', '1988']
Ján Bahýľ	/wiki/J%C3%A1n_Bah%C3%BD%C4%BE	['1865', '1916']
Štefan Banič	/wiki/%C5%A0tefan_Bani%C4%8D	['1870', '1941']
Ivan Alexander Getting	/wiki/Ivan_Alexander_Getting	['1912', '2003']
Vojtech Alexander	/wiki/Vojtech_Alexander	['1857', '1916']
Daniel Carleton Gajdusek	/wiki/Daniel_Carleton_Gajdusek	['1923', '2008']
Andreas Jaszlinszky	/wiki/Andreas_Jaszlinszky	['1900', '1950']
Jan Jesenius	/wiki/Jan_Jesenius	['1566', '1621']
Ján Vilček	/wiki/J%C3%A1n_Vil%C4%8Dek	['1900', '1950']
Dimitrij Andrusov	/wiki/Dimitrij_Andrusov	['1897', '1976']
Jan Veizer	/wiki/Jan_Veizer	['1900', '1950']
Andrej Kmeť	/wiki/Andrej_Kme%C5%A5	['1841', '1908']
Ján Kollár	/wiki/J%C3%A1n_Koll%C3%A1r	['1900', '1950']
Dionýz Ilkovič	/wiki/Dion%C3%BDz_Ilkovi%C4%8D	['1907', '1980']
Stefan Janos	/wiki/Stefan_Janos_(physicist)	['1900', '1950']
cs:Ivan Wilhelm	https://cs.wikipedia.org/wiki/Ivan_Wilhelm	['1900', '1950']
Jur Hronec	/wiki/Jur_Hronec	['1900', '1950']
Igor Kluvánek	/wiki/Igor_Kluv%C3%A1nek	['1900', '1950']
Samuel Mikovíny	/wiki/Samuel_Mikov%C3%ADny	['1900', '1950']
Tibor Šalát	/wiki/Tibor_%C5%A0al%C3%A1t	['1900', '1950']
Peter Štefan	/wiki/Peter_%C5%A0tefan	['1900', '1950']
Štefan Znám	/wiki/%C5%A0tefan_Zn%C3%A1m	['1900', '1950']
Juraj Hromkovič	/wiki/Juraj_Hromkovi%C4%8D	['1900', '1950']
Matthias Bel	/wiki/Matthias_Bel	['1900', '1950']
Milan Rastislav Štefánik	/wiki/Milan_Rastislav_%C5%A0tef%C3%A1nik	['1900', '1950']
Milan Antal	/wiki/Milan_Antal	['1900', '1950']
Antonín Bečvář	/wiki/Anton%C3%ADn_Be%C4%8Dv%C3%A1%C5%99	['1900', '1950']
Ladislav Brožek	/wiki/Ladislav_Bro%C5%BEek	['1900', '1950']
Ľubor Kresák	/wiki/%C4%BDubor_Kres%C3%A1k	['1900', '1950']
Dušan Kalmančok	/wiki/Du%C5%A1an_Kalman%C4%8Dok	['1900', '1950']
Ľudmila Pajdušáková	/wiki/%C4%BDudmila_Pajdu%C5%A1%C3%A1kov%C3%A1	['1900', '1950']
Vladimír Porubčan	/wiki/Vladim%C3%ADr_Porub%C4%8Dan	['1900', '1950']
Juraj Tóth	/wiki/Juraj_T%C3%B3th	['1900', '1950']
Ivan Bella	/wiki/Ivan_Bella	['1900', '1950']
Eugene Cernan	/wiki/Eugene_Cernan	['1900', '1950']
Michael Fincke	/wiki/Michael_Fincke	['1900', '1950']
Alexander Albrecht	/wiki/Alexander_Albrecht	['1885', '1958']
Ján Levoslav Bella	/wiki/J%C3%A1n_Levoslav_Bella	['1843', '1936']
Juraj Beneš	/wiki/Juraj_Bene%C5%A1	['1940', '2004']
Ján Cikker	/wiki/J%C3%A1n_Cikker	['1911', '1989']
Viliam Figuš-Bystrý	/wiki/Viliam_Figu%C5%A1-Bystr%C3%BD	['1875', '1937']
Tibor Frešo	/wiki/Tibor_Fre%C5%A1o	['1918', '1987']
Vladimír Godár	/wiki/Vladim%C3%ADr_God%C3%A1r	['1900', '1950']
Frico Kafenda	/wiki/Frico_Kafenda	['1883', '1963']
Dezider Kardoš	/wiki/Dezider_Kardo%C5%A1	['1914', '1991']
Ladislav Kupkovič	/wiki/Ladislav_Kupkovi%C4%8D	['1900', '1950']
Peter Machajdik	/wiki/Peter_Machajdik	['1900', '1950']
Ján Móry	/wiki/J%C3%A1n_M%C3%B3ry	['1892', '1978']
Alexander Moyzes	/wiki/Alexander_Moyzes	['1906', '1984']
Mikuláš Schneider-Trnavský	/wiki/Mikul%C3%A1%C5%A1_Schneider-Trnavsk%C3%BD	['1881', '1958']
Eugen Suchoň	/wiki/Eugen_Sucho%C5%88	['1908', '1993']
Iris Szeghy	/wiki/Iris_Szeghy	['1900', '1950']
Peter Breiner	/wiki/Peter_Breiner	['1900', '1950']
Ondrej Lenárd	/wiki/Ondrej_Len%C3%A1rd	['1900', '1950']
Ľudovít Rajter	/wiki/%C4%BDudov%C3%ADt_Rajter	['1906', '2000']
Bystrík Režucha	/wiki/Bystr%C3%ADk_Re%C5%BEucha	['1900', '1950']
Ladislav Slovák	/wiki/Ladislav_Slov%C3%A1k	['1919', '1999']
Peter Michalica	/wiki/Peter_Michalica	['1900', '1950']
Peter Dvorský	/wiki/Peter_Dvorsk%C3%BD	['1900', '1950']
Edita Gruberová	/wiki/Edita_Gruberov%C3%A1	['1900', '1950']
Jozef Kundlák	/wiki/Jozef_Kundl%C3%A1k	['1900', '1950']
Lucia Popp	/wiki/Lucia_Popp	['1939', '1993']
Luba Orgonasova	/wiki/Luba_Orgonasova	['1900', '1950']
Peter Lipa	/wiki/Peter_Lipa	['1900', '1950']
Laco Deczi	/wiki/Laco_Deczi	['1900', '1950']
Martin Valihora	/wiki/Martin_Valihora	['1900', '1950']
Jaroslav Filip	/wiki/Jaroslav_Filip	['1949', '2000']
Marika Gombitová	/wiki/Marika_Gombitov%C3%A1	['1900', '1950']
Dave Grohl	/wiki/Dave_Grohl	['1900', '1950']
Pavol Hammel	/wiki/Pavol_Hammel	['1900', '1950']
Jana Kirschner	/wiki/Jana_Kirschner	['1900', '1950']
sk:Jana Kocianová	https://sk.wikipedia.org/wiki/Jana_Kocianov%C3%A1	['1900', '1950']
Ján Lehotský	/wiki/J%C3%A1n_Lehotsk%C3%BD	['1900', '1950']
Peter Lipa	/wiki/Peter_Lipa	['1900', '1950']
Laco Lučenič	/wiki/Laco_Lu%C4%8Deni%C4%8D	['1900', '1950']
Richard Müller	/wiki/Richard_M%C3%BCller_(singer)	['1900', '1950']
Vašo Patejdl	/wiki/Va%C5%A1o_Patejdl	['1900', '1950']
Jozef Ráž	/wiki/Jozef_R%C3%A1%C5%BE	['1900', '1950']
Dežo Ursiny	/wiki/De%C5%BEo_Ursiny	['1947', '1995']
Marián Varga	/wiki/Mari%C3%A1n_Varga	['1947', '2017']
