text	link	year
Zvest Apollonio	/wiki/Zvest_Apollonio	['1935', '2009']
Stanislava Brezovar	/wiki/Stanislava_Brezovar	['1937', '2003']
Avgust Černigoj	/wiki/Avgust_%C4%8Cernigoj	['1898', '1985']
Jože Ciuha	/wiki/Jo%C5%BEe_Ciuha	['1924', '2015']
Ivan Grohar	/wiki/Ivan_Grohar	['1867', '1911']
Herman Gvardjančič	/wiki/Herman_Gvardjan%C4%8Di%C4%8D	['1943', '2025']
Stane Jagodič	/wiki/Stane_Jagodi%C4%8D	['1943', '2025']
Božidar Jakac	/wiki/Bo%C5%BEidar_Jakac	['1899', '1989']
Rihard Jakopič	/wiki/Rihard_Jakopi%C4%8D	['1869', '1943']
Matija Jama	/wiki/Matija_Jama	['1872', '1947']
Ivana Kobilca	/wiki/Ivana_Kobilca	['1861', '1926']
Lojze Logar	/wiki/Lojze_Logar	['1944', '2014']
Adriana Maraž	/wiki/Adriana_Mara%C5%BE	['1931', '2015']
Pino Mlakar	/wiki/Pino_Mlakar	['1907', '2006']
Marko Mušič	/wiki/Marko_Mu%C5%A1i%C4%8D	['1941', '2025']
Zoran Mušič	/wiki/Zoran_Mu%C5%A1i%C4%8D	['1909', '2005']
Miki Muster	/wiki/Miki_Muster	['1925', '2018']
Veno Pilon	/wiki/Veno_Pilon	['1896', '1970']
Jože Plečnik	/wiki/Jo%C5%BEe_Ple%C4%8Dnik	['1872', '1957']
Marjetica Potrč	/wiki/Marjetica_Potr%C4%8D	['1953', '2025']
Jakob Savinšek	/wiki/Jakob_Savin%C5%A1ek	['1922', '1961']
Matej Sternen	/wiki/Matej_Sternen	['1870', '1949']
Vladimir Šubic	/wiki/Vladimir_%C5%A0ubic	['1894', '1946']
Jožef Tominc	/wiki/Jo%C5%BEef_Tominc	['1790', '1866']
Joseph Urbania	/wiki/Joseph_Urbania	['1877', '1943']
Ivan Vurnik	/wiki/Ivan_Vurnik	['1884', '1971']
Frederic Baraga	/wiki/Frederic_Baraga	['1797', '1868']
Vladimir Bartol	/wiki/Vladimir_Bartol	['1903', '1967']
France Bevk	/wiki/France_Bevk	['1890', '1970']
Ivan Cankar	/wiki/Ivan_Cankar	['1876', '1918']
Matija Čop	/wiki/Matija_%C4%8Cop	['1797', '1835']
Mate Dolenc	/wiki/Mate_Dolenc	['1945', '2025']
Fran Saleški Finžgar	/wiki/Fran_Sale%C5%A1ki_Fin%C5%BEgar	['1871', '1963']
France Forstnerič	/wiki/France_Forstneri%C4%8D	['1933', '2007']
Peter Handke	/wiki/Peter_Handke	['1942', '2025']
Janez Jalen	/wiki/Janez_Jalen	['1891', '1966']
Drago Jančar	/wiki/Drago_Jan%C4%8Dar	['1948', '2025']
Jože Javoršek	/wiki/Jo%C5%BEe_Javor%C5%A1ek	['1920', '1990']
Branka Jurca	/wiki/Branka_Jurca	['1914', '1999']
Josip Jurčič	/wiki/Josip_Jur%C4%8Di%C4%8D	['1844', '1881']
Srečko Kosovel	/wiki/Sre%C4%8Dko_Kosovel	['1904', '1926']
Tomo Križnar	/wiki/Tomo_Kri%C5%BEnar	['1954', '2025']
Lovro Kuhar	/wiki/Lovro_Kuhar	['1893', '1950']
Fran Levstik	/wiki/Fran_Levstik	['1831', '1887']
Anton Tomaž Linhart	/wiki/Anton_Toma%C5%BE_Linhart	['1756', '1795']
Cvetka Lipuš	/wiki/Cvetka_Lipu%C5%A1	['1959', '2025']
Florjan Lipuš	/wiki/Florjan_Lipu%C5%A1	['1937', '2025']
Franko Luin	/wiki/Franko_Luin	['1941', '2005']
Mira Mihelič	/wiki/Mira_Miheli%C4%8D	['1912', '1985']
Miha Mazzini	/wiki/Miha_Mazzini	['1961', '2025']
Boris Pahor	/wiki/Boris_Pahor	['1913', '2025']
Ivan Potrč	/wiki/Ivan_Potr%C4%8D	['1913', '1993']
Sebastijan Pregelj	/wiki/Sebastijan_Pregelj	['1970', '2025']
France Prešeren	/wiki/France_Pre%C5%A1eren	['1800', '1849']
Benka Pulko	/wiki/Benka_Pulko	['1967', '2025']
Miha Remec	/wiki/Miha_Remec	['1928', '2025']
Anton Martin Slomšek	/wiki/Anton_Martin_Slom%C5%A1ek	['1800', '1862']
Tomaž Šalamun	/wiki/Toma%C5%BE_%C5%A0alamun	['1941', '2014']
Josip Stritar	/wiki/Josip_Stritar	['1836', '1923']
Ivan Tavčar	/wiki/Ivan_Tav%C4%8Dar	['1851', '1923']
Janez Trdina	/wiki/Janez_Trdina	['1830', '1905']
Primož Trubar	/wiki/Primo%C5%BE_Trubar	['1508', '1586']
Ivo Boscarol	/wiki/Ivo_Boscarol	['1956', '2025']
Joseph Fuisz	/wiki/Joseph_Fuisz	['1970', '2025']
Richard Fuisz	/wiki/Richard_Fuisz	['1939', '2025']
Japec Jakopin	/wiki/Japec_Jakopin	['1951', '2025']
Alojz Knafelc	/wiki/Alojz_Knafelc	['1859', '1937']
Herman Potočnik	/wiki/Herman_Poto%C4%8Dnik	['1892', '1929']
Janez Puh	/wiki/Janez_Puh	['1862', '1914']
Janez Puhar	/wiki/Janez_Puhar	['1814', '1864']
Edvard Rusjan	/wiki/Edvard_Rusjan	['1886', '1911']
Karel Destovnik Kajuh	/wiki/Karel_Destovnik_Kajuh	['1922', '1944']
Odilo Globočnik	/wiki/Odilo_Globo%C4%8Dnik	['1904', '1945']
Anton Haus	/wiki/Anton_Haus	['1851', '1917']
Rudolf Maister	/wiki/Rudolf_Maister	['1874', '1934']
Leon Rupnik	/wiki/Leon_Rupnik	['1880', '1946']
Franc Rozman	/wiki/Franc_Rozman	['1911', '1944']
Vinci Vogue Anžlovar	/wiki/Vinci_Vogue_An%C5%BElovar	['1963', '2025']
Valentin Areh	/wiki/Valentin_Areh	['1971', '2025']
Miha Baloh	/wiki/Miha_Baloh	['1928', '2025']
Matija Barl	/wiki/Matija_Barl	['1940', '2025']
Polde Bibič	/wiki/Polde_Bibi%C4%8D	['1933', '2012']
Demeter Bitenc	/wiki/Demeter_Bitenc	['1922', '2025']
František Čap	/wiki/Franti%C5%A1ek_%C4%8Cap	['1913', '1972']
George Dolenz	/wiki/George_Dolenz	['1908', '1963']
Karpo Godina	/wiki/Karpo_Godina	['1943', '2025']
Andrej Hieng	/wiki/Andrej_Hieng	['1925', '2000']
Boštjan Hladnik	/wiki/Bo%C5%A1tjan_Hladnik	['1929', '2006']
Željko Ivanek	/wiki/%C5%BDeljko_Ivanek	['1900', '1950']
Polona Juh	/wiki/Polona_Juh	['1971', '2025']
Damjan Kozole	/wiki/Damjan_Kozole	['1964', '2025']
Janez Lapajne	/wiki/Janez_Lapajne	['1967', '2025']
Jože Pogačnik	/wiki/Jo%C5%BEe_Poga%C4%8Dnik	['1932', '2025']
Igor Pretnar	/wiki/Igor_Pretnar	['1924', '1977']
Janko Ravnik	/wiki/Janko_Ravnik	['1891', '1982']
Tanja Ribič	/wiki/Tanja_Ribi%C4%8D	['1968', '2025']
Ita Rina	/wiki/Ita_Rina	['1907', '1979']
Franci Slak	/wiki/Franci_Slak	['1953', '2007']
Danijel Sraka	/wiki/Danijel_Sraka	['1975', '2025']
France Štiglic	/wiki/France_%C5%A0tiglic	['1919', '1993']
Zlatko Šugman	/wiki/Zlatko_%C5%A0ugman	['1932', '2008']
Jonas Žnidaršič	/wiki/Jonas_%C5%BDnidar%C5%A1i%C4%8D	['1962', '2025']
Bojan Adamič	/wiki/Bojan_Adami%C4%8D	['1912', '1995']
Blaž Arnič	/wiki/Bla%C5%BE_Arni%C4%8D	['1901', '1970']
Slavko Avsenik	/wiki/Slavko_Avsenik	['1929', '2015']
Helena Blagne Zaman	/wiki/Helena_Blagne_Zaman	['1963', '2025']
Lojze Bratuž	/wiki/Lojze_Bratu%C5%BE	['1902', '1937']
Ciril Cvetko	/wiki/Ciril_Cvetko	['1920', '1999']
Micky Dolenz	/wiki/Micky_Dolenz	['1945', '2025']
Jacobus Gallus	/wiki/Jacobus_Gallus	['1550', '1591']
Jani Golob	/wiki/Jani_Golob	['1948', '2025']
Alenka Gotar	/wiki/Alenka_Gotar	['1979', '2025']
Senidah	/wiki/Senidah	['1985', '2025']
Božidar Kantušer	/wiki/Bo%C5%BEidar_Kantu%C5%A1er	['1921', '1999']
Marjan Kozina	/wiki/Marjan_Kozina	['1907', '1966']
Zala Kralj	/wiki/Zala_Kralj	['1999', '2025']
Lina Kuduzović	/wiki/Lina_Kuduzovi%C4%87	['2002', '2025']
Marijan Lipovšek	/wiki/Marijan_Lipov%C5%A1ek	['1910', '1995']
Marjana Lipovšek	/wiki/Marjana_Lipov%C5%A1ek	['1946', '2025']
Magnifico	/wiki/Magnifico_(musician)	['1965', '2025']
Mr. Doctor	/wiki/Mr._Doctor	['1900', '1950']
Tomaž Pengov	/wiki/Toma%C5%BE_Pengov	['1900', '1950']
