text	link	year
Ali A. Abdi	/wiki/Ali_A._Abdi	['1900', '1950']
Mohamed Diriye Abdullahi	/wiki/Mohamed_Diriye_Abdullahi	['1900', '1950']
Ali Jimale Ahmed	/wiki/Ali_Jimale_Ahmed	['1900', '1950']
Shire Jama Ahmed	/wiki/Shire_Jama_Ahmed	['1900', '1950']
Abdi Kusow	/wiki/Abdi_Kusow	['1900', '1950']
Mohamed Haji Mukhtar	/wiki/Mohamed_Haji_Mukhtar	['1900', '1950']
Ismail Jim'ale Osoble	/wiki/Ismail_Jim%27ale_Osoble	['1900', '1950']
Abdi Ismail Samatar	/wiki/Abdi_Ismail_Samatar	['1900', '1950']
Ahmed Ismail Samatar	/wiki/Ahmed_Ismail_Samatar	['1900', '1950']
Said Sheikh Samatar	/wiki/Said_Sheikh_Samatar	['1943', '2015']
Abdirahman Hussein	/wiki/Abdirahman_Hussein	['1900', '1950']
Magid Magid	/wiki/Magid_Magid	['1900', '1950']
Abdulkadir Yahya Ali	/wiki/Abdulkadir_Yahya_Ali	['1957', '2005']
Dekha Ibrahim Abdi	/wiki/Dekha_Ibrahim_Abdi	['1964', '2011']
Leila Abukar	/wiki/Leila_Abukar	['1900', '1950']
Fartuun Adan	/wiki/Fartuun_Adan	['1900', '1950']
Elman Ali Ahmed	/wiki/Elman_Ali_Ahmed	['1900', '1950']
Halima Ahmed	/wiki/Halima_Ahmed	['1900', '1950']
Hodan Ahmed	/wiki/Hodan_Ahmed	['1900', '1950']
Ifrah Ahmed	/wiki/Ifrah_Ahmed	['1900', '1950']
Nimco Ahmed	/wiki/Nimco_Ahmed	['1900', '1950']
Abdirizak Bihi	/wiki/Abdirizak_Bihi	['1900', '1950']
Ilwad Elman	/wiki/Ilwad_Elman	['1900', '1950']
Asha Haji Elmi	/wiki/Asha_Haji_Elmi	['1900', '1950']
Leyla Hussein	/wiki/Leyla_Hussein	['1900', '1950']
Ahmed Hussen	/wiki/Ahmed_Hussen	['1900', '1950']
Farhiyo Farah Ibrahim	/wiki/Farhiyo_Farah_Ibrahim	['1900', '1950']
Hanan Ibrahim	/wiki/Hanan_Ibrahim	['1900', '1950']
Hirsi Magan Isse	/wiki/Hirsi_Magan_Isse	['1935', '2008']
Fatima Jibrell	/wiki/Fatima_Jibrell	['1900', '1950']
Hawa Aden Mohamed	/wiki/Hawa_Aden_Mohamed	['1900', '1950']
Musse Olol	/wiki/Musse_Olol	['1900', '1950']
Hibaaq Osman	/wiki/Hibaaq_Osman	['1900', '1950']
Hawo Tako	/wiki/Hawo_Tako	['1900', '1950']
Mohamud Siad Togane	/wiki/Mohamud_Siad_Togane	['1900', '1950']
Shadya Yasin	/wiki/Shadya_Yasin	['1900', '1950']
Alexander Yusuf	/wiki/Alexander_Yusuf	['1900', '1950']
Alisha Boe	/wiki/Alisha_Boe	['1900', '1950']
Barkhad Abdi	/wiki/Barkhad_Abdi	['1900', '1950']
Sulekha Ali	/wiki/Sulekha_Ali	['1900', '1950']
Amin Amir	/wiki/Amin_Amir	['1900', '1950']
Saba Anglana	/wiki/Saba_Anglana	['1900', '1950']
Guduuda 'Arwo	/wiki/Guduuda_%27Arwo	['1900', '1950']
Jonis Bashir	/wiki/Jonis_Bashir	['1900', '1950']
Elisa Kadigia Bove	/wiki/Elisa_Kadigia_Bove	['1900', '1950']
Ali Feiruz	/wiki/Ali_Feiruz	['1931', '1994']
Sweet Rush	/wiki/Sweet_Rush_(band)	['1900', '1950']
K'naan	/wiki/K%27naan	['1900', '1950']
Mohamed Mooge Liibaan	/wiki/Mohamed_Mooge_Liibaan	['1900', '1950']
Aar Maanta	/wiki/Aar_Maanta	['1900', '1950']
Magool	/wiki/Magool	['1948', '2004']
Mocky	/wiki/Mocky	['1900', '1950']
Hassan Sheikh Mumin	/wiki/Hassan_Sheikh_Mumin	['1900', '1950']
Maryam Mursal	/wiki/Maryam_Mursal	['1900', '1950']
Jiim Sheikh Muumin	/wiki/Jiim_Sheikh_Muumin	['1900', '1950']
Khadija Qalanjo	/wiki/Khadija_Qalanjo	['1900', '1950']
Abdullahi Qarshe	/wiki/Abdullahi_Qarshe	['1924', '1994']
Poly Styrene	/wiki/Poly_Styrene	['1957', '2011']
Hasan Adan Samatar	/wiki/Hasan_Adan_Samatar	['1900', '1950']
Abdi Sinimo	/wiki/Abdi_Sinimo	['1900', '1950']
Xiddigaha Geeska	/wiki/Xiddigaha_Geeska	['1900', '1950']
Waaberi	/wiki/Waaberi	['1900', '1950']
Waayaha Cusub	/wiki/Waayaha_Cusub	['1900', '1950']
Liban Abdi	/wiki/Liban_Abdi	['1900', '1950']
Mohamed Deq Abdulle	/wiki/Mohamed_Deq_Abdulle	['1900', '1950']
Mohammed Ahamed	/wiki/Mohammed_Ahamed	['1900', '1950']
Amin Askar	/wiki/Amin_Askar	['1900', '1950']
Faisal Jeylani Aweys	/wiki/Faisal_Jeylani_Aweys	['1900', '1950']
