text	link	year
Estian Calitz	/wiki/Estian_Calitz	['1949', '2025']
Miriam Green	/wiki/Miriam_Green	['1900', '1950']
Adam Habib	/wiki/Adam_Habib	['1900', '1950']
Jan Hendrik Hofmeyr	/wiki/Jan_Hendrik_Hofmeyr_(1894-1948)	['1894', '1948']
Tshilidzi Marwala	/wiki/Tshilidzi_Marwala	['1971', '2025']
Njabulo Ndebele	/wiki/Njabulo_Ndebele	['1948', '2025']
D. C. S. Oosthuizen	/wiki/D._C._S._Oosthuizen	['1926', '1968']
Adriaan Nicolaas Petrus Pelzer	/wiki/Adriaan_Nicolaas_Petrus_Pelzer	['1915', '1981']
Pierre de Villiers Pienaar	/wiki/Pierre_de_Villiers_Pienaar	['1904', '1978']
Calie Pistorius	/wiki/Calie_Pistorius	['1958', '2025']
Benedict Wallet Vilakazi	/wiki/Benedict_Wallet_Vilakazi	['1906', '1947']
David Webster	/wiki/David_Webster_(anthropologist)	['1945', '1989']
Abraham Manie Adelstein	/wiki/Abraham_Manie_Adelstein	['1916', '1992']
Christiaan Barnard	/wiki/Christiaan_Barnard	['1922', '2001']
Wouter Basson	/wiki/Wouter_Basson	['1950', '2025']
John Borthwick	/wiki/John_Borthwick_(veterinary_surgeon)	['1867', '1936']
Anna Coutsoudis	/wiki/Anna_Coutsoudis	['1952', '2025']
Patrick Soon-Shiong	/wiki/Patrick_Soon-Shiong	['1952', '2025']
Arnold Theiler	/wiki/Arnold_Theiler	['1867', '1936']
Max Theiler	/wiki/Max_Theiler	['1899', '1972']
Lindiwe Sidali	/wiki/Lindiwe_Sidali	['1984', '2025']
Andrew Geddes Bain	/wiki/Andrew_Geddes_Bain	['1797', '1864']
Peter Beighton	/wiki/Peter_Beighton	['1934', '2025']
Wilhelm Bleek	/wiki/Wilhelm_Bleek	['1827', '1875']
Robert Broom	/wiki/Robert_Broom	['1866', '1951']
Sydney Brenner	/wiki/Sydney_Brenner	['1927', '2025']
Phillip Clancey	/wiki/Phillip_Clancey	['1918', '2001']
Allan McLeod Cormack	/wiki/Allan_McLeod_Cormack	['1924', '1998']
Zodwa Dlamini	/wiki/Zodwa_Dlamini_(biochemist)	['1900', '1950']
Clement Martyn Doke	/wiki/Clement_Martyn_Doke	['1893', '1980']
Mulalo Doyoyo	/wiki/Mulalo_Doyoyo	['1970', '2025']
Alexander du Toit	/wiki/Alexander_du_Toit	['1878', '1948']
Robert Allen Dyer	/wiki/Robert_Allen_Dyer	['1900', '1987']
Wendy Foden	/wiki/Wendy_Foden	['1900', '1950']
J. W. B. Gunning	/wiki/J._W._B._Gunning	['1860', '1913']
David Lewis-Williams	/wiki/David_Lewis-Williams	['1934', '2025']
Lucy Lloyd	/wiki/Lucy_Lloyd	['1834', '1914']
Thebe Medupe	/wiki/Thebe_Medupe	['1973', '2025']
Hans Merensky	/wiki/Hans_Merensky	['1871', '1952']
Austin Roberts	/wiki/Austin_Roberts_(zoologist)	['1883', '1948']
Peter Sarnak	/wiki/Peter_Sarnak	['1953', '2025']
Ramotholo Sefako	/wiki/Ramotholo_Sefako	['1971', '2025']
Buyisiwe Sondezi	/wiki/Buyisiwe_Sondezi	['1976', '2025']
Basil Schonland	/wiki/Basil_Schonland	['1896', '1972']
James Leonard Brierley Smith	/wiki/James_Leonard_Brierley_Smith	['1897', '1968']
Phillip V. Tobias	/wiki/Phillip_V._Tobias	['1925', '2012']
David Bosch	/wiki/David_Bosch	['1929', '1992']
John W. de Gruchy	/wiki/John_W._de_Gruchy	['1939', '2025']
Dion Forster	/wiki/Dion_Forster	['1972', '2025']
Johan Heyns	/wiki/Johan_Heyns	['1928', '1994']
Lady Anne Barnard	/wiki/Lady_Anne_Barnard	['1750', '1825']
Herman Charles Bosman	/wiki/Herman_Charles_Bosman	['1905', '1951']
André P. Brink	/wiki/Andr%C3%A9_P._Brink	['1935', '2015']
Justin Cartwright	/wiki/Justin_Cartwright	['1945', '2025']
John Maxwell Coetzee	/wiki/John_Maxwell_Coetzee	['1940', '2025']
K. Sello Duiker	/wiki/K._Sello_Duiker	['1974', '2005']
James Percy FitzPatrick	/wiki/James_Percy_FitzPatrick	['1862', '1931']
Graeme Friedman	/wiki/Graeme_Friedman	['1900', '1950']
Damon Galgut	/wiki/Damon_Galgut	['1963', '2025']
Nadine Gordimer	/wiki/Nadine_Gordimer	['1923', '2014']
Cornelis Jacobus Langenhoven	/wiki/Cornelis_Jacobus_Langenhoven	['1873', '1932']
Pule Lechesa	/wiki/Pule_Lechesa	['1976', '2025']
Dalene Matthee	/wiki/Dalene_Matthee	['1938', '2005']
Gcina Mhlope	/wiki/Gcina_Mhlope	['1959', '2025']
Phaswane Mpe	/wiki/Phaswane_Mpe	['1970', '2004']
Deon Meyer	/wiki/Deon_Meyer	['1958', '2025']
Alan Paton	/wiki/Alan_Paton	['1903', '1988']
Margaret Roberts	/wiki/Margaret_Roberts_(herbalist)	['1900', '1950']
Karel Schoeman	/wiki/Karel_Schoeman	['1939', '2025']
Olive Schreiner	/wiki/Olive_Schreiner	['1855', '1920']
Wilbur Smith	/wiki/Wilbur_Smith	['1933', '2025']
J. R. R. Tolkien	/wiki/J._R._R._Tolkien	['1892', '1973']
Etienne van Heerden	/wiki/Etienne_van_Heerden	['1956', '2025']
Marlene van Niekerk	/wiki/Marlene_van_Niekerk	['1954', '2025']
Lyall Watson	/wiki/Lyall_Watson	['1939', '2008']
David Yudelman	/wiki/David_Yudelman	['1900', '1950']
Rachel Zadok	/wiki/Rachel_Zadok	['1972', '2025']
Kojo Baffoe	/wiki/Kojo_Baffoe	['1972', '2025']
Khanyi Dhlomo	/wiki/Khanyi_Dhlomo	['1975', '2025']
Laurence Gandar	/wiki/Laurence_Gandar	['1915', '1998']
Niel Hammann	/wiki/Niel_Hammann	['1837', '2025']
John Tengo Jabavu	/wiki/John_Tengo_Jabavu	['1859', '1921']
Aggrey Klaaste	/wiki/Aggrey_Klaaste	['1940', '2004']
Max du Preez	/wiki/Max_du_Preez	['1951', '2025']
Roy Campbell	/wiki/Roy_Campbell_(poet)	['1901', '1957']
Judy Croome	/wiki/Judy_Croome	['1958', '2025']
Sheila Cussons	/wiki/Sheila_Cussons	['1922', '2004']
Jonty Driver	/wiki/Jonty_Driver	['1939', '2025']
Totius	/wiki/Totius_(poet)	['1877', '1953']
Elisabeth Eybers	/wiki/Elisabeth_Eybers	['1915', '2007']
Stephen Gray	/wiki/Stephen_Gray_(writer)	['1941', '2025']
Ingrid Jonker	/wiki/Ingrid_Jonker	['1933', '1965']
Antjie Krog	/wiki/Antjie_Krog	['1952', '2025']
Laurence Lerner	/wiki/Laurence_Lerner	['1925', '2025']
Lucas Malan	/wiki/Lucas_Malan	['1946', '2010']
Chris Mann	/wiki/Chris_Mann_(poet)	['1900', '1950']
Eugène Marais	/wiki/Eug%C3%A8ne_Marais	['1871', '1936']
Thomas Pringle	/wiki/Thomas_Pringle	['1789', '1834']
N. P. van Wyk Louw	/wiki/N._P._van_Wyk_Louw	['1906', '1970']
Mongane Wally Serote	/wiki/Mongane_Wally_Serote	['1944', '2025']
Stephen Watson	/wiki/Stephen_Watson_(poet)	['1954', '2011']
Jani Allan	/wiki/Jani_Allan	['1953', '2025']
George Claassen	/wiki/George_Claassen	['1900', '1950']
Robyn Curnow	/wiki/Robyn_Curnow	['1900', '1950']
John Charles Daly	/wiki/John_Charles_Daly	['1914', '1991']
Arthur Goldstuck	/wiki/Arthur_Goldstuck	['1959', '2025']
Niel Hammann	/wiki/Niel_Hammann	['1937', '2025']
Archibald Campbell Jordan	/wiki/Archibald_Campbell_Jordan	['1906', '1968']
Lara Logan	/wiki/Lara_Logan	['1971', '2025']
Peter Magubane	/wiki/Peter_Magubane	['1932', '2025']
John Matisonn	/wiki/John_Matisonn	['1949', '2025']
Sam Nzima	/wiki/Sam_Nzima	['1934', '2018']
Sol Plaatje	/wiki/Sol_Plaatje	['1877', '1932']
Percy Qoboza	/wiki/Percy_Qoboza	['1938', '1988']
Barry Streek	/wiki/Barry_Streek	['1948', '2006']
Eric Lloyd Williams	/wiki/Eric_Lloyd_Williams	['1915', '1988']
Donald Woods	/wiki/Donald_Woods	['1933', '2001']
Anel Alexander	/wiki/Anel_Alexander	['1979', '2025']
Lesley-Ann Brandt	/wiki/Lesley-Ann_Brandt	['1981', '2025']
Peter Cartwright	/wiki/Peter_Cartwright_(actor)	['1935', '2013']
Sharlto Copley	/wiki/Sharlto_Copley	['1973', '2025']
Embeth Davidtz	/wiki/Embeth_Davidtz	['1965', '2025']
Gopala Davies	/wiki/Gopala_Davies	['1988', '2025']
Pallance Dladla	/wiki/Pallance_Dladla	['1992', '2025']
Kim Engelbrecht	/wiki/Kim_Engelbrecht	['1980', '2025']
Willie Esterhuizen	/wiki/Willie_Esterhuizen	['1900', '1950']
Brett Goldin	/wiki/Brett_Goldin	['1977', '2006']
Roxane Hayward	/wiki/Roxane_Hayward	['1991', '2025']
Hennie Jacobs	/wiki/Hennie_Jacobs	['1981', '2025']
David James	/wiki/David_James_(South_African_actor)	['1972', '2025']
Sid James	/wiki/Sid_James	['1913', '1976']
Adhir Kalyan	/wiki/Adhir_Kalyan	['1983', '2025']
Atandwa Kani	/wiki/Atandwa_Kani	['1900', '1950']
John Kani	/wiki/John_Kani	['1943', '2025']
Alice Krige	/wiki/Alice_Krige	['1954', '2025']
Joe Mafela	/wiki/Joe_Mafela	['1942', '2017']
Maps Maponyane	/wiki/Maps_Maponyane	['1990', '2025']
Khanyi Mbau	/wiki/Khanyi_Mbau	['1985', '2025']
Nomzamo Mbatha	/wiki/Nomzamo_Mbatha	['1990', '2025']
Michelle Mosalakae	/wiki/Michelle_Mosalakae	['1994', '2025']
Thuso Mbedu	/wiki/Thuso_Mbedu	['1991', '2025']
Sean Michael	/wiki/Sean_Michael_(South_African_actor)	['1969', '2025']
