text	link	year
Victoria Abril	/wiki/Victoria_Abril	['1957', '2025']
Elena Anaya	/wiki/Elena_Anaya	['1975', '2025']
Antonio Banderas	/wiki/Antonio_Banderas	['1960', '2025']
Javier Bardem	/wiki/Javier_Bardem	['1969', '2025']
Pilar Bardem	/wiki/Pilar_Bardem	['1939', '2025']
Claudia Bassols	/wiki/Claudia_Bassols	['1979', '2025']
Ana Belén	/wiki/Ana_Bel%C3%A9n	['1951', '2025']
Àstrid Bergès-Frisbey	/wiki/%C3%80strid_Berg%C3%A8s-Frisbey	['1986', '2025']
Juan Diego Botto	/wiki/Juan_Diego_Botto	['1975', '2025']
Mario Casas	/wiki/Mario_Casas	['1986', '2025']
Diego Gilberte	/wiki/Diego_Gilberte	['1994', '2025']
Mark Consuelos	/wiki/Mark_Consuelos	['1970', '2025']
Penélope Cruz	/wiki/Pen%C3%A9lope_Cruz	['1974', '2025']
Gabino Diego	/wiki/Gabino_Diego	['1966', '2025']
Angelines Fernández	/wiki/Angelines_Fern%C3%A1ndez	['1922', '1994']
Fernando Fernán Gómez	/wiki/Fernando_Fern%C3%A1n_G%C3%B3mez	['1921', '2007']
Juan Luis Galiardo	/wiki/Juan_Luis_Galiardo	['1940', '2012']
Sancho Gracia	/wiki/Sancho_Gracia	['1936', '2012']
Alfredo Landa	/wiki/Alfredo_Landa	['1933', '2013']
Sergi López	/wiki/Sergi_L%C3%B3pez_(actor)	['1965', '2025']
Jordi Mollà	/wiki/Jordi_Moll%C3%A0	['1968', '2025']
Sara Montiel	/wiki/Sara_Montiel	['1928', '2013']
Paul Naschy	/wiki/Paul_Naschy	['1934', '2009']
Fernando Rey	/wiki/Fernando_Rey	['1917', '1994']
Fernando Sancho	/wiki/Fernando_Sancho	['1916', '1990']
María Valverde	/wiki/Mar%C3%ADa_Valverde	['1986', '2025']
Paz Vega	/wiki/Paz_Vega	['1976', '2025']
Maribel Verdú	/wiki/Maribel_Verd%C3%BA	['1970', '2025']
David Aja	/wiki/David_Aja	['1900', '1950']
Juan Caro de Tavira	/wiki/Juan_Caro_de_Tavira	['1900', '1950']
Charris	/wiki/Charris	['1962', '2025']
Chumy Chúmez	/wiki/Chumy_Ch%C3%BAmez	['1927', '2003']
Salvador Dalí	/wiki/Salvador_Dal%C3%AD	['1904', '1989']
Óscar Domínguez	/wiki/%C3%93scar_Dom%C3%ADnguez	['1906', '1957']
Pasqual Ferry	/wiki/Pasqual_Ferry	['1900', '1950']
Francisco Goya	/wiki/Francisco_Goya	['1746', '1828']
El Greco	/wiki/El_Greco	['1541', '1614']
Juan Gris	/wiki/Juan_Gris	['1887', '1927']
Joan Miró	/wiki/Joan_Mir%C3%B3	['1893', '1983']
Joaquín Sorolla	/wiki/Joaqu%C3%ADn_Sorolla	['1863', '1923']
Bartolomé Esteban Murillo	/wiki/Bartolom%C3%A9_Esteban_Murillo	['1618', '1682']
Carlos Pacheco	/wiki/Carlos_Pacheco	['1961', '2025']
Pablo Picasso	/wiki/Pablo_Picasso	['1881', '1973']
Antoni Tàpies	/wiki/Antoni_T%C3%A0pies	['1923', '2012']
Diego Velázquez	/wiki/Diego_Vel%C3%A1zquez	['1599', '1660']
Ignacio Zuloaga	/wiki/Ignacio_Zuloaga	['1870', '1945']
Francisco de Zurbarán	/wiki/Francisco_de_Zurbar%C3%A1n	['1598', '1644']
Lope de Aguirre	/wiki/Lope_de_Aguirre	['1511', '1561']
Diego de Almagro	/wiki/Diego_de_Almagro	['1475', '1538']
Luis de Moscoso Alvarado	/wiki/Luis_de_Moscoso_Alvarado	['1505', '1551']
Juan Bautista de Anza	/wiki/Juan_Bautista_de_Anza	['1736', '1788']
Sebastián de Belalcázar	/wiki/Sebasti%C3%A1n_de_Belalc%C3%A1zar	['1480', '1551']
Fray Tomás de Berlanga	/wiki/Fray_Tom%C3%A1s_de_Berlanga	['1487', '1551']
Juan Bermúdez	/wiki/Juan_Berm%C3%BAdez	['1450', '1520']
Álvar Núñez Cabeza de Vaca	/wiki/%C3%81lvar_N%C3%BA%C3%B1ez_Cabeza_de_Vaca	['1528', '1536']
Juan Rodríguez Cabrillo	/wiki/Juan_Rodr%C3%ADguez_Cabrillo	['1499', '1543']
Andrés Dorantes de Carranza	/wiki/Andr%C3%A9s_Dorantes_de_Carranza	['1900', '1950']
Gabriel de Castilla	/wiki/Gabriel_de_Castilla	['1577', '1620']
Cosme Damián de Churruca y Elorza	/wiki/Cosme_Dami%C3%A1n_de_Churruca_y_Elorza	['1761', '1805']
Francisco Vásquez de Coronado	/wiki/Francisco_V%C3%A1squez_de_Coronado	['1510', '1554']
Hernán Cortés	/wiki/Hern%C3%A1n_Cort%C3%A9s	['1485', '1547']
Juan Sebastián Elcano	/wiki/Juan_Sebasti%C3%A1n_Elcano	['1476', '1526']
Gaspar de Espinosa	/wiki/Gaspar_de_Espinosa	['1900', '1950']
Diego Duque de Estrada	/wiki/Diego_Duque_de_Estrada	['1589', '1647']
Salvador Fidalgo	/wiki/Salvador_Fidalgo	['1756', '1803']
Miguel López de Legazpi	/wiki/Miguel_L%C3%B3pez_de_Legazpi	['1502', '1572']
Vasco Núñez de Balboa	/wiki/Vasco_N%C3%BA%C3%B1ez_de_Balboa	['1475', '1519']
Francisco de Orellana	/wiki/Francisco_de_Orellana	['1900', '1950']
Pedrarias Dávila	/wiki/Pedrarias_D%C3%A1vila	['1900', '1950']
Francisco Pizarro	/wiki/Francisco_Pizarro	['1471', '1541']
Juan Ponce de León	/wiki/Juan_Ponce_de_Le%C3%B3n	['1460', '1521']
Alonso del Castillo Maldonado	/wiki/Alonso_del_Castillo_Maldonado	['1900', '1950']
Gaspar de Portolà	/wiki/Gaspar_de_Portol%C3%A0	['1900', '1950']
Bartolomé Ruiz	/wiki/Bartolom%C3%A9_Ruiz	['1482', '1532']
Hernando de Soto	/wiki/Hernando_de_Soto_(explorer)	['1500', '1542']
Pedro de Valdivia	/wiki/Pedro_de_Valdivia	['1500', '1554']
Pedro de los Ríos y Gutiérrez de Aguayo	/wiki/Pedro_de_los_R%C3%ADos_y_Guti%C3%A9rrez_de_Aguayo	['1900', '1950']
Vicente Yáñez Pinzón	/wiki/Vicente_Y%C3%A1%C3%B1ez_Pinz%C3%B3n	['1900', '1950']
Amaro Rodríguez Felipe	/wiki/Amaro_Rodr%C3%ADguez_Felipe	['1678', '1747']
Isabel de Urquiola	/wiki/Isabel_de_Urquiola	['1854', '1911']
Pedro Almodóvar	/wiki/Pedro_Almod%C3%B3var	['1949', '2025']
Alejandro Amenábar	/wiki/Alejandro_Amen%C3%A1bar	['1972', '2025']
Montxo Armendáriz	/wiki/Montxo_Armend%C3%A1riz	['1949', '2025']
Carlos Atanes	/wiki/Carlos_Atanes	['1971', '2025']
Juanma Bajo Ulloa	/wiki/Juanma_Bajo_Ulloa	['1967', '2025']
Jaume Balagueró	/wiki/Jaume_Balaguer%C3%B3	['1968', '2025']
Juan Antonio Bardem	/wiki/Juan_Antonio_Bardem	['1922', '2002']
Juan Antonio Bayona	/wiki/Juan_Antonio_Bayona	['1975', '2025']
Icíar Bollaín	/wiki/Ic%C3%ADar_Bolla%C3%ADn	['1967', '2025']
José Luis Borau	/wiki/Jos%C3%A9_Luis_Borau	['1929', '2012']
Luis Buñuel	/wiki/Luis_Bu%C3%B1uel	['1900', '1983']
Mario Camus	/wiki/Mario_Camus	['1935', '2025']
Segundo de Chomón	/wiki/Segundo_de_Chom%C3%B3n	['1871', '1929']
Isabel Coixet	/wiki/Isabel_Coixet	['1962', '2025']
Agustín Díaz Yanes	/wiki/Agust%C3%ADn_D%C3%ADaz_Yanes	['1950', '2025']
Víctor Erice	/wiki/V%C3%ADctor_Erice	['1940', '2025']
Fernando Fernán Gómez	/wiki/Fernando_Fern%C3%A1n_G%C3%B3mez	['1921', '2007']
Jesus Franco	/wiki/Jesus_Franco	['1930', '2013']
José Luis Garci	/wiki/Jos%C3%A9_Luis_Garci	['1944', '2025']
Luis García Berlanga	/wiki/Luis_Garc%C3%ADa_Berlanga	['1921', '2010']
Manuel Gutiérrez Aragón	/wiki/Manuel_Guti%C3%A9rrez_Arag%C3%B3n	['1942', '2025']
Álex de la Iglesia	/wiki/%C3%81lex_de_la_Iglesia	['1965', '2025']
Fernando León de Aranoa	/wiki/Fernando_Le%C3%B3n_de_Aranoa	['1968', '2025']
Bigas Luna	/wiki/Bigas_Luna	['1946', '2013']
Julio Médem	/wiki/Julio_M%C3%A9dem	['1958', '2025']
Pilar Miró	/wiki/Pilar_Mir%C3%B3	['1940', '1997']
Paul Naschy	/wiki/Paul_Naschy	['1934', '2009']
Amando de Ossorio	/wiki/Amando_de_Ossorio	['1918', '2001']
Ventura Pons	/wiki/Ventura_Pons	['1945', '2025']
José Luis Sáenz de Heredia	/wiki/Jos%C3%A9_Luis_S%C3%A1enz_de_Heredia	['1911', '1992']
Carlos Saura	/wiki/Carlos_Saura	['1932', '2025']
Santiago Segura	/wiki/Santiago_Segura	['1965', '2025']
David Trueba	/wiki/David_Trueba	['1969', '2025']
Fernando Trueba	/wiki/Fernando_Trueba	['1955', '2025']
Agustí Villaronga	/wiki/Agust%C3%AD_Villaronga	['1953', '2025']
Benito Zambrano	/wiki/Benito_Zambrano	['1964', '2025']
Lydia Zimmermann	/wiki/Lydia_Zimmermann	['1966', '2025']
Iván Zulueta	/wiki/Iv%C3%A1n_Zulueta	['1943', '2025']
Abd-ar-Rahman III	/wiki/Abd-ar-Rahman_III	['891', '961']
Al-Mansur Ibn Abi Aamir	/wiki/Al-Mansur_Ibn_Abi_Aamir	['938', '1002']
Francisco Jiménez de Cisneros	/wiki/Francisco_Jim%C3%A9nez_de_Cisneros	['1436', '1517']
Charles V, Holy Roman Emperor	/wiki/Charles_V,_Holy_Roman_Emperor	['1500', '1558']
Juan Prim	/wiki/Juan_Prim	['1814', '1870']
Antonio Cánovas del Castillo	/wiki/Antonio_C%C3%A1novas_del_Castillo	['1828', '1897']
Fernando de los Ríos Urruti	/wiki/Fernando_de_los_R%C3%ADos_Urruti	['1879', '1949']
Manuel Azaña	/wiki/Manuel_Aza%C3%B1a	['1880', '1940']
Manuel Azaña	/wiki/Manuel_Aza%C3%B1a	['1880', '1940']
José María Aznar	/wiki/Jos%C3%A9_Mar%C3%ADa_Aznar	['1953', '2025']
Josep Borrell	/wiki/Josep_Borrell	['1947', '2025']
Leopoldo Calvo-Sotelo	/wiki/Leopoldo_Calvo-Sotelo	['1926', '2008']
Santiago Carrillo	/wiki/Santiago_Carrillo	['1915', '2012']
Buenaventura Durruti	/wiki/Buenaventura_Durruti	['1896', '1936']
Francisco Franco	/wiki/Francisco_Franco	['1892', '1975']
María Teresa Fernández de la Vega	/wiki/Mar%C3%ADa_Teresa_Fern%C3%A1ndez_de_la_Vega	['1949', '2025']
Felipe González	/wiki/Felipe_Gonz%C3%A1lez	['1942', '2025']
Dolores Ibárruri	/wiki/Dolores_Ib%C3%A1rruri	['1895', '1989']
Eugenio Montero Ríos	/wiki/Eugenio_Montero_R%C3%ADos	['1832', '1914']
José Antonio Primo de Rivera	/wiki/Jos%C3%A9_Antonio_Primo_de_Rivera	['1903', '1936']
Mariano Rajoy	/wiki/Mariano_Rajoy	['1955', '2025']
Rodrigo Rato	/wiki/Rodrigo_Rato	['1949', '2025']
