text	link	year
Mo Ibrahim	/wiki/Mo_Ibrahim	['1900', '1950']
Awn Alsharif Qasim	/wiki/Awn_Alsharif_Qasim	['1933', '2006']
Bas	/wiki/Bas_(rapper)	['1900', '1950']
Ramey Dawoud	/wiki/Ramey_Dawoud	['1900', '1950']
Samy Deluxe	/wiki/Samy_Deluxe	['1900', '1950']
Emmanuel Jal	/wiki/Emmanuel_Jal	['1900', '1950']
Abdel Aziz El Mubarak	/wiki/Abdel_Aziz_El_Mubarak	['1900', '1950']
Alexander Siddig	/wiki/Alexander_Siddig	['1900', '1950']
Mohammed Wardi	/wiki/Mohammed_Wardi	['1900', '1950']
Abdel Karim el Kably	/wiki/Abdel_Karim_el_Kably	['1900', '1950']
Natasja Saad	/wiki/Natasja_Saad	['1900', '1950']
Oddisee	/wiki/Oddisee	['1900', '1950']
Emmanuel Jal	/wiki/Emmanuel_Jal	['1900', '1950']
Abd El Gadir Salim	/wiki/Abd_El_Gadir_Salim	['1900', '1950']
Alsarah	/wiki/Alsarah	['1900', '1950']
Abdallahi ibn Muhammad	/wiki/Abdallahi_ibn_Muhammad	['1900', '1950']
Muhammad Ahmad	/wiki/Muhammad_Ahmad	['1900', '1950']
Abdalla Eltayeb	/wiki/Abdalla_Eltayeb	['1900', '1950']
Tayeb Salih	/wiki/Tayeb_Salih	['1900', '1950']
Ibrahim 'Ali Salman	/wiki/Ibrahim_%27Ali_Salman	['1900', '1950']
Safia Elhillo	/wiki/Safia_Elhillo	['1900', '1950']
Zeinab Badawi	/wiki/Zeinab_Badawi	['1900', '1950']
Alfred Taban	/wiki/Alfred_Taban	['1900', '1950']
Lam Akol	/wiki/Lam_Akol	['1900', '1950']
Ismail al-Azhari	/wiki/Ismail_al-Azhari	['1900', '1950']
Rashid Bakr	/wiki/Rashid_Bakr	['1900', '1950']
Omar al-Bashir	/wiki/Omar_al-Bashir	['1900', '1950']
Mandour Elmahdi	/wiki/Mandour_Elmahdi	['1900', '1950']
Osman Eltayeb	/wiki/Osman_Eltayeb	['1900', '1950']
John Garang	/wiki/John_Garang	['1900', '1950']
Sayed Ahmad Keir	/wiki/Sayed_Ahmad_Keir	['1900', '1950']
Yousif Kuwa	/wiki/Yousif_Kuwa	['1945', '2001']
Sadiq al-Mahdi	/wiki/Sadiq_al-Mahdi	['1900', '1950']
Salva Kiir Mayardit	/wiki/Salva_Kiir_Mayardit	['1900', '1950']
Minni Minnawi	/wiki/Minni_Minnawi	['1900', '1950']
Ahmed al-Mirghani	/wiki/Ahmed_al-Mirghani	['1900', '1950']
Gaafar Nimeiry	/wiki/Gaafar_Nimeiry	['1900', '1950']
Hassan Al-Turabi	/wiki/Hassan_Al-Turabi	['1900', '1950']
Emtithal Mahmoud	/wiki/Emtithal_Mahmoud	['1900', '1950']
Hadeel Ibrahim	/wiki/Hadeel_Ibrahim	['1900', '1950']
Dalia Haj-Omar	/wiki/Dalia_Haj-Omar	['1900', '1950']
Yassmin Abdel-Magied	/wiki/Yassmin_Abdel-Magied	['1900', '1950']
Amin Mekki Medani	/wiki/Amin_Mekki_Medani	['1900', '1950']
Muhammad Ahmad	/wiki/Muhammad_Ahmad	['1900', '1950']
Nagmeldin Ali Abubakr	/wiki/Nagmeldin_Ali_Abubakr	['1900', '1950']
Yamilé Aldama	/wiki/Yamil%C3%A9_Aldama	['1900', '1950']
Manute Bol	/wiki/Manute_Bol	['1900', '1950']
Luol Deng	/wiki/Luol_Deng	['1900', '1950']
Deng Gai	/wiki/Deng_Gai	['1900', '1950']
Ismail Ahmed Ismail	/wiki/Ismail_Ahmed_Ismail	['1900', '1950']
Hassan El Kashief	/wiki/Hassan_El_Kashief	['1900', '1950']
Omer Khalifa	/wiki/Omer_Khalifa	['1900', '1950']
John Mirona	/wiki/John_Mirona	['1900', '1950']
Todd Matthews-Jouda	/wiki/Todd_Matthews-Jouda	['1900', '1950']
Haitham Mustafa	/wiki/Haitham_Mustafa	['1900', '1950']
Alek Wek	/wiki/Alek_Wek	['1900', '1950']
Ajak Deng	/wiki/Ajak_Deng	['1900', '1950']
Ataui Deng	/wiki/Ataui_Deng	['1900', '1950']
