text	link	year
Ninos Aho	/wiki/Ninos_Aho	['1900', '1950']
Rosie Malek-Yonan	/wiki/Rosie_Malek-Yonan	['1900', '1950']
Jumana Hanna	/wiki/Jumana_Hanna	['1900', '1950']
Nuri Kino	/wiki/Nuri_Kino	['1900', '1950']
Farid Nazha	/wiki/Farid_Nazha	['1900', '1950']
Naum Faiq	/wiki/Naum_Faiq	['1900', '1950']
Freydun Atturaya	/wiki/Freydun_Atturaya	['1900', '1950']
F. Murray Abraham	/wiki/F._Murray_Abraham	['1900', '1950']
Tony Yalda	/wiki/Tony_Yalda	['1900', '1950']
Michael Denkha	/wiki/Michael_Denkha	['1900', '1950']
Naguib el-Rihani	/wiki/Naguib_el-Rihani	['1900', '1950']
Andre Khabbazi	/wiki/Andre_Khabbazi	['1900', '1950']
Terrence Malick	/wiki/Terrence_Malick	['1900', '1950']
Henri Charr	/wiki/Henri_Charr	['1900', '1950']
Nuri Kino	/wiki/Nuri_Kino	['1900', '1950']
Rosie Malek-Yonan	/wiki/Rosie_Malek-Yonan	['1900', '1950']
Alfred Rasho	/wiki/Alfred_Rasho	['1900', '1950']
Lina Yakubova	/wiki/Lina_Yakubova	['1900', '1950']
Raad Ghantous	/wiki/Raad_Ghantous	['1900', '1950']
Paulus Khofri	/wiki/Paulus_Khofri	['1900', '1950']
Eser Afacan	/wiki/Eser_Afacan	['1900', '1950']
Farouk Kaspaules	/wiki/Farouk_Kaspaules	['1900', '1950']
Issa Benyamin	/wiki/Issa_Benyamin	['1900', '1950']
Thea Halo	/wiki/Thea_Halo	['1900', '1950']
Fred Parhad	/wiki/Fred_Parhad	['1900', '1950']
Bishara Morad	/wiki/Bishara_Morad	['1900', '1950']
George Malek-Yonan	/wiki/George_Malek-Yonan	['1900', '1950']
Mustafa Hamsho	/wiki/Mustafa_Hamsho	['1900', '1950']
George Issabeg	/wiki/George_Issabeg	['1900', '1950']
Anwar Oshana	/wiki/Anwar_Oshana	['1900', '1950']
Shoura Osipov	/wiki/Shoura_Osipov	['1900', '1950']
Ammo Baba	/wiki/Ammo_Baba	['1900', '1950']
Edison David	/wiki/Edison_David	['1900', '1950']
Youra Eshaya	/wiki/Youra_Eshaya	['1900', '1950']
Basil Gorgis Hanna	/wiki/Basil_Gorgis_Hanna	['1900', '1950']
Thamer Yousif	/wiki/Thamer_Yousif	['1900', '1950']
Saad Benyamin	/wiki/Saad_Benyamin	['1900', '1950']
Aram Karam	/wiki/Aram_Karam	['1900', '1950']
Ayoub Odisho	/wiki/Ayoub_Odisho	['1900', '1950']
Douglas Aziz	/wiki/Douglas_Aziz	['1900', '1950']
Andrew Simon	/wiki/Andrew_Simon	['1900', '1950']
Alex Agase	/wiki/Alex_Agase	['1900', '1950']
Lou Agase	/wiki/Lou_Agase	['1900', '1950']
Isho Shiba	/wiki/Isho_Shiba	['1900', '1950']
Mustafa Hamsho	/wiki/Mustafa_Hamsho	['1900', '1950']
Isho Shiba	/wiki/Isho_Shiba	['1900', '1950']
Anwar Oshana	/wiki/Anwar_Oshana	['1900', '1950']
Sammy Merza	/wiki/Sammy_Merza	['1900', '1950']
Zurab Ionanidze	/wiki/Zurab_Ionanidze	['1900', '1950']
Steven Beitashour	/wiki/Steven_Beitashour	['1900', '1950']
Assyriska	/wiki/Assyriska	['1900', '1950']
Kennedy Bakircioglu	/wiki/Kennedy_Bakircioglu	['1900', '1950']
Louay Chanko	/wiki/Louay_Chanko	['1900', '1950']
George Mourad	/wiki/George_Mourad	['1900', '1950']
Ilyas Merkes	/wiki/Ilyas_Merkes	['1900', '1950']
Sanharib Malki	/wiki/Sanharib_Malki	['1900', '1950']
Alexander Alkhazov	/wiki/Alexander_Alkhazov	['1900', '1950']
Zaya Avdysh	/wiki/Zaya_Avdysh	['1900', '1950']
Christian Demirtas	/wiki/Christian_Demirtas	['1900', '1950']
Daniel Unal	/wiki/Daniel_Unal	['1900', '1950']
Leena Khamis	/wiki/Leena_Khamis	['1900', '1950']
Ninos Gouriye	/wiki/Ninos_Gouriye	['1900', '1950']
Daniyel Cimen	/wiki/Daniyel_Cimen	['1900', '1950']
Abgar Barsom	/wiki/Abgar_Barsom	['1900', '1950']
Stefan Batan	/wiki/Stefan_Batan	['1900', '1950']
Andreas Haddad	/wiki/Andreas_Haddad	['1900', '1950']
Eddie Moussa	/wiki/Eddie_Moussa	['1900', '1950']
Gabriel Özkan	/wiki/Gabriel_%C3%96zkan	['1900', '1950']
Sharbel Touma	/wiki/Sharbel_Touma	['1900', '1950']
Suleyman Sleyman	/wiki/Suleyman_Sleyman	['1900', '1950']
Jimmy Durmaz	/wiki/Jimmy_Durmaz	['1900', '1950']
David Durmaz	/wiki/David_Durmaz	['1900', '1950']
Imad Chhadeh	/wiki/Imad_Chhadeh	['1900', '1950']
Gabriel Ucar	/wiki/Gabriel_Ucar	['1900', '1950']
Andreas Yacoub-Haddad	/wiki/Andreas_Yacoub-Haddad	['1900', '1950']
Mikael Ishak	/wiki/Mikael_Ishak	['1900', '1950']
Michel Noyan	/wiki/Michel_Noyan	['1900', '1950']
Dani Hamzo	/wiki/Dani_Hamzo	['1900', '1950']
Jasar Takak	/wiki/Jasar_Takak	['1900', '1950']
Justin Meram	/wiki/Justin_Meram	['1900', '1950']
Sargon Duran	/wiki/Sargon_Duran	['1900', '1950']
Sargon Cicek	/wiki/Sargon_Cicek	['1900', '1950']
Christer Youssef	/wiki/Christer_Youssef	['1900', '1950']
Gabriel Ucar	/wiki/Gabriel_Ucar	['1900', '1950']
Frans Dhia Putros	/wiki/Frans_Dhia_Putros	['1900', '1950']
Mario Shabow	/wiki/Mario_Shabow	['1900', '1950']
Rebin Sulaka	/wiki/Rebin_Sulaka	['1900', '1950']
Kennedy Bakircioglü	/wiki/Kennedy_Bakirciogl%C3%BC	['1900', '1950']
Mikhail Sado	/wiki/Mikhail_Sado	['1900', '1950']
Tiras Odisho	/wiki/Tiras_Odisho	['1900', '1950']
Beneil Dariush	/wiki/Beneil_Dariush	['1900', '1950']
David Teymur	/wiki/David_Teymur	['1900', '1950']
Daniel Alaei	/wiki/Daniel_Alaei	['1900', '1950']
Andre Agassi	/wiki/Andre_Agassi	['1900', '1950']
Michael Shabaz	/wiki/Michael_Shabaz	['1900', '1950']
Andre Khabbazi	/wiki/Andre_Khabbazi	['1900', '1950']
Ramona Amiri	/wiki/Ramona_Amiri	['1900', '1950']
Donny George Youkhanna	/wiki/Donny_George_Youkhanna	['1900', '1950']
Emanuel Kamber	/wiki/Emanuel_Kamber	['1900', '1950']
Eprime Eshag	/wiki/Eprime_Eshag	['1900', '1950']
Hormuzd Rassam	/wiki/Hormuzd_Rassam	['1900', '1950']
Louis Cheikhô	/wiki/Louis_Cheikh%C3%B4	['1900', '1950']
Ashur Yousif	/wiki/Ashur_Yousif	['1900', '1950']
Eden Naby	/wiki/Eden_Naby	['1900', '1950']
Mikhail Sado	/wiki/Mikhail_Sado	['1900', '1950']
Paul Bedjan	/wiki/Paul_Bedjan	['1900', '1950']
Kanan Makiya	/wiki/Kanan_Makiya	['1900', '1950']
Hind Rassam Culhane	/wiki/Hind_Rassam_Culhane	['1900', '1950']
Thomas L. Saaty	/wiki/Thomas_L._Saaty	['1900', '1950']
Toma bar Yacoub	/wiki/Toma_bar_Yacoub	['1900', '1950']
Hunayn ibn Ishaq	/wiki/Hunayn_ibn_Ishaq	['1900', '1950']
Masawaiyh	/wiki/Masawaiyh	['1900', '1950']
Bardaisan	/wiki/Bardaisan	['1900', '1950']
Aba I	/wiki/Aba_I	['1900', '1950']
Babai the Great	/wiki/Babai_the_Great	['1900', '1950']
Toma Audo	/wiki/Toma_Audo	['1900', '1950']
Mor Philoxenos Yuhanon Dolabani	/wiki/Mor_Philoxenos_Yuhanon_Dolabani	['1900', '1950']
Babai	/wiki/Babai_(Nestorian_Patriarch)	['1900', '1950']
Fuat Deniz	/wiki/Fuat_Deniz	['1900', '1950']
George Kiraz	/wiki/George_Kiraz	['1900', '1950']
Aphrahat	/wiki/Aphrahat	['1900', '1950']
Bob Miner	/wiki/Bob_Miner	['1900', '1950']
Milton Malek-Yonan	/wiki/Milton_Malek-Yonan	['1900', '1950']
Sue Ismiel	/wiki/Sue_Ismiel	['1900', '1950']
Victor Nacif	/wiki/Victor_Nacif	['1900', '1950']
Jeff Moorad	/wiki/Jeff_Moorad	['1900', '1950']
Tony Rezko	/wiki/Tony_Rezko	['1900', '1950']
Daniel Hadad	/wiki/Daniel_Hadad	['1900', '1950']
Shamoun Hanna Haydo	/wiki/Shamoun_Hanna_Haydo	['1900', '1950']
Agha Petros	/wiki/Agha_Petros	['1900', '1950']
Malik Khoshaba	/wiki/Malik_Khoshaba	['1900', '1950']
Georges Sada	/wiki/Georges_Sada	['1900', '1950']
Nabonidus	/wiki/Nabonidus	['1900', '1950']
Belshazzar	/wiki/Belshazzar	['1900', '1950']
Izates I	/wiki/Izates_I	['1900', '1950']
Izates bar Monobaz	/wiki/Izates_bar_Monobaz	['1900', '1950']
Ashur Yousif	/wiki/Ashur_Yousif	['1900', '1950']
Obelit Yadgar	/wiki/Obelit_Yadgar	['1900', '1950']
Nineveh Dinha	/wiki/Nineveh_Dinha	['1900', '1950']
Cindy Sargon	/wiki/Cindy_Sargon	['1900', '1950']
John Batchelor	/wiki/John_Batchelor	['1900', '1950']
Ramona Amiri	/wiki/Ramona_Amiri	['1900', '1950']
Claudia Hanna	/wiki/Claudia_Hanna	['1900', '1950']
Larsa Pippen	/wiki/Larsa_Pippen	['1900', '1950']
Nancy Oshana Wehbe	/wiki/Nancy_Oshana_Wehbe	['1900', '1950']
Adwar Mousa	/wiki/Adwar_Mousa	['1900', '1950']
Ashur Bet Sargis	/wiki/Ashur_Bet_Sargis	['1900', '1950']
Azadoota	/wiki/Azadoota	['1900', '1950']
Fairouz	/wiki/Fairouz	['1900', '1950']
Jamil Bashir	/wiki/Jamil_Bashir	['1900', '1950']
Munir Bashir	/wiki/Munir_Bashir	['1900', '1950']
Linda George	/wiki/Linda_George_(Assyrian_singer)	['1900', '1950']
Paulus Khofri	/wiki/Paulus_Khofri	['1900', '1950']
Yosip Bet Yosip	/wiki/Yosip_Bet_Yosip	['1900', '1950']
William D. S. Daniel	/wiki/William_D._S._Daniel	['1900', '1950']
Marganita Vogt-Khofri	/wiki/Marganita_Vogt-Khofri	['1900', '1950']
Janan Sawa	/wiki/Janan_Sawa	['1900', '1950']
Habib Mousa	/wiki/Habib_Mousa	['1900', '1950']
Jan Karat	/wiki/Jan_Karat	['1900', '1950']
Elias Karam	/wiki/Elias_Karam	['1900', '1950']
Sargon Gabriel	/wiki/Sargon_Gabriel	['1900', '1950']
Shamiram Urshan	/wiki/Shamiram_Urshan	['1900', '1950']
Wadih el Safi	/wiki/Wadih_el_Safi	['1900', '1950']
Klodia Hanna	/wiki/Klodia_Hanna	['1900', '1950']
Evin Agassi	/wiki/Evin_Agassi	['1900', '1950']
Juliana Jendo	/wiki/Juliana_Jendo	['1900', '1950']
Hanna Petros	/wiki/Hanna_Petros	['1900', '1950']
Gabriel Asaad	/wiki/Gabriel_Asaad	['1900', '1950']
George Chaharbakhshi	/wiki/George_Chaharbakhshi	['1900', '1950']
Haitham Yousif	/wiki/Haitham_Yousif	['1900', '1950']
Tony Aziz Yaqoo	/wiki/Tony_Aziz_Yaqoo	['1900', '1950']
Tony K	/wiki/Tony_K	['1900', '1950']
Melechesh	/wiki/Melechesh	['1900', '1950']
Aril Brikha	/wiki/Aril_Brikha	['1900', '1950']
Rola Bahnam	/wiki/Rola_Bahnam	['1900', '1950']
Timz	/wiki/Timz	['1900', '1950']
Ninsun Poli	/wiki/Ninsun_Poli	['1900', '1950']
Yonathan Betkolia	/wiki/Yonathan_Betkolia	['1900', '1950']
Basim Bello	/wiki/Basim_Bello	['1900', '1950']
Bahnam Zaya Bulos	/wiki/Bahnam_Zaya_Bulos	['2003', '2004']
Basimah Yusuf Butrus	/wiki/Basimah_Yusuf_Butrus	['1900', '1950']
Franso Hariri	/wiki/Franso_Hariri	['1900', '1950']
Fawzi Franso Hariri	/wiki/Fawzi_Franso_Hariri	['1900', '1950']
Yonadam Kanna	/wiki/Yonadam_Kanna	['1900', '1950']
Wijdan Michael	/wiki/Wijdan_Michael	['1900', '1950']
Georges Sada	/wiki/Georges_Sada	['1900', '1950']
Ablahad Afraim Sawa	/wiki/Ablahad_Afraim_Sawa	['1900', '1950']
Pascal Esho Warda	/wiki/Pascal_Esho_Warda	['1900', '1950']
Albert Edward Ismail Yelda	/wiki/Albert_Edward_Ismail_Yelda	['1900', '1950']
Yusuf Salman Yusuf	/wiki/Yusuf_Salman_Yusuf	['1900', '1950']
Surma D'Bait Mar Shimun	/wiki/Surma_D%27Bait_Mar_Shimun	['1900', '1950']
Sarkis Aghajan Mamendo	/wiki/Sarkis_Aghajan_Mamendo	['1900', '1950']
Tariq Aziz	/wiki/Tariq_Aziz	['1900', '1950']
Kamel Hana Gegeo	/wiki/Kamel_Hana_Gegeo	['1900', '1950']
Tiras Odisho	/wiki/Tiras_Odisho	['1900', '1950']
Saddam Hussein	/wiki/Saddam_Hussein	['1900', '1950']
Tiras Odisho	/wiki/Tiras_Odisho	['1900', '1950']
Freydun Atturaya	/wiki/Freydun_Atturaya	['1900', '1950']
Erol Dora	/wiki/Erol_Dora	['1900', '1950']
Naum Faiq	/wiki/Naum_Faiq	['1900', '1950']
Dr. William Ishaya	/wiki/Dr._William_Ishaya	['1900', '1950']
Adam Benjamin, Jr.	/wiki/Adam_Benjamin,_Jr.	['1900', '1950']
Anna Eshoo	/wiki/Anna_Eshoo	['1900', '1950']
John Nimrod	/wiki/John_Nimrod	['1900', '1950']
Andrew Rohan	/wiki/Andrew_Rohan	['1900', '1950']
Ninos Khoshaba	/wiki/Ninos_Khoshaba	['1900', '1950']
Ibrahim Baylan	/wiki/Ibrahim_Baylan	['1900', '1950']
Yilmaz Kerimo	/wiki/Yilmaz_Kerimo	['1900', '1950']
Metin Ataseven	/wiki/Metin_Ataseven	['1900', '1950']
Helena Guergis	/wiki/Helena_Guergis	['1900', '1950']
Attiya Gamri	/wiki/Attiya_Gamri	['1900', '1950']
Eugene Dooman	/wiki/Eugene_Dooman	['1900', '1950']
Emmanuel Kamber	/wiki/Emmanuel_Kamber	['1900', '1950']
Sargon Dadesho	/wiki/Sargon_Dadesho	['1900', '1950']
Iskender Alptekin	/wiki/Iskender_Alptekin	['1900', '1950']
José Murat Casab	/wiki/Jos%C3%A9_Murat_Casab	['1900', '1950']
Isa Kelemechi	/wiki/Isa_Kelemechi	['1900', '1950']
Bar Sauma	/wiki/Bar_Sauma	['1900', '1950']
Babai the Great	/wiki/Babai_the_Great	['1900', '1950']
Basile Georges Casmoussa	/wiki/Basile_Georges_Casmoussa	['1900', '1950']
David Benjamin Keldani	/wiki/David_Benjamin_Keldani	['1900', '1950']
Dinkha IV	/wiki/Dinkha_IV	['1900', '1950']
Shimun XXI Eshai	/wiki/Shimun_XXI_Eshai	['1900', '1950']
Shimun XIX Benyamin	/wiki/Shimun_XIX_Benyamin	['1900', '1950']
Mar Yousip Khnanisho	/wiki/Mar_Yousip_Khnanisho	['1900', '1950']
Sargis Bkheera	/wiki/Sargis_Bkheera	['1900', '1950']
Tatian	/wiki/Tatian	['1900', '1950']
Toma bar Yacoub	/wiki/Toma_bar_Yacoub	['1900', '1950']
Yusuf Akbulut	/wiki/Yusuf_Akbulut	['1900', '1950']
Ephrem the Syrian	/wiki/Ephrem_the_Syrian	['1900', '1950']
Babai the Great	/wiki/Babai_the_Great	['1900', '1950']
Bar-Hebraeus	/wiki/Bar-Hebraeus	['1900', '1950']
Bar Daisan	/wiki/Bar_Daisan	['1900', '1950']
Nestorius	/wiki/Nestorius	['1900', '1950']
Tatian	/wiki/Tatian	['1900', '1950']
Mar Youhannan Semaan Issayi	/wiki/Mar_Youhannan_Semaan_Issayi	['1900', '1950']
Mani	/wiki/Mani_(prophet)	['1900', '1950']
Pkidha	/wiki/Pkidha	['104', '114']
Josephus Adjutus	/wiki/Josephus_Adjutus	['1900', '1950']
George Garmo	/wiki/George_Garmo	['1900', '1950']
Shlemon Warduni	/wiki/Shlemon_Warduni	['1900', '1950']
Paulos Faraj Rahho	/wiki/Paulos_Faraj_Rahho	['1900', '1950']
Emil Shimoun Nona	/wiki/Emil_Shimoun_Nona	['1900', '1950']
Raphael I Bidawid	/wiki/Raphael_I_Bidawid	['1900', '1950']
Elias Mellus	/wiki/Elias_Mellus	['1900', '1950']
Basile Georges Casmoussa	/wiki/Basile_Georges_Casmoussa	['1900', '1950']
Ignatius Isaac Azar	/wiki/Ignatius_Isaac_Azar	['1900', '1950']
Mar Meelis Zaia	/wiki/Mar_Meelis_Zaia	['1900', '1950']
Emmanuel III Delly	/wiki/Emmanuel_III_Delly	['1900', '1950']
Louis Cheikho	/wiki/Louis_Cheikho	['1900', '1950']
Tatian	/wiki/Tatian	['1900', '1950']
Aphrahat	/wiki/Aphrahat	['1900', '1950']
Bar Daysan	/wiki/Bar_Daysan	['1900', '1950']
John bar Penkaye	/wiki/John_bar_Penkaye	['1900', '1950']
Moses Bar-Kepha	/wiki/Moses_Bar-Kepha	['1900', '1950']
Stephen Bar Sudhaile	/wiki/Stephen_Bar_Sudhaile	['1900', '1950']
Paulus Khofri	/wiki/Paulus_Khofri	['1900', '1950']
Yosip Bet Yosip	/wiki/Yosip_Bet_Yosip	['1900', '1950']
William D. S. Daniel	/wiki/William_D._S._Daniel	['1900', '1950']
Ivan Kakovitch	/wiki/Ivan_Kakovitch	['1900', '1950']
Maria Theresa Asmar	/wiki/Maria_Theresa_Asmar	['1900', '1950']
Sargon Boulus	/wiki/Sargon_Boulus	['1900', '1950']
Nina Burleigh	/wiki/Nina_Burleigh	['1900', '1950']
Thea Halo	/wiki/Thea_Halo	['1900', '1950']
Leilah Nadir	/wiki/Leilah_Nadir	['1900', '1950']
George Lamsa	/wiki/George_Lamsa	['1900', '1950']
Yuhanon Qashisho	/wiki/Yuhanon_Qashisho	['1900', '1950']
Rosie Malek-Yonan	/wiki/Rosie_Malek-Yonan	['1900', '1950']
Mikhael K. Pius	/wiki/Mikhael_K._Pius	['1900', '1950']
Terrence Malick	/wiki/Terrence_Malick	['1900', '1950']
Alphonse Mingana	/wiki/Alphonse_Mingana	['1900', '1950']
Dunya Mikhail	/wiki/Dunya_Mikhail	['1900', '1950']
Heather Raffo	/wiki/Heather_Raffo	['1900', '1950']
Fuat Deniz	/wiki/Fuat_Deniz	['1900', '1950']
Murathan Mungan	/wiki/Murathan_Mungan	['1900', '1950']
DLASTHR	/wiki/DLASTHR	['1900', '1950']
Munir Redfa	/wiki/Munir_Redfa	['1900', '1950']
Elias Syriani	/wiki/Elias_Syriani	['1900', '1950']
George Nassar	/wiki/George_Nassar	['1900', '1950']
Nadya Suleman	/wiki/Nadya_Suleman	['1900', '1950']
Sami Khoshaba Latchin	/wiki/Sami_Khoshaba_Latchin	['1900', '1950']
Chaldean mafia	/wiki/Chaldean_mafia	['1900', '1950']
Denho Acar	/wiki/Denho_Acar	['1900', '1950']
Ragheed Aziz Ganni	/wiki/Ragheed_Aziz_Ganni	['1900', '1950']
Michael Odisho	/wiki/Michael_Odisho	['1900', '1950']
Narsai David	/wiki/Narsai_David	['1900', '1950']
Lado Davidov	/wiki/Lado_Davidov	['1900', '1950']
Cindy Sargon	/wiki/Cindy_Sargon	['1900', '1950']
Alfred Yaghobzadeh	/wiki/Alfred_Yaghobzadeh	['1900', '1950']
Yossarian	/wiki/Yossarian	['1900', '1950']
