text	link	year
Kosai Khauli	/wiki/Kosai_Khauli	['1900', '1950']
Yasser Azmeh	/wiki/Yasser_Azmeh	['1900', '1950']
Duraid Lahham	/wiki/Duraid_Lahham	['1900', '1950']
Abbas al-Noury	/wiki/Abbas_al-Noury	['1900', '1950']
Samer al-Masry	/wiki/Samer_al-Masry	['1900', '1950']
Bassam Kousa	/wiki/Bassam_Kousa	['1900', '1950']
Mamoon al-Farkh	/wiki/Mamoon_al-Farkh	['1900', '1950']
Emarat Rezk	/wiki/Emarat_Rezk	['1900', '1950']
Mounir Fakhry Abdel Nour	/wiki/Mounir_Fakhry_Abdel_Nour	['1900', '1950']
Muna Wassef	/wiki/Muna_Wassef	['1900', '1950']
Lilia al-Atrash	/wiki/Lilia_al-Atrash	['1900', '1950']
Raafat Paso	/wiki/Raafat_Paso	['1900', '1950']
Bouthayna Shaya	/wiki/Bouthayna_Shaya	['1900', '1950']
Marwan Farhat	/wiki/Marwan_Farhat	['1900', '1950']
Raghda Khateb	/wiki/Raghda_Khateb	['1900', '1950']
Ayman Al-Salek	/wiki/Ayman_Al-Salek	['1900', '1950']
Adel Abo Hassoon	/wiki/Adel_Abo_Hassoon	['1900', '1950']
Samar Kokash	/wiki/Samar_Kokash	['1900', '1950']
Lama Alshamandi	/wiki/Lama_Alshamandi	['1900', '1950']
Anjy Al-Yousif	/wiki/Anjy_Al-Yousif	['1900', '1950']
Yahya Al-Kafri	/wiki/Yahya_Al-Kafri	['1900', '1950']
Hisham Kafarneh	/wiki/Hisham_Kafarneh	['1900', '1950']
Fadwa Soliman	/wiki/Fadwa_Soliman	['1900', '1950']
Qasim Melho	/wiki/Qasim_Melho	['1900', '1950']
Jihad Zoghbi	/wiki/Jihad_Zoghbi	['1900', '1950']
Khaled al-Asaad	/wiki/Khaled_al-Asaad	['1900', '1950']
Nazih Kawakibi	/wiki/Nazih_Kawakibi	['1900', '1950']
Khaled Malas	/wiki/Khaled_Malas	['1900', '1950']
Youssef Abdelke	/wiki/Youssef_Abdelke	['1900', '1950']
Darin Ahmad	/wiki/Darin_Ahmad	['1900', '1950']
Ali Farzat	/wiki/Ali_Farzat	['1900', '1950']
Marwan Kassab-Bachi	/wiki/Marwan_Kassab-Bachi	['1900', '1950']
Louay Kayali	/wiki/Louay_Kayali	['1900', '1950']
Fateh Moudarres	/wiki/Fateh_Moudarres	['1900', '1950']
Joseph Atiyeh	/wiki/Joseph_Atiyeh	['1900', '1950']
Zid Abou Hamed	/wiki/Zid_Abou_Hamed	['1900', '1950']
Mustafa Hamsho	/wiki/Mustafa_Hamsho	['1900', '1950']
Ahed Joughili	/wiki/Ahed_Joughili	['1900', '1950']
Michael Madanly	/wiki/Michael_Madanly	['1900', '1950']
Naser Al Shami	/wiki/Naser_Al_Shami	['1900', '1950']
Feras Saied	/wiki/Feras_Saied	['1900', '1950']
Yasser Seirawan	/wiki/Yasser_Seirawan	['1900', '1950']
Ghada Shouaa	/wiki/Ghada_Shouaa	['1900', '1950']
Yaser Shigan	/wiki/Yaser_Shigan	['1900', '1950']
Sami Zayn	/wiki/Sami_Zayn	['1900', '1950']
Omar Al Somah	/wiki/Omar_Al_Somah	['1900', '1950']
Firas Al Khatib	/wiki/Firas_Al_Khatib	['1900', '1950']
Jehad Al Hussain	/wiki/Jehad_Al_Hussain	['1900', '1950']
Wael Ayan	/wiki/Wael_Ayan	['1900', '1950']
Aatef Jenyat	/wiki/Aatef_Jenyat	['1900', '1950']
Sanharib Malki	/wiki/Sanharib_Malki	['1900', '1950']
Ilyas Merkes	/wiki/Ilyas_Merkes	['1900', '1950']
Louay Chanko	/wiki/Louay_Chanko	['1900', '1950']
George Mourad	/wiki/George_Mourad	['1900', '1950']
Christer Youssef	/wiki/Christer_Youssef	['1900', '1950']
Abdul Fattah Al Agha	/wiki/Abdul_Fattah_Al_Agha	['1900', '1950']
Basel Abdoulfattakh	/wiki/Basel_Abdoulfattakh	['1900', '1950']
Dani Kiki	/wiki/Dani_Kiki	['1900', '1950']
Gaby Jallo	/wiki/Gaby_Jallo	['1900', '1950']
Imad Chhadeh	/wiki/Imad_Chhadeh	['1900', '1950']
Ninos Gouriye	/wiki/Ninos_Gouriye	['1900', '1950']
Monzer al-Kassar	/wiki/Monzer_al-Kassar	['1900', '1950']
Akram Ojjeh	/wiki/Akram_Ojjeh	['1900', '1950']
Moustapha Akkad	/wiki/Moustapha_Akkad	['1900', '1950']
Omar Amiralay	/wiki/Omar_Amiralay	['1900', '1950']
Talal Derki	/wiki/Talal_Derki	['1900', '1950']
Mohammad Malas	/wiki/Mohammad_Malas	['1900', '1950']
Ossama Mohammed	/wiki/Ossama_Mohammed	['1900', '1950']
Hafez al-Assad	/wiki/Hafez_al-Assad	['1900', '1950']
Bashar al-Assad	/wiki/Bashar_al-Assad	['1900', '1950']
Lu'ay al-Atassi	/wiki/Lu%27ay_al-Atassi	['1900', '1950']
Nureddin al-Atassi	/wiki/Nureddin_al-Atassi	['1900', '1950']
Sultan al-Atrash	/wiki/Sultan_al-Atrash	['1900', '1950']
Yusuf al-Azmah	/wiki/Yusuf_al-Azmah	['1900', '1950']
