text	link	year
Alien Huang	/wiki/Alien_Huang	['1900', '1950']
Annie Shizuka Inoh	/wiki/Annie_Shizuka_Inoh	['1900', '1950']
Wilson Chen	/wiki/Wilson_Chen	['1900', '1950']
Chang Chen	/wiki/Chang_Chen	['1900', '1950']
Brandon Chang	/wiki/Brandon_Chang	['1900', '1950']
Brigitte Lin	/wiki/Brigitte_Lin	['1900', '1950']
Huang He	/wiki/Huang_He_(actor)	['1900', '1950']
Jerry Yan	/wiki/Jerry_Yan	['1900', '1950']
Chen Qiao En	/wiki/Chen_Qiao_En	['1900', '1950']
Joey Wong	/wiki/Joey_Wong	['1900', '1950']
Ken Chu	/wiki/Ken_Chu	['1900', '1950']
Jimmy Lin Chih Ying	/wiki/Jimmy_Lin_Chih_Ying	['1900', '1950']
Ruby Lin	/wiki/Ruby_Lin	['1900', '1950']
Vanness Wu	/wiki/Vanness_Wu	['1900', '1950']
Vic Chou	/wiki/Vic_Chou	['1900', '1950']
Kelly Lin	/wiki/Kelly_Lin	['1900', '1950']
Barbie Shu	/wiki/Barbie_Shu	['1900', '1950']
Rainie Yang	/wiki/Rainie_Yang	['1900', '1950']
Ariel Lin	/wiki/Ariel_Lin	['1900', '1950']
Chang Shu-hao	/wiki/Chang_Shu-hao	['1900', '1950']
Takeshi Kaneshiro	/wiki/Takeshi_Kaneshiro	['1900', '1950']
Nicky Wu	/wiki/Nicky_Wu	['1900', '1950']
Show Lo	/wiki/Show_Lo	['1900', '1950']
Jay Chou	/wiki/Jay_Chou	['1900', '1950']
Cindy Yen	/wiki/Cindy_Yen	['1900', '1950']
Chris Wang	/wiki/Chris_Wang_(actor)	['1900', '1950']
Lin Chi-ling	/wiki/Lin_Chi-ling	['1900', '1950']
Alicia Liu	/wiki/Alicia_Liu	['1900', '1950']
Faith Yang	/wiki/Faith_Yang	['1900', '1950']
Yinling	/wiki/Yinling	['1900', '1950']
Sonia Sui	/wiki/Sonia_Sui	['1900', '1950']
Alien Huang	/wiki/Alien_Huang	['1900', '1950']
Amber Josephine Liu	/wiki/Amber_Josephine_Liu	['1900', '1950']
Jimmy Lin Chih Ying	/wiki/Jimmy_Lin_Chih_Ying	['1900', '1950']
Alec Su	/wiki/Alec_Su	['1900', '1950']
A-mei	/wiki/A-mei	['1900', '1950']
Lollipop F	/wiki/Lollipop_F	['1900', '1950']
Brandon Chang	/wiki/Brandon_Chang	['1900', '1950']
Jeff Chang	/wiki/Jeff_Chang_(singer)	['1900', '1950']
Cheer Chen	/wiki/Cheer_Chen	['1900', '1950']
Chang Fei	/wiki/Chang_Fei	['1900', '1950']
Chen Ying-Git	/wiki/Chen_Ying-Git	['1900', '1950']
Chthonic	/wiki/Chthonic_(band)	['1900', '1950']
Cindy Yen	/wiki/Cindy_Yen	['1900', '1950']
David Tao	/wiki/David_Tao	['1900', '1950']
Elva Hsiao	/wiki/Elva_Hsiao	['1900', '1950']
Evan Yo	/wiki/Evan_Yo	['1900', '1950']
Evonne Hsu	/wiki/Evonne_Hsu	['1900', '1950']
F4	/wiki/F4_(band)	['1900', '1950']
Fahrenheit	/wiki/Fahrenheit_(Taiwanese_band)	['1900', '1950']
F.I.R	/wiki/F.I.R	['1900', '1950']
Fei Yu Ching	/wiki/Fei_Yu_Ching	['1900', '1950']
Fong Fei-fei	/wiki/Fong_Fei-fei	['1900', '1950']
Freya Lim	/wiki/Freya_Lim	['1900', '1950']
Peggy Hsu	/wiki/Peggy_Hsu	['1900', '1950']
I.n.g	/wiki/I.n.g	['1900', '1950']
Jiro Wang	/wiki/Jiro_Wang	['1900', '1950']
Jay Chou	/wiki/Jay_Chou	['1900', '1950']
Jerry Yan	/wiki/Jerry_Yan	['1900', '1950']
Jody Chiang	/wiki/Jody_Chiang	['1900', '1950']
Jolin Tsai	/wiki/Jolin_Tsai	['1900', '1950']
Kang Jing Rong	/wiki/Kang_Jing_Rong	['1900', '1950']
Ken Chu	/wiki/Ken_Chu	['1900', '1950']
Lai Kuan-lin	/wiki/Lai_Kuan-lin	['1900', '1950']
Landy Wen	/wiki/Landy_Wen	['1900', '1950']
Leehom Wang	/wiki/Leehom_Wang	['1900', '1950']
Machi	/wiki/Machi_(hip_hop_group)	['1900', '1950']
Mark Tuan	/wiki/Mark_Tuan	['1900', '1950']
Takeshi Kaneshiro	/wiki/Takeshi_Kaneshiro	['1900', '1950']
Rainie Yang	/wiki/Rainie_Yang	['1900', '1950']
Richie Ren	/wiki/Richie_Ren	['1900', '1950']
Seraphim	/wiki/Seraphim_(band)	['1900', '1950']
Show Lo	/wiki/Show_Lo	['1900', '1950']
Sodagreen	/wiki/Sodagreen	['1900', '1950']
Seraphim	/wiki/Seraphim	['1900', '1950']
S.H.E	/wiki/S.H.E	['1900', '1950']
Nicky Wu	/wiki/Nicky_Wu	['1900', '1950']
Tank	/wiki/Tank	['1900', '1950']
Teresa Teng	/wiki/Teresa_Teng	['1900', '1950']
Tim Wu	/wiki/Tim_Wu	['1900', '1950']
Tsai Chin	/wiki/Tsai_Chin_(singer)	['1900', '1950']
Energy	/wiki/Energy_(Taiwanese_band)#Early_years	['1900', '1950']
Chou Tzu-yu	/wiki/Chou_Tzu-yu	['1900', '1950']
Vivian Hsu	/wiki/Vivian_Hsu	['1900', '1950']
Will Pan	/wiki/Will_Pan	['1900', '1950']
Wu Bai	/wiki/Wu_Bai	['1900', '1950']
Wu Yue Tian	/wiki/Wu_Yue_Tian	['1900', '1950']
Jacky Wu	/wiki/Jacky_Wu	['1900', '1950']
Chou Chuan-huing	/wiki/Chou_Chuan-huing	['1900', '1950']
Vic Zhou	/wiki/Vic_Zhou	['1900', '1950']
Chen Da	/wiki/Chen_Da_(singer)	['1900', '1950']
Ch'eng Mao-yün	/wiki/Ch%27eng_Mao-y%C3%BCn	['1900', '1950']
Lin Cho-liang	/wiki/Lin_Cho-liang	['1900', '1950']
Jenny Lin	/wiki/Jenny_Lin	['1900', '1950']
Kessier Hsu	/wiki/Kessier_Hsu	['1900', '1950']
Freddy Lim	/wiki/Freddy_Lim	['1900', '1950']
Julie Chang	/wiki/Julie_Chang	['1900', '1950']
Ching-Yun Hu	/wiki/Ching-Yun_Hu	['1900', '1950']
Yo-Yo Ma	/wiki/Yo-Yo_Ma	['1900', '1950']
Ouyang Nana	/wiki/Ouyang_Nana	['1900', '1950']
Chen Cheng-po	/wiki/Chen_Cheng-po	['1900', '1950']
Chen Long-bin	/wiki/Chen_Long-bin	['1900', '1950']
T. F. Chen	/wiki/T._F._Chen	['1900', '1950']
Cindy Shih	/wiki/Cindy_Shih	['1900', '1950']
Lee Tze-Fan	/wiki/Lee_Tze-Fan	['1900', '1950']
Shen Che-Tsai	/wiki/Shen_Che-Tsai	['1900', '1950']
Liu Chi-hsiang	/wiki/Liu_Chi-hsiang	['1900', '1950']
Yen Shui-long	/wiki/Yen_Shui-long	['1900', '1950']
Lee Shih-chiao	/wiki/Lee_Shih-chiao	['1900', '1950']
Suling Wang	/wiki/Suling_Wang	['1900', '1950']
Jimmy Liao	/wiki/Jimmy_Liao	['1900', '1950']
Yang Maolin	/wiki/Yang_Maolin	['1900', '1950']
Chen Uen	/wiki/Chen_Uen	['1900', '1950']
Selena Lin	/wiki/Selena_Lin	['1900', '1950']
Chen Houei Kuen	/wiki/Chen_Houei_Kuen	['1900', '1950']
Ran In-ting	/wiki/Ran_In-ting	['1900', '1950']
Liao Chi-chun	/wiki/Liao_Chi-chun	['1900', '1950']
Li Mei-shu	/wiki/Li_Mei-shu	['1900', '1950']
James Jean	/wiki/James_Jean	['1900', '1950']
