text	link	year
Emomali Rahmon	/wiki/Emomali_Rahmon	['1900', '1950']
Rahmon Nabiyev	/wiki/Rahmon_Nabiyev	['1900', '1950']
Rustam Emomali	/wiki/Rustam_Emomali	['1900', '1950']
Kokhir Rasulzoda	/wiki/Kokhir_Rasulzoda	['1900', '1950']
Jamshed Karimov	/wiki/Jamshed_Karimov	['1900', '1950']
Sherali Mirzo	/wiki/Sherali_Mirzo	['1900', '1950']
Emomali Sobirzoda	/wiki/Emomali_Sobirzoda	['1900', '1950']
Negmatullo Kurbanov	/wiki/Negmatullo_Kurbanov	['1900', '1950']
Abduhalim Nazarzoda	/wiki/Abduhalim_Nazarzoda	['1900', '1950']
Latif Fayziyev	/wiki/Latif_Fayziyev	['1900', '1950']
Saimumin Yatimov	/wiki/Saimumin_Yatimov	['1900', '1950']
Ramazon Rahimov	/wiki/Ramazon_Rahimov	['1900', '1950']
Sharif Nazarov	/wiki/Sharif_Nazarov	['1900', '1950']
Sherali Dostiev	/wiki/Sherali_Dostiev	['1900', '1950']
Andrei Drygin	/wiki/Andrei_Drygin	['1900', '1950']
Alisher Chingizov	/wiki/Alisher_Chingizov	['1900', '1950']
Rus Yusupov	/wiki/Rus_Yusupov	['1900', '1950']
Malika Kalontarova	/wiki/Malika_Kalontarova	['1900', '1950']
Mayram Isoeva	/wiki/Mayram_Isoeva	['1900', '1950']
Gulchehra Baqoeva	/wiki/Gulchehra_Baqoeva	['1900', '1950']
Bozgul Isoeva	/wiki/Bozgul_Isoeva	['1900', '1950']
Katerina Izmailova	/wiki/Katerina_Izmailova_(swimmer)	['1900', '1950']
