text	link	year
Chola Dynasty	/wiki/Chola_Dynasty	['1900', '1950']
Pandyan Dynasty	/wiki/Pandyan_Dynasty	['1900', '1950']
Chera Dynasty	/wiki/Chera_Dynasty	['1900', '1950']
Pallava Dynasty	/wiki/Pallava_Dynasty	['1900', '1950']
Eastern Ganga Dynasty	/wiki/Eastern_Ganga_Dynasty	['1900', '1950']
Ay kingdom	/wiki/Ay_kingdom	['1900', '1950']
Velirs	/wiki/Velirs	['1900', '1950']
Aryacakravarti dynasty	/wiki/Aryacakravarti_dynasty	['1900', '1950']
Vannimai	/wiki/Vannimai	['1900', '1950']
Ramnad estate	/wiki/Ramnad_estate	['1900', '1950']
Ramanatha Sethupathi	/wiki/Ramanatha_Sethupathi	['1900', '1950']
Rajeswari Nachiyar	/wiki/Rajeswari_Nachiyar	['1900', '1950']
Rajkumar Sethupathy	/wiki/Rajkumar_Sethupathy	['1900', '1950']
Latha	/wiki/Latha_(actress)	['1900', '1950']
Thondaman dynasty	/wiki/Thondaman_dynasty	['1922', '1997']
Rajagopala Tondaiman	/wiki/Rajagopala_Tondaiman	['1922', '1997']
R. Rajagopala Tondaiman	/wiki/R._Rajagopala_Tondaiman	['1900', '1950']
Charubala Tondaiman	/wiki/Charubala_Tondaiman	['2001', '2009']
C. Rajagopalachari	/wiki/C._Rajagopalachari	['1878', '1972']
R. Venkataraman	/wiki/R._Venkataraman	['1910', '2009']
A.P.J. Abdul Kalam	/wiki/A.P.J._Abdul_Kalam	['1931', '2015']
S.R. Nathan	/wiki/S.R._Nathan	['1924', '2016']
Veerasamy Ringadoo	/wiki/Veerasamy_Ringadoo	['1920', '2000']
Angidi Chettiar	/wiki/Angidi_Chettiar	['1928', '2010']
Ariranga Govindasamy Pillay	/wiki/Ariranga_Govindasamy_Pillay	['2002', '2002']
Radhika Coomaraswamy	/wiki/Radhika_Coomaraswamy	['1900', '1950']
James Appathurai	/wiki/James_Appathurai	['1900', '1950']
Roy Padayachie	/wiki/Roy_Padayachie	['1950', '2012']
Rettamalai Srinivasan	/wiki/Rettamalai_Srinivasan	['1860', '1945']
V. O. Chidambaram Pillai	/wiki/V._O._Chidambaram_Pillai	['1872', '1936']
Subramanya Bharathi	/wiki/Subramanya_Bharathi	['1882', '1921']
V. Kalyanasundaram	/wiki/V._Kalyanasundaram	['1883', '1953']
Subramaniya Siva	/wiki/Subramaniya_Siva	['1884', '1925']
Jeevanandham	/wiki/Jeevanandham	['1907', '1963']
Champakaraman Pillai	/wiki/Champakaraman_Pillai	['1891', '1934']
Tiruppur Kumaran	/wiki/Tiruppur_Kumaran	['1904', '1932']
U. Muthuramalingam Thevar	/wiki/U._Muthuramalingam_Thevar	['1908', '1963']
K. Kamaraj	/wiki/K._Kamaraj	['1903', '1975']
Thillaiaadi Valliammai	/wiki/Thillaiaadi_Valliammai	['1898', '1914']
V.T. Sambanthan	/wiki/V.T._Sambanthan	['1919', '1979']
Velupillai Prabhakaran	/wiki/Velupillai_Prabhakaran	['1954', '2009']
Marshal Nesamony	/wiki/Marshal_Nesamony	['1895', '1968']
Varadarajan Mudaliar	/wiki/Varadarajan_Mudaliar	['1926', '1988']
C. Rangarajan	/wiki/C._Rangarajan	['1997', '2003']
T.V. Rajeswar	/wiki/T.V._Rajeswar	['1985', '1989']
E.S.L. Narasimhan	/wiki/E.S.L._Narasimhan	['2007', '2010']
P. Sathasivam	/wiki/P._Sathasivam	['2013', '2014']
C. Rajagopalachari	/wiki/C._Rajagopalachari	['1878', '1972']
K. Kamaraj	/wiki/K._Kamaraj	['1903', '1975']
M. Bhaktavatsalam	/wiki/M._Bhaktavatsalam	['1897', '1987']
C. N. Annadurai	/wiki/C._N._Annadurai	['1909', '1969']
V. R. Nedunchezhiyan	/wiki/V._R._Nedunchezhiyan	['1920', '2000']
M. Karunanidhi	/wiki/M._Karunanidhi	['1924', '2018']
M. G. Ramachandran	/wiki/M._G._Ramachandran	['1977', '1987']
J. Jayalalithaa	/wiki/J._Jayalalithaa	['1948', '2016']
O. Panneerselvam	/wiki/O._Panneerselvam	['1900', '1950']
Edappadi K. Palaniswami	/wiki/Edappadi_K._Palaniswami	['1900', '1950']
V. Venkatasubha Reddiar	/wiki/V._Venkatasubha_Reddiar	['1909', '1982']
Subramanyan Ramaswamy	/wiki/Subramanyan_Ramaswamy	['1900', '1950']
V. Vaithilingam	/wiki/V._Vaithilingam	['1900', '1950']
P. Shanmugam	/wiki/P._Shanmugam	['1927', '2013']
N. Rangaswamy	/wiki/N._Rangaswamy	['1900', '1950']
V. Narayanasamy	/wiki/V._Narayanasamy	['1900', '1950']
R.K. Shanmukham Chetty	/wiki/R.K._Shanmukham_Chetty	['1892', '1953']
Jana Krishnamurthi	/wiki/Jana_Krishnamurthi	['1928', '2007']
K. Santhanam	/wiki/K._Santhanam	['1895', '1980']
Satyavani Muthu	/wiki/Satyavani_Muthu	['1923', '1999']
Vazhappady K. Ramamurthy	/wiki/Vazhappady_K._Ramamurthy	['1940', '2002']
M. Arunachalam	/wiki/M._Arunachalam	['1944', '2004']
P. Chidambaram	/wiki/P._Chidambaram	['1900', '1950']
A. Raja	/wiki/A._Raja	['1900', '1950']
Subbulakshmi Jagadeesan	/wiki/Subbulakshmi_Jagadeesan	['1900', '1950']
K. Venkatapathy	/wiki/K._Venkatapathy	['1900', '1950']
S. Regupathy	/wiki/S._Regupathy	['1900', '1950']
Gingee N. Ramachandran	/wiki/Gingee_N._Ramachandran	['1900', '1950']
M.K. Azhagiri	/wiki/M.K._Azhagiri	['1900', '1950']
S. S. Palanimanickam	/wiki/S._S._Palanimanickam	['1900', '1950']
S. Jagathrakshakan	/wiki/S._Jagathrakshakan	['1900', '1950']
T. R. Baalu	/wiki/T._R._Baalu	['1900', '1950']
Mani Shankar Aiyar	/wiki/Mani_Shankar_Aiyar	['1900', '1950']
Subramanian Swamy	/wiki/Subramanian_Swamy	['1900', '1950']
Murasoli Maran	/wiki/Murasoli_Maran	['1900', '1950']
Dayanidhi Maran	/wiki/Dayanidhi_Maran	['1900', '1950']
R. Velu	/wiki/R._Velu	['1900', '1950']
V. Radhika Selvi	/wiki/V._Radhika_Selvi	['1900', '1950']
V. Narayanasamy	/wiki/V._Narayanasamy	['1900', '1950']
Nirmala Sitharaman	/wiki/Nirmala_Sitharaman	['1900', '1950']
Anbumani Ramadoss	/wiki/Anbumani_Ramadoss	['1900', '1950']
Pon Radhakrishnan	/wiki/Pon_Radhakrishnan	['1900', '1950']
Moses Nagamootoo	/wiki/Moses_Nagamootoo	['1900', '1950']
S Jayakumar	/wiki/S_Jayakumar	['1900', '1950']
Tharman Shanmugaratnam	/wiki/Tharman_Shanmugaratnam	['1900', '1950']
Vivian Balakrishnan	/wiki/Vivian_Balakrishnan	['1900', '1950']
S Rajaratnam	/wiki/S_Rajaratnam	['1915', '2006']
S Dhanabalan	/wiki/S_Dhanabalan	['1900', '1950']
J. B. Jeyaretnam	/wiki/J._B._Jeyaretnam	['1926', '2008']
Ramasamy Palanisamy	/wiki/Ramasamy_Palanisamy	['1900', '1950']
Nagalingam Shanmugathasan	/wiki/Nagalingam_Shanmugathasan	['1920', '1993']
Bala Tampoe	/wiki/Bala_Tampoe	['1922', '2014']
Pillayan	/wiki/Pillayan	['1900', '1950']
P. P. Devaraj	/wiki/P._P._Devaraj	['1900', '1950']
Radhakrishnan	/wiki/Radhakrishnan	['1900', '1950']
Visvanathan Rudrakumaran	/wiki/Visvanathan_Rudrakumaran	['1900', '1950']
Samy Vellu	/wiki/Samy_Vellu	['1900', '1950']
K.R. Somasundram	/wiki/K.R._Somasundram	['1900', '1950']
Joshua Benjamin Jeyaretnam	/wiki/Joshua_Benjamin_Jeyaretnam	['1926', '2008']
Radhakrishna Padayachi	/wiki/Radhakrishna_Padayachi	['1950', '2012']
Rathika Sitsabaiesan	/wiki/Rathika_Sitsabaiesan	['1900', '1950']
Gunasagaran Gounder	/wiki/Gunasagaran_Gounder	['1900', '1950']
Perumal Mupnar	/wiki/Perumal_Mupnar	['1900', '1950']
S.J.V. Chelvanayakam	/wiki/S.J.V._Chelvanayakam	['1898', '1977']
S. Thondaman	/wiki/S._Thondaman	['1913', '1999']
N. Shanmugathasan	/wiki/N._Shanmugathasan	['1920', '1993']
Joseph Pararajasingham	/wiki/Joseph_Pararajasingham	['1934', '2005']
Lakshman Kadirgamar	/wiki/Lakshman_Kadirgamar	['1932', '2005']
Veerasingham Anandasangaree	/wiki/Veerasingham_Anandasangaree	['1900', '1950']
Murugesu Sivasithamparam	/wiki/Murugesu_Sivasithamparam	['1923', '2002']
Rajavarothiam Sampanthan	/wiki/Rajavarothiam_Sampanthan	['1900', '1950']
Neelan Tiruchelvam	/wiki/Neelan_Tiruchelvam	['1944', '1999']
Appapillai Amirthalingam	/wiki/Appapillai_Amirthalingam	['1927', '1989']
Douglas Devananda	/wiki/Douglas_Devananda	['1900', '1950']
Thamizhavel G. Sarangapani	/wiki/Thamizhavel_G._Sarangapani	['1903', '1974']
Patrick Pillay	/wiki/Patrick_Pillay	['1900', '1950']
Jean-Paul Virapoullé	/wiki/Jean-Paul_Virapoull%C3%A9	['1900', '1950']
E.E.C. Thuraisingham	/wiki/E.E.C._Thuraisingham	['1898', '1979']
Kamala Devi Harris	/wiki/Kamala_Devi_Harris	['1900', '1950']
P.T. Rajan	/wiki/P.T._Rajan	['1892', '1974']
P.T.R. Palanivel Rajan	/wiki/P.T.R._Palanivel_Rajan	['1932', '2006']
P. Subbarayan	/wiki/P._Subbarayan	['1889', '1962']
Mohan Kumaramangalam	/wiki/Mohan_Kumaramangalam	['1916', '1973']
Rangarajan Kumaramangalam	/wiki/Rangarajan_Kumaramangalam	['1952', '2000']
Lalitha Kumaramangalam	/wiki/Lalitha_Kumaramangalam	['1900', '1950']
