text	link	year
George Lilanga	/wiki/George_Lilanga	['1934', '2005']
Ali Mufuruki	/wiki/Ali_Mufuruki	['1900', '1950']
Patrick E. Ngowi	/wiki/Patrick_E._Ngowi	['1900', '1950']
Mohammed Dewji	/wiki/Mohammed_Dewji	['1900', '1950']
Reginald Mengi	/wiki/Reginald_Mengi	['1900', '1950']
Ali Kiba	/wiki/Ali_Kiba	['1980', '2025']
Diamond Platnumz	/wiki/Diamond_Platnumz	['1989', '2025']
Nahreel	/wiki/Nahreel	['1989', '2025']
Cool James	/wiki/Cool_James	['1970', '2002']
Dully Sykes	/wiki/Dully_Sykes	['1981', '2025']
Professor Jay	/wiki/Professor_Jay	['1900', '1950']
Baby Madaha	/wiki/Baby_Madaha	['1988', '2025']
Ray C	/wiki/Ray_C	['1982', '2025']
Freddie Mercury	/wiki/Freddie_Mercury	['1946', '1991']
Saida Karoli	/wiki/Saida_Karoli	['1976', '2025']
Bi Kidude	/wiki/Bi_Kidude	['1900', '1950']
George Kinyonga	/wiki/George_Kinyonga	['1900', '1950']
Wilson Kinyonga	/wiki/Wilson_Kinyonga	['1900', '1950']
Lady Jaydee	/wiki/Lady_Jaydee	['1979', '2025']
Mr. II	/wiki/Mr._II	['1900', '1950']
Rose Mhando	/wiki/Rose_Mhando	['1976', '2025']
Daniel Owino Misiani	/wiki/Daniel_Owino_Misiani	['1940', '2006']
Tumi Molekane	/wiki/Tumi_Molekane	['1981', '2025']
Imani Sanga	/wiki/Imani_Sanga	['1972', '2025']
Siti binti Saad	/wiki/Siti_binti_Saad	['1880', '1950']
Nakaaya Sumari	/wiki/Nakaaya_Sumari	['1982', '2025']
Hukwe Zawose	/wiki/Hukwe_Zawose	['1938', '2003']
Harmonize	/wiki/Harmonize_(musician)	['1991', '2025']
Bibi Titi Mohammed	/wiki/Bibi_Titi_Mohammed	['1926', '1963']
Jakaya Kikwete	/wiki/Jakaya_Kikwete	['1950', '2025']
Gertrude Mongella	/wiki/Gertrude_Mongella	['1945', '2025']
William F. Shija	/wiki/William_F._Shija	['1947', '2025']
Freeman Mbowe	/wiki/Freeman_Mbowe	['14', '2025']
Joseph Kakunda	/wiki/Joseph_Kakunda	['1968', '2025']
Anna Abdallah	/wiki/Anna_Abdallah	['1940', '2025']
Maida Abdallah	/wiki/Maida_Abdallah	['1970', '2025']
Mohamed Rished Abdallah	/wiki/Mohamed_Rished_Abdallah	['1952', '2025']
Mohammed Abdi Abdulaziz	/wiki/Mohammed_Abdi_Abdulaziz	['1958', '2025']
Bahati Ali Abeid	/wiki/Bahati_Ali_Abeid	['1967', '2025']
Juma Jamaldin Akukweti	/wiki/Juma_Jamaldin_Akukweti	['1947', '2007']
Khadija Salum Ally Al-Qassmy	/wiki/Khadija_Salum_Ally_Al-Qassmy	['1958', '2025']
Ali Haji Ali	/wiki/Ali_Haji_Ali	['1948', '2025']
Ali Tarab Ali	/wiki/Ali_Tarab_Ali	['1947', '2025']
Fatma Ali	/wiki/Fatma_Ali	['1950', '2025']
Aziza Sleyum Ally	/wiki/Aziza_Sleyum_Ally	['1900', '1950']
Ame Pandu Ame	/wiki/Ame_Pandu_Ame	['1900', '1950']
Ameir Ali Ameir	/wiki/Ameir_Ali_Ameir	['1900', '1950']
Paul Bomani	/wiki/Paul_Bomani	['1925', '2005']
Thomas Marealle	/wiki/Thomas_Marealle	['1915', '2007']
Mangi Meli	/wiki/Mangi_Meli	['1900', '1950']
Chief Mkwawa	/wiki/Chief_Mkwawa	['1855', '1898']
Emily Ruete	/wiki/Emily_Ruete	['1844', '1924']
Hasheem Thabeet	/wiki/Hasheem_Thabeet	['1986', '2025']
Mbwana Ally Samatta	/wiki/Mbwana_Ally_Samatta	['1993', '2025']
Martin Kolikoli	/wiki/Martin_Kolikoli	['1900', '1950']
Erasto Nyoni	/wiki/Erasto_Nyoni	['1900', '1950']
Christopher Mwashinga	/wiki/Christopher_Mwashinga	['1965', '2025']
Muhammed Said Abdulla	/wiki/Muhammed_Said_Abdulla	['1918', '2025']
Euphrase Kezilahabi	/wiki/Euphrase_Kezilahabi	['1944', '2025']
Amandina Lihamba	/wiki/Amandina_Lihamba	['1944', '2025']
Fadhy Mtanga	/wiki/Fadhy_Mtanga	['1981', '2025']
Godfrey Mwakikagile	/wiki/Godfrey_Mwakikagile	['1949', '2025']
Justinian Rweyemamu	/wiki/Justinian_Rweyemamu	['1942', '1982']
Leonard Shayo	/wiki/Leonard_Shayo	['1948', '2025']
Julius Nyang'oro	/wiki/Julius_Nyang%27oro	['1954', '2025']
Mathias E. Mnyampala	/wiki/Mathias_E._Mnyampala	['1917', '1969']
Shaaban bin Robert	/wiki/Shaaban_bin_Robert	['1909', '1962']
Julius Nyerere	/wiki/Julius_Nyerere	['1922', '1999']
Jayantilal Chande	/wiki/Jayantilal_Chande	['1928', '2025']
Patrick Chokala	/wiki/Patrick_Chokala	['1900', '1950']
Sajjad Fazel	/wiki/Sajjad_Fazel	['1991', '2025']
Benjamin Fernandes	/wiki/Benjamin_Fernandes	['1992', '2025']
Mustafa Hassanali	/wiki/Mustafa_Hassanali	['1980', '2025']
Salma Kikwete	/wiki/Salma_Kikwete	['1900', '1950']
Flaviana Matata	/wiki/Flaviana_Matata	['1987', '2025']
Reginald Mengi	/wiki/Reginald_Mengi	['1900', '1950']
Mirambo	/wiki/Mirambo	['1900', '1950']
Kinjikitile Ngwale	/wiki/Kinjikitile_Ngwale	['1900', '1950']
John Okello	/wiki/John_Okello	['1937', '1971']
Polycarp Pengo	/wiki/Polycarp_Pengo	['1944', '2025']
Laurean Rugambwa	/wiki/Laurean_Rugambwa	['1912', '1997']
Nancy Sumari	/wiki/Nancy_Sumari	['1986', '2025']
Anna Tibaijuka	/wiki/Anna_Tibaijuka	['1950', '2025']
Myles Turner	/wiki/Myles_Turner_(park_warden)	['1921', '1984']
Frederick Werema	/wiki/Frederick_Werema	['1954', '2025']
Mr Puaz	/wiki/Mr_Puaz	['1985', '2025']
Maria Sarungi Tsehai	/wiki/Maria_Sarungi_Tsehai	['1900', '1950']
Template:Tanzania topics	/wiki/Template:Tanzania_topics	['1900', '1950']
Template talk:Tanzania topics	/wiki/Template_talk:Tanzania_topics	['1900', '1950']
German East Africa	/wiki/German_East_Africa	['1900', '1950']
Maji Maji Rebellion	/wiki/Maji_Maji_Rebellion	['1900', '1950']
East African Campaign	/wiki/East_African_Campaign_(World_War_I)	['1900', '1950']
Tanganyika	/wiki/Tanganyika_(territory)	['1900', '1950']
Tanganyika	/wiki/Tanganyika	['1900', '1950']
Zanzibar Revolution	/wiki/Zanzibar_Revolution	['1900', '1950']
Arusha Declaration	/wiki/Arusha_Declaration	['1900', '1950']
Ujamaa	/wiki/Ujamaa	['1900', '1950']
Uganda–Tanzania War	/wiki/Uganda%E2%80%93Tanzania_War	['1900', '1950']
Tanzania People's Defence Force	/wiki/Tanzania_People%27s_Defence_Force	['1900', '1950']
National Assembly	/wiki/National_Assembly_(Tanzania)	['1900', '1950']
Dar es Salaam Stock Exchange	/wiki/Dar_es_Salaam_Stock_Exchange	['1900', '1950']
Pemba Island	/wiki/Pemba_Island	['1900', '1950']
Unguja	/wiki/Unguja	['1900', '1950']
Zanzibar Archipelago	/wiki/Zanzibar_Archipelago	['1900', '1950']
