text	link	year
Vadim Abdrashitov	/wiki/Vadim_Abdrashitov	['1900', '1950']
Talgat Nigmatulin	/wiki/Talgat_Nigmatulin	['1900', '1950']
Chulpan Khamatova	/wiki/Chulpan_Khamatova	['1900', '1950']
Rudolf Nureyev	/wiki/Rudolf_Nureyev	['1900', '1950']
Renata Litvinova	/wiki/Renata_Litvinova	['1900', '1950']
Charles Bronson	/wiki/Charles_Bronson	['1900', '1950']
Rinat Baibekov	/wiki/Rinat_Baibekov	['1900', '1950']
Marat Basharov	/wiki/Marat_Basharov	['1900', '1950']
Rinat Akhmetov	/wiki/Rinat_Akhmetov	['1900', '1950']
Rustam Tariko	/wiki/Rustam_Tariko	['1900', '1950']
Megdet Rahimkulov	/wiki/Megdet_Rahimkulov	['1900', '1950']
Akhat Bragin	/wiki/Akhat_Bragin	['1900', '1950']
Ilshat Shabaev	/wiki/Ilshat_Shabaev	['1900', '1950']
Rudolf Nureyev	/wiki/Rudolf_Nureyev	['1900', '1950']
Lilia Gildeeva	/wiki/Lilia_Gildeeva	['1900', '1950']
Sara Sadiqova	/wiki/Sara_Sadiqova	['1900', '1950']
ru:Авзалова, Альфия Авзаловна	https://ru.wikipedia.org/wiki/%D0%90%D0%B2%D0%B7%D0%B0%D0%BB%D0%BE%D0%B2%D0%B0,_%D0%90%D0%BB%D1%8C%D1%84%D0%B8%D1%8F_%D0%90%D0%B2%D0%B7%D0%B0%D0%BB%D0%BE%D0%B2%D0%BD%D0%B0	['1900', '1950']
Dina Garipova	/wiki/Dina_Garipova	['1900', '1950']
Rustem Hayroudinoff	/wiki/Rustem_Hayroudinoff	['1900', '1950']
Farit Yarullin	/wiki/Farit_Yarullin	['1900', '1950']
Zemfira	/wiki/Zemfira	['1900', '1950']
Eldar Djangirov	/wiki/Eldar_Djangirov	['1900', '1950']
Halida Dinova	/wiki/Halida_Dinova	['1900', '1950']
Nacip Cihanov	/wiki/Nacip_Cihanov	['1900', '1950']
Rustem Yakhin	/wiki/Rustem_Yakhin	['1900', '1950']
Airat Ichmouratov	/wiki/Airat_Ichmouratov	['1900', '1950']
Salih Saidashev	/wiki/Salih_Saidashev	['1900', '1950']
Timati	/wiki/Timati	['1900', '1950']
Alsou	/wiki/Alsou	['1900', '1950']
Sofia Gubaidulina	/wiki/Sofia_Gubaidulina	['1900', '1950']
Jamala	/wiki/Jamala	['1900', '1950']
Räşit Wahapov	/wiki/R%C3%A4%C5%9Fit_Wahapov	['1900', '1950']
Simeon Bekbulatovich	/wiki/Simeon_Bekbulatovich	['1900', '1950']
Sayed Borhan	/wiki/Sayed_Borhan	['1900', '1950']
Asaf Abdrakhmanov	/wiki/Asaf_Abdrakhmanov	['1900', '1950']
Makhmut Gareev	/wiki/Makhmut_Gareev	['1900', '1950']
Pyotr Gavrilov	/wiki/Pyotr_Gavrilov	['1900', '1950']
Shakir Geniatullin	/wiki/Shakir_Geniatullin	['1900', '1950']
Bella Akhmadulina	/wiki/Bella_Akhmadulina	['1900', '1950']
Musa Jalil	/wiki/Musa_Jalil	['1900', '1950']
Ghabdulla Tuqay	/wiki/Ghabdulla_Tuqay	['1900', '1950']
Aleksander Sulkiewicz	/wiki/Aleksander_Sulkiewicz	['1900', '1950']
Rashid Nurgaliyev	/wiki/Rashid_Nurgaliyev	['1900', '1950']
Elvira Nabiullina	/wiki/Elvira_Nabiullina	['1900', '1950']
Mintimer Shaimiev	/wiki/Mintimer_Shaimiev	['1900', '1950']
Ravil Geniatullin	/wiki/Ravil_Geniatullin	['1900', '1950']
Ravil Gainutdin	/wiki/Ravil_Gainutdin	['1900', '1950']
Felix Yusupov	/wiki/Felix_Yusupov	['1900', '1950']
Janette Sadik-Khan	/wiki/Janette_Sadik-Khan	['1900', '1950']
Aman Tuleyev	/wiki/Aman_Tuleyev	['1900', '1950']
Mirsaid Sultan-Galiev	/wiki/Mirsaid_Sultan-Galiev	['1900', '1950']
Marat Khusnullin	/wiki/Marat_Khusnullin	['1900', '1950']
Mullanur Waxitov	/wiki/Mullanur_Waxitov	['1900', '1950']
Gabdulkhay Akhatov	/wiki/Gabdulkhay_Akhatov	['1900', '1950']
Rifkat Bogdanov	/wiki/Rifkat_Bogdanov	['1900', '1950']
