text	link	year
Bhurit Bhirombhakdi	/wiki/Bhurit_Bhirombhakdi	['1900', '1950']
Chaleo Yoovidhya	/wiki/Chaleo_Yoovidhya	['1900', '1950']
Charoen Sirivadhanabhakdi	/wiki/Charoen_Sirivadhanabhakdi	['1900', '1950']
Chin Sophonpanich	/wiki/Chin_Sophonpanich	['1900', '1950']
Dhanin Chearavanont	/wiki/Dhanin_Chearavanont	['1900', '1950']
Harald Link	/wiki/Harald_Link	['1900', '1950']
Keeree Kanjanapas	/wiki/Keeree_Kanjanapas	['1900', '1950']
Krit Ratanarak	/wiki/Krit_Ratanarak	['1900', '1950']
Nishita Shah	/wiki/Nishita_Shah	['1900', '1950']
Nualphan Lamsam	/wiki/Nualphan_Lamsam	['1900', '1950']
Prasert Prasarttong-Osoth	/wiki/Prasert_Prasarttong-Osoth	['1900', '1950']
Vichai Srivaddhanaprabha	/wiki/Vichai_Srivaddhanaprabha	['1900', '1950']
William Alfred Tilleke	/wiki/William_Alfred_Tilleke	['1900', '1950']
William Heinecke	/wiki/William_Heinecke	['1900', '1950']
Kanakorn Pianchana	/wiki/Kanakorn_Pianchana	['1900', '1950']
Rama I	/wiki/Rama_I	['1900', '1950']
Rama III	/wiki/Rama_III	['1900', '1950']
Rama IV	/wiki/Rama_IV	['1900', '1950']
Rama V	/wiki/Rama_V	['1900', '1950']
Sri Bajarindra	/wiki/Sri_Bajarindra	['1900', '1950']
Rama VI	/wiki/Rama_VI	['1900', '1950']
Rama VII	/wiki/Rama_VII	['1900', '1950']
Rambai Barni	/wiki/Rambai_Barni	['1900', '1950']
Ananda Mahidol	/wiki/Ananda_Mahidol	['1900', '1950']
Bhumibol Adulyadej	/wiki/Bhumibol_Adulyadej	['1900', '1950']
Sirikit	/wiki/Sirikit	['1900', '1950']
Ubol Ratana	/wiki/Ubol_Ratana	['1900', '1950']
Vajiralongkorn	/wiki/Vajiralongkorn	['1900', '1950']
Suthida	/wiki/Suthida	['1900', '1950']
Sirindhorn	/wiki/Sirindhorn	['1900', '1950']
Chulabhorn	/wiki/Chulabhorn	['1900', '1950']
Soamsawali	/wiki/Soamsawali	['1900', '1950']
Bajrakitiyabha	/wiki/Bajrakitiyabha	['1900', '1950']
Sirivannavari	/wiki/Sirivannavari	['1900', '1950']
Ploypailin Mahidol Jensen	/wiki/Ploypailin_Mahidol_Jensen	['1900', '1950']
Poom Jensen	/wiki/Poom_Jensen	['1900', '1950']
Sirikitiya Jensen	/wiki/Sirikitiya_Jensen	['1900', '1950']
Devawongse Varoprakar	/wiki/Devawongse_Varoprakar	['1900', '1950']
Phraya Manopakorn Nititada	/wiki/Phraya_Manopakorn_Nititada	['1900', '1950']
Seni Pramoj	/wiki/Seni_Pramoj	['1900', '1950']
Pridi Phanomyong	/wiki/Pridi_Phanomyong	['1900', '1950']
Kukrit Pramoj	/wiki/Kukrit_Pramoj	['1900', '1950']
Prem Tinsulanonda	/wiki/Prem_Tinsulanonda	['1900', '1950']
Chuan Leekpai	/wiki/Chuan_Leekpai	['1900', '1950']
Thaksin Shinawatra	/wiki/Thaksin_Shinawatra	['1900', '1950']
Samak Sundaravej	/wiki/Samak_Sundaravej	['1900', '1950']
Abhisit Vejjajiva	/wiki/Abhisit_Vejjajiva	['1900', '1950']
Yingluck Shinawatra	/wiki/Yingluck_Shinawatra	['1900', '1950']
Prayut Chan-o-cha	/wiki/Prayut_Chan-o-cha	['1900', '1950']
Chirayu Isarangkul	/wiki/Chirayu_Isarangkul	['1900', '1950']
Chuwit Kamolvisit	/wiki/Chuwit_Kamolvisit	['1900', '1950']
Kraisak Choonhavan	/wiki/Kraisak_Choonhavan	['1900', '1950']
Piyasvasti Amranand	/wiki/Piyasvasti_Amranand	['1900', '1950']
Pongpol Adireksarn	/wiki/Pongpol_Adireksarn	['1900', '1950']
Pridiyathorn Devakula	/wiki/Pridiyathorn_Devakula	['1900', '1950']
Somkid Jatusripitak	/wiki/Somkid_Jatusripitak	['1900', '1950']
Sudarat Keyuraphan	/wiki/Sudarat_Keyuraphan	['1900', '1950']
Sunthorn Kongsompong	/wiki/Sunthorn_Kongsompong	['1900', '1950']
Thanong Bidaya	/wiki/Thanong_Bidaya	['1900', '1950']
Prachai Leophai-ratana	/wiki/Prachai_Leophai-ratana	['1900', '1950']
Prommin Lertsuridej	/wiki/Prommin_Lertsuridej	['1900', '1950']
Thammarak Isaragura na Ayuthaya	/wiki/Thammarak_Isaragura_na_Ayuthaya	['1900', '1950']
Pallop Pinmanee	/wiki/Pallop_Pinmanee	['1900', '1950']
Sukhumbhand Paribatra	/wiki/Sukhumbhand_Paribatra	['1900', '1950']
Noppadon Pattama	/wiki/Noppadon_Pattama	['1900', '1950']
Ratsadanupradit Mahison Phakdi	/wiki/Ratsadanupradit_Mahison_Phakdi	['1900', '1950']
Nit Phibunsongkhram	/wiki/Nit_Phibunsongkhram	['1900', '1950']
Lek Nana	/wiki/Lek_Nana	['1900', '1950']
Mongkol Na Songkhla	/wiki/Mongkol_Na_Songkhla	['1900', '1950']
Surin Pitsuwan	/wiki/Surin_Pitsuwan	['1900', '1950']
Sutham Sangprathum	/wiki/Sutham_Sangprathum	['1900', '1950']
Thaworn Senniam	/wiki/Thaworn_Senniam	['1900', '1950']
Boonsanong Punyodyana	/wiki/Boonsanong_Punyodyana	['1900', '1950']
Boonchu Rojanastien	/wiki/Boonchu_Rojanastien	['1900', '1950']
Manoonkrit Roopkachorn	/wiki/Manoonkrit_Roopkachorn	['1900', '1950']
Karoon Sai-ngam	/wiki/Karoon_Sai-ngam	['1900', '1950']
Chatumongol Sonakul	/wiki/Chatumongol_Sonakul	['1900', '1950']
Prasong Soonsiri	/wiki/Prasong_Soonsiri	['1900', '1950']
Chamlong Srimuang	/wiki/Chamlong_Srimuang	['1900', '1950']
Wijit Srisa-arn	/wiki/Wijit_Srisa-arn	['1900', '1950']
