text	link	year
Calypso Rose	/wiki/Calypso_Rose	['1900', '1950']
Winston Duke	/wiki/Winston_Duke	['1900', '1950']
Renny Quow	/wiki/Renny_Quow	['1900', '1950']
Kelly-Ann Baptiste	/wiki/Kelly-Ann_Baptiste	['1900', '1950']
Lalonde Gordon	/wiki/Lalonde_Gordon	['1900', '1950']
Mighty Shadow	/wiki/Mighty_Shadow	['1900', '1950']
Keith Rowley	/wiki/Keith_Rowley	['1900', '1950']
A. N. R. Robinson	/wiki/A._N._R._Robinson	['1900', '1950']
Dwight Yorke	/wiki/Dwight_Yorke	['1900', '1950']
Dominique Jackson	/wiki/Dominique_Jackson_(model)	['1900', '1950']
Tobago FA Cup	/wiki/Tobago_FA_Cup	['1900', '1950']
Trinidad	/wiki/Trinidad	['1900', '1950']
Chacachacare	/wiki/Chacachacare	['1900', '1950']
Huevos	/wiki/Huevos	['1900', '1950']
Monos	/wiki/Monos	['1900', '1950']
Gaspar Grande	/wiki/Gaspar_Grande	['1900', '1950']
Gasparillo Island	/wiki/Gasparillo_Island	['1900', '1950']
Caledonia Island	/wiki/Caledonia_Island	['1900', '1950']
Craig Island	/wiki/Craig_Island	['1900', '1950']
Lenagan Island	/wiki/Lenagan_Island	['1900', '1950']
Nelson Island	/wiki/Nelson_Island_(Trinidad_and_Tobago)	['1900', '1950']
Pelican Island	/wiki/Pelican_Island_(Trinidad_and_Tobago)	['1900', '1950']
Rock Island	/wiki/Rock_Island_(Trinidad_and_Tobago)	['1900', '1950']
Cronstadt Island	/wiki/Cronstadt_Island	['1900', '1950']
Carrera Island	/wiki/Carrera_Island	['1900', '1950']
Little Tobago	/wiki/Little_Tobago	['1900', '1950']
Saint Giles Island	/wiki/Saint_Giles_Island	['1900', '1950']
Goat Island	/wiki/Goat_Island_(Trinidad_and_Tobago)	['1900', '1950']
Sisters' Rock	/wiki/Sisters%27_Rock	['1900', '1950']
Saut d'Eau	/wiki/Saut_d%27Eau	['1900', '1950']
Faralon Rock	/wiki/Faralon_Rock	['1900', '1950']
Soldado Rock	/wiki/Soldado_Rock	['1900', '1950']
