text	link	year
John Agitation	/wiki/John_Agitation	['1900', '1950']
Ben Ali	/wiki/Ben_Ali_(businessman)	['1900', '1950']
Inshan Ali	/wiki/Inshan_Ali	['1900', '1950']
Choc'late Allen	/wiki/Choc%27late_Allen	['1900', '1950']
Marlon Asher	/wiki/Marlon_Asher	['1900', '1950']
Attila the Hun	/wiki/Attila_the_Hun_(calypsonian)	['1900', '1950']
Winifred Atwell	/wiki/Winifred_Atwell	['1900', '1950']
Geoffrey Holder	/wiki/Geoffrey_Holder	['1900', '1950']
Anya Ayoung-Chee	/wiki/Anya_Ayoung-Chee	['1900', '1950']
Nicki Minaj	/wiki/Nicki_Minaj	['1900', '1950']
Samuel Badree	/wiki/Samuel_Badree	['1900', '1950']
Charles Baksh	/wiki/Charles_Baksh	['1900', '1950']
Mighty Shadow	/wiki/Mighty_Shadow	['1900', '1950']
Kevin Baldeosingh	/wiki/Kevin_Baldeosingh	['1900', '1950']
Bas Balkissoon	/wiki/Bas_Balkissoon	['1900', '1950']
Adrian Barath	/wiki/Adrian_Barath	['1900', '1950']
Gerry Bednob	/wiki/Gerry_Bednob	['1900', '1950']
Lionel Belasco	/wiki/Lionel_Belasco	['1900', '1950']
Lloyd Best	/wiki/Lloyd_Best	['1900', '1950']
Mike Bibby	/wiki/Mike_Bibby	['1900', '1950']
Ian Bishop	/wiki/Ian_Bishop_(cricketer,_born_1967)	['1900', '1950']
Ravi Bissambhar	/wiki/Ravi_Bissambhar	['1900', '1950']
Chris Bisson	/wiki/Chris_Bisson	['1900', '1950']
Neil Bissoondath	/wiki/Neil_Bissoondath	['1900', '1950']
Black Stalin	/wiki/Black_Stalin	['1900', '1950']
Ato Boldon	/wiki/Ato_Boldon	['1900', '1950']
Michelle Borel	/wiki/Michelle_Borel	['1900', '1950']
Dole Chadee	/wiki/Dole_Chadee	['1900', '1950']
Denzil Botus	/wiki/Denzil_Botus	['1900', '1950']
Brother Resistance	/wiki/Brother_Resistance	['1900', '1950']
Rudranath Capildeo	/wiki/Rudranath_Capildeo	['1900', '1950']
Simbhoonath Capildeo	/wiki/Simbhoonath_Capildeo	['1900', '1950']
Vahni Capildeo	/wiki/Vahni_Capildeo	['1900', '1950']
Ria Carlo	/wiki/Ria_Carlo	['1900', '1950']
Edwin Carrington	/wiki/Edwin_Carrington	['1900', '1950']
Anthony Carmona	/wiki/Anthony_Carmona	['1900', '1950']
Reema Harrysingh-Carmona	/wiki/Reema_Harrysingh-Carmona	['1900', '1950']
Jennifer Carroll	/wiki/Jennifer_Carroll	['1900', '1950']
Patrick Castagne	/wiki/Patrick_Castagne	['1900', '1950']
Jennifer Cassar	/wiki/Jennifer_Cassar	['1900', '1950']
Chalkdust	/wiki/Chalkdust	['1900', '1950']
