text	link	year
Ekrem Akurgal	/wiki/Ekrem_Akurgal	['1900', '1950']
Sedat Alp	/wiki/Sedat_Alp	['1900', '1950']
Halet Çambel	/wiki/Halet_%C3%87ambel	['1900', '1950']
Tahsin Özgüç	/wiki/Tahsin_%C3%96zg%C3%BC%C3%A7	['1900', '1950']
Yunus Nadi Abalıoğlu	/wiki/Yunus_Nadi_Abal%C4%B1o%C4%9Flu	['1900', '1950']
Sait Faik Abasıyanık	/wiki/Sait_Faik_Abas%C4%B1yan%C4%B1k	['1900', '1950']
Halide Edip Adıvar	/wiki/Halide_Edip_Ad%C4%B1var	['1900', '1950']
Ahmet Ağaoğlu	/wiki/Ahmet_A%C4%9Fao%C4%9Flu	['1900', '1950']
Süreyya Ağaoğlu	/wiki/S%C3%BCreyya_A%C4%9Fao%C4%9Flu	['1900', '1950']
Zeynep Ahunbay	/wiki/Zeynep_Ahunbay	['1900', '1950']
Yusuf Akçura	/wiki/Yusuf_Ak%C3%A7ura	['1900', '1950']
Sunay Akın	/wiki/Sunay_Ak%C4%B1n	['1900', '1950']
Muammer Aksoy	/wiki/Muammer_Aksoy	['1900', '1950']
Mustafa Akyol	/wiki/Mustafa_Akyol	['1900', '1950']
Alev Alatlı	/wiki/Alev_Alatl%C4%B1	['1900', '1950']
Sabahattin Ali	/wiki/Sabahattin_Ali	['1900', '1950']
Fikri Alican	/wiki/Fikri_Alican	['1900', '1950']
Ahmet Altan	/wiki/Ahmet_Altan	['1900', '1950']
Çetin Altan	/wiki/%C3%87etin_Altan	['1900', '1950']
İhsan Oktay Anar	/wiki/%C4%B0hsan_Oktay_Anar	['1900', '1950']
Melih Cevdet Anday	/wiki/Melih_Cevdet_Anday	['1900', '1950']
Engin Ardıç	/wiki/Engin_Ard%C4%B1%C3%A7	['1900', '1950']
Meltem Arıkan	/wiki/Meltem_Ar%C4%B1kan	['1900', '1950']
Ayşe Arman	/wiki/Ay%C5%9Fe_Arman	['1900', '1950']
Cihat Arman	/wiki/Cihat_Arman	['1900', '1950']
Ömer Asan	/wiki/%C3%96mer_Asan	['1900', '1950']
Duygu Asena	/wiki/Duygu_Asena	['1900', '1950']
Bülent Atalay	/wiki/B%C3%BClent_Atalay	['1900', '1950']
Oğuz Atay	/wiki/O%C4%9Fuz_Atay	['1900', '1950']
İsmet Atlı	/wiki/%C4%B0smet_Atl%C4%B1	['1900', '1950']
Nihal Atsız	/wiki/Nihal_Ats%C4%B1z	['1900', '1950']
Mustafa Balel	/wiki/Mustafa_Balel	['1900', '1950']
