text	link	year
Charles Ndizeye	/wiki/Charles_Ndizeye	['1900', '1950']
Paul Kagame	/wiki/Paul_Kagame	['1900', '1950']
Michel Micombero	/wiki/Michel_Micombero	['1900', '1950']
Jean-Baptiste Bagaza	/wiki/Jean-Baptiste_Bagaza	['1946', '2025']
Pierre Buyoya	/wiki/Pierre_Buyoya	['1949', '2025']
Sylvie Kinigi	/wiki/Sylvie_Kinigi	['1952', '2025']
Louis Rwagasore	/wiki/Louis_Rwagasore	['1900', '1950']
André Muhirwa	/wiki/Andr%C3%A9_Muhirwa	['1900', '1950']
Léopold Biha	/wiki/L%C3%A9opold_Biha	['1900', '1950']
Anatole Kanyenkiko	/wiki/Anatole_Kanyenkiko	['1952', '2025']
Antoine Nduwayo	/wiki/Antoine_Nduwayo	['1942', '2025']
Mathias Sinamenye	/wiki/Mathias_Sinamenye	['1900', '1950']
Alphonse-Marie Kadege	/wiki/Alphonse-Marie_Kadege	['1900', '1950']
Frédéric Ngenzebuhoro	/wiki/Fr%C3%A9d%C3%A9ric_Ngenzebuhoro	['1900', '1950']
Martin Nduwimana	/wiki/Martin_Nduwimana	['1958', '2025']
James Kabarebe	/wiki/James_Kabarebe	['1959', '2025']
Lando Ndasingwa	/wiki/Lando_Ndasingwa	['1900', '1950']
Louise Mushikiwabo	/wiki/Louise_Mushikiwabo	['1900', '1950']
Rosalie Gicanda	/wiki/Rosalie_Gicanda	['1900', '1950']
Sonia Rolland	/wiki/Sonia_Rolland	['1981', '2025']
Stromae	/wiki/Stromae	['1900', '1950']
Benjamin Sehene	/wiki/Benjamin_Sehene	['1959', '2025']
Immaculée Ilibagiza	/wiki/Immacul%C3%A9e_Ilibagiza	['1900', '1950']
Scholastique Mukasonga	/wiki/Scholastique_Mukasonga	['1900', '1950']
Yolande Mukagasana	/wiki/Yolande_Mukagasana	['1900', '1950']
Ange Kagame	/wiki/Ange_Kagame	['1900', '1950']
