text	link	year
Eselealofa Apinelu	/wiki/Eselealofa_Apinelu	['1900', '1950']
Opetaia Foa'i	/wiki/Opetaia_Foa%27i	['1900', '1950']
Apisai Ielemia	/wiki/Apisai_Ielemia	['1900', '1950']
Ionatana Ionatana	/wiki/Ionatana_Ionatana	['1900', '1950']
Kamuta Latasi	/wiki/Kamuta_Latasi	['1900', '1950']
Toaripi Lauti	/wiki/Toaripi_Lauti	['1900', '1950']
Tupua Leupena	/wiki/Tupua_Leupena	['1900', '1950']
Faimalaga Luka	/wiki/Faimalaga_Luka	['1900', '1950']
Tulaga Manuella	/wiki/Tulaga_Manuella	['1900', '1950']
Bikenibeu Paeniu	/wiki/Bikenibeu_Paeniu	['1900', '1950']
Seve Paeniu	/wiki/Seve_Paeniu	['1900', '1950']
Tomasi Puapua	/wiki/Tomasi_Puapua	['1900', '1950']
Tomu Sione	/wiki/Tomu_Sione	['1900', '1950']
Saufatu Sopoanga	/wiki/Saufatu_Sopoanga	['1900', '1950']
Koloa Talake	/wiki/Koloa_Talake	['1900', '1950']
Filoimea Telito	/wiki/Filoimea_Telito	['1900', '1950']
Fiatau Penitala Teo	/wiki/Fiatau_Penitala_Teo	['1900', '1950']
Maatia Toafa	/wiki/Maatia_Toafa	['1900', '1950']
Lagitupu Tuilimu	/wiki/Lagitupu_Tuilimu	['1900', '1950']
Solofa Uota	/wiki/Solofa_Uota	['1900', '1950']
Template:Tuvalu topics	/wiki/Template:Tuvalu_topics	['1900', '1950']
Template talk:Tuvalu topics	/wiki/Template_talk:Tuvalu_topics	['1900', '1950']
2011 Tuvalu drought	/wiki/2011_Tuvalu_drought	['1900', '1950']
Funafuti Conservation Area	/wiki/Funafuti_Conservation_Area	['1900', '1950']
Funafuti	/wiki/Funafuti	['1900', '1950']
Nanumanga	/wiki/Nanumanga	['1900', '1950']
Nanumea	/wiki/Nanumea	['1900', '1950']
Niulakita	/wiki/Niulakita	['1900', '1950']
Niutao	/wiki/Niutao	['1900', '1950']
Nui	/wiki/Nui_(atoll)	['1900', '1950']
Nukufetau	/wiki/Nukufetau	['1900', '1950']
Nukulaelae	/wiki/Nukulaelae	['1900', '1950']
Vaitupu	/wiki/Vaitupu	['1900', '1950']
Tuvalu Trust Fund	/wiki/Tuvalu_Trust_Fund	['1900', '1950']
Tuvalu Overseas Seamen's Union	/wiki/Tuvalu_Overseas_Seamen%27s_Union	['1900', '1950']
