text	link	year
Khalifa bin Zayed Al Nahyan	/wiki/Khalifa_bin_Zayed_Al_Nahyan	['1900', '1950']
Mohammad bin Zayed Al Nahyan	/wiki/Mohammad_bin_Zayed_Al_Nahyan	['1900', '1950']
Sultan bin Zayed bin Sultan Al Nahyan	/wiki/Sultan_bin_Zayed_bin_Sultan_Al_Nahyan	['1900', '1950']
Hamdan bin Zayed bin Sultan Al Nahyan	/wiki/Hamdan_bin_Zayed_bin_Sultan_Al_Nahyan	['1900', '1950']
Hamdan bin Mubarak Al Nahyan	/wiki/Hamdan_bin_Mubarak_Al_Nahyan	['1900', '1950']
Mansour bin Zayed Al Nahyan	/wiki/Mansour_bin_Zayed_Al_Nahyan	['1900', '1950']
Abdullah Bin Zayed Al Nahyan	/wiki/Abdullah_Bin_Zayed_Al_Nahyan	['1900', '1950']
Sheikh Zayed bin Sultan Al Nahyan	/wiki/Sheikh_Zayed_bin_Sultan_Al_Nahyan	['1900', '1950']
Rashid bin Saeed Al Maktoum	/wiki/Rashid_bin_Saeed_Al_Maktoum	['1900', '1950']
Maktoum bin Rashid Al Maktoum	/wiki/Maktoum_bin_Rashid_Al_Maktoum	['1900', '1950']
Mohammed bin Rashid Al Maktoum	/wiki/Mohammed_bin_Rashid_Al_Maktoum	['1900', '1950']
Hamdan bin Rashid Al Maktoum	/wiki/Hamdan_bin_Rashid_Al_Maktoum	['1900', '1950']
Sheikh Hamdan bin Mohammed bin Rashid al Maktoum	/wiki/Sheikh_Hamdan_bin_Mohammed_bin_Rashid_al_Maktoum	['1900', '1950']
Sultan bin Muhammad Al-Qasimi	/wiki/Sultan_bin_Muhammad_Al-Qasimi	['1900', '1950']
Lubna Khalid Al Qasimi	/wiki/Lubna_Khalid_Al_Qasimi	['1900', '1950']
Saud bin Saqr al Qasimi	/wiki/Saud_bin_Saqr_al_Qasimi	['1900', '1950']
Humaid bin Rashid Al Nuaimi	/wiki/Humaid_bin_Rashid_Al_Nuaimi	['1900', '1950']
Hamad bin Mohammed Al Sharqi	/wiki/Hamad_bin_Mohammed_Al_Sharqi	['1900', '1950']
Mohammed bin Hamad bin Mohammed Al Sharqi	/wiki/Mohammed_bin_Hamad_bin_Mohammed_Al_Sharqi	['1900', '1950']
Hamdan bin Rashid Al Maktoum	/wiki/Hamdan_bin_Rashid_Al_Maktoum	['1900', '1950']
Saif bin Zayed Al Nahyan	/wiki/Saif_bin_Zayed_Al_Nahyan	['1900', '1950']
Mansour bin Zayed Al Nahyan	/wiki/Mansour_bin_Zayed_Al_Nahyan	['1900', '1950']
Abdullah bin Zayed Al Nahyan	/wiki/Abdullah_bin_Zayed_Al_Nahyan	['1900', '1950']
Nahyan bin Mubarak Al Nahyan	/wiki/Nahyan_bin_Mubarak_Al_Nahyan	['1900', '1950']
Rashid Ahmad Muhammad Bin Fahad	/wiki/Rashid_Ahmad_Muhammad_Bin_Fahad	['1900', '1950']
Supreme Petroleum Council	/wiki/Supreme_Petroleum_Council	['1900', '1950']
Yousef Al Omeir	/wiki/Yousef_Al_Omeir	['1900', '1950']
Reem Al Hashimi	/wiki/Reem_Al_Hashimi	['1900', '1950']
Mohammed Al Gergawi	/wiki/Mohammed_Al_Gergawi	['1900', '1950']
Khalifa Shaheen Al Merri	/wiki/Khalifa_Shaheen_Al_Merri	['1900', '1950']
Saeed Khalifa Humeid Al Rumaithi	/wiki/Saeed_Khalifa_Humeid_Al_Rumaithi	['1900', '1950']
