text	link	year
Aziz Azion	/wiki/Aziz_Azion	['1900', '1950']
Abigaba Cuthbert Mirembe	/wiki/Abigaba_Cuthbert_Mirembe	['1900', '1950']
Bart Magunda Katureebe	/wiki/Bart_Magunda_Katureebe	['1900', '1950']
Bazilio Olara-Okello	/wiki/Bazilio_Olara-Okello	['1900', '1950']
Beatrice Wabudeya	/wiki/Beatrice_Wabudeya	['1900', '1950']
Benjamin Joseph Odoki	/wiki/Benjamin_Joseph_Odoki	['1900', '1950']
Bettinah Tianah	/wiki/Bettinah_Tianah	['1900', '1950']
Betty Bigombe	/wiki/Betty_Bigombe	['1900', '1950']
Bright Rwamirama	/wiki/Bright_Rwamirama	['1900', '1950']
Busingye Kabumba	/wiki/Busingye_Kabumba	['1900', '1950']
Chameleone	/wiki/Chameleone	['1900', '1950']
Charles Bakabulindi	/wiki/Charles_Bakabulindi	['1900', '1950']
Charles Mbire	/wiki/Charles_Mbire	['1900', '1950']
Christine Kitumba	/wiki/Christine_Kitumba	['1900', '1950']
Crispus Kiyonga	/wiki/Crispus_Kiyonga	['1900', '1950']
Chris Baryomunsi	/wiki/Chris_Baryomunsi	['1900', '1950']
Daudi Migereko	/wiki/Daudi_Migereko	['1900', '1950']
David Oyite-Ojok	/wiki/David_Oyite-Ojok	['1900', '1950']
David Wakinona	/wiki/David_Wakinona	['1900', '1950']
Emmanuel Kakooza	/wiki/Emmanuel_Kakooza	['1900', '1950']
Emmanuel Tumusiime-Mutebile	/wiki/Emmanuel_Tumusiime-Mutebile	['1900', '1950']
Emmanuel Amey Ojara	/wiki/Emmanuel_Amey_Ojara	['1900', '1950']
Emmanuel Otala	/wiki/Emmanuel_Otala	['1900', '1950']
Emmy Okello	/wiki/Emmy_Okello	['1900', '1950']
Eriya Kategaya	/wiki/Eriya_Kategaya	['1900', '1950']
Ephraim Kamuntu	/wiki/Ephraim_Kamuntu	['1900', '1950']
Ezra Suruma	/wiki/Ezra_Suruma	['1900', '1950']
Francis Butagira	/wiki/Francis_Butagira	['1900', '1950']
Fred Mukisa	/wiki/Fred_Mukisa	['1900', '1950']
Fred Omach	/wiki/Fred_Omach	['1900', '1950']
Fred Ruhindi	/wiki/Fred_Ruhindi	['1900', '1950']
Gabriel Opio	/wiki/Gabriel_Opio	['1900', '1950']
Gagawala Wambuzi	/wiki/Gagawala_Wambuzi	['1900', '1950']
Galdino Moro Okello	/wiki/Galdino_Moro_Okello	['1900', '1950']
George Wilson Kanyeihamba	/wiki/George_Wilson_Kanyeihamba	['1900', '1950']
Geoffrey Oryema	/wiki/Geoffrey_Oryema	['1900', '1950']
Gilbert Bukenya	/wiki/Gilbert_Bukenya	['1900', '1950']
Godfrey Binaisa	/wiki/Godfrey_Binaisa	['1900', '1950']
Godliver Businge	/wiki/Godliver_Businge	['1900', '1950']
Henry Bagiire	/wiki/Henry_Bagiire	['1900', '1950']
Henry Morton Stanley	/wiki/Henry_Morton_Stanley	['1900', '1950']
Henry Oryem Okello	/wiki/Henry_Oryem_Okello	['1900', '1950']
Hilary Onek	/wiki/Hilary_Onek	['1900', '1950']
Hope Mwesigye	/wiki/Hope_Mwesigye	['1900', '1950']
Idi Amin Dada	/wiki/Idi_Amin_Dada	['1900', '1950']
Irfan Afridi	/wiki/Irfan_Afridi	['1900', '1950']
Isaac Musumba	/wiki/Isaac_Musumba	['1900', '1950']
James Baba	/wiki/James_Baba	['1900', '1950']
James Munange Ogoola	/wiki/James_Munange_Ogoola	['1900', '1950']
James Wapakhabulo	/wiki/James_Wapakhabulo	['1900', '1950']
Janani Luwum	/wiki/Janani_Luwum	['1900', '1950']
Janet Museveni	/wiki/Janet_Museveni	['1900', '1950']
Jeje Odongo	/wiki/Jeje_Odongo	['1900', '1950']
Jennifer Namuyangu	/wiki/Jennifer_Namuyangu	['1900', '1950']
Jessica Alupo	/wiki/Jessica_Alupo	['1900', '1950']
Jessica Eriyo	/wiki/Jessica_Eriyo	['1900', '1950']
John Akii-Bua	/wiki/John_Akii-Bua	['1900', '1950']
John Byabagambi	/wiki/John_Byabagambi	['1900', '1950']
John Nasasira	/wiki/John_Nasasira	['1900', '1950']
John Ssebaana Kizito	/wiki/John_Ssebaana_Kizito	['1900', '1950']
John Wilson Nattubu Tsekoko	/wiki/John_Wilson_Nattubu_Tsekoko	['1900', '1950']
Joseph Kony	/wiki/Joseph_Kony	['1900', '1950']
Joseph Mulenga	/wiki/Joseph_Mulenga	['1900', '1950']
Kabalega	/wiki/Kabalega	['1900', '1950']
Kahinda Otafiire	/wiki/Kahinda_Otafiire	['1900', '1950']
Kamanda Bataringaya	/wiki/Kamanda_Bataringaya	['1900', '1950']
John-Mary Kauzya	/wiki/John-Mary_Kauzya	['1900', '1950']
Ken Lukyamuzi	/wiki/Ken_Lukyamuzi	['1900', '1950']
Kiddu Makubuya	/wiki/Kiddu_Makubuya	['1900', '1950']
Kizza Besigye	/wiki/Kizza_Besigye	['1900', '1950']
Mahmood Mamdani	/wiki/Mahmood_Mamdani	['1900', '1950']
Martin Stephen Egonda-Ntende	/wiki/Martin_Stephen_Egonda-Ntende	['1900', '1950']
Matia Kasaija	/wiki/Matia_Kasaija	['1900', '1950']
Maria Mutagamba	/wiki/Maria_Mutagamba	['1900', '1950']
Matthew Lukwiya	/wiki/Matthew_Lukwiya	['1900', '1950']
Michael Kawalya Kagwa	/wiki/Michael_Kawalya_Kagwa	['1900', '1950']
Mildred Barya	/wiki/Mildred_Barya	['1900', '1950']
Milton Obote	/wiki/Milton_Obote	['1900', '1950']
Miria Obote	/wiki/Miria_Obote	['1900', '1950']
Moses Ndiema Kipsiro	/wiki/Moses_Ndiema_Kipsiro	['1900', '1950']
Muhammad Kibirige Mayanja	/wiki/Muhammad_Kibirige_Mayanja	['1900', '1950']
Muljibhai Madhvani	/wiki/Muljibhai_Madhvani	['1900', '1950']
Musa Echweru	/wiki/Musa_Echweru	['1900', '1950']
Mustafa Adrisi	/wiki/Mustafa_Adrisi	['1900', '1950']
Mwesigwa Rukutana	/wiki/Mwesigwa_Rukutana	['1900', '1950']
Norbert Mao	/wiki/Norbert_Mao	['1900', '1950']
Nsaba Buturo	/wiki/Nsaba_Buturo	['1900', '1950']
Odong Latek	/wiki/Odong_Latek	['1900', '1950']
Okello Oculi	/wiki/Okello_Oculi	['1900', '1950']
Okot p'Bitek	/wiki/Okot_p%27Bitek	['1900', '1950']
Olara Otunnu	/wiki/Olara_Otunnu	['1900', '1950']
Omara Atubo	/wiki/Omara_Atubo	['1900', '1950']
Omwony Ojwok	/wiki/Omwony_Ojwok	['1900', '1950']
Patrick Etolu	/wiki/Patrick_Etolu	['1900', '1950']
Paulo Muwanga	/wiki/Paulo_Muwanga	['1900', '1950']
Peter Lokeris	/wiki/Peter_Lokeris	['1900', '1950']
Perez Ahabwe	/wiki/Perez_Ahabwe	['1900', '1950']
Perezi Kamunanwire	/wiki/Perezi_Kamunanwire	['1900', '1950']
Phiona Mutesi	/wiki/Phiona_Mutesi	['1900', '1950']
Pumla Kisosonkole	/wiki/Pumla_Kisosonkole	['1900', '1950']
Pyarali Merali	/wiki/Pyarali_Merali	['1900', '1950']
Queen Best	/wiki/Queen_Best	['1900', '1950']
Raska Lukwiya	/wiki/Raska_Lukwiya	['1900', '1950']
Richard Nduhura	/wiki/Richard_Nduhura	['1900', '1950']
Ruhakana Rugunda	/wiki/Ruhakana_Rugunda	['1900', '1950']
Rukia Isanga	/wiki/Rukia_Isanga	['1900', '1950']
Rukia Chekamondo	/wiki/Rukia_Chekamondo	['1900', '1950']
Salim Saleh	/wiki/Salim_Saleh	['1900', '1950']
Seezi Mbaguta	/wiki/Seezi_Mbaguta	['1900', '1950']
Samuel Kutesa	/wiki/Samuel_Kutesa	['1900', '1950']
Serapio Rukundo	/wiki/Serapio_Rukundo	['1900', '1950']
Shimit Amin	/wiki/Shimit_Amin	['1900', '1950']
Simon D'Ujanga	/wiki/Simon_D%27Ujanga	['1900', '1950']
Simon Ejua	/wiki/Simon_Ejua	['1900', '1950']
Simon Lokodo	/wiki/Simon_Lokodo	['1900', '1950']
