text	link	year
Mikhail Ostrogradsky	/wiki/Mikhail_Ostrogradsky	['1900', '1950']
Anatoly Fomenko	/wiki/Anatoly_Fomenko	['1900', '1950']
Mark Kac	/wiki/Mark_Kac	['1914', '1984']
Volodymyr Semenovych Korolyuk	/wiki/Volodymyr_Semenovych_Korolyuk	['1900', '1950']
Mykhailo Krawtchouk	/wiki/Mykhailo_Krawtchouk	['1900', '1950']
Yakiv Kulik	/wiki/Yakiv_Kulik	['1900', '1950']
Volodymyr Marchenko	/wiki/Volodymyr_Marchenko	['1900', '1950']
Volodymyr Petryshyn	/wiki/Volodymyr_Petryshyn	['1900', '1950']
Platon Poretsky	/wiki/Platon_Poretsky	['1900', '1950']
Volodymyr Potapiv	/wiki/Volodymyr_Potapiv	['1900', '1950']
Anatoly Samoilenko	/wiki/Anatoly_Samoilenko	['1900', '1950']
Oleksandr Mikolaiovich Sharkovsky	/wiki/Oleksandr_Mikolaiovich_Sharkovsky	['1936', '2025']
Samuil Shatunovsky	/wiki/Samuil_Shatunovsky	['1859', '1929']
Anatoliy Skorokhod	/wiki/Anatoliy_Skorokhod	['1900', '1950']
Mykhailo Vashchenko-Zakharchenko	/wiki/Mykhailo_Vashchenko-Zakharchenko	['1825', '1912']
Ivan Śleszyński	/wiki/Ivan_%C5%9Aleszy%C5%84ski	['1900', '1950']
Pavlo Urysohn	/wiki/Pavlo_Urysohn	['1898', '1924']
Josif Shtokalo	/wiki/Josif_Shtokalo	['1897', '1987']
Naum Z. Shor	/wiki/Naum_Z._Shor	['1937', '2006']
Vladimir Drinfeld	/wiki/Vladimir_Drinfeld	['1900', '1950']
Maryna Viazovska	/wiki/Maryna_Viazovska	['1984', '2025']
Gersh Budker	/wiki/Gersh_Budker	['1900', '1950']
Georges Charpak	/wiki/Georges_Charpak	['1900', '1950']
Abram Ioffe	/wiki/Abram_Ioffe	['1900', '1950']
Isaak Khalatnikiv	/wiki/Isaak_Khalatnikiv	['1900', '1950']
Leo Palatnik	/wiki/Leo_Palatnik	['1900', '1950']
Ivan Pulyui	/wiki/Ivan_Pulyui	['1900', '1950']
George Yuri Rainich	/wiki/George_Yuri_Rainich	['1900', '1950']
Volodymyr Kubiyovych	/wiki/Volodymyr_Kubiyovych	['1900', '1950']
Lubomyr Luciuk	/wiki/Lubomyr_Luciuk	['1900', '1950']
Volodymyr Vernadsky	/wiki/Volodymyr_Vernadsky	['1900', '1950']
Alexander A. Bogomolets	/wiki/Alexander_A._Bogomolets	['1900', '1950']
Erwin Chargaff	/wiki/Erwin_Chargaff	['1900', '1950']
Theodosius Dobzhansky	/wiki/Theodosius_Dobzhansky	['1900', '1950']
Katherine Esau	/wiki/Katherine_Esau	['1900', '1950']
Dmytro Ivanovski	/wiki/Dmytro_Ivanovski	['1900', '1950']
Trofim Lysenko	/wiki/Trofim_Lysenko	['1900', '1950']
Oleksandr Palladin	/wiki/Oleksandr_Palladin	['1900', '1950']
Kostiantyn Sytnyk	/wiki/Kostiantyn_Sytnyk	['1900', '1950']
Volodymyr Vernadsky	/wiki/Volodymyr_Vernadsky	['1900', '1950']
Anatoly Babko	/wiki/Anatoly_Babko	['1900', '1950']
Ivan Horbachevsky	/wiki/Ivan_Horbachevsky	['1900', '1950']
George Kistiakowsky	/wiki/George_Kistiakowsky	['1900', '1950']
Lev Pisarzhevsky	/wiki/Lev_Pisarzhevsky	['1900', '1950']
Swiatoslaw Trofimenko	/wiki/Swiatoslaw_Trofimenko	['1900', '1950']
Volodymyr Vernadsky	/wiki/Volodymyr_Vernadsky	['1900', '1950']
Selman Waksman	/wiki/Selman_Waksman	['1888', '1973']
Danylo Zabolotny	/wiki/Danylo_Zabolotny	['1900', '1950']
Serdyuk Valentin	/wiki/Serdyuk_Valentin	['1900', '1950']
Volodymyr Chelomey	/wiki/Volodymyr_Chelomey	['1900', '1950']
Valentyn Hlushko	/wiki/Valentyn_Hlushko	['1900', '1950']
Mykola Holonyak	/wiki/Mykola_Holonyak	['1900', '1950']
Volodymyr Horbulin	/wiki/Volodymyr_Horbulin	['1900', '1950']
Mykola Kybalchich	/wiki/Mykola_Kybalchich	['1900', '1950']
