text	link	year
Arotxa	/wiki/Arotxa	['1900', '1950']
Pablo Atchugarry	/wiki/Pablo_Atchugarry	['1900', '1950']
José Belloni	/wiki/Jos%C3%A9_Belloni	['1900', '1950']
Juan Manuel Blanes	/wiki/Juan_Manuel_Blanes	['1900', '1950']
Juan José Calandria	/wiki/Juan_Jos%C3%A9_Calandria	['1900', '1950']
Carlos Capelán	/wiki/Carlos_Capel%C3%A1n	['1900', '1950']
Pedro Figari	/wiki/Pedro_Figari	['1900', '1950']
Carlos María Herrera	/wiki/Carlos_Mar%C3%ADa_Herrera	['1900', '1950']
Edward Johnston	/wiki/Edward_Johnston	['1900', '1950']
Carlos Páez Vilaró	/wiki/Carlos_P%C3%A1ez_Vilar%C3%B3	['1900', '1950']
Virginia Patrone	/wiki/Virginia_Patrone	['1900', '1950']
Hermenegildo Sábat	/wiki/Hermenegildo_S%C3%A1bat	['1900', '1950']
Martín Sastre	/wiki/Mart%C3%ADn_Sastre	['1900', '1950']
Felipe Seade	/wiki/Felipe_Seade	['1900', '1950']
Joaquín Torres García	/wiki/Joaqu%C3%ADn_Torres_Garc%C3%ADa	['1900', '1950']
Daniel Pontet	/wiki/Daniel_Pontet	['1900', '1950']
Eduardo Vernazza	/wiki/Eduardo_Vernazza	['1900', '1950']
Alicia Alfonso	/wiki/Alicia_Alfonso	['1963', '2025']
Marcelo Buquet	/wiki/Marcelo_Buquet	['1900', '1950']
Eunice Castro	/wiki/Eunice_Castro	['1900', '1950']
Mary da Cuña	/wiki/Mary_da_Cu%C3%B1a	['1942', '2016']
George DelHoyo	/wiki/George_DelHoyo	['1900', '1950']
Virginia Dobrich	/wiki/Virginia_Dobrich	['1900', '1950']
Mónica Farro	/wiki/M%C3%B3nica_Farro	['1900', '1950']
Tina Ferreira	/wiki/Tina_Ferreira	['1900', '1950']
Delfi Galbiati	/wiki/Delfi_Galbiati	['1900', '1950']
Andrea Ghidone	/wiki/Andrea_Ghidone	['1900', '1950']
Daniel Hendler	/wiki/Daniel_Hendler	['1900', '1950']
Osvaldo Laport	/wiki/Osvaldo_Laport	['1900', '1950']
Laura Martínez	/wiki/Laura_Mart%C3%ADnez_(television_presenter)	['1964', '2025']
María Mendive	/wiki/Mar%C3%ADa_Mendive	['1968', '2025']
Mónica Mesones	/wiki/M%C3%B3nica_Mesones	['1900', '1950']
Bárbara Mori	/wiki/B%C3%A1rbara_Mori	['1900', '1950']
Natalia Oreiro	/wiki/Natalia_Oreiro	['1900', '1950']
María Padín	/wiki/Mar%C3%ADa_Pad%C3%ADn	['1888', '1970']
Pelusa Vera	/wiki/Pelusa_Vera	['1940', '2025']
Imilce Viñas	/wiki/Imilce_Vi%C3%B1as	['1939', '2009']
China Zorrilla	/wiki/China_Zorrilla	['1900', '1950']
Miguel del Águila	/wiki/Miguel_del_%C3%81guila	['1900', '1950']
Jorge Drexler	/wiki/Jorge_Drexler	['1900', '1950']
Pablo Sciuto	/wiki/Pablo_Sciuto	['1900', '1950']
José Serebrier	/wiki/Jos%C3%A9_Serebrier	['1900', '1950']
Alfredo Zitarrosa	/wiki/Alfredo_Zitarrosa	['1900', '1950']
Edgardo Cambón	/wiki/Edgardo_Camb%C3%B3n	['1900', '1950']
Mariana Ingold	/wiki/Mariana_Ingold	['1900', '1950']
Martin Lopez	/wiki/Martin_Lopez	['1900', '1950']
Eduardo Mateo	/wiki/Eduardo_Mateo	['1900', '1950']
Martin Mendez	/wiki/Martin_Mendez	['1900', '1950']
Rubén Rada	/wiki/Rub%C3%A9n_Rada	['1900', '1950']
Jaime Roos	/wiki/Jaime_Roos	['1900', '1950']
Gabe Saporta	/wiki/Gabe_Saporta	['1900', '1950']
Erwin Schrott	/wiki/Erwin_Schrott	['1900', '1950']
Julio Sosa	/wiki/Julio_Sosa	['1900', '1950']
