text	link	year
Islam Karimov	/wiki/Islam_Karimov	['1900', '1950']
Shavkat Mirziyoyev	/wiki/Shavkat_Mirziyoyev	['1900', '1950']
Sobir Rakhimov	/wiki/Sobir_Rakhimov	['1900', '1950']
Abdul Rashid Dostum	/wiki/Abdul_Rashid_Dostum	['1900', '1950']
Abdulla Oripov	/wiki/Abdulla_Oripov_(politician)	['1900', '1950']
Abdul Rauf Ibrahimi	/wiki/Abdul_Rauf_Ibrahimi	['1900', '1950']
Abdusamat Taymetov	/wiki/Abdusamat_Taymetov	['1900', '1950']
Azad Beg	/wiki/Azad_Beg	['1900', '1950']
Rasul Pahlawan	/wiki/Rasul_Pahlawan	['1900', '1950']
Abdul Malik Pahlawan	/wiki/Abdul_Malik_Pahlawan	['1900', '1950']
Gul Mohammad Pahalwan	/wiki/Gul_Mohammad_Pahalwan	['1900', '1950']
Sayed Anwar Sadat	/wiki/Sayed_Anwar_Sadat	['1900', '1950']
Suraya Dalil	/wiki/Suraya_Dalil	['1900', '1950']
Husn Banu Ghazanfar	/wiki/Husn_Banu_Ghazanfar	['1900', '1950']
Delbar Nazari	/wiki/Delbar_Nazari	['1900', '1950']
Abdul Majid Rouzi	/wiki/Abdul_Majid_Rouzi	['1900', '1950']
Mohammad Rozi	/wiki/Mohammad_Rozi	['1900', '1950']
Ahmad Khan Samangani	/wiki/Ahmad_Khan_Samangani	['1900', '1950']
Mohammad Hashim Zare	/wiki/Mohammad_Hashim_Zare	['1900', '1950']
Muhammad Yunus Nawandish	/wiki/Muhammad_Yunus_Nawandish	['1900', '1950']
Hamza Hakimzade Niyazi	/wiki/Hamza_Hakimzade_Niyazi	['1900', '1950']
Gʻafur Gʻulom	/wiki/G%CA%BBafur_G%CA%BBulom	['1900', '1950']
Jahangir Mamatov	/wiki/Jahangir_Mamatov	['1900', '1950']
Ismat Xushev	/wiki/Ismat_Xushev	['1900', '1950']
Abdulla Oripov	/wiki/Abdulla_Oripov_(poet)	['1900', '1950']
Komil Yashin	/wiki/Komil_Yashin	['1900', '1950']
Erkin Vohidov	/wiki/Erkin_Vohidov	['1900', '1950']
Zulfiya	/wiki/Zulfiya_(poet)	['1900', '1950']
Abdulla Qahhor	/wiki/Abdulla_Qahhor	['1900', '1950']
Odil Yakubov	/wiki/Odil_Yakubov	['1900', '1950']
Sylvia Nasar	/wiki/Sylvia_Nasar	['1900', '1950']
Bekzod Abdurakhmonov	/wiki/Bekzod_Abdurakhmonov	['1900', '1950']
Akgul Amanmuradova	/wiki/Akgul_Amanmuradova	['1900', '1950']
Aleksandr Agafonov	/wiki/Aleksandr_Agafonov	['1900', '1950']
Server Djeparov	/wiki/Server_Djeparov	['1900', '1950']
Vlada Ekshibarova	/wiki/Vlada_Ekshibarova	['1989', '2025']
Anastasia Gimazetdinova	/wiki/Anastasia_Gimazetdinova	['1900', '1950']
Michael Kolganov	/wiki/Michael_Kolganov	['1974', '2025']
Ida Mayrin	/wiki/Ida_Mayrin	['1997', '2025']
Ibrahim Nazarov	/wiki/Ibrahim_Nazarov	['1900', '1950']
Anisa Petrova	/wiki/Anisa_Petrova	['1900', '1950']
Artem Knyazev	/wiki/Artem_Knyazev	['1900', '1950']
Denis Istomin	/wiki/Denis_Istomin	['1900', '1950']
Djamolidine Abdoujaparov	/wiki/Djamolidine_Abdoujaparov	['1900', '1950']
Mirjalol Kasymov	/wiki/Mirjalol_Kasymov	['1900', '1950']
Ravshan Irmatov	/wiki/Ravshan_Irmatov	['1900', '1950']
Oksana Chusovitina	/wiki/Oksana_Chusovitina	['1900', '1950']
Ruslan Chagaev	/wiki/Ruslan_Chagaev	['1900', '1950']
Rustam Kasimdzhanov	/wiki/Rustam_Kasimdzhanov	['1900', '1950']
Sakina Mamedova	/wiki/Sakina_Mamedova	['1900', '1950']
Vladimir Vapnik	/wiki/Vladimir_Vapnik	['1900', '1950']
Alisher Usmanov	/wiki/Alisher_Usmanov	['1900', '1950']
Salim Abduvaliev	/wiki/Salim_Abduvaliev	['1900', '1950']
Rita Volk	/wiki/Rita_Volk	['1900', '1950']
Lola Astanova	/wiki/Lola_Astanova	['1900', '1950']
Milana Vayntrub	/wiki/Milana_Vayntrub	['1900', '1950']
