text	link	year
John Bani	/wiki/John_Bani	['1999', '2004']
Moana Carcasses Kalosil	/wiki/Moana_Carcasses_Kalosil	['1900', '1950']
Maxime Carlot Korman	/wiki/Maxime_Carlot_Korman	['1900', '1950']
Harry Iauko	/wiki/Harry_Iauko	['1900', '1950']
Willie Jimmy	/wiki/Willie_Jimmy	['1900', '1950']
Donald Kalpokas	/wiki/Donald_Kalpokas	['1900', '1950']
Ephraim Kalsakau	/wiki/Ephraim_Kalsakau	['1900', '1950']
Pakoa Kaltonga	/wiki/Pakoa_Kaltonga	['1900', '1950']
Frederick Karlomuana Timakata	/wiki/Frederick_Karlomuana_Timakata	['1937', '1995']
Sato Kilman	/wiki/Sato_Kilman	['2011', '2013']
Ham Lini	/wiki/Ham_Lini	['2004', '2008']
Hilda Lini	/wiki/Hilda_Lini	['1900', '1950']
Walter Lini	/wiki/Walter_Lini	['1942', '1999']
Willie Bongmatur Maldo	/wiki/Willie_Bongmatur_Maldo	['1939', '2009']
Alfred Maseng	/wiki/Alfred_Maseng	['1900', '1950']
Kalkot Mataskelekele	/wiki/Kalkot_Mataskelekele	['2004', '2009']
Grace Mera Molisa	/wiki/Grace_Mera_Molisa	['1946', '2002']
Sela Molisa	/wiki/Sela_Molisa	['1900', '1950']
Edward Natapei	/wiki/Edward_Natapei	['1900', '1950']
Joe Natuman	/wiki/Joe_Natuman	['1900', '1950']
Ralph Regenvanu	/wiki/Ralph_Regenvanu	['1900', '1950']
Sethy Regenvanu	/wiki/Sethy_Regenvanu	['1900', '1950']
Barak Sopé	/wiki/Barak_Sop%C3%A9	['1900', '1950']
Paul Telukluk	/wiki/Paul_Telukluk	['1900', '1950']
Robert Van Lierop	/wiki/Robert_Van_Lierop	['1900', '1950']
Serge Vohor	/wiki/Serge_Vohor	['1900', '1950']
James Wango	/wiki/James_Wango	['1900', '1950']
George Wells	/wiki/George_Wells_(politician)	['1900', '1950']
Grace Mera Molisa	/wiki/Grace_Mera_Molisa	['1946', '2002']
Vanessa Quai	/wiki/Vanessa_Quai	['1900', '1950']
Ralph Regenvanu	/wiki/Ralph_Regenvanu	['1900', '1950']
Dalsie Baniala	/wiki/Dalsie_Baniala	['1900', '1950']
Dinh Van Than	/wiki/Dinh_Van_Than	['1900', '1950']
Vincent Lunabek	/wiki/Vincent_Lunabek	['1900', '1950']
Roy Mata	/wiki/Roy_Mata	['1900', '1950']
Jimmy Stevens	/wiki/Jimmy_Stevens_(politician)	['1900', '1950']
