text	link	year
Alejandro Chataing	/wiki/Alejandro_Chataing	['1900', '1950']
Carlos Raúl Villanueva	/wiki/Carlos_Ra%C3%BAl_Villanueva	['1900', '1975']
Gabriel Bracho	/wiki/Gabriel_Bracho	['1915', '1995']
Carlos Cruz-Díez	/wiki/Carlos_Cruz-D%C3%ADez	['1923', '2025']
Mariano Díaz	/wiki/Mariano_D%C3%ADaz_(photographer)	['1929', '2025']
Marisol Escobar	/wiki/Marisol_Escobar	['1930', '2016']
Alirio Palacios	/wiki/Alirio_Palacios	['1938', '2015']
Gego	/wiki/Gego	['1900', '1950']
Yucef Merhi	/wiki/Yucef_Merhi	['1977', '2025']
Arturo Michelena	/wiki/Arturo_Michelena	['1863', '1898']
Alejandro Otero	/wiki/Alejandro_Otero	['1921', '1990']
Mercedes Pardo	/wiki/Mercedes_Pardo	['1921', '2005']
Armando Reverón	/wiki/Armando_Rever%C3%B3n	['1889', '1954']
Cristóbal Rojas	/wiki/Crist%C3%B3bal_Rojas_(artist)	['1857', '1890']
Jesús Rafael Soto	/wiki/Jes%C3%BAs_Rafael_Soto	['1923', '2005']
Martín Tovar y Tovar	/wiki/Mart%C3%ADn_Tovar_y_Tovar	['1827', '1902']
Patricia van Dalen	/wiki/Patricia_van_Dalen	['1955', '2025']
Beatriz Helena Ramos	/wiki/Beatriz_Helena_Ramos	['1971', '2025']
Cornelis Zitman	/wiki/Cornelis_Zitman	['1926', '2016']
José Antonio de Armas Chitty	/wiki/Jos%C3%A9_Antonio_de_Armas_Chitty	['1900', '1950']
Rafael Arráiz Lucca	/wiki/Rafael_Arr%C3%A1iz_Lucca	['1900', '1950']
Alberto Arvelo Torrealba	/wiki/Alberto_Arvelo_Torrealba	['1900', '1950']
es:José Balza	https://es.wikipedia.org/wiki/Jos%C3%A9_Balza	['1900', '1950']
Alberto Barrera Tyszka	/wiki/Alberto_Barrera_Tyszka	['1900', '1950']
Natividad Barroso	/wiki/Natividad_Barroso	['1900', '1950']
Andrés Bello	/wiki/Andr%C3%A9s_Bello	['1900', '1950']
Andrés Eloy Blanco	/wiki/Andr%C3%A9s_Eloy_Blanco	['1900', '1950']
Eduardo Blanco	/wiki/Eduardo_Blanco_(writer)	['1900', '1950']
Mario Briceño Iragorry	/wiki/Mario_Brice%C3%B1o_Iragorry	['1897', '1958']
Manuel Caballero	/wiki/Manuel_Caballero	['1900', '1950']
Rafael Cadenas	/wiki/Rafael_Cadenas	['1900', '1950']
Juan Carlos Chirinos	/wiki/Juan_Carlos_Chirinos	['1900', '1950']
Luis Castro Leiva	/wiki/Luis_Castro_Leiva	['1900', '1950']
Manuel Díaz Rodríguez	/wiki/Manuel_D%C3%ADaz_Rodr%C3%ADguez	['1900', '1950']
es:Tulio Febres Cordero	https://es.wikipedia.org/wiki/Tulio_Febres_Cordero	['1900', '1950']
Rómulo Gallegos	/wiki/R%C3%B3mulo_Gallegos	['1900', '1950']
Julio Garmendia	/wiki/Julio_Garmendia	['1900', '1950']
Salvador Garmendia	/wiki/Salvador_Garmendia	['1900', '1950']
Adriano González León	/wiki/Adriano_Gonz%C3%A1lez_Le%C3%B3n	['1900', '1950']
es:Francisco Herrera Luque	https://es.wikipedia.org/wiki/Francisco_Herrera_Luque	['1927', '1991']
Eduardo López Bustamante	/wiki/Eduardo_L%C3%B3pez_Bustamante	['1900', '1950']
Francisco Massiani	/wiki/Francisco_Massiani	['1900', '1950']
Domingo Maza Zavala	/wiki/Domingo_Maza_Zavala	['1900', '1950']
es:Juan Carlos Méndez Guédez	https://es.wikipedia.org/wiki/Juan_Carlos_M%C3%A9ndez_Gu%C3%A9dez	['1900', '1950']
Guillermo Meneses	/wiki/Guillermo_Meneses	['1911', '1978']
Eugenio Montejo	/wiki/Eugenio_Montejo	['1938', '2008']
Guillermo Morón	/wiki/Guillermo_Mor%C3%B3n	['1900', '1950']
Moisés Naím	/wiki/Mois%C3%A9s_Na%C3%ADm	['1900', '1950']
Fabricio Ojeda	/wiki/Fabricio_Ojeda	['1900', '1950']
Juan Oropeza	/wiki/Juan_Oropeza	['1900', '1950']
Edgar C. Otálvora	/wiki/Edgar_C._Ot%C3%A1lvora	['1900', '1950']
Miguel Otero Silva	/wiki/Miguel_Otero_Silva	['1900', '1950']
Teresa de la Parra	/wiki/Teresa_de_la_Parra	['1900', '1950']
Juan Antonio Pérez Bonalde	/wiki/Juan_Antonio_P%C3%A9rez_Bonalde	['1900', '1950']
Mariano Picón Salas	/wiki/Mariano_Pic%C3%B3n_Salas	['1900', '1950']
José Rafael Pocaterra	/wiki/Jos%C3%A9_Rafael_Pocaterra	['1900', '1950']
Tomás Straka	/wiki/Tom%C3%A1s_Straka	['1900', '1950']
José Antonio Ramos Sucre	/wiki/Jos%C3%A9_Antonio_Ramos_Sucre	['1900', '1950']
Oscar Sambrano Urdaneta	/wiki/Oscar_Sambrano_Urdaneta	['1900', '1950']
Pedro Sotillo	/wiki/Pedro_Sotillo	['1900', '1950']
Alfredo Toro Hardy	/wiki/Alfredo_Toro_Hardy	['1900', '1950']
Arturo Uslar Pietri	/wiki/Arturo_Uslar_Pietri	['1900', '1950']
José Jesús Villa Pelayo	/wiki/Jos%C3%A9_Jes%C3%BAs_Villa_Pelayo	['1900', '1950']
Slavko Zupcic	/wiki/Slavko_Zupcic	['1900', '1950']
Consuelo Adler	/wiki/Consuelo_Adler	['1900', '1950']
Jacqueline Aguilera	/wiki/Jacqueline_Aguilera	['1900', '1950']
Goizeder Azúa	/wiki/Goizeder_Az%C3%BAa	['1900', '1950']
Alexandra Braun	/wiki/Alexandra_Braun	['1900', '1950']
Susana Duijm	/wiki/Susana_Duijm	['1900', '1950']
Stefanía Fernández	/wiki/Stefan%C3%ADa_Fern%C3%A1ndez	['1900', '1950']
Sthefany Gutiérrez	/wiki/Sthefany_Guti%C3%A9rrez	['1900', '1950']
Daniela di Giacomo	/wiki/Daniela_di_Giacomo	['1900', '1950']
Marelisa Gibson	/wiki/Marelisa_Gibson	['1900', '1950']
Alyz Henrich	/wiki/Alyz_Henrich	['1900', '1950']
Astrid Carolina Herrera	/wiki/Astrid_Carolina_Herrera	['1900', '1950']
Gabriela Isler	/wiki/Gabriela_Isler	['1900', '1950']
Ninibeth Leal	/wiki/Ninibeth_Leal	['1900', '1950']
Pilín León	/wiki/Pil%C3%ADn_Le%C3%B3n	['1900', '1950']
Alicia Machado	/wiki/Alicia_Machado	['1900', '1950']
Dayana Mendoza	/wiki/Dayana_Mendoza	['1900', '1950']
Thalía Olvino	/wiki/Thal%C3%ADa_Olvino	['1900', '1950']
Bárbara Palacios	/wiki/B%C3%A1rbara_Palacios	['1900', '1950']
Irene Sáez	/wiki/Irene_S%C3%A1ez	['1900', '1950']
Ivian Sarcos	/wiki/Ivian_Sarcos	['1900', '1950']
Maritza Sayalero	/wiki/Maritza_Sayalero	['1900', '1950']
Nina Sicilia	/wiki/Nina_Sicilia	['1900', '1950']
Mónica Spear	/wiki/M%C3%B3nica_Spear	['1900', '1950']
Vivian Urdaneta	/wiki/Vivian_Urdaneta	['1900', '1950']
