text	link	year
Ngô Viết Thụ	/wiki/Ng%C3%B4_Vi%E1%BA%BFt_Th%E1%BB%A5	['1900', '1950']
Tran Anh Hung	/wiki/Tran_Anh_Hung	['1900', '1950']
Steve Tran	/wiki/Steve_Tran	['1900', '1950']
Maggie Q	/wiki/Maggie_Q	['1900', '1950']
Katsuni	/wiki/Katsuni	['1900', '1950']
Kieu Chinh	/wiki/Kieu_Chinh	['1900', '1950']
Thuy Trang	/wiki/Thuy_Trang	['1900', '1950']
Trà Giang	/wiki/Tr%C3%A0_Giang	['1900', '1950']
Ngo Thanh Van	/wiki/Ngo_Thanh_Van	['1900', '1950']
Dustin Nguyen	/wiki/Dustin_Nguyen	['1900', '1950']
Dat Phan	/wiki/Dat_Phan	['1900', '1950']
Linh Nga	/wiki/Linh_Nga	['1900', '1950']
Anh Do	/wiki/Anh_Do	['1900', '1950']
Linh Dan Pham	/wiki/Linh_Dan_Pham	['1900', '1950']
Kim Nguyen	/wiki/Kim_Nguyen	['1900', '1950']
Ringo Le	/wiki/Ringo_Le	['1900', '1950']
Ham Tran	/wiki/Ham_Tran	['1900', '1950']
Steve Nguyen	/wiki/Steve_Nguyen	['1900', '1950']
Doan Hoang	/wiki/Doan_Hoang	['1900', '1950']
Anh Duong	/wiki/Anh_Duong	['1900', '1950']
France Nuyen	/wiki/France_Nuyen	['1900', '1950']
Leyna Nguyen	/wiki/Leyna_Nguyen	['1900', '1950']
Thi Be Nguyen	/wiki/Thi_Be_Nguyen	['1900', '1950']
Hung Huynh	/wiki/Hung_Huynh	['1900', '1950']
Christine Ha	/wiki/Christine_Ha	['1900', '1950']
Poreotics	/wiki/Poreotics	['1900', '1950']
Quasar Khanh	/wiki/Quasar_Khanh	['1900', '1950']
Khoi Vinh	/wiki/Khoi_Vinh	['1900', '1950']
Jonas Bevacqua	/wiki/Jonas_Bevacqua	['1900', '1950']
Chloe Dao	/wiki/Chloe_Dao	['1900', '1950']
Đặng Thị Minh Hạnh	/wiki/%C4%90%E1%BA%B7ng_Th%E1%BB%8B_Minh_H%E1%BA%A1nh	['1900', '1950']
Nguyễn Thùy Lâm	/wiki/Nguy%E1%BB%85n_Th%C3%B9y_L%C3%A2m	['1900', '1950']
Trần Thị Hương Giang	/wiki/Tr%E1%BA%A7n_Th%E1%BB%8B_H%C6%B0%C6%A1ng_Giang	['1900', '1950']
Võ Hoàng Yến	/wiki/V%C3%B5_Ho%C3%A0ng_Y%E1%BA%BFn	['1900', '1950']
Thuy Diep	/wiki/Thuy_Diep	['1900', '1950']
Thien LE	/wiki/Thien_LE	['1900', '1950']
Bùi Xuân Phái	/wiki/B%C3%B9i_Xu%C3%A2n_Ph%C3%A1i	['1900', '1950']
Dao Droste	/wiki/Dao_Droste	['1900', '1950']
Henri Huet	/wiki/Henri_Huet	['1900', '1950']
Lim Khim Katy	/wiki/Lim_Khim_Katy	['1900', '1950']
Van Le Ngoc	/wiki/Van_Le_Ngoc	['1900', '1950']
Dinh Q. Lê	/wiki/Dinh_Q._L%C3%AA	['1900', '1950']
Bảo Ninh	/wiki/B%E1%BA%A3o_Ninh	['1900', '1950']
Dương Thu Hương	/wiki/D%C6%B0%C6%A1ng_Thu_H%C6%B0%C6%A1ng	['1900', '1950']
Hàn Mặc Tử	/wiki/H%C3%A0n_M%E1%BA%B7c_T%E1%BB%AD	['1900', '1950']
Hồ Xuân Hương	/wiki/H%E1%BB%93_Xu%C3%A2n_H%C6%B0%C6%A1ng	['1900', '1950']
Nguyễn Chí Thiện	/wiki/Nguy%E1%BB%85n_Ch%C3%AD_Thi%E1%BB%87n	['1900', '1950']
Nguyễn Bỉnh Khiêm	/wiki/Nguy%E1%BB%85n_B%E1%BB%89nh_Khi%C3%AAm	['1900', '1950']
Nguyễn Du	/wiki/Nguy%E1%BB%85n_Du	['1900', '1950']
Nguyễn Ngọc Ngạn	/wiki/Nguy%E1%BB%85n_Ng%E1%BB%8Dc_Ng%E1%BA%A1n	['1900', '1950']
Nguyễn Trãi	/wiki/Nguy%E1%BB%85n_Tr%C3%A3i	['1900', '1950']
Xuân Diệu	/wiki/Xu%C3%A2n_Di%E1%BB%87u	['1900', '1950']
Tố Hữu	/wiki/T%E1%BB%91_H%E1%BB%AFu	['1900', '1950']
Trần Bích San	/wiki/Tr%E1%BA%A7n_B%C3%ADch_San	['1900', '1950']
Vương Trung Hiếu	/wiki/V%C6%B0%C6%A1ng_Trung_Hi%E1%BA%BFu	['1900', '1950']
Đoàn Văn Toại	/wiki/%C4%90o%C3%A0n_V%C4%83n_To%E1%BA%A1i	['1900', '1950']
Pham Thi Hoai	/wiki/Pham_Thi_Hoai	['1900', '1950']
Lan Cao	/wiki/Lan_Cao	['1900', '1950']
Monique Truong	/wiki/Monique_Truong	['1900', '1950']
Nam Le	/wiki/Nam_Le	['1900', '1950']
Bao Phi	/wiki/Bao_Phi	['1900', '1950']
Quang X. Pham	/wiki/Quang_X._Pham	['1900', '1950']
Andrew Lam	/wiki/Andrew_Lam	['1900', '1950']
Andrew X. Pham	/wiki/Andrew_X._Pham	['1900', '1950']
Aimee Phan	/wiki/Aimee_Phan	['1900', '1950']
Hoa Pham	/wiki/Hoa_Pham	['1900', '1950']
Aliette de Bodard	/wiki/Aliette_de_Bodard	['1900', '1950']
Ngan Xuyen	/wiki/Ngan_Xuyen	['1900', '1950']
Vaan Nguyen	/wiki/Vaan_Nguyen	['1900', '1950']
Hoang-Kim Cung	/wiki/Hoang-Kim_Cung	['1900', '1950']
Leyna Nguyen	/wiki/Leyna_Nguyen	['1900', '1950']
Stephanie Trong	/wiki/Stephanie_Trong	['1900', '1950']
Natalie Tran	/wiki/Natalie_Tran	['1900', '1950']
Phạm Xuân Ẩn	/wiki/Ph%E1%BA%A1m_Xu%C3%A2n_%E1%BA%A8n	['1900', '1950']
Tila Tequila	/wiki/Tila_Tequila	['1900', '1950']
Michelle Phan	/wiki/Michelle_Phan	['1900', '1950']
Betty Nguyen	/wiki/Betty_Nguyen	['1900', '1950']
Chuckie Akenz	/wiki/Chuckie_Akenz	['1900', '1950']
Bằng Kiều	/wiki/B%E1%BA%B1ng_Ki%E1%BB%81u	['1900', '1950']
Đàm Vĩnh Hưng	/wiki/%C4%90%C3%A0m_V%C4%A9nh_H%C6%B0ng	['1900', '1950']
Đặng Thái Sơn	/wiki/%C4%90%E1%BA%B7ng_Th%C3%A1i_S%C6%A1n	['1900', '1950']
Diễm Liên	/wiki/Di%E1%BB%85m_Li%C3%AAn	['1900', '1950']
Don Hồ	/wiki/Don_H%E1%BB%93	['1900', '1950']
Dương Triệu Vũ	/wiki/D%C6%B0%C6%A1ng_Tri%E1%BB%87u_V%C5%A9	['1900', '1950']
Hồ Lệ Thu	/wiki/H%E1%BB%93_L%E1%BB%87_Thu	['1900', '1950']
Hồng Nhung	/wiki/H%E1%BB%93ng_Nhung	['1900', '1950']
Hương Thủy	/wiki/H%C6%B0%C6%A1ng_Th%E1%BB%A7y_(singer)	['1900', '1950']
Khánh Ly	/wiki/Kh%C3%A1nh_Ly	['1900', '1950']
Kristine Sa	/wiki/Kristine_Sa	['1900', '1950']
Lâm Nhật Tiến	/wiki/L%C3%A2m_Nh%E1%BA%ADt_Ti%E1%BA%BFn	['1900', '1950']
Lam Phương	/wiki/Lam_Ph%C6%B0%C6%A1ng	['1900', '1950']
Le Tuan Hung	/wiki/Le_Tuan_Hung	['1900', '1950']
Lệ Quyên	/wiki/L%E1%BB%87_Quy%C3%AAn	['1900', '1950']
Leslie	/wiki/Leslie_(singer)	['1900', '1950']
Ninh Cát Loan Châu	/wiki/Ninh_C%C3%A1t_Loan_Ch%C3%A2u	['1900', '1950']
Lưu Hữu Phước	/wiki/L%C6%B0u_H%E1%BB%AFu_Ph%C6%B0%E1%BB%9Bc	['1900', '1950']
Minh Tuyet	/wiki/Minh_Tuyet	['1900', '1950']
Mỹ Linh	/wiki/M%E1%BB%B9_Linh	['1900', '1950']
My Tam	/wiki/My_Tam	['1900', '1950']
Niels Lan Doky	/wiki/Niels_Lan_Doky	['1900', '1950']
Như Quỳnh	/wiki/Nh%C6%B0_Qu%E1%BB%B3nh_(singer)	['1900', '1950']
Ngọc Sơn	/wiki/Ng%E1%BB%8Dc_S%C6%A1n_(singer)	['1900', '1950']
Nguyễn Cao Kỳ Duyên	/wiki/Nguy%E1%BB%85n_Cao_K%E1%BB%B3_Duy%C3%AAn	['1900', '1950']
Nguyên Lê	/wiki/Nguy%C3%AAn_L%C3%AA	['1900', '1950']
Nguyen Thanh Hien	/wiki/Nguyen_Thanh_Hien	['1900', '1950']
Nhật Sơn	/wiki/Nh%E1%BA%ADt_S%C6%A1n	['1900', '1950']
Như Loan	/wiki/Nh%C6%B0_Loan	['1900', '1950']
Phạm Duy	/wiki/Ph%E1%BA%A1m_Duy	['1900', '1950']
Phi Nhung	/wiki/Phi_Nhung	['1900', '1950']
Phuong Thanh	/wiki/Phuong_Thanh	['1900', '1950']
Quan Yeomans	/wiki/Quan_Yeomans	['1900', '1950']
Quang Lê	/wiki/Quang_L%C3%AA	['1900', '1950']
Roni Tran Binh Trong	/wiki/Roni_Tran_Binh_Trong	['1900', '1950']
Sơn Tùng M-TP	/wiki/S%C6%A1n_T%C3%B9ng_M-TP	['1900', '1950']
Steve Tran	/wiki/Steve_Tran	['1900', '1950']
Stevie Hoang	/wiki/Stevie_Hoang	['1900', '1950']
Tâm Đoan	/wiki/T%C3%A2m_%C4%90oan	['1900', '1950']
Thanh Lam	/wiki/Thanh_Lam	['1900', '1950']
Thanh Bui	/wiki/Thanh_Bui	['1900', '1950']
Trần Thu Hà	/wiki/Tr%E1%BA%A7n_Thu_H%C3%A0	['1900', '1950']
Trịnh Công Sơn	/wiki/Tr%E1%BB%8Bnh_C%C3%B4ng_S%C6%A1n	['1900', '1950']
Trish Thuy Trang	/wiki/Trish_Thuy_Trang	['1900', '1950']
Trúc Hồ	/wiki/Tr%C3%BAc_H%E1%BB%93	['1900', '1950']
Tyga	/wiki/Tyga	['1900', '1950']
Văn Cao	/wiki/V%C4%83n_Cao	['1900', '1950']
Ung Thị	/wiki/Ung_Th%E1%BB%8B	['1900', '1950']
Trung Dung	/wiki/Trung_Dung	['1900', '1950']
Tran Dinh Truong	/wiki/Tran_Dinh_Truong	['1900', '1950']
Pham Duc Trung Kien	/wiki/Pham_Duc_Trung_Kien	['1900', '1950']
Bill Nguyen	/wiki/Bill_Nguyen	['1900', '1950']
Truong Gia Binh	/wiki/Truong_Gia_Binh	['1900', '1950']
Pham Nhat Vuong	/wiki/Pham_Nhat_Vuong	['1900', '1950']
Hoàng Kiều	/wiki/Ho%C3%A0ng_Ki%E1%BB%81u	['1900', '1950']
Hieu Minh Ngo	/wiki/Hieu_Minh_Ngo	['1900', '1950']
Trưng Sisters	/wiki/Tr%C6%B0ng_Sisters	['1900', '1950']
Lady Triệu	/wiki/Lady_Tri%E1%BB%87u	['1900', '1950']
Minh Mạng	/wiki/Minh_M%E1%BA%A1ng	['1900', '1950']
Thái Đức	/wiki/Th%C3%A1i_%C4%90%E1%BB%A9c	['1900', '1950']
Quang Trung	/wiki/Quang_Trung	['1900', '1950']
Cảnh Thịnh	/wiki/C%E1%BA%A3nh_Th%E1%BB%8Bnh	['1900', '1950']
Đinh Tiên Hoàng	/wiki/%C4%90inh_Ti%C3%AAn_Ho%C3%A0ng	['1900', '1950']
Hùng Vương	/wiki/H%C3%B9ng_V%C6%B0%C6%A1ng	['1900', '1950']
Dục Đức	/wiki/D%E1%BB%A5c_%C4%90%E1%BB%A9c	['1900', '1950']
Duy Tân	/wiki/Duy_T%C3%A2n	['1900', '1950']
Gia Long	/wiki/Gia_Long	['1900', '1950']
Hàm Nghi	/wiki/H%C3%A0m_Nghi	['1900', '1950']
Hiệp Hòa	/wiki/Hi%E1%BB%87p_H%C3%B2a	['1900', '1950']
Khải Định	/wiki/Kh%E1%BA%A3i_%C4%90%E1%BB%8Bnh	['1900', '1950']
Kiến Phúc	/wiki/Ki%E1%BA%BFn_Ph%C3%BAc	['1900', '1950']
Ngô Quyền	/wiki/Ng%C3%B4_Quy%E1%BB%81n	['1900', '1950']
Ho Chi Minh	/wiki/Ho_Chi_Minh	['1900', '1950']
Tôn Đức Thắng	/wiki/T%C3%B4n_%C4%90%E1%BB%A9c_Th%E1%BA%AFng	['1900', '1950']
Nguyễn Hữu Thọ	/wiki/Nguy%E1%BB%85n_H%E1%BB%AFu_Th%E1%BB%8D	['1900', '1950']
Trường Chinh	/wiki/Tr%C6%B0%E1%BB%9Dng_Chinh	['1900', '1950']
Võ Chí Công	/wiki/V%C3%B5_Ch%C3%AD_C%C3%B4ng	['1900', '1950']
Lê Đức Anh	/wiki/L%C3%AA_%C4%90%E1%BB%A9c_Anh	['1900', '1950']
Trần Đức Lương	/wiki/Tr%E1%BA%A7n_%C4%90%E1%BB%A9c_L%C6%B0%C6%A1ng	['1900', '1950']
Nguyễn Minh Triết	/wiki/Nguy%E1%BB%85n_Minh_Tri%E1%BA%BFt	['1900', '1950']
Trương Tấn Sang	/wiki/Tr%C6%B0%C6%A1ng_T%E1%BA%A5n_Sang	['1900', '1950']
Trần Đại Quang	/wiki/Tr%E1%BA%A7n_%C4%90%E1%BA%A1i_Quang	['1900', '1950']
Đặng Thị Ngọc Thịnh	/wiki/%C4%90%E1%BA%B7ng_Th%E1%BB%8B_Ng%E1%BB%8Dc_Th%E1%BB%8Bnh	['1900', '1950']
Nguyễn Phú Trọng	/wiki/Nguy%E1%BB%85n_Ph%C3%BA_Tr%E1%BB%8Dng	['1900', '1950']
Dương Văn Minh	/wiki/D%C6%B0%C6%A1ng_V%C4%83n_Minh	['1900', '1950']
Ngô Đình Diệm	/wiki/Ng%C3%B4_%C4%90%C3%ACnh_Di%E1%BB%87m	['1900', '1950']
Nguyễn Khánh	/wiki/Nguy%E1%BB%85n_Kh%C3%A1nh	['1900', '1950']
Nguyễn Văn Thiệu	/wiki/Nguy%E1%BB%85n_V%C4%83n_Thi%E1%BB%87u	['1900', '1950']
Phan Khắc Sửu	/wiki/Phan_Kh%E1%BA%AFc_S%E1%BB%ADu	['1900', '1950']
Trần Văn Hương	/wiki/Tr%E1%BA%A7n_V%C4%83n_H%C6%B0%C6%A1ng	['1900', '1950']
Charles Tran Van Lam	/wiki/Charles_Tran_Van_Lam	['1900', '1950']
