text	link	year
French migration to the United Kingdom	/wiki/French_migration_to_the_United_Kingdom	['1900', '1950']
Irish migration to Great Britain	/wiki/Irish_migration_to_Great_Britain	['1900', '1950']
Scandinavian migration to Britain	/wiki/Scandinavian_migration_to_Britain	['1900', '1950']
British Nigerian	/wiki/British_Nigerian	['1900', '1950']
Boyd Clack	/wiki/Boyd_Clack	['1951', '2025']
Keith Allen	/wiki/Keith_Allen_(actor)	['1953', '2025']
Bennett Arron	/wiki/Bennett_Arron	['1973', '2025']
Stanley Baker	/wiki/Stanley_Baker	['1927', '1976']
Aneurin Barnard	/wiki/Aneurin_Barnard	['1987', '2025']
Hywel Bennett	/wiki/Hywel_Bennett	['1944', '2017']
David Bower	/wiki/David_Bower	['1969', '2025']
Rob Brydon	/wiki/Rob_Brydon	['1965', '2025']
Richard Burton	/wiki/Richard_Burton	['1925', '1984']
Richard Ian Cox	/wiki/Richard_Ian_Cox	['1973', '2025']
Timothy Dalton	/wiki/Timothy_Dalton	['1946', '2025']
Josie d'Arby	/wiki/Josie_d%27Arby	['1973', '2025']
Gareth David-Lloyd	/wiki/Gareth_David-Lloyd	['1981', '2025']
Garnon Davies	/wiki/Garnon_Davies	['1982', '2025']
Phoebe Davies	/wiki/Phoebe_Davies	['1864', '1912']
Richard Davies	/wiki/Richard_Davies_(actor)	['1926', '2015']
Ryan Davies	/wiki/Ryan_Davies	['1937', '1977']
Windsor Davies	/wiki/Windsor_Davies	['1930', '2019']
Robert East	/wiki/Robert_East_(actor)	['1943', '2025']
Aimee-Ffion Edwards	/wiki/Aimee-Ffion_Edwards	['1987', '2025']
Maudie Edwards	/wiki/Maudie_Edwards	['1906', '1991']
Taron Egerton	/wiki/Taron_Egerton	['1989', '2025']
Tom Ellis	/wiki/Tom_Ellis_(actor)	['1978', '2025']
Peg Entwistle	/wiki/Peg_Entwistle	['1908', '1932']
Clifford Evans	/wiki/Clifford_Evans_(actor)	['1912', '1985']
Luke Evans	/wiki/Luke_Evans_(actor)	['1979', '2025']
Pam Ferris	/wiki/Pam_Ferris	['1948', '2025']
Huw Garmon	/wiki/Huw_Garmon	['1966', '2025']
Colin George	/wiki/Colin_George	['1929', '2025']
Matthew Gravelle	/wiki/Matthew_Gravelle	['1976', '2025']
Hugh Griffith	/wiki/Hugh_Griffith	['1912', '1980']
Kenneth Griffith	/wiki/Kenneth_Griffith	['1921', '2006']
Ioan Gruffudd	/wiki/Ioan_Gruffudd	['1973', '2025']
Edmund Gwenn	/wiki/Edmund_Gwenn	['1875', '1958']
Mike Gwilym	/wiki/Mike_Gwilym	['1949', '2025']
Robert Gwilym	/wiki/Robert_Gwilym	['1956', '2025']
Lyn Harding	/wiki/Lyn_Harding	['1867', '1952']
Doris Hare	/wiki/Doris_Hare	['1905', '2000']
Richard Harrington	/wiki/Richard_Harrington_(actor)	['1975', '2025']
Georgia Henshaw	/wiki/Georgia_Henshaw	['1993', '2025']
Anthony Hopkins	/wiki/Anthony_Hopkins	['1937', '2025']
Donald Houston	/wiki/Donald_Houston	['1923', '1991']
Glyn Houston	/wiki/Glyn_Houston	['1926', '2025']
Aneirin Hughes	/wiki/Aneirin_Hughes	['1958', '2025']
Gareth Hughes	/wiki/Gareth_Hughes	['1894', '1965']
Nerys Hughes	/wiki/Nerys_Hughes	['1941', '2025']
Rhys Ifans	/wiki/Rhys_Ifans	['1968', '2025']
Emrys James	/wiki/Emrys_James	['1928', '1989']
Hywel John	/wiki/Hywel_John	['1900', '1950']
Margaret John	/wiki/Margaret_John	['1926', '2011']
Glynis Johns	/wiki/Glynis_Johns	['1923', '2025']
Mervyn Johns	/wiki/Mervyn_Johns	['1899', '1992']
Gary Jones	/wiki/Gary_Jones_(actor)	['1958', '2025']
Ruth Jones	/wiki/Ruth_Jones_(actress)	['1967', '2025']
Terry Jones	/wiki/Terry_Jones	['1942', '2020']
Eddie Ladd	/wiki/Eddie_Ladd	['1900', '1950']
Kate Lamb	/wiki/Kate_Lamb	['1900', '1950']
Gwilym Lee	/wiki/Gwilym_Lee	['1983', '2025']
Desmond Llewelyn	/wiki/Desmond_Llewelyn	['1914', '1999']
Bernard Lloyd	/wiki/Bernard_Lloyd	['1934', '2025']
Philip Madoc	/wiki/Philip_Madoc	['1934', '2012']
Ruth Madoc	/wiki/Ruth_Madoc	['1943', '2025']
Steven Meo	/wiki/Steven_Meo	['1977', '2025']
Ray Milland	/wiki/Ray_Milland	['1907', '1986']
Eve Myles	/wiki/Eve_Myles	['1978', '2025']
Kimberley Nixon	/wiki/Kimberley_Nixon	['1985', '2025']
Jonny Owen	/wiki/Jonny_Owen	['1971', '2025']
Kai Owen	/wiki/Kai_Owen	['1975', '2025']
Joanna Page	/wiki/Joanna_Page	['1978', '2025']
Siân Phillips	/wiki/Si%C3%A2n_Phillips	['1934', '2025']
Tom Price	/wiki/Tom_Price_(actor)	['1980', '2025']
Jonathan Pryce	/wiki/Jonathan_Pryce	['1947', '2025']
Ian Puleston-Davies	/wiki/Ian_Puleston-Davies	['1959', '2025']
Angharad Rees	/wiki/Angharad_Rees	['1949', '2025']
Roger Rees	/wiki/Roger_Rees	['1944', '2015']
Iwan Rheon	/wiki/Iwan_Rheon	['1985', '2025']
Steffan Rhodri	/wiki/Steffan_Rhodri	['1967', '2025']
Ieuan Rhys	/wiki/Ieuan_Rhys	['1961', '2025']
Matthew Rhys	/wiki/Matthew_Rhys	['1974', '2025']
John Rhys-Davies	/wiki/John_Rhys-Davies	['1944', '2025']
Ieuan Rhys Williams	/wiki/Ieuan_Rhys_Williams	['1909', '2025']
Rachel Roberts	/wiki/Rachel_Roberts_(actress)	['1927', '1980']
Matt Ryan	/wiki/Matt_Ryan_(actor)	['1981', '2025']
Michael Sheen	/wiki/Michael_Sheen	['1969', '2025']
Sarah Siddons	/wiki/Sarah_Siddons	['1755', '1831']
William Simons	/wiki/William_Simons	['1940', '2019']
Steve Speirs	/wiki/Steve_Speirs	['1965', '2025']
Victor Spinetti	/wiki/Victor_Spinetti	['1933', '2012']
Gareth Thomas	/wiki/Gareth_Thomas_(actor)	['1945', '2025']
Talfryn Thomas	/wiki/Talfryn_Thomas	['1922', '1982']
William Thomas	/wiki/William_Thomas_(actor)	['1900', '1950']
Tim Vincent	/wiki/Tim_Vincent	['1972', '2025']
Melanie Walters	/wiki/Melanie_Walters	['1900', '1950']
Naunton Wayne	/wiki/Naunton_Wayne	['1901', '1970']
Andy Whitfield	/wiki/Andy_Whitfield	['1972', '2011']
Ian Whyte	/wiki/Ian_Whyte_(actor)	['1971', '2025']
Robert Wilfort	/wiki/Robert_Wilfort	['1900', '1950']
Emlyn Williams	/wiki/Emlyn_Williams	['1905', '1987']
Peter Wingfield	/wiki/Peter_Wingfield	['1962', '2025']
Owain Yeoman	/wiki/Owain_Yeoman	['1978', '2025']
Catherine Zeta-Jones	/wiki/Catherine_Zeta-Jones	['1969', '2025']
Alexander Vlahos	/wiki/Alexander_Vlahos	['1988', '2025']
Jonathan Adams	/wiki/Jonathan_Adams_(architect)	['1900', '1950']
William Edwards	/wiki/William_Edwards_(architect)	['1719', '1789']
Alwyn Sheppard Fidler	/wiki/Alwyn_Sheppard_Fidler	['1909', '1990']
John St. Bodfan Gruffydd	/wiki/John_St._Bodfan_Gruffydd	['1910', '2004']
Inigo Jones	/wiki/Inigo_Jones	['1573', '1652']
John Jones	/wiki/John_Jones_(Talhaiarn)	['1810', '1869']
Owen Jones	/wiki/Owen_Jones_(architect)	['1809', '1874']
Ernest Morgan	/wiki/Ernest_Morgan	['1881', '1954']
John Nash	/wiki/John_Nash_(architect)	['1753', '1835']
Malcolm Parry	/wiki/Malcolm_Parry	['1900', '1950']
John Prichard	/wiki/John_Prichard	['1817', '1886']
Gwynne Pugh	/wiki/Gwynne_Pugh	['1900', '1950']
David Wyn Roberts	/wiki/David_Wyn_Roberts	['1911', '1982']
Percy Thomas	/wiki/Percy_Thomas	['1883', '1969']
Thomas Thomas	/wiki/Thomas_Thomas_(architect)	['1817', '1888']
E. M. Bruce Vaughan	/wiki/E._M._Bruce_Vaughan	['1900', '1950']
Clough Williams-Ellis	/wiki/Clough_Williams-Ellis	['1883', '1978']
Iwan Bala	/wiki/Iwan_Bala	['1956', '2025']
Roger Cecil	/wiki/Roger_Cecil	['1942', '2015']
Glenys Cour	/wiki/Glenys_Cour	['1924', '2025']
Ivor Davies	/wiki/Ivor_Davies_(artist)	['1935', '2025']
Thomas Nathaniel Davies	/wiki/Thomas_Nathaniel_Davies	['1922', '1996']
Ken Elias	/wiki/Ken_Elias	['1944', '2025']
Nicholas Evans	/wiki/Nicholas_Evans_(artist)	['1907', '2004']
Barry Flanagan	/wiki/Barry_Flanagan	['1941', '2009']
Laura Ford	/wiki/Laura_Ford	['1961', '2025']
David Garner	/wiki/David_Garner_(artist)	['1958', '2025']
John Gibson	/wiki/John_Gibson_(sculptor)	['1790', '1866']
Tony Goble	/wiki/Tony_Goble	['1943', '2007']
Nina Hamnett	/wiki/Nina_Hamnett	['1890', '1956']
Clive Hicks-Jenkins	/wiki/Clive_Hicks-Jenkins	['1951', '2025']
Robert Alwyn Hughes	/wiki/Robert_Alwyn_Hughes	['1935', '2025']
Alfred Janes	/wiki/Alfred_Janes	['1911', '1999']
Augustus John	/wiki/Augustus_John	['1878', '1961']
Goscombe John	/wiki/Goscombe_John	['1860', '1952']
Gwen John	/wiki/Gwen_John	['1876', '1939']
David Jones	/wiki/David_Jones_(poet)	['1895', '1974']
Martyn Jones	/wiki/Martyn_Jones_(painter)	['1955', '2025']
Thomas Jones	/wiki/Thomas_Jones_(artist)	['1742', '1803']
Heinz Koppel	/wiki/Heinz_Koppel	['1919', '1980']
Mervyn Levy	/wiki/Mervyn_Levy	['1915', '1996']
Osi Rhys Osmond	/wiki/Osi_Rhys_Osmond	['1942', '2015']
Geoffrey Olsen	/wiki/Geoffrey_Olsen	['1943', '2007']
Michael Gustavius Payne	/wiki/Michael_Gustavius_Payne	['1969', '2025']
Shani Rhys James	/wiki/Shani_Rhys_James	['1953', '2025']
Ceri Richards	/wiki/Ceri_Richards	['1903', '1971']
Will Roberts	/wiki/Will_Roberts	['1907', '2000']
John Uzzell Edwards	/wiki/John_Uzzell_Edwards	['1937', '2025']
Andrew Vicari	/wiki/Andrew_Vicari	['1938', '2016']
Bedwyr Williams	/wiki/Bedwyr_Williams	['1974', '2025']
Kyffin Williams	/wiki/Kyffin_Williams	['1918', '2006']
Richard Wilson	/wiki/Richard_Wilson_(painter)	['1714', '1782']
