text	link	year
Ghassanids	/wiki/Ghassanids	['1900', '1950']
Lakhmids	/wiki/Lakhmids	['1900', '1950']
Banu Judham	/wiki/Banu_Judham	['1900', '1950']
Kindah	/wiki/Kindah	['1900', '1950']
Egypt	/wiki/Egypt	['1900', '1950']
Banu Quda'a	/wiki/Banu_Quda%27a	['1900', '1950']
Banu Amela	/wiki/Banu_Amela	['1900', '1950']
Banu al-Harith	/wiki/Banu_al-Harith	['1900', '1950']
Naseem Hamed	/wiki/Naseem_Hamed	['1900', '1950']
Isra Girgrah	/wiki/Isra_Girgrah	['1900', '1950']
Nashwan Al-Harazi	/wiki/Nashwan_Al-Harazi	['1900', '1950']
Boushra Almutawakel	/wiki/Boushra_Almutawakel	['1900', '1950']
Bader Ben Hirsi	/wiki/Bader_Ben_Hirsi	['1900', '1950']
Khadija al-Salami	/wiki/Khadija_al-Salami	['1900', '1950']
Mohammed Abdu	/wiki/Mohammed_Abdu	['1900', '1950']
Ayoob Tarish Absey	/wiki/Ayoob_Tarish_Absey	['1900', '1950']
Arwa	/wiki/Arwa_(singer)	['1900', '1950']
Shoshana Damari	/wiki/Shoshana_Damari	['1923', '2006']
Dana International	/wiki/Dana_International	['1972', '2025']
Inbar Bakal	/wiki/Inbar_Bakal	['1900', '1950']
Zion Golan	/wiki/Zion_Golan	['1900', '1950']
Ofra Haza	/wiki/Ofra_Haza	['1900', '1950']
Boaz Mauda	/wiki/Boaz_Mauda	['1900', '1950']
Achinoam Nini	/wiki/Achinoam_Nini	['1900', '1950']
Harel Skaat	/wiki/Harel_Skaat	['1900', '1950']
Jade Thirlwall	/wiki/Jade_Thirlwall	['1900', '1950']
ar:فؤاد عبد الواحد	https://ar.wikipedia.org/wiki/%D9%81%D8%A4%D8%A7%D8%AF_%D8%B9%D8%A8%D8%AF_%D8%A7%D9%84%D9%88%D8%A7%D8%AD%D8%AF	['1900', '1950']
Ramziya al-Iryani	/wiki/Ramziya_al-Iryani	['1900', '1950']
Sumaya Ali Raja	/wiki/Sumaya_Ali_Raja	['1900', '1950']
Zahra Rahmat Allah	/wiki/Zahra_Rahmat_Allah	['1900', '1950']
Tawakkol Karman	/wiki/Tawakkol_Karman	['1900', '1950']
Azizah Abd Allah Abu Lahum	/wiki/Azizah_Abd_Allah_Abu_Lahum	['1900', '1950']
Mohammed bin Awad bin Laden	/wiki/Mohammed_bin_Awad_bin_Laden	['1900', '1950']
Shaher Abdulhak	/wiki/Shaher_Abdulhak	['1900', '1950']
Zahra Al-Harazi	/wiki/Zahra_Al-Harazi	['1900', '1950']
Amal Basha	/wiki/Amal_Basha	['1900', '1950']
Jamala al-Baidhani	/wiki/Jamala_al-Baidhani	['1900', '1950']
Nujood Ali	/wiki/Nujood_Ali	['1900', '1950']
Fatima al-Aqel	/wiki/Fatima_al-Aqel	['1900', '1950']
Shada Nasser	/wiki/Shada_Nasser	['1900', '1950']
Al-Khayzuran	/wiki/Al-Khayzuran	['1900', '1950']
Rabiah ibn Mudhar	/wiki/Rabiah_ibn_Mudhar	['1900', '1950']
Abd al-Aziz ibn Musa	/wiki/Abd_al-Aziz_ibn_Musa	['1900', '1950']
Musa bin Nusair	/wiki/Musa_bin_Nusair	['640', '716']
Dhu Nuwas	/wiki/Dhu_Nuwas	['515', '525']
Arwa al-Sulayhi	/wiki/Arwa_al-Sulayhi	['1048', '1138']
Amat al-Razzak Hammed	/wiki/Amat_al-Razzak_Hammed	['1900', '1950']
Mohammed Lutf al-Iryani	/wiki/Mohammed_Lutf_al-Iryani	['1900', '1950']
Reem Al Numery	/wiki/Reem_Al_Numery	['1900', '1950']
