text	link	year
Geoffrey Bwalya Mwamba	/wiki/Geoffrey_Bwalya_Mwamba	['1900', '1950']
Hakainde Hichilema	/wiki/Hakainde_Hichilema	['1900', '1950']
Rajan Mahtani	/wiki/Rajan_Mahtani	['1900', '1950']
Susan Mulikita	/wiki/Susan_Mulikita	['1900', '1950']
Kenneth David Kaunda	/wiki/Kenneth_David_Kaunda	['1900', '1950']
Frederick Titus Jacob Chiluba	/wiki/Frederick_Titus_Jacob_Chiluba	['1900', '1950']
Levy Patrick Mwanawasa	/wiki/Levy_Patrick_Mwanawasa	['1900', '1950']
Rupiah Bwezani Banda	/wiki/Rupiah_Bwezani_Banda	['1900', '1950']
Michael Chilufya Sata	/wiki/Michael_Chilufya_Sata	['1900', '1950']
Guy Scott	/wiki/Guy_Scott	['1900', '1950']
Edgar Lungu	/wiki/Edgar_Lungu	['1900', '1950']
Reuben Chitandika Kamanga	/wiki/Reuben_Chitandika_Kamanga	['1900', '1950']
Simon Kapwepwe	/wiki/Simon_Kapwepwe	['1900', '1950']
Mainza Mathias Chona	/wiki/Mainza_Mathias_Chona	['1900', '1950']
Levy Patrick Mwanawasa	/wiki/Levy_Patrick_Mwanawasa	['1900', '1950']
Godfrey Miyanda	/wiki/Godfrey_Miyanda	['1900', '1950']
Christon Tembo	/wiki/Christon_Tembo	['1900', '1950']
Enoch P. Kavindele	/wiki/Enoch_P._Kavindele	['1900', '1950']
Nevers Mumba	/wiki/Nevers_Mumba	['1900', '1950']
Lupando Katoloshi Mwape	/wiki/Lupando_Katoloshi_Mwape	['1900', '1950']
Rupiah Bwezani Banda	/wiki/Rupiah_Bwezani_Banda	['1900', '1950']
George Kunda	/wiki/George_Kunda	['1900', '1950']
Guy Scott	/wiki/Guy_Scott	['1900', '1950']
Inonge Wina	/wiki/Inonge_Wina	['1900', '1950']
Mainza Chona	/wiki/Mainza_Chona	['1900', '1950']
Elijah Mudenda	/wiki/Elijah_Mudenda	['1900', '1950']
Daniel Lisulo	/wiki/Daniel_Lisulo	['1900', '1950']
Nalumino Mundia	/wiki/Nalumino_Mundia	['1900', '1950']
Kebby Musokotwane	/wiki/Kebby_Musokotwane	['1900', '1950']
Malimba Masheke	/wiki/Malimba_Masheke	['1900', '1950']
Akashambatwa Mbikusita-Lewanika	/wiki/Akashambatwa_Mbikusita-Lewanika	['1900', '1950']
Anderson Mazoka	/wiki/Anderson_Mazoka	['1998', '2006']
Austin Liato	/wiki/Austin_Liato	['1900', '1950']
Besnat Jere	/wiki/Besnat_Jere	['1900', '1950']
Crispin Shumina	/wiki/Crispin_Shumina	['1900', '1950']
Dickson Jere	/wiki/Dickson_Jere	['1900', '1950']
Edward Makuka Nkoloso	/wiki/Edward_Makuka_Nkoloso	['1900', '1950']
Elias Chipimo Jnr	/wiki/Elias_Chipimo_Jnr	['1900', '1950']
Gladys Nyirongo	/wiki/Gladys_Nyirongo	['1900', '1950']
Hakainde Hichilema	/wiki/Hakainde_Hichilema	['1900', '1950']
Inonge Mbikusita-Lewanika	/wiki/Inonge_Mbikusita-Lewanika	['1900', '1950']
Kabinga Pande	/wiki/Kabinga_Pande	['1900', '1950']
Kalombo Mwansa	/wiki/Kalombo_Mwansa	['1900', '1950']
Luke Mwananshiku	/wiki/Luke_Mwananshiku	['1900', '1950']
M. K. Mubanga	/wiki/M._K._Mubanga	['1900', '1950']
Mundia Sikatana	/wiki/Mundia_Sikatana	['1900', '1950']
Ompie Nkumbula-Lieventhal	/wiki/Ompie_Nkumbula-Lieventhal	['1900', '1950']
Peter Daka	/wiki/Peter_Daka	['1900', '1950']
Ronnie Shikapwasha	/wiki/Ronnie_Shikapwasha	['1900', '1950']
Susan Nakazwe	/wiki/Susan_Nakazwe	['1900', '1950']
Patrick Anthony Mwewa Chikusu	/wiki/Patrick_Anthony_Mwewa_Chikusu	['1900', '1950']
Thokozile Muwamba	/wiki/Thokozile_Muwamba	['1900', '1950']
Besa Mumba	/wiki/Besa_Mumba	['1900', '1950']
Chitimukulu	/wiki/Chitimukulu	['1900', '1950']
Mwata Kazembe	/wiki/Mwata_Kazembe	['1900', '1950']
Chief Kanongesha	/wiki/Chief_Kanongesha	['1900', '1950']
Chief Monze	/wiki/Chief_Monze	['1900', '1950']
Litunga	/wiki/Litunga	['1900', '1950']
