text	link	year
Gordon Chavunduka	/wiki/Gordon_Chavunduka	['1931', '2013']
Fadzayi Mahere	/wiki/Fadzayi_Mahere	['1985', '2025']
Coster Balakasi	/wiki/Coster_Balakasi	['1900', '1950']
Dominic Benhura	/wiki/Dominic_Benhura	['1900', '1950']
Richard Chiwasa	/wiki/Richard_Chiwasa	['1900', '1950']
Pfungwa Dziike	/wiki/Pfungwa_Dziike	['1900', '1950']
Charles Fernando	/wiki/Charles_Fernando	['1941', '1995']
Onias Mupumha	/wiki/Onias_Mupumha	['1900', '1950']
Anthony Sabuneti	/wiki/Anthony_Sabuneti	['1900', '1950']
Brian Watyoka	/wiki/Brian_Watyoka	['1900', '1950']
John Bredenkamp	/wiki/John_Bredenkamp	['1900', '1950']
Phillip Chiyangwa	/wiki/Phillip_Chiyangwa	['1900', '1950']
David Hatendi	/wiki/David_Hatendi	['1953', '2012']
Strive Masiyiwa	/wiki/Strive_Masiyiwa	['1900', '1950']
Mutumwa Mawere	/wiki/Mutumwa_Mawere	['1900', '1950']
Paul Tangi Mhova Mkondo	/wiki/Paul_Tangi_Mhova_Mkondo	['1945', '2013']
Trevor Ncube	/wiki/Trevor_Ncube	['1900', '1950']
Divine Ndhlukula	/wiki/Divine_Ndhlukula	['1900', '1950']
Chido Govera	/wiki/Chido_Govera	['1900', '1950']
Happyton Bonyongwe	/wiki/Happyton_Bonyongwe	['1900', '1950']
Constantino Chiwenga	/wiki/Constantino_Chiwenga	['1900', '1950']
Dumiso Dabengwa	/wiki/Dumiso_Dabengwa	['1939', '2019']
Azim Daudpota	/wiki/Azim_Daudpota	['1933', '2017']
Ken Flower	/wiki/Ken_Flower	['1900', '1950']
Ambrose Gunda	/wiki/Ambrose_Gunda	['1900', '1950']
Chenjerai Hunzvi	/wiki/Chenjerai_Hunzvi	['1949', '2001']
Alfred Nikita Mangena	/wiki/Alfred_Nikita_Mangena	['1900', '1950']
Elson Moyo	/wiki/Elson_Moyo	['1900', '1950']
Solomon Mujuru	/wiki/Solomon_Mujuru	['1945', '2011']
Perence Shiri	/wiki/Perence_Shiri	['1900', '1950']
Jabulani Sibanda	/wiki/Jabulani_Sibanda	['1900', '1950']
Josiah Tongogara	/wiki/Josiah_Tongogara	['1938', '1979']
Josiah Tungamirai	/wiki/Josiah_Tungamirai	['1945', '2005']
Norman Walsh	/wiki/Norman_Walsh	['1900', '1950']
Peter Walls	/wiki/Peter_Walls	['1927', '2010']
Vitalis Zvinavashe	/wiki/Vitalis_Zvinavashe	['1943', '2009']
Derek Carle	/wiki/Derek_Carle	['1900', '1950']
Shane Cloete	/wiki/Shane_Cloete	['1900', '1950']
Duncan Fletcher	/wiki/Duncan_Fletcher	['1900', '1950']
Andy Flower	/wiki/Andy_Flower	['1900', '1950']
Robin Gifford	/wiki/Robin_Gifford	['1900', '1950']
Dave Hallack	/wiki/Dave_Hallack	['1900', '1950']
Pommie Mbangwa	/wiki/Pommie_Mbangwa	['1900', '1950']
Waddington Mwayenga	/wiki/Waddington_Mwayenga	['1900', '1950']
Henry Olonga	/wiki/Henry_Olonga	['1900', '1950']
Ray Price	/wiki/Ray_Price_(cricketer)	['1900', '1950']
Bradley Robinson	/wiki/Bradley_Robinson_(cricketer)	['1900', '1950']
Heath Streak	/wiki/Heath_Streak	['1900', '1950']
Darren Weber	/wiki/Darren_Weber	['1900', '1950']
Bruce Grobbelaar	/wiki/Bruce_Grobbelaar	['1900', '1950']
Justice Majabvi	/wiki/Justice_Majabvi	['1900', '1950']
Robson Muchichwa	/wiki/Robson_Muchichwa	['1900', '1950']
Peter Muduhwa	/wiki/Peter_Muduhwa	['1900', '1950']
Benjani Mwaruwari	/wiki/Benjani_Mwaruwari	['1900', '1950']
Ndabenkulu Ncube	/wiki/Ndabenkulu_Ncube	['1900', '1950']
Peter Ndlovu	/wiki/Peter_Ndlovu	['1900', '1950']
Tinashe Nengomasha	/wiki/Tinashe_Nengomasha	['1900', '1950']
Esrom Nyandoro	/wiki/Esrom_Nyandoro	['1900', '1950']
Byron Black	/wiki/Byron_Black	['1900', '1950']
Cara Black	/wiki/Cara_Black	['1900', '1950']
Wayne Black	/wiki/Wayne_Black	['1900', '1950']
Warren Carne	/wiki/Warren_Carne	['1900', '1950']
Tendai Chimusasa	/wiki/Tendai_Chimusasa	['1900', '1950']
Kirsty Coventry	/wiki/Kirsty_Coventry	['1900', '1950']
Brendon de Jonge	/wiki/Brendon_de_Jonge	['1900', '1950']
Tendai Mtawarira	/wiki/Tendai_Mtawarira	['1900', '1950']
David Pocock	/wiki/David_Pocock	['1900', '1950']
Nick Price	/wiki/Nick_Price	['1900', '1950']
Vitalis Takawira	/wiki/Vitalis_Takawira	['1900', '1950']
Micheen Thornycroft	/wiki/Micheen_Thornycroft	['1900', '1950']
Kevin Ullyett	/wiki/Kevin_Ullyett	['1900', '1950']
M. K. Asante	/wiki/M._K._Asante	['1900', '1950']
Catherine Buckle	/wiki/Catherine_Buckle	['1900', '1950']
NoViolet Bulawayo	/wiki/NoViolet_Bulawayo	['1900', '1950']
Jacob Chikuhwa	/wiki/Jacob_Chikuhwa	['1900', '1950']
Brian Chikwava	/wiki/Brian_Chikwava	['1900', '1950']
Shimmer Chinodya	/wiki/Shimmer_Chinodya	['1900', '1950']
Judy Croome	/wiki/Judy_Croome	['1900', '1950']
Tsitsi Dangarembga	/wiki/Tsitsi_Dangarembga	['1900', '1950']
John Eppel	/wiki/John_Eppel	['1900', '1950']
Petina Gappah	/wiki/Petina_Gappah	['1900', '1950']
Peter Godwin	/wiki/Peter_Godwin	['1900', '1950']
Chenjerai Hove	/wiki/Chenjerai_Hove	['1956', '2015']
Wiseman Magwa	/wiki/Wiseman_Magwa	['1900', '1950']
Morgan Mahanya	/wiki/Morgan_Mahanya	['1900', '1950']
Onesimo Makani Kabweza	/wiki/Onesimo_Makani_Kabweza	['1939', '1993']
J. Nozipo Maraire	/wiki/J._Nozipo_Maraire	['1900', '1950']
Dambudzo Marechera	/wiki/Dambudzo_Marechera	['1952', '1987']
Alexander McCall Smith	/wiki/Alexander_McCall_Smith	['1948', '2025']
Cont Mhlanga	/wiki/Cont_Mhlanga	['1900', '1950']
Charles Mungoshi	/wiki/Charles_Mungoshi	['1947', '2019']
Togara Muzanenhamo	/wiki/Togara_Muzanenhamo	['1900', '1950']
Angus Shaw	/wiki/Angus_Shaw_(writer)	['1900', '1950']
George Shire	/wiki/George_Shire	['1900', '1950']
Wilbur Smith	/wiki/Wilbur_Smith	['1900', '1950']
Yvonne Vera	/wiki/Yvonne_Vera	['1964', '2005']
