text	link	year
Nicholas Liverpool	/wiki/Nicholas_Liverpool	['1900', '1950']
Charles Savarin	/wiki/Charles_Savarin	['1900', '1950']
Clarence Seignoret	/wiki/Clarence_Seignoret	['1900', '1950']
Vernon Shaw	/wiki/Vernon_Shaw	['1900', '1950']
Crispin Sorhaindo	/wiki/Crispin_Sorhaindo	['1900', '1950']
Mary Eugenia Charles	/wiki/Mary_Eugenia_Charles	['1900', '1950']
Pierre Charles	/wiki/Pierre_Charles_(Dominican_politician)	['1900', '1950']
Roosevelt Douglas	/wiki/Roosevelt_Douglas	['1900', '1950']
Edison James	/wiki/Edison_James	['1900', '1950']
Patrick John	/wiki/Patrick_John	['1900', '1950']
Oliver Seraphin	/wiki/Oliver_Seraphin	['1900', '1950']
Roosevelt Skerrit	/wiki/Roosevelt_Skerrit	['1900', '1950']
Lennox Linton	/wiki/Lennox_Linton	['1900', '1950']
Phyllis Shand Allfrey	/wiki/Phyllis_Shand_Allfrey	['86', '1907']
Ronald Green	/wiki/Ronald_Green_(Dominica)	['1900', '1950']
Edward Oliver LeBlanc	/wiki/Edward_Oliver_LeBlanc	['1900', '1950']
Emmanuel Christopher Loblack	/wiki/Emmanuel_Christopher_Loblack	['1898', '1995']
Cecil Rawle	/wiki/Cecil_Rawle	['1891', '1938']
Ogyen Trinley Dorje	/wiki/Ogyen_Trinley_Dorje	['1900', '1950']
Kellyn George	/wiki/Kellyn_George	['1900', '1950']
Asquith Xavier	/wiki/Asquith_Xavier	['1900', '1950']
Danny John-Jules	/wiki/Danny_John-Jules	['1900', '1950']
Trisha Goddard	/wiki/Trisha_Goddard	['1900', '1950']
Moira Stuart	/wiki/Moira_Stuart	['1900', '1950']
Gabrielle	/wiki/Gabrielle_(singer)	['1900', '1950']
Bashy	/wiki/Bashy	['1900', '1950']
Pearle Christian	/wiki/Pearle_Christian	['1900', '1950']
Nasio Fontaine	/wiki/Nasio_Fontaine	['1900', '1950']
Ophelia Marie	/wiki/Ophelia_Marie	['1900', '1950']
Shakka	/wiki/Shakka_(singer)	['1900', '1950']
Swinging Stars	/wiki/Swinging_Stars	['1900', '1950']
Windward Caribbean Kulture	/wiki/Windward_Caribbean_Kulture	['1900', '1950']
Frank Bruno	/wiki/Frank_Bruno	['1900', '1950']
Joe Cooke	/wiki/Joe_Cooke_(footballer)	['1900', '1950']
Phillip DeFreitas	/wiki/Phillip_DeFreitas	['1900', '1950']
Billy Doctrove	/wiki/Billy_Doctrove	['1900', '1950']
Luan Gabriel	/wiki/Luan_Gabriel	['1900', '1950']
Vince Hilaire	/wiki/Vince_Hilaire	['1900', '1950']
Manjrekar James	/wiki/Manjrekar_James	['1900', '1950']
Garth Joseph	/wiki/Garth_Joseph	['1900', '1950']
Karina LeBlanc	/wiki/Karina_LeBlanc	['1900', '1950']
Jerome Romain	/wiki/Jerome_Romain	['1900', '1950']
Adam Sanford	/wiki/Adam_Sanford	['1900', '1950']
Grayson Shillingford	/wiki/Grayson_Shillingford	['1900', '1950']
Shane Shillingford	/wiki/Shane_Shillingford	['1900', '1950']
Tam Joseph	/wiki/Tam_Joseph	['1900', '1950']
Pauline Marcelle	/wiki/Pauline_Marcelle	['1900', '1950']
Phyllis Shand Allfrey	/wiki/Phyllis_Shand_Allfrey	['1900', '1950']
Lennox Honychurch	/wiki/Lennox_Honychurch	['1900', '1950']
Marie-Elena John	/wiki/Marie-Elena_John	['1900', '1950']
Elma Napier	/wiki/Elma_Napier	['1900', '1950']
Jean Rhys	/wiki/Jean_Rhys	['1900', '1950']
Alec Waugh	/wiki/Alec_Waugh	['1900', '1950']
