text	link	year
Eshele Botende	/wiki/Eshele_Botende	['1900', '1950']
Muteba Kidiaba	/wiki/Muteba_Kidiaba	['1900', '1950']
Siadabida Manda	/wiki/Siadabida_Manda	['1900', '1950']
Emmanuel Mudiay	/wiki/Emmanuel_Mudiay	['1900', '1950']
Andy Mulumba	/wiki/Andy_Mulumba	['1900', '1950']
Dikembe Mutombo	/wiki/Dikembe_Mutombo	['1900', '1950']
Steve Zakuani	/wiki/Steve_Zakuani	['1900', '1950']
Ferré Gola	/wiki/Ferr%C3%A9_Gola	['1900', '1950']
Fally Ipupa	/wiki/Fally_Ipupa	['1900', '1950']
Le Grand Kallé	/wiki/Le_Grand_Kall%C3%A9	['1900', '1950']
Koffi Olomide	/wiki/Koffi_Olomide	['1900', '1950']
Maître Gims	/wiki/Ma%C3%AEtre_Gims	['1900', '1950']
Naza	/wiki/Naza	['1900', '1950']
Fabregas	/wiki/Fabregas	['1900', '1950']
Barbara Kanam	/wiki/Barbara_Kanam	['1900', '1950']
Yxng Bane	/wiki/Yxng_Bane	['1900', '1950']
Keblack	/wiki/Keblack	['1900', '1950']
Awilo Longomba	/wiki/Awilo_Longomba	['1900', '1950']
Jean-Pierre Bemba	/wiki/Jean-Pierre_Bemba	['1900', '1950']
Pierre Marini Bodho	/wiki/Pierre_Marini_Bodho	['1900', '1950']
Antoine Gizenga	/wiki/Antoine_Gizenga	['1900', '1950']
Joseph Kabila	/wiki/Joseph_Kabila	['1900', '1950']
Cécile Kyenge	/wiki/C%C3%A9cile_Kyenge	['1900', '1950']
Olive Lembe di Sita	/wiki/Olive_Lembe_di_Sita	['1900', '1950']
Patrice Lumumba	/wiki/Patrice_Lumumba	['1900', '1950']
Fabrice Muamba	/wiki/Fabrice_Muamba	['1900', '1950']
Sony Lab'ou Tansi	/wiki/Sony_Lab%27ou_Tansi	['1900', '1950']
